MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
2123	54761306	23725625	0.006611582	0.032345557
2123	24856436	23725625	-0.040698022	-0.004751877
2123	24856436	54761306	-0.025049848	0.040688143
2123	16007391	23725625	-0.01772789	0.000103521
2123	16007391	54761306	-0.056294917	-0.027310492
2123	16007391	24856436	-0.044120023	-0.024784617
2123	118502708	24856436	-0.083591252	-0.05708897
2123	135151360	23725625	-0.036928857	-0.023444624
2123	118502708	54761306	-0.039753064	-0.007915538
2123	118502708	16007391	-0.064356376	-0.050216544
2123	135151360	24856436	0.013476275	0.062856611
2123	135151360	118502708	0.001635107	0.025958745
2123	135151360	54761306	0.012287667	0.047254462
2123	135151360	16007391	-0.0078025	0.012217599
2123	46700756	23725625	-0.041515635	-0.023241202
2123	46700756	54761306	0.001664075	0.05773728
2123	46700756	24856436	0.02081883	0.09715639
2123	46700756	118502708	-0.032812287	0.00229019
2123	46700756	135151360	-0.032674241	0.01096089
2123	46700756	104842	-0.089380615	-0.016976752
2123	104842	23725625	0.021513952	0.038508952
2123	31703	135151360	-0.039410859	-0.017380904
2123	90132565	23725625	-0.045984609	-0.034363011
2123	104842	118502708	-0.022583662	0.008889312
2123	3082962	23725625	-0.01223959	9.63e-05
2123	131634760	24856436	0.00215823	0.046683207
2123	131634760	118502708	0.011602666	0.031508636
2123	131634760	54761306	0.002673703	0.024466483
2123	131634760	16007391	-0.01428558	0.014491639
2123	131634760	135151360	-0.024208915	0.001744609
2123	131634760	25227436	-0.009442111	0.007710815
2123	131634760	52913813	-0.004520038	0.018930845
2123	131634760	10127622	0.020071278	0.046780109
2123	131634760	49846579	-0.03805824	-0.013047264
2123	86661883	54761306	-0.071355037	-0.044771869
2123	86661883	24856436	-0.047978224	-0.025159797
2123	86661883	118502708	-0.06521343	-0.046394886
2123	86661883	25227436	-0.087485209	-0.068379906
2123	86661883	16007391	-0.043512518	-0.029294921
