MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
1912	54761306	23725625	-0.035283097	-0.006088676
1912	24856436	23725625	-0.041918796	-0.016759613
1912	24856436	54761306	0.000641629	0.04975616
1912	16007391	23725625	-0.023267088	-0.009037355
1912	16007391	54761306	-0.037342492	-0.008610924
1912	16007391	24856436	-0.038561883	-0.017744636
1912	118502708	24856436	-0.035760373	-0.015125233
1912	135151360	23725625	-0.02082439	-0.006923459
1912	118502708	54761306	-0.020239543	-0.001847992
1912	118502708	16007391	-0.053636764	-0.04036143
1912	135151360	24856436	-0.056836708	-0.011431657
1912	135151360	118502708	0.020166682	0.035142576
1912	135151360	54761306	-0.020093319	0.002616463
1912	135151360	16007391	-0.05203903	-0.027831707
1912	46700756	23725625	-0.043389113	-0.004676824
1912	46700756	54761306	-0.0072109	0.05965354
1912	46700756	24856436	-0.006052542	0.075041664
1912	46700756	118502708	0.034764872	0.056911206
1912	46700756	135151360	-0.022794156	-0.001294449
1912	46700756	104842	-0.045382209	0.032896554
1912	104842	23725625	-0.021667293	-0.001888662
1912	31703	135151360	-0.022421029	-0.0078725
1912	90132565	23725625	-0.028468357	-0.01473913
1912	104842	118502708	-0.009096471	0.009646652
1912	3082962	23725625	-0.064870327	-0.050006089
1912	54761306	23725625	-0.007110387	0.018078281
1912	24856436	23725625	-0.069730163	-0.030062423
1912	24856436	54761306	-0.038681863	0.04357729
1912	16007391	23725625	-0.037277723	-0.013012207
1912	16007391	54761306	-0.089470328	-0.045049363
1912	16007391	24856436	-0.040302014	-0.019399788
1912	118502708	24856436	-0.033168664	-0.010491954
1912	135151360	23725625	-0.054034096	-0.040412323
1912	118502708	54761306	-0.017552502	0.001778552
1912	118502708	16007391	-0.065032103	-0.049746833
1912	135151360	24856436	-0.025479779	0.011697311
1912	135151360	118502708	-0.125900886	-0.088962102
1912	135151360	54761306	0.013267905	0.032033573
1912	135151360	16007391	-0.019850578	0.002480734
1912	46700756	23725625	-0.061727561	-0.045165021
1912	46700756	54761306	-0.067925204	0.007514126
1912	46700756	24856436	-0.00025961	0.070991489
1912	46700756	118502708	-0.026856117	-0.003897642
1912	46700756	135151360	-0.031658887	-0.009355168
1912	46700756	104842	-0.066271238	0.007037316
1912	104842	23725625	0.00011259	0.019976471
1912	31703	135151360	-0.011125291	0.007375467
1912	90132565	23725625	-0.049145621	-0.036540012
1912	104842	118502708	-0.023064316	-0.00310176
1912	3082962	23725625	-0.051282203	-0.038062594
1912	54761306	23725625	-0.002137385	0.036927206
1912	24856436	23725625	-0.111887753	-0.066478263
1912	24856436	54761306	-0.035227395	0.05137808
1912	16007391	23725625	-0.030175955	-0.002727414
1912	16007391	54761306	-0.055503017	-0.018868236
1912	16007391	24856436	-0.066879897	-0.046625545
1912	118502708	24856436	-0.047821745	-0.024611182
1912	135151360	23725625	-0.067716608	-0.051470017
1912	118502708	54761306	-0.036425669	-0.017266086
1912	118502708	16007391	-0.03985215	-0.026700727
1912	135151360	24856436	-0.014109758	0.039417079
1912	135151360	118502708	-0.01815981	-0.00056964
1912	135151360	54761306	0.00493192	0.025405138
1912	135151360	16007391	-0.019318016	0.011761423
1912	46700756	23725625	-0.120734002	-0.086276331
1912	46700756	54761306	-0.044597113	0.039111662
1912	46700756	24856436	-0.013768513	0.083495768
1912	46700756	118502708	-0.024653772	-0.004068813
1912	46700756	135151360	-0.033766411	-0.01000533
1912	46700756	104842	-0.064736511	0.015768835
1912	104842	23725625	0.017323853	0.041278368
1912	31703	135151360	-0.027389754	-0.009878643
1912	90132565	23725625	-0.049013873	-0.035443886
1912	104842	118502708	-0.000241044	0.01885824
1912	3082962	23725625	-0.060430749	-0.045917493
1912	131634760	24856436	-0.024048535	0.028580981
1912	131634760	118502708	0.015887948	0.029530336
1912	131634760	54761306	-0.006223175	0.011180834
1912	131634760	16007391	0.015927748	0.039025153
1912	131634760	135151360	-0.039843138	-0.022616176
1912	131634760	25227436	-0.031388839	-0.019738165
1912	131634760	52913813	-0.094817418	-0.068812042
1912	131634760	10127622	-0.022200279	0.00263052
1912	131634760	49846579	-0.031650087	-0.014677585
1912	86661883	54761306	0.011248926	0.052667751
1912	86661883	24856436	0.030661678	0.050114729
1912	86661883	118502708	-0.041108403	-0.030387
1912	86661883	25227436	-0.048981782	-0.036844678
1912	86661883	16007391	-0.021375791	-0.008041741
1912	86661883	135151360	-0.041767749	-0.030846444
1912	86661883	10127622	0.035678928	0.069970016
1912	86661883	52913813	0.004755051	0.025091168
1912	49846579	54761306	-0.055610537	0.001323079
1912	49846579	24856436	0.020641284	0.081992466
1912	49846579	16007391	0.002404503	0.029202676
1912	49846579	118502708	-0.005617018	0.026738562
1912	49846579	135151360	-0.042595991	-0.00643743
1912	49846579	25227436	-0.064016424	-0.046843706
1912	49846579	52913813	-0.025549009	-0.00789417
1912	11707110	51001932	0.148293582	0.205424344
1912	49846579	24771867	-0.074008716	-0.041592039
1912	49846579	10127622	-0.065641353	-0.027300453
1912	46700756	104842	-0.030111967	0.042790977
1912	25227436	16007391	-0.0330316731474982	-0.0160526366764391
1912	25227436	54761306	-0.0258904004095658	0.0162036764906651
1912	25227436	126689157	-0.0500127701210149	-0.0319201180913478
1912	25227436	118693659	-0.0086033379492461	0.0101330111278594
1912	25227436	5330286	-0.0404015871826493	-0.0114393317765083
1912	25227436	10127622	0.053540398203069	0.0865067347119542
1912	5330286	131634760	-0.0427284464972861	-0.0218494938473528
