data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
32	248862	32874	3.839	24.647	-15.32885193
32	248862	135401907	-0.826	0.221	-2.977013488
32	248862	2141	1.56	1.805	-2.268583714
32	248862	123608	-2.486	5.881	-4.138332868
32	248862	2187	16.934	0.433	4.111596711
32	248862	5284616	-0.965	3.13	-39.12297956
32	248862	9444	-0.332	19.583	-33.85405408
32	248862	5360373	2.568	15.41	-2.646344977
32	248862	2478	0.121	2.97	0.031484918
32	248862	2578	-2.019	1.935	-2.113555343
32	248862	354624	-7.928	-0.687	-3.95777461
32	248862	441203	-0.965	20.916	-11.92879818
32	248862	439693	-1.814	3.425	-5.262273198
32	248862	2907	-12.894	-0.238	-10.07780885
32	248862	3062316	-3.582	-1.546	-4.329178453
32	248862	148124	0.236	1.92	-5.210036113
32	248862	24197464	1.629	14.131	-11.79438737
32	248862	54611422	-3.171	10.832	-7.966957201
32	248862	176871	-5.385	-0.668	0.073429227
32	248862	104741	15.958	-1.523	0.78190402
32	248862	57469	-1.129	0.342	-4.927200261
32	248862	6445540	-0.315	48.795	-28.99109866
32	248862	208908	-1.116	1.087	-2.008839761
32	248862	5935	5.973	12.365	-3.338756901
32	248862	4114	-0.586	3.248	-8.483367625
32	248862	5746	-1.655	18.969	-20.57883294
32	248862	4211	17.741	-2.318	-13.11463913
32	248862	23615975	-10.429	-2.941	-10.26457966
32	248862	451668	1.679	11.086	-16.50848991
32	248862	21864423	4.766	15.96	-2.140167172
32	248862	54608520	0.257	1.924	-8.563819056
32	248862	36314	-2.016	8.676	-17.88928102
32	248862	4842	2.487	11.192	-2.162955014
32	248862	148121	12.691	30.188	-2.619530404
32	248862	9703	-0.099	6.459	-16.20782995
32	248862	6239	2.066	6.039	-24.65868833
32	248862	5352062	-3.478	20.88	-39.83598992
32	248862	104842	-1.511	9.384	-23.29392888
32	248862	216239	7.093	-4.648	-3.308596969
32	248862	5329102	-6.711	-0.38	-2.334068639
32	248862	5426	-9.916	4.288	-4.817700782
32	248862	60699	-3.432	12.908	-17.6053155
32	248862	5799	0.165	17.042	-5.472204804
32	248862	5388983	22.492	-0.38	0.947600799
32	248862	68740	-1.023	0.285	4.387226949
32	248862	5311	0.13	4.434	-21.55056415
32	43834572	248862	17.853	-2	-14.80924451
32	43834572	32874	16.4085	24.647	-1.642323378
32	43834572	135401907	16.045	2.393	-0.443745701
32	43834572	2141	15.802	2.485	0.229931077
32	43834572	123608	17.898	3.408	-2.529254867
32	43834572	2187	16.089	0.433	-2.529636942
32	43834572	5284616	17.24	3.13	-3.400419893
32	43834572	9444	15.362	19.583	2.148286566
32	43834572	77082	16.295	-2.062	-13.59897967
32	43834572	5360373	19.947	15.41	-0.19912068
32	43834572	387447	20.189	41.441	-0.317803518
32	43834572	2478	12.158	3.773	-2.527875776
32	43834572	426756	14.503	3.588	-4.511767233
32	43834572	2578	12.269	4.591	-3.01711955
32	43834572	1546	13.663	37.753	-6.11419658
