data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
14	248862	32874	-4.648	25.4325	-22.74459414
14	248862	135401907	1.857	-1.932	3.409471634
14	248862	2141	-15.806	-2.392	-10.91730491
14	248862	123608	-2.404	1.287	-5.665410374
14	248862	2187	9.801	1.625	1.955187261
14	248862	5284616	-7.373	1.223	-5.052169518
14	248862	9444	-3.516	7.091	-4.180950454
14	248862	5360373	-11.86	6.972	-33.64001371
14	248862	387447	-3.562	17.231	-70.25413277
14	248862	2478	6.253	2.24	2.755918522
14	248862	2578	-3.4	2.137	-6.958010326
14	248862	354624	-6.787	-0.626	-5.116100309
14	248862	441203	4.813	14.367	-5.368339664
14	248862	439693	-1.146	-0.335	-1.896790477
14	248862	2907	-0.797	0.806	-5.614409667
14	248862	3062316	0.549	0.322	-0.259955744
14	248862	148124	-2.984	2.885	-5.782123878
14	248862	24197464	-1.764	19.017	-31.61340203
14	248862	54611422	-5.748	-8.401	-9.17541768
14	248862	176871	-4.512	-1.155	-3.977172106
14	248862	104741	16.959	34.301	-0.681289224
14	248862	3690	-1.442	1.939	-0.802242614
14	248862	57469	-6.757	-2.222	-4.151072455
14	248862	6445540	-4.963	26.291	-19.03328197
14	248862	208908	3.152	4.271	-3.347701667
14	248862	5935	-1.394	8.099	-15.77854485
14	248862	4114	-9.476	2.82	-8.665371925
14	248862	5746	-3.182	18.598	-22.37919966
14	248862	4211	16.947	-0.243	-12.88968738
14	248862	23615975	-5.534	-0.851	2.235274091
14	248862	451668	3.413	5.015	-2.550369395
14	248862	21864423	2.188	33.152	-8.772021169
14	248862	54608520	-1.847	0.802	0.048608861
14	248862	36314	-5.305	10.945	-72.19646993
14	248862	4842	4.488	5.382	-1.687426179
14	248862	148121	8.068	43.534	-4.133898141
14	248862	9703	-4.636	1.979	-2.414730436
14	248862	6239	-3.387	8.881	-16.13316977
14	248862	5352062	-1.273	23.959	-51.52824166
14	248862	104842	-3.151	10.114	-92.15545867
14	248862	216239	-9.405	-1.131	-6.848689983
14	248862	5329102	1.445	0.81	0.619477138
14	248862	5426	-0.947	2.736	-7.877843119
14	248862	60699	-4.972	8.977	-20.56461706
14	248862	5799	-9.035	13.42	-16.63123238
14	248862	5388983	16.441	-0.881	0.206750404
14	248862	68740	-10.984	1.5	-11.14599494
14	248862	5311	-3.449	16.408	-31.19400876
14	43834572	248862	16.273	-0.561	-22.53064183
14	43834572	32874	27.914	25.4325	-0.859662302
14	43834572	135401907	10.424	0.695	-9.825716035
14	43834572	2141	14.265	1.941	-49.32621816
14	43834572	123608	15.341	3.919	-1.133982157
14	43834572	2187	16.121	1.625	-4.694864905
14	43834572	5284616	11.639	1.223	-10.76348136
14	43834572	9444	14.007	7.091	1.945260384
14	43834572	77082	10.006	-1.462	-7.549370091
14	43834572	5360373	10.113	6.972	-1.413602782
14	43834572	387447	13.989	6.879	-2.456632863
14	43834572	2478	6.293	-1.708	-6.802360039
14	43834572	426756	16.947	7.604	-0.457131056
14	43834572	2578	6.03	0.246	-8.207713835
14	43834572	1546	12.146	2.58	-0.452265169
14	43834572	354624	12.62	-0.626	-5.852230978
14	43834572	441203	8.769	17.353	-3.598797568
14	43834572	439693	18.269	3.621	-11.87597677
14	43834572	2907	13.183	0.419	-49.73445585
14	43834572	6252	14.468	6.553	0.774015167
14	43834572	3062316	8.187	0.322	-3.943236681
14	43834572	148124	14.682	2.885	-5.684487329
14	43834572	24197464	14.428	18.918	0.965083562
14	43834572	54611422	10.434	-5.131	-15.53413541
14	43834572	176871	13.951	2.937	-15.10723301
14	43834572	657237	12.946	-1.148	-19.96897412
14	43834572	104741	11.053	34.302	-2.451101298
14	43834572	3657	9.434	0.167	-16.55431841
14	43834572	3690	15.555	-0.464	-24.03413264
14	43834572	5291	17.611	-2.051	-36.75012224
14	43834572	57469	14.827	-0.958	-5.296206926
14	43834572	6445540	12.986	29.962	-8.539942803
14	43834572	208908	4.962	4.271	0.900049786
14	43834572	5935	14.819	8.099	-4.253110217
14	43834572	667490	12.595	23.501	-2.345584808
14	43834572	4114	14.369	1.566	-49.86946428
14	43834572	5746	12.47	17.917	-0.688248518
14	43834572	4211	14.276	-0.243	-19.16600301
14	43834572	644241	14.829	0.561	-16.82689685
14	43834572	23615975	19.444	0.456	-54.3516358
14	43834572	451668	18.736	4.901	-13.85828778
