data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
37	248862	32874	5.678	25.8845	-9.979822215
37	248862	135401907	0.289	4.038	-0.906643171
37	248862	2141	-3.936	1.863	-4.652930916
37	248862	123608	0.787	12.987	-2.572497536
37	248862	2187	33.757	-0.932	0.014166425
37	248862	5284616	-3.163	0.991	2.311876471
37	248862	9444	-0.354	21.939	-38.82999512
37	248862	5360373	2.094	8.179	-1.842999633
37	248862	387447	-10.306	15.062	-72.40754173
37	248862	2478	-2.502	8.319	-6.583290681
37	248862	2578	-6.792	4.431	-14.9088434
37	248862	354624	-0.702	5.468	-4.100724248
37	248862	441203	2.833	48.709	-8.951671203
37	248862	439693	-6.245	1.269	-7.930445362
37	248862	2907	0.45	3.706	-4.390195937
37	248862	3062316	-2.223	1.703	-5.538859883
37	248862	148124	-5.053	-0.338	-4.896960949
37	248862	24197464	-2.634	16.028	-19.62709558
37	248862	54611422	8.429	1.4	-3.634828868
37	248862	176871	12.105	2.866	-6.604755767
37	248862	104741	22.375	2.767	3.898610304
37	248862	3690	-0.344	5.058	-4.270140261
37	248862	57469	-5.772	0.196	-5.461924888
37	248862	6445540	-4.4	43.272	-32.9158492
37	248862	208908	-1.001	2.92	-13.05090041
37	248862	5935	0.145	28.385	-19.20750951
37	248862	4114	-1.798	1.004	-3.832702535
37	248862	5746	-6.001	25.474	-43.66451065
37	248862	4211	34.159	1.493	-23.01907923
37	248862	23615975	-4.03	2.11	-4.97778199
37	248862	451668	-2.264	42.025	-26.46089644
37	248862	21864423	7.573	32.22	-21.60542226
37	248862	54608520	-2.89	2.323	-9.689886751
37	248862	36314	-2.536	4.833	-25.96583648
37	248862	4842	-3.988	16.572	-9.398782063
37	248862	148121	31.634	46.972	0.60450742
37	248862	9703	-5.057	0.108	-0.604041266
37	248862	6239	-2.925	14.354	-19.49514895
37	248862	5352062	-3.502	7.649	-52.08110387
37	248862	104842	-1.113	18.994	-31.98054531
37	248862	216239	1.625	-0.436	1.48444937
37	248862	5329102	7.221	-2.004	-2.751224348
37	248862	5426	-7.063	0.813	-0.159920188
37	248862	60699	-10.43	32.449	-41.84476491
37	248862	5799	1.148	33.753	-31.86810922
37	248862	5388983	36.668	5.244	-2.319614511
37	248862	68740	-0.553	1.342	-0.190599329
37	248862	5311	-1.96	2.197	-8.746625417
37	43834572	248862	21.801	0.813	-81.0299834
37	43834572	32874	22.8735	25.8845	-3.918445501
37	43834572	135401907	21.793	-0.557	-70.03177927
37	43834572	2141	9.317	-2.131	-6.408660636
37	43834572	123608	22.709	4.077	-15.57457498
37	43834572	2187	9.191	-0.932	-8.824642207
37	43834572	5284616	14.384	0.991	-7.276295419
37	43834572	9444	7.633	21.939	1.575793507
