data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
82	3385	11960529	29.676	8.421	1.106381637
82	3385	24856436	29.676	17.863	12.53829574
82	3385	11977753	29.676	37.347	4.29413387
82	3385	387447	29.676	49.232	-4.364524014
82	3385	3062316	29.676	12.878	2.809605168
82	3385	46926350	29.676	35.289	-3.674994373
82	3385	176870	29.676	16.7	4.61783064
82	3385	5288382	29.676	27.673	-1.045769278
82	3385	216453	29.676	22.816	3.31872472
82	3385	208908	29.676	2.791	0.272619011
82	3385	24964624	29.676	12.053	1.879164576
82	3385	24958200	29.676	34.187	1.048372661
82	3385	24748204	29.676	6.232	-2.139945328
82	3385	11520894	29.676	21.545	4.62196428
82	3385	16224745	29.676	35.014	13.97603539
82	3385	9826528	29.676	14.169	0.730783539
82	3385	216239	29.676	31.797	-10.87441591
82	3385	5329102	29.676	25.615	3.787750893
82	3385	5394	29.676	3.668	-7.804270618
82	3385	5311	29.676	14.992	-0.170990874
82	11960529	11977753	8.422	37.347	7.726051458
82	11960529	46926350	8.422	35.289	-0.442550226
82	11960529	5288382	8.422	27.673	4.360697131
82	11960529	11520894	8.422	21.545	1.985932584
82	11960529	16224745	8.422	35.014	0.796850166
82	11960529	71301229	8.422	46.863	-5.484987254
82	11960529	104842	8.422	28.379	8.208191865
82	11960529	216239	8.422	31.797	-9.392445016
82	11960529	60700	8.422	62.429	-1.96915814
82	24856436	11960529	17.86	8.421	1.081688058
82	24856436	11977753	17.86	37.347	11.6438988
82	24856436	387447	17.86	49.232	-3.047405284
82	24856436	3062316	17.86	12.878	2.859244403
82	24856436	46926350	17.86	35.289	-3.163659594
82	24856436	176870	17.86	16.7	1.87815309
82	24856436	5288382	17.86	27.673	2.205676194
82	24856436	208908	17.86	2.791	-1.45929928
82	24856436	24964624	17.86	12.053	4.960874304
82	24856436	24958200	17.86	34.187	8.31576674
82	24856436	24748204	17.86	6.232	-13.4910452
82	24856436	11520894	17.86	21.545	9.085688825
82	24856436	16224745	17.86	35.014	21.12960148
82	24856436	71301229	17.86	46.863	-4.30365628
82	24856436	9826528	17.86	14.169	5.536762379
82	24856436	104842	17.86	28.379	2.106603523
82	24856436	216239	17.86	31.797	-10.18756589
82	24856436	60700	17.86	62.429	0.22964797
82	11977753	46926350	37.347	35.289	3.025428856
82	11977753	16224745	37.347	35.014	10.43629524
82	11977753	71301229	37.347	46.863	7.518234851
82	11977753	104842	37.347	28.379	6.887234831
82	11977753	216239	37.347	31.797	2.893190628
82	387447	11960529	49.232	8.421	0.084342475
82	387447	11977753	49.232	37.347	0.631582526
82	387447	3062316	49.232	12.878	-4.473492909
82	387447	46926350	49.232	35.289	-10.07765815
82	387447	5288382	49.232	27.673	-1.506372627
82	387447	11520894	49.232	21.545	-0.588144256
82	387447	16224745	49.232	35.014	-5.403803973
82	387447	71301229	49.232	46.863	-5.477878981
82	387447	104842	49.232	28.379	0.428738863
82	387447	216239	49.232	31.797	-14.52494633
82	387447	60700	49.232	62.429	-2.495376397
82	426756	11960529	35.528	8.421	2.543900933
82	426756	24856436	35.528	17.863	6.215164866
82	426756	11977753	35.528	37.347	8.345716802
82	426756	387447	35.528	49.232	-1.333879527
82	426756	3062316	35.528	12.878	4.604934568
82	426756	46926350	35.528	35.289	-2.976529007
82	426756	176870	35.528	16.7	2.629611053
82	426756	5288382	35.528	27.673	1.154925842
82	426756	216453	35.528	22.816	0.732019226
82	426756	208908	35.528	2.791	0.957639124
82	426756	24964624	35.528	12.053	5.153188936
82	426756	24958200	35.528	34.187	3.833871157
82	426756	24748204	35.528	6.232	0.060179298
82	426756	11520894	35.528	21.545	7.594058043
82	426756	16224745	35.528	35.014	6.6940493
82	426756	9826528	35.528	14.169	3.061773657
82	426756	216239	35.528	31.797	-18.58252843
82	426756	5329102	35.528	25.615	0.607661931
82	426756	5394	35.528	3.668	-10.30803552
82	426756	5311	35.528	14.992	1.414929602
82	2907	11960529	-4.62	8.421	-3.500879895
82	2907	24856436	-4.62	17.863	-58.57482757
82	2907	11977753	-4.62	37.347	-20.81197947
82	2907	387447	-4.62	49.232	-49.86747991
82	2907	3062316	-4.62	12.878	-4.354986402
