data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
10	248862	32874	0.525	38.04	-36.30016931
10	248862	135401907	10.506	-3.052	-0.099459049
10	248862	2141	0.924	0.717	-4.297517361
10	248862	123608	4.801	4.31	-0.966613067
10	248862	2187	15.832	1.578	-1.910704345
10	248862	5284616	-6.635	-1.003	-7.359343553
10	248862	9444	-4.623	5.97	-8.046518107
10	248862	5360373	-3.718	6.28	-7.291042153
10	248862	2478	9.971	-0.385	3.315563354
10	248862	2578	-3.67	1.018	-4.984736776
10	248862	354624	-7.86	-0.246	-10.00607399
10	248862	441203	13.588	5.083	0.07022012
10	248862	439693	0.539	3.893	-0.520930442
10	248862	2907	-13.173	-4.136	-8.189300932
10	248862	3062316	-12.566	-0.802	-8.747048601
10	248862	24197464	2.006	17.645	-17.37941933
10	248862	54611422	-10.892	0.454	-10.71135051
10	248862	176871	-9.109	0.708	-3.858515634
10	248862	104741	-0.879	12.131	2.923571248
10	248862	3690	-7.599	-2.406	-5.232112759
10	248862	57469	6.17	2.906	0.323290162
10	248862	6445540	-1.614	32.495	-20.07541831
10	248862	208908	-12.758	3.815	-18.38065898
10	248862	5935	-1.142	18.181	-35.60791231
10	248862	4114	-7.038	0.818	-24.99252808
10	248862	5746	-5.669	-2.282	-17.84753601
10	248862	4211	8.146	3.395	-10.35738568
10	248862	23615975	-9.312	-2.225	-7.861649151
10	248862	451668	2.048	-4.665	1.45496214
10	248862	21864423	0.525	23.924	-46.09015941
10	248862	54608520	-0.778	12.465	-27.566803
10	248862	36314	-6.245	2.437	-19.77890995
10	248862	4842	10.059	6.456	5.617113384
10	248862	148121	4.765	-5.532	-4.894575137
10	248862	6239	15.083	3.7	-2.630807048
10	248862	5352062	3.416	10.732	-30.16425437
10	248862	104842	-16.463	12.301	-39.85881257
10	248862	216239	2.157	-1.117	-7.609281608
10	248862	5329102	-7.319	-3.293	-4.774606669
10	248862	5426	-8.687	-1.511	-6.7062414
10	248862	60699	0.374	18.428	-27.28012219
10	248862	5799	-6.235	9.882	-13.27058614
10	248862	5388983	1.914	-3.597	0.571963181
10	248862	68740	3.392	0.366	-1.466081972
10	248862	5311	-0.858	7.157	-38.34116875
10	43834572	248862	-0.932	0.471	-7.569387064
10	43834572	32874	7.909	23.5395	-4.821560002
10	43834572	135401907	-2.175	-0.558	-0.896918599
10	43834572	2141	12.039	-0.968	7.757652767
10	43834572	123608	-1.203	-2.384	-2.813337751
10	43834572	2187	-4.961	1.578	0.527998708
10	43834572	5284616	-5.303	-1.003	-0.105594815
10	43834572	9444	2.968	5.97	0.691661286
10	43834572	77082	-6.351	-3.107	-4.233646147
10	43834572	5360373	2.488	6.28	-3.76579436
10	43834572	2478	0.884	-0.378	-1.902354793
10	43834572	426756	5.802	8.962	-2.098987042
10	43834572	2578	3.65	1.545	5.365651598
10	43834572	1546	6.157	16.763	-3.034372824
10	43834572	354624	-6.211	-0.246	-5.713602991
10	43834572	441203	9.691	3.511	7.361104674
10	43834572	439693	7.044	1.013	6.070148746
10	43834572	2907	2.966	0.335	-0.626424062
10	43834572	6252	-3.057	12.083	1.92082276
10	43834572	3062316	-11.75	-0.802	-3.389108152
10	43834572	148124	-6.598	0.788	-2.783967093
10	43834572	24197464	5.802	16.583	3.739012113
10	43834572	54611422	-4.303	3.408	-4.154564886
10	43834572	176871	2.156	5.672	-2.938774043
10	43834572	657237	5.916	-2.879	-11.52505835
10	43834572	104741	-8.939	12.121	-3.423785221
10	43834572	3657	-6.008	-4.481	4.083675025
10	43834572	3690	-2.63	0.586	-0.362403019
10	43834572	5291	3.016	-8.241	0.739432182
10	43834572	57469	16.21	2.107	9.052926585
10	43834572	6445540	0.372	41.843	-16.03355125
10	43834572	208908	-11.151	3.815	-3.053936247
10	43834572	5935	0.421	18.181	-1.764553957
10	43834572	667490	-2.25	13.744	-8.942426908
10	43834572	4114	-2.078	-0.339	0.689469096
10	43834572	5746	-0.081	8.102	-3.097527279
