MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
363	54761306	23725625	-0.032726254	-0.012692754
363	24856436	23725625	-0.045188565	-0.022658101
363	24856436	54761306	0.037125882	0.058639285
363	16007391	23725625	-0.030813595	-0.012759555
363	16007391	54761306	-0.04170872	-0.023147817
363	16007391	24856436	-0.032788619	-0.017839324
363	118502708	24856436	-0.072601107	-0.054521057
363	135151360	23725625	-0.054042074	-0.039751368
363	118502708	54761306	-0.044361734	-0.027801776
363	118502708	16007391	-0.031784266	-0.019285255
363	135151360	24856436	-0.006778815	0.02192013
363	135151360	118502708	-0.023789637	0.004784073
363	135151360	54761306	-0.063090864	-0.03911043
363	135151360	16007391	-0.067689474	-0.032869814
363	46700756	23725625	-0.188312598	-0.1219373
363	46700756	54761306	-0.048437621	-0.007485622
363	46700756	24856436	0.109530738	0.133627972
363	46700756	118502708	0.004622046	0.021568522
363	46700756	135151360	-0.020635997	0.014166568
363	46700756	104842	0.060574685	0.089598408
363	104842	23725625	0.028676807	0.043747358
363	31703	135151360	0.026592712	0.042685185
363	90132565	23725625	-0.044279605	-0.032497938
363	104842	118502708	-0.047719034	-0.031529062
363	3082962	23725625	-0.043647781	-0.031793186
363	131634760	24856436	-0.009168993	0.009992694
363	131634760	118502708	0.002000586	0.015235209
363	131634760	54761306	0.033185982	0.066393698
363	131634760	16007391	0.074326336	0.113232664
363	131634760	135151360	-0.04555504	-0.019074559
363	131634760	25227436	0.099315125	0.14480212
363	131634760	52913813	0.086797299	0.128752718
363	131634760	10127622	-0.035012874	-0.02201641
363	131634760	49846579	0.098497127	0.112811749
363	86661883	54761306	-0.001551875	0.01700123
363	86661883	24856436	-0.042054468	-0.029182917
363	86661883	118502708	-0.059120283	-0.045849366
363	86661883	25227436	-0.036471504	-0.015699256
363	86661883	16007391	0.096118724	0.104835359
363	86661883	135151360	-0.003072305	0.005172066
363	86661883	10127622	0.004281423	0.02539782
363	86661883	52913813	0.021776301	0.064856387
363	49846579	54761306	-0.104914397	-0.070836003
363	49846579	24856436	0.003261539	0.014646659
363	49846579	16007391	-0.019795928	-0.007871197
363	49846579	118502708	-0.016146641	-0.008792517
363	49846579	135151360	-0.026580826	-0.016537269
363	49846579	25227436	-0.055975238	-0.031114227
363	49846579	52913813	-0.070568652	-0.05788419
363	11707110	51001932	-0.056523756	-0.043288265
363	49846579	24771867	-0.007209452	0.003547445
363	49846579	10127622	-0.033189712	-0.02585297
363	46700756	104842	0.0540986	0.077538595
363	25227436	16007391	0.0050877198657114	0.0631753563486018
363	25227436	54761306	-0.0149078623464474	0.0327195838311369
363	25227436	126689157	-0.0558255492866946	-0.0355527737877689
363	25227436	118693659	0.106402978582687	0.172211032180718
363	25227436	5330286	0.0520357448997654	0.0742077575456047
363	25227436	10127622	0.0186899040604864	0.0360329867583087
363	5330286	131634760	-0.0525017093071798	-0.0223301781976878
363	5330286	49846579	-0.0380972971086735	-0.0253094365757538
363	208908	11626560	-0.0177860460282042	0.0018475768415927
363	3062316	11707110	-0.0381764001303684	-0.0252528033075052
363	5330286	10127622	-0.0270230103791757	-0.0154833705483357
363	208908	24964624	0.030051254190819	0.0534270751640112
363	118693659	24856436	-0.0121078330720837	0.0111463637625259
363	118693659	131634760	0.0283408948476606	0.0933332693323528
363	118693659	54761306	-0.0091316498675652	0.0322059054219633
363	118693659	16007391	-0.0311363102930826	0.0016004981163019
363	118693659	49846579	-0.0563568636225851	-0.03608534050271
363	118693659	10127622	0.0022187204756371	0.0208766540544665
363	68289010	131634760	-0.0135723231660176	0.0088609231259354
363	68289010	49846579	-0.0211087264039231	-0.0086042941192575
363	10127622	54761306	-0.0505973444619928	-0.0343074796028688
363	10127622	16007391	-0.0227136050310772	-0.0064569742726088
363	123631	126689157	-0.0434284283199413	-0.0298698909392628
363	10127622	24856436	-0.0308935852479717	-0.0155230317595947
363	10127622	126689157	-0.0429141272199588	-0.0303859772491354
363	54761306	60749	0.087842313890453	0.119490037293413
363	24856436	60749	0.0353884389155863	0.0747487935883005
363	72165232	60749	0.0293785519606605	0.0546326226529658
363	52913813	25227436	0.0233843300244038	0.0982294163932054
363	52913813	5330286	0.0446630324274012	0.067481764805743
363	131634760	60749	0.133139447961714	0.173202792331534
363	86661883	36314	0.119544136382629	0.166745167952163
363	131634760	36314	0.117391932180596	0.187685132309982
363	23725625	86661883	-0.0317121202729515	-0.012669319380012
363	23725625	118693659	-0.041734717237317	-0.0177890029456191
363	23725625	131634760	0.0094429031638969	0.0364221557844582
363	23725625	49846579	-0.0106322596666774	0.0032305972317556
363	54761306	10339178	-0.0453695923144357	-0.0287577534106904
363	131634760	208908	-0.0053551647294542	0.0137359063196882
363	135151360	36462	-0.0120003148546644	0.0133829351522736
363	86661883	208908	0.0048359982434206	0.0200032985641906
363	24856436	104842	0.0473138992288327	0.0727405355194885
363	72165232	3385	0.0209256137342462	0.0364754407529794
363	72165232	24856436	0.0672072233760151	0.0871484118067099
363	51001932	24866313	0.021553219345506	0.0454550573596273
363	208908	10127622	-0.000946190872389614	0.0128829460426115
363	11626560	10127622	-0.0419500219964514	-0.0237973493459264
363	86661883	60749	0.0630464287930568	0.0876568413998688
363	72165232	104842	0.0081338815218185	0.0277612581406366
363	11626560	3062316	-0.0273073149738357	-0.0123165149308648
363	49846579	208908	-0.0270798752866583	-0.012155077968948
