MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
655	135151360	24856436	-0.12084721	-0.04249014
655	135151360	118502708	-0.088011293	-0.046188143
655	135151360	54761306	-0.074385704	-0.012130273
655	135151360	16007391	-0.056061466	-0.004672532
655	46700756	23725625	-0.032366075	-0.013174727
655	46700756	54761306	-0.077850177	-0.006861176
655	46700756	24856436	-0.024228458	0.056217987
655	46700756	118502708	0.010124971	0.040809888
655	46700756	135151360	-0.045260266	-0.003595093
655	46700756	104842	0.048682734	0.110065281
655	104842	23725625	0.080748023	0.098665862
655	31703	135151360	0.041159372	0.085054273
655	90132565	23725625	-0.042162241	-0.030605763
655	104842	118502708	0.168583664	0.196024937
655	3082962	23725625	-0.032219213	-0.01997935
655	54761306	23725625	-0.000211623	0.031881476
655	24856436	23725625	-0.096468535	-0.049604453
655	24856436	54761306	-0.012669751	0.067694352
655	16007391	23725625	-0.019164134	0.00125394
655	16007391	54761306	-0.081123089	-0.019864805
655	16007391	24856436	-0.021155327	0.049744536
655	118502708	24856436	-0.045709236	-0.019621176
655	135151360	23725625	-0.032475947	-0.011470985
655	118502708	54761306	-0.015692461	0.019777634
655	118502708	16007391	-0.070751449	-0.043317292
655	131634760	24856436	-0.024446675	0.04885994
655	131634760	118502708	0.081571184	0.11057934
655	131634760	54761306	-0.025412196	0.027538321
655	131634760	16007391	0.048702276	0.105926128
655	131634760	135151360	-0.005787563	0.038331744
655	131634760	25227436	-0.086604869	-0.024456206
655	131634760	52913813	-0.125617578	-0.053433843
655	131634760	10127622	-0.05676655	-0.02519515
655	131634760	49846579	-0.051269897	-0.016349938
655	86661883	54761306	-0.135954364	-0.057442803
655	86661883	24856436	0.021997055	0.068794058
655	86661883	118502708	-0.017800194	0.017572249
655	86661883	25227436	-0.019793708	0.013970327
655	86661883	16007391	0.182597755	0.208531908
655	86661883	135151360	0.016501735	0.047400807
655	86661883	10127622	-0.049165412	-0.020945625
655	86661883	52913813	-0.031449058	0.031712844
655	49846579	54761306	-0.121960063	-0.052407552
655	49846579	24856436	-0.034660161	0.04793482
655	49846579	16007391	-0.045062471	0.021142799
655	49846579	118502708	-0.042629236	-0.006843098
655	49846579	135151360	-0.016184824	0.026239057
655	49846579	25227436	-0.025460553	0.023018047
655	49846579	52913813	-0.031360953	0.018547803
655	11707110	51001932	0.077334089	0.140198833
655	49846579	24771867	0.106922218	0.159633343
655	49846579	10127622	0.004495579	0.030551886
655	46700756	104842	0.12243768	0.174315886
655	25227436	16007391	-0.0359804856406016	0.0351828241184152
655	25227436	54761306	-0.0739010502335752	0.0174612368901688
655	25227436	126689157	-0.0363078938167721	-0.0043623755261468
655	25227436	118693659	0.0600446415560289	0.139638292535884
655	25227436	5330286	0.0323774927290079	0.0604256642464067
655	25227436	10127622	-0.0193745141839421	0.0501459011639391
655	5330286	131634760	0.0238224823195284	0.0501034755665234
655	5330286	49846579	-0.0446874035091947	-0.0290120278639803
655	208908	11626560	-0.0984489706961067	-0.0353925055152369
655	3062316	11707110	-0.0526339143750805	0.0044339035827121
655	5330286	10127622	0.0134685196642621	0.0333241363063062
655	208908	24964624	0.038110377776324	0.0882774050218998
655	118693659	24856436	-0.066103090479875	0.0308733311567197
655	118693659	131634760	-0.0338002828383282	0.0416421233157362
655	118693659	54761306	-0.0231128399411105	0.0601483497102033
655	118693659	16007391	-0.0344806504156118	0.0150054478885552
655	118693659	49846579	-0.0614330147273036	-0.0289409248776349
655	118693659	10127622	-0.0344145862233923	0.0297365394918254
655	68289010	131634760	-0.0136621685954661	0.0140514099039498
655	68289010	49846579	-0.0362685290445314	-0.0160297201286289
655	10127622	54761306	0.0089630157487644	0.0580102144182533
655	10127622	16007391	0.0203194987969129	0.0687899671787383
655	123631	126689157	-0.0685342353442268	-0.0469436881251351
655	10127622	24856436	-0.0422743584872426	0.0087954240377145
655	10127622	126689157	-0.0426305754107397	-0.0061368190528991
655	54761306	60749	0.0120299874768277	0.0685888674737183
655	24856436	60749	0.0450174167256653	0.10136208490256
655	72165232	60749	0.0694689543386754	0.130581355384382
655	52913813	25227436	-0.0814600619976445	0.0094261276285867
655	52913813	5330286	-0.0090928011316374	0.013375839665074
655	131634760	60749	0.0297909201472137	0.0748265873812539
655	86661883	36314	0.0470316574573736	0.0680692432893997
655	131634760	36314	0.0367502064090187	0.0701736530562787
655	23725625	86661883	-0.0624667642419642	-0.0120591893453185
655	23725625	118693659	-0.0551274538532544	-0.0269691334414974
655	23725625	131634760	-0.0620626971317206	-0.0225685356642182
655	23725625	49846579	-0.115398392922194	-0.0941397720199788
655	54761306	10339178	-0.05588833415131	-0.0311065134012994
655	131634760	208908	-0.0983774372930416	-0.0395589950399492
655	135151360	36462	0.0776696102806736	0.121894408230775
655	86661883	208908	0.0188230399692974	0.0613468091072124
655	24856436	104842	0.0934103981802394	0.138683240411041
655	72165232	3385	0.0055828252675244	0.0317488676296085
655	72165232	24856436	0.0771323428991325	0.147557886769819
655	51001932	24866313	0.0748309218677094	0.127758705270316
655	208908	10127622	-0.0311194305031479	0.0185784397322302
655	11626560	10127622	-0.0130828534464352	0.0183243888976261
655	86661883	60749	0.139579435192606	0.184521754500455
655	72165232	104842	0.113915653888151	0.153685861491627
655	11626560	3062316	0.0454813380268698	0.105214834591166
655	49846579	208908	-0.005414065788027	0.0146237238911223
