MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
1002	54761306	23725625	0.034744001	0.065223966
1002	24856436	23725625	-0.021134856	0.018419646
1002	24856436	54761306	0.064154813	0.106387541
1002	16007391	23725625	-0.041300946	-0.004289517
1002	16007391	54761306	-0.10692514	-0.053801819
1002	16007391	24856436	0.031190521	0.067498046
1002	118502708	24856436	-0.095835032	-0.07684995
1002	135151360	23725625	-0.046694094	-0.030519133
1002	118502708	54761306	-0.025992732	-0.011932399
1002	118502708	16007391	-0.073566797	-0.0612151
1002	135151360	24856436	0.038859759	0.05669916
1002	135151360	118502708	-0.005482859	0.007507861
1002	135151360	54761306	0.050943441	0.072358582
1002	135151360	16007391	-0.010758501	0.039633756
1002	46700756	23725625	0.001768988	0.022809343
1002	46700756	54761306	0.042066811	0.083974683
1002	46700756	24856436	0.23156899	0.289224462
1002	46700756	118502708	-0.021966792	-0.003463419
1002	46700756	135151360	-0.061104628	-0.028328055
1002	46700756	104842	0.166746387	0.239059952
1002	104842	23725625	0.149854894	0.186628646
1002	31703	135151360	0.069629485	0.098281448
1002	90132565	23725625	-0.050185925	-0.037172635
1002	104842	118502708	0.125585497	0.141526916
1002	3082962	23725625	-0.031112437	-0.019461072
1002	86661883	10127622	0.020607893	0.032585044
1002	86661883	52913813	0.013690198	0.028283005
1002	49846579	54761306	-0.010741335	0.011739519
1002	49846579	24856436	0.006181603	0.029640962
1002	49846579	16007391	-0.04896322	-0.016064112
1002	49846579	118502708	0.028946035	0.039839208
1002	49846579	135151360	-0.014938322	-0.004761228
1002	49846579	25227436	-0.022185357	0.009318652
1002	49846579	52913813	-0.008199625	-0.000877339
1002	11707110	51001932	-0.012312292	-0.000959742
1002	49846579	24771867	0.111369668	0.136242257
1002	49846579	10127622	-0.013727475	-0.006336111
1002	46700756	104842	0.349911761	0.388651076
1002	131634760	24856436	0.019031862	0.039135289
1002	131634760	118502708	0.004002997	0.013222961
1002	131634760	54761306	0.035192053	0.069350106
1002	131634760	16007391	-0.019961682	0.035616434
1002	131634760	135151360	-0.047015995	-0.021568769
1002	131634760	25227436	0.033736447	0.087217764
1002	131634760	52913813	-0.028463021	0.000303026
1002	131634760	10127622	0.046489744	0.05928653
1002	131634760	49846579	0.001521765	0.012410073
1002	86661883	54761306	-0.006707733	0.02549871
