MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
1754	54761306	23725625	-0.042224764	-0.028093205
1754	24856436	23725625	-0.022978008	-0.005940134
1754	24856436	54761306	0.017621071	0.038151431
1754	16007391	23725625	0.007627189	0.020475128
1754	16007391	54761306	-0.030317287	-0.014710603
1754	16007391	24856436	-0.035237819	-0.023826833
1754	118502708	24856436	-0.056097969	-0.037142179
1754	135151360	23725625	-0.011918836	-0.00277477
1754	118502708	54761306	-0.010848529	0.000378762
1754	118502708	16007391	-0.017075692	-0.007454874
1754	135151360	24856436	-0.044550983	-0.023119689
1754	135151360	118502708	0.033028095	0.045968021
1754	135151360	54761306	0.025380138	0.037491829
1754	135151360	16007391	0.027577036	0.041123698
1754	46700756	23725625	-0.039499661	-0.020654403
1754	46700756	54761306	0.049031695	0.071500153
1754	46700756	24856436	0.070500157	0.092066727
1754	46700756	118502708	-0.032422984	-0.00256844
1754	46700756	135151360	-0.040217598	-0.017843871
1754	46700756	104842	-0.065391663	-0.006164845
1754	104842	23725625	0.033338428	0.049698435
1754	31703	135151360	-0.022975991	9.13e-05
1754	90132565	23725625	-0.037748983	-0.028389177
1754	104842	118502708	0.034048546	0.049400064
1754	3082962	23725625	-0.017210283	-0.005420173
1754	131634760	24856436	-0.034279767	-0.008855579
1754	131634760	118502708	0.046491507	0.071185513
1754	131634760	54761306	0.009381735	0.040716386
1754	131634760	16007391	-0.014921669	0.004041126
1754	131634760	135151360	-0.025905472	-0.004325985
1754	131634760	25227436	0.019634694	0.033886714
1754	131634760	52913813	0.004320389	0.017965368
1754	131634760	10127622	0.01367575	0.029027608
1754	131634760	49846579	0.019596295	0.038577234
1754	86661883	54761306	-0.034755099	-0.02070849
1754	86661883	24856436	-0.02807148	-0.017407921
1754	86661883	118502708	-0.02834276	-0.0176085
1754	86661883	25227436	-0.013469532	-0.002940968
1754	86661883	16007391	-0.019449541	-0.010178743
1754	86661883	135151360	-0.034184395	-0.022282841
1754	86661883	10127622	0.006490685	0.02139267
1754	86661883	52913813	0.006254422	0.024247768
1754	49846579	54761306	0.000259709	0.014183019
1754	49846579	24856436	-0.068091104	-0.055048075
1754	49846579	16007391	-0.028321055	-0.016854474
1754	49846579	118502708	-0.01599171	-0.005085474
1754	49846579	135151360	0.028614608	0.040390761
1754	49846579	25227436	-0.02120977	-0.004421034
1754	49846579	52913813	-0.031871095	-0.024149809
1754	11707110	51001932	0.052237225	0.065728968
1754	49846579	24771867	-0.015736811	-0.003346652
1754	49846579	10127622	-0.029684592	-0.021967785
1754	46700756	104842	-0.061249242	-0.004411166
1754	118693659	24856436	-0.0066169682555347	0.0323378595851037
1754	118693659	131634760	0.0364939737819872	0.0980530640097238
1754	118693659	54761306	0.0371039155563612	0.0701822380015976
1754	118693659	16007391	-0.0741692935938566	-0.0357183881872658
1754	118693659	49846579	-0.0946789224732248	-0.0555299537488381
1754	118693659	10127622	0.0088909872915435	0.0329115135897442
1754	68289010	131634760	0.0173964410291326	0.0414291279527373
1754	68289010	49846579	-0.0429780279410584	-0.028335484743568
1754	10127622	54761306	-0.0397118056674739	-0.0212401664348861
1754	10127622	16007391	-0.0490208479285941	-0.0283527751160754
1754	123631	126689157	-0.0548778438949103	-0.034351801366542
1754	10127622	24856436	-0.0424730993851576	-0.0216808914521017
1754	10127622	126689157	-0.0436114596396493	-0.0296032871984481
1754	54761306	60749	0.0592405941557624	0.0985874709642931
1754	24856436	60749	-0.0612541893587875	0.0019395704110979
1754	72165232	60749	-0.0539709676802812	-0.0103910593720163
1754	52913813	25227436	-0.0187146643741785	0.0149207424722243
1754	52913813	5330286	0.0505698477467351	0.0718196828791643
1754	131634760	60749	-0.0041252672336963	0.0734980990381021
1754	86661883	36314	0.0886763324843719	0.134044132955513
1754	131634760	36314	0.0968494019146442	0.176872323917171
1754	23725625	86661883	-0.0085780242752841	0.0181701875259961
1754	23725625	118693659	-0.0384198716282313	-0.013253005776194
1754	23725625	131634760	-0.0300526297996355	0.0135544294527805
1754	23725625	49846579	-0.0201906903877758	0.0024433797019122
1754	54761306	10339178	-0.0293662329142151	-0.0035288942511179
1754	131634760	208908	0.0521413359273366	0.139097881282332
1754	135151360	36462	-0.0291206432663302	-0.0071624519042984
1754	86661883	208908	-0.0221164893851056	0.0088321093525131
1754	24856436	104842	-0.0581968950665004	-0.0082122607356827
1754	72165232	3385	0.0178672627860083	0.0404823068955925
1754	72165232	24856436	0.0263548364138509	0.0481829822994616
1754	51001932	24866313	0.012660510353982	0.0331568091218634
1754	208908	10127622	0.0029174188181545	0.0232217104307902
1754	11626560	10127622	-0.0385933594439339	-0.0231246958407756
1754	86661883	60749	-0.0190646311473475	0.0291545485130389
1754	72165232	104842	-0.0412011945572171	-0.0078993988445975
1754	11626560	3062316	-0.009296845365533	0.0068712314146657
1754	49846579	208908	0.0017630488712301	0.0317002086554623
1754	54761306	10339178	-0.0553165524403244	-0.0308976297569346
1754	131634760	208908	0.0685452892393641	0.14803335099072
1754	135151360	36462	0.0078788882736562	0.0332822104272059
1754	86661883	208908	0.0088938140749194	0.0415776932007625
1754	24856436	104842	-0.0362542293093935	-0.0048102093493149
1754	72165232	3385	0.0280710804443862	0.0458062169786405
1754	72165232	24856436	0.0422806385486278	0.0614158952058173
1754	51001932	24866313	0.0063622818024142	0.0290040450765162
1754	208908	10127622	-0.0032163915125698	0.0231732059740099
1754	11626560	10127622	-0.0488566240177635	-0.0315323013313102
1754	86661883	60749	-0.04614021594125	0.0021764500368698
1754	72165232	104842	-0.020673203963269	0.0129148431012899
1754	11626560	3062316	-0.0176544907180413	-0.0026164525969874
1754	49846579	208908	0.0106699793856666	0.0379102443732037
