data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
43	248862	32874	3.6585	27.2145	-10.100901
43	248862	135401907	-0.529	-1.937	-0.967081565
43	248862	2141	9.234	-0.28	-30.83082878
43	248862	123608	7.919	8.157	0.701847805
43	248862	2187	8.517	-2.011	2.643217058
43	248862	5284616	1.176	1.325	-1.484585805
43	248862	9444	-0.586	26.206	-4.800953828
43	248862	5360373	2.393	8.103	-3.550938432
43	248862	2478	8.586	18.262	1.89921086
43	248862	2578	11.648	8.12	-4.798629145
43	248862	354624	-0.435	5.84	-26.64677107
43	248862	441203	6.865	19.103	-0.306617064
43	248862	439693	18.129	-0.483	-4.403116994
43	248862	2907	6.713	-2.834	-33.34127507
43	248862	3062316	5.947	0.802	2.189203175
43	248862	148124	3.289	2.456	-1.560087283
43	248862	24197464	19.413	33.159	5.70039663
43	248862	54611422	-3.367	8.332	-15.95161287
43	248862	176871	-5.171	-1.746	-6.21913843
43	248862	104741	20.342	-1.533	-1.170781242
43	248862	3690	4.419	-6.699	1.815806438
43	248862	57469	9.511	-0.849	2.662308366
43	248862	6445540	19.053	56.385	-1.224717905
43	248862	208908	-2.375	0.191	-0.58565519
43	248862	5935	6.137	26.086	-5.950515287
43	248862	4114	2.533	-1.576	6.603582037
43	248862	5746	10.498	35.353	-4.158264183
43	248862	4211	25.44	-0.637	-14.75846314
43	248862	23615975	4.645	-6.086	-33.61377716
43	248862	451668	8.474	18.332	8.353095248
43	248862	21864423	4.666	23.258	2.160281012
43	248862	54608520	5.34	3.326	0.614238827
43	248862	36314	2.411	0.813	-9.049626224
43	248862	4842	10.789	19.105	0.715352701
43	248862	148121	23.395	50.161	-3.952647493
43	248862	9703	-3.293	-6.298	3.033717476
43	248862	6239	-3.016	11.386	-24.8517653
43	248862	5352062	2.063	22.46	-21.4034348
43	248862	104842	-0.015	21.212	-23.9812656
43	248862	216239	6.003	-1.811	-4.27386687
43	248862	5329102	5.392	-2.156	-1.863742419
43	248862	5426	10.669	-3.627	-2.835530019
43	248862	60699	11.679	36.075	-0.775379021
43	248862	5799	3.837	31.413	0.672610276
43	248862	5388983	26.345	2.785	-3.53512299
43	248862	68740	7.953	-1.2	-1.864778655
43	248862	5311	1.97	1.089	-9.037459986
43	43834572	248862	29.59	0.904	-1.881243789
43	43834572	32874	35.1925	27.2145	1.501566011
43	43834572	135401907	39.775	-0.223	-18.89132688
43	43834572	2141	43.535	-1.222	-9.558368147
43	43834572	123608	38.297	6.817	-5.409265794
43	43834572	2187	30.545	-2.011	-9.516501196
43	43834572	5284616	28.45	1.325	-2.796983324
43	43834572	9444	43.435	26.206	4.279943523
43	43834572	77082	37.985	0.708	-19.46886874
43	43834572	5360373	38.169	8.103	-8.756861642
43	43834572	387447	54.63	48.974	3.46571822
43	43834572	2478	37.431	4.509	-4.423294797
43	43834572	426756	38.956	9.343	-1.742612622
43	43834572	2578	45.64	1.261	-16.17071298
43	43834572	1546	33.123	44.326	-1.89791489
43	43834572	354624	26.132	5.84	-1.811610455
43	43834572	441203	46.767	13.579	-7.605109791
43	43834572	439693	41.813	1.282	-12.52666933
43	43834572	2907	36.097	-1.815	-22.22516964
43	43834572	6252	35.568	50.967	-0.781965454
43	43834572	3062316	37.994	0.802	-8.662476493
43	43834572	148124	45.309	2.456	-9.089303205
43	43834572	24197464	41.933	34.533	4.928899795
43	43834572	54611422	36.259	24.071	-1.87111531
43	43834572	176871	42.772	0.579	-13.92309117
43	43834572	657237	40.515	19.966	0.25170428
43	43834572	104741	24.294	-1.533	-6.298187113
43	43834572	3657	41.974	-1.738	-19.38690251
43	43834572	3690	39.619	3.239	-24.88407425
43	43834572	5291	39.946	2.1	-19.78096276
43	43834572	57469	49.519	0.867	-4.719042199
43	43834572	6445540	45.713	61.994	-8.95412273
43	43834572	208908	36.961	0.192	-16.85731339
43	43834572	5935	39.209	26.086	-0.372134106
43	43834572	667490	43.638	15.664	-6.002774339
43	43834572	4114	39.161	-1.978	-21.32297737
43	43834572	5746	35.639	39.346	0.084983355
43	43834572	4211	29.51	-0.637	-17.60348463
43	43834572	644241	31.621	0.469	-16.42974843
43	43834572	23615975	36.496	0.038	-24.62868592
43	43834572	451668	36.639	14.707	-3.64117146
43	43834572	21864423	31.414	23.258	6.488972937
43	43834572	54608520	41.442	3.326	-11.54031382
43	43834572	36314	42.226	0.813	-14.67350297
43	43834572	4842	33.155	14.064	-2.756324857
43	43834572	163659	40.151	9.581	-1.975590109
43	43834572	148121	35.573	50.161	-5.85663341
43	43834572	9703	40.179	-0.558	-21.25880158
43	43834572	6239	35.515	16.737	4.354282157
43	43834572	5352062	45.535	22.46	-0.362293714
43	43834572	104842	41.189	21.212	1.487309558
43	43834572	216239	37.203	-1.811	-19.81047568
43	43834572	5329102	32.549	-2.156	-12.64125853
43	43834572	2733525	34.464	-1.15	-5.219810111
43	43834572	5394	36.089	-1.764	-19.13746313
43	43834572	5426	39.817	0.264	-20.22811216
43	43834572	60699	50.328	39.771	4.601403171
43	43834572	444795	45.78	1.6	-18.26795995
43	43834572	5799	39.45	31.413	2.00053084
43	43834572	5388983	33.138	2.785	-9.857879452
43	43834572	68740	39.894	-1.206	-18.06318903
43	43834572	5311	43.084	1.089	-9.687736644
43	3385	248862	45.6	-2.1	-9.145173104
43	3385	43834572	58.804	56.495	1.658607587
43	3385	2019	58.804	-0.407	-9.761585399
43	3385	32874	58.804	34.402	-9.571089945
43	3385	135401907	58.804	-6.092	-18.19683079
43	3385	2123	58.804	-7.367	-6.3428549
43	3385	2141	44.478	1.601	-12.18683725
43	3385	123608	58.804	10.778	-12.21236811
43	3385	2187	58.804	-1.293	-9.751348907
43	3385	5284616	58.804	16.339	-2.771670236
43	3385	9444	58.804	-2.89	-13.77486903
43	3385	77082	58.804	-4.332	-12.95572261
43	3385	5360373	49.299	1.804	-1.231314009
