data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
90	3385	11960529	44.26	1.758	-10.17427189
90	3385	24856436	44.26	21.057	4.133783761
90	3385	11977753	44.26	32.672	3.398965648
90	3385	387447	44.26	17.88	4.937091008
90	3385	3062316	44.26	-3.786	-3.608506622
90	3385	46926350	44.26	23.952	0.518367023
90	3385	176870	44.26	21.092	6.850397443
90	3385	5288382	44.26	-0.451	-3.139833679
90	3385	216453	44.26	36.722	11.83217587
90	3385	208908	44.26	10.376	-1.579770714
90	3385	24964624	44.26	26.995	9.517317581
90	3385	24958200	44.26	6.606	2.691448485
90	3385	24748204	44.26	16.516	5.694920157
90	3385	11520894	44.26	3.478	4.932030127
90	3385	16224745	44.26	15.824	0.915378593
90	3385	9826528	44.26	1.536	-0.813347604
90	3385	216239	44.26	57.418	-1.298855693
90	3385	5329102	44.26	40.237	11.04960607
90	3385	5394	44.26	29.686	0.950183975
90	3385	5311	44.26	33.493	3.157476006
90	11960529	11977753	1.758	32.672	-32.31781962
90	11960529	46926350	1.758	23.952	-60.73848801
90	11960529	5288382	1.758	-0.451	0.306325166
90	11960529	11520894	1.758	3.478	-5.250577888
90	11960529	16224745	1.758	15.824	-3.79063135
90	11960529	71301229	1.758	16.372	-2.298745139
90	11960529	104842	1.758	8.113	-80.42957782
90	11960529	216239	1.758	57.418	-13.77100929
90	11960529	60700	1.758	41.425	-33.76777976
90	24856436	11960529	21.058	1.758	-43.42583102
90	24856436	11977753	21.058	32.672	3.795217848
90	24856436	387447	21.058	17.88	0.187576424
90	24856436	3062316	21.058	-3.786	-18.79322438
90	24856436	46926350	21.058	23.952	-1.337217928
90	24856436	176870	21.058	21.092	2.795662168
90	24856436	5288382	21.058	-0.451	-22.19428608
90	24856436	208908	21.058	10.376	7.11201189
90	24856436	24964624	21.058	26.995	8.404685381
90	24856436	24958200	21.058	6.606	0.122296504
90	24856436	24748204	21.058	16.516	4.843717142
90	24856436	11520894	21.058	3.478	8.535750341
90	24856436	16224745	21.058	15.824	13.53561898
90	24856436	71301229	21.058	16.372	-11.16901259
90	24856436	9826528	21.058	1.536	5.243725421
90	24856436	104842	21.058	8.113	3.852106645
90	24856436	216239	21.058	57.418	-2.963323313
90	24856436	60700	21.058	41.425	1.215558309
90	11977753	46926350	32.672	23.952	7.597274935
90	11977753	16224745	32.672	15.824	8.672879023
90	11977753	71301229	32.672	16.372	-0.869689223
90	11977753	104842	32.672	8.113	10.0438004
90	11977753	216239	32.672	57.418	4.380161722
90	387447	11960529	19.657	1.758	-48.54365306
90	387447	11977753	19.657	32.672	10.95840539
90	387447	3062316	19.657	-3.786	-58.62424537
90	387447	46926350	19.657	23.952	3.642446668
90	387447	5288382	19.657	-0.451	-52.18770889
90	387447	11520894	19.657	3.478	10.7280367
90	387447	16224745	19.657	15.824	2.654026718
90	387447	71301229	19.657	16.372	-9.72520797
90	387447	104842	19.657	8.113	8.331031504
