data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
49	248862	32874	-2.635	16.982	-36.21099641
49	248862	135401907	0.738	2.421	-1.83581979
49	248862	2141	6.77	1.159	2.969324837
49	248862	123608	11.543	11.915	-7.016081629
49	248862	2187	19.439	1.512	-0.426900448
49	248862	5284616	-4.906	-0.458	-1.457378809
49	248862	9444	2.861	13.474	-11.69552211
49	248862	5360373	5.16	17.162	-3.629343966
49	248862	387447	-2.166	2.621	-46.02588099
49	248862	2478	2.301	4.184	-2.877242873
49	248862	2578	-4.001	-6.625	-2.83069955
49	248862	354624	-1.998	8.791	-37.6773801
49	248862	441203	5.133	22.183	-3.269062542
49	248862	439693	12.37	1.191	-9.364590737
49	248862	2907	8.97	5.828	6.622442919
49	248862	3062316	1.792	1.401	-20.31948408
49	248862	148124	4.345	8.528	5.51400567
49	248862	24197464	-2.908	8.28	-9.279589281
49	248862	54611422	2.983	5.415	6.320152815
49	248862	176871	8.078	4.86	7.3000171
49	248862	104741	20.95	-0.396	-1.166363614
49	248862	3690	-2.047	-4.594	8.462650405
49	248862	57469	-4.392	-1.131	1.832456866
49	248862	6445540	10.323	41.693	-26.94393532
49	248862	208908	-4.319	-3.61	1.492655845
49	248862	5935	-5.736	15.878	-19.32169907
49	248862	4114	22.431	6.53	6.11512929
49	248862	5746	12.548	28.511	-11.69535882
49	248862	4211	17.384	-0.328	-1.079063887
49	248862	23615975	23.35	-1.815	-13.71615683
49	248862	451668	-5.407	18.96	-19.61086423
49	248862	21864423	0.462	23.789	-75.18295331
49	248862	54608520	-5.378	-0.243	-5.616740478
49	248862	36314	-0.287	16.186	-24.74984019
49	248862	4842	-4.017	10.089	-2.877201569
49	248862	148121	26.037	35.991	-2.819552955
49	248862	9703	2.886	-4.219	-9.342966821
49	248862	6239	-2.293	7.721	-26.33728315
49	248862	5352062	-7.686	21.99	-44.06489978
49	248862	104842	0.185	19.371	-48.15420067
49	248862	216239	5.142	-6.947	-1.629225214
49	248862	5329102	-2.842	-0.723	0.885174004
49	248862	5426	8.387	0.265	-2.582567629
49	248862	60699	8.154	11.706	-1.850050566
49	248862	5799	-3.186	22.454	-10.51462028
49	248862	5388983	21.852	-2.132	-2.916437394
49	248862	68740	2.745	2.818	-0.918523715
49	248862	5311	4.606	4.236	-1.778831175
49	43834572	248862	38.763	-3.749	-34.04060818
49	43834572	32874	35.44	16.982	-1.558327704
49	43834572	135401907	46.464	3.468	-14.99288325
49	43834572	2141	60.305	-1.873	-11.48274028
49	43834572	123608	48.9	9.067	0.163856402
49	43834572	2187	42.534	1.512	-16.41849894
49	43834572	5284616	40.285	-0.458	-14.82863511
49	43834572	9444	43.621	13.474	-7.648929857
49	43834572	77082	51.374	1.097	-4.654702578
49	43834572	5360373	43.69	17.162	-1.2535742
49	43834572	387447	65.586	30.45	-3.708400032
49	43834572	2478	39.94	2.86	-14.24799696
49	43834572	426756	47.31	9.624	-7.168888579
49	43834572	2578	64.336	0.607	-9.10514657
49	43834572	1546	45.808	37.926	-8.843417218
49	43834572	354624	39.476	8.791	-4.472195942
49	43834572	441203	35.548	10.063	-8.356898216
49	43834572	439693	60.524	6.327	-9.299934989
49	43834572	2907	47.852	0.157	-17.40867832
49	43834572	6252	41.973	36.99	-5.361690921
49	43834572	3062316	50.327	1.401	-6.848132255
49	43834572	148124	53.127	8.526	-5.110390566
49	43834572	24197464	64.606	20.031	-3.971351836
49	43834572	54611422	38.819	-2.935	-14.63372751
49	43834572	176871	56.021	4.32	-10.70444663
49	43834572	657237	48.812	21.753	-5.55047512
49	43834572	104741	34.423	-0.396	-11.76425226
49	43834572	3657	42.585	-2.719	-15.26856001
49	43834572	3690	42.685	-2.248	-16.04300206
49	43834572	5291	43.453	-7.517	-21.24972409
49	43834572	57469	65.182	-4.836	-10.19710502
49	43834572	6445540	49.733	55.739	-0.441560686
49	43834572	208908	51.334	-3.61	-8.52415857
49	43834572	5935	56.612	15.878	-10.83468671
49	43834572	667490	49.86	19.752	-0.93587064
49	43834572	4114	40.43	-3.117	-11.44056227
49	43834572	5746	47.687	32.488	-3.365480002
49	43834572	4211	39.854	-0.328	-16.24917304
49	43834572	644241	39.414	1.095	-20.64696765
49	43834572	23615975	38.624	-4.48	-12.79010532
49	43834572	451668	40.856	12.978	-9.50970791
49	43834572	21864423	36.258	23.789	-14.70344006
49	43834572	54608520	56.054	-0.243	-7.335734902
49	43834572	36314	47.08	16.186	-6.681450064
49	43834572	4842	47.284	16.551	0.045409284
49	43834572	163659	41.799	14.411	-1.566105953
49	43834572	148121	43.704	35.991	0.157767206
49	43834572	9703	50.201	-2.404	-8.857255841
49	43834572	6239	46.788	6.133	-4.859103911
49	43834572	5352062	45.627	21.99	-0.232620191
49	43834572	104842	46.391	19.371	1.568123333
49	43834572	216239	40.722	-6.947	-24.47092771
49	43834572	5329102	46.26	-0.723	-8.09673365
49	43834572	2733525	45.24	-1.156	-23.03119595
49	43834572	5394	46.153	-2.922	-19.4303297
49	43834572	5426	44.108	-4.368	-15.82429796
49	43834572	60699	61.742	26.373	-7.641556538
49	43834572	444795	48.389	-5.268	-17.0842607
49	43834572	5799	40.802	22.454	-6.690252985
49	43834572	5388983	35.019	-2.132	-6.571766533
49	43834572	5388992	47.177	16.597	-4.142145364
49	43834572	68740	43.303	2.821	-15.04439949
49	43834572	5311	42.71	4.236	-3.749732799
49	3385	248862	42.564	-2.117	-15.16744801
49	3385	43834572	53.785	60.14	-5.102687389
49	3385	2019	53.785	1.887	-8.467548761
49	3385	32874	53.785	29.218	-7.716410201
49	3385	135401907	53.785	0.432	-14.37704144
49	3385	2123	53.785	-4.655	-19.90726139
49	3385	2141	44.425	-1.465	-4.148756119
49	3385	123608	53.785	9.359	-9.425404317
49	3385	2187	53.785	-0.4	-10.5658868
49	3385	5284616	53.785	13.734	-14.07848306
49	3385	9444	53.785	-0.923	-13.10318822
49	3385	77082	53.785	-3.278	-15.98119491
49	3385	5360373	39.893	-1.75	2.489257481
49	3385	387447	53.785	-2.02	-10.79649959
49	3385	2478	53.785	-2.766	-11.62093792
49	3385	426756	53.785	2.461	-19.09765037
49	3385	2578	53.785	-3.569	-11.66978584
49	3385	2662	53.785	0.973	-16.11035485
49	3385	1546	53.785	3.462	-16.93315679
49	3385	354624	53.785	45.889	-12.82830176
49	3385	2708	53.785	17.189	-23.54071569
