data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
83	3385	11960529	16.271	5.13	-5.910053906
83	3385	24856436	16.271	55.435	-0.950997664
83	3385	11977753	16.271	65.46	-1.414707098
83	3385	387447	16.271	45.381	-4.645191203
83	3385	3062316	16.271	62.721	3.457016593
83	3385	46926350	16.271	40.941	-6.134397825
83	3385	176870	16.271	58.248	4.339185987
83	3385	5288382	16.271	3.487	-2.556984431
83	3385	216453	16.271	60.373	2.417136491
83	3385	208908	16.271	42.907	7.384973767
83	3385	24964624	16.271	65.968	0.358298016
83	3385	24958200	16.271	18.507	-5.380395693
83	3385	24748204	16.271	34.989	0.961780216
83	3385	11520894	16.271	26.868	4.311175844
83	3385	16224745	16.271	60.243	-1.468292868
83	3385	9826528	16.271	55.785	-0.762026992
83	3385	216239	16.271	45.719	-12.42449396
83	3385	5329102	16.271	62.379	3.439011415
83	3385	5394	16.271	2.127	-27.80572433
83	3385	5311	16.271	40.398	-4.245469932
83	11960529	11977753	5.13	65.46	-14.24100001
83	11960529	46926350	5.13	40.941	-26.67277069
83	11960529	5288382	5.13	3.487	-1.582393633
83	11960529	11520894	5.13	26.868	-18.60320898
83	11960529	16224745	5.13	60.243	-20.00636673
83	11960529	71301229	5.13	59.674	-29.59022434
83	11960529	104842	5.13	10.594	-37.11417092
83	11960529	216239	5.13	45.719	-8.581383023
83	11960529	60700	5.13	61.758	-35.35365853
83	24856436	11960529	55.434	5.13	-38.63631883
83	24856436	11977753	55.434	65.46	3.194978668
83	24856436	387447	55.434	45.381	-3.944069244
83	24856436	3062316	55.434	62.721	4.910604007
83	24856436	46926350	55.434	40.941	-6.183578667
83	24856436	176870	55.434	58.248	5.709022154
83	24856436	5288382	55.434	3.487	-7.372314631
83	24856436	208908	55.434	42.907	5.280174461
83	24856436	24964624	55.434	65.968	5.803919633
83	24856436	24958200	55.434	18.507	5.52848843
83	24856436	24748204	55.434	34.989	2.899627485
83	24856436	11520894	55.434	26.868	7.925658587
83	24856436	16224745	55.434	60.243	8.924462108
83	24856436	71301229	55.434	59.674	-2.196048612
83	24856436	9826528	55.434	55.785	2.832815333
83	24856436	104842	55.434	10.594	1.522551283
83	24856436	216239	55.434	45.719	-5.423317669
83	24856436	60700	55.434	61.758	-0.09260768
83	11977753	46926350	65.459	40.941	0.797445991
83	11977753	16224745	65.459	60.243	5.768685235
83	11977753	71301229	65.459	59.674	-1.281870869
83	11977753	104842	65.459	10.594	0.091976108
83	11977753	216239	65.459	45.719	0.452618103
83	387447	11960529	45.369	5.13	-4.55200419
83	387447	11977753	45.369	65.46	-0.359513648
83	387447	3062316	45.369	62.721	-0.58561849
83	387447	46926350	45.369	40.941	-5.656210872
83	387447	5288382	45.369	3.487	-2.782381439
83	387447	11520894	45.369	26.868	0.293986233
83	387447	16224745	45.369	60.243	-3.141338282
83	387447	71301229	45.369	59.674	-9.366070955
83	387447	104842	45.369	10.594	-1.724271269
83	387447	216239	45.369	45.719	-7.642197066
83	387447	60700	45.369	61.758	-4.857869753
83	426756	11960529	11.526	5.13	1.422640403
83	426756	24856436	11.526	55.435	-0.715457793
83	426756	11977753	11.526	65.46	5.143846276
83	426756	387447	11.526	45.381	-0.097682032
83	426756	3062316	11.526	62.721	4.134690089
83	426756	46926350	11.526	40.941	-4.537753994
83	426756	176870	11.526	58.248	4.448077582
83	426756	5288382	11.526	3.487	-1.925424608
83	426756	216453	11.526	60.373	-1.46968672
83	426756	208908	11.526	42.907	7.225332401
83	426756	24964624	11.526	65.968	-4.249138668
83	426756	24958200	11.526	18.507	-4.548923889
83	426756	24748204	11.526	34.989	-5.661378361
83	426756	11520894	11.526	26.868	5.070861811
83	426756	16224745	11.526	60.243	2.748332908
83	426756	9826528	11.526	55.785	-1.248763252
83	426756	216239	11.526	45.719	-18.62879185
83	426756	5329102	11.526	62.379	0.656492829
83	426756	5394	11.526	2.127	-13.64700449
83	426756	5311	11.526	40.398	-2.077049264
83	2907	11960529	-1.742	5.13	-2.795372891
83	2907	24856436	-1.742	55.435	-39.65976326
83	2907	11977753	-1.742	65.46	-16.38034376
83	2907	387447	-1.742	45.381	-53.04043214
83	2907	3062316	-1.742	62.721	-9.411575811
83	2907	46926350	-1.742	40.941	-46.48832912
83	2907	176870	-1.742	58.248	-21.15157874
83	2907	5288382	-1.742	3.487	-46.42804343
83	2907	216453	-1.742	60.373	-11.15440663
83	2907	208908	-1.742	42.907	-11.46200659
83	2907	24964624	-1.742	65.968	-15.44121941
83	2907	24958200	-1.742	18.507	-18.7817641
83	2907	24748204	-1.742	34.989	-33.37717289
83	2907	11520894	-1.742	26.868	-21.95039648
83	2907	16224745	-1.742	60.243	-20.00021048
83	2907	9826528	-1.742	55.785	-22.73408672
83	2907	216239	-1.742	45.719	-23.79449313
83	2907	5329102	-1.742	62.379	-16.81366562
83	2907	5394	-1.742	2.127	-2.766281441
83	2907	5311	-1.742	40.398	-39.02146588
83	3062316	11960529	62.72	5.13	-7.428399029
83	3062316	11977753	62.72	65.46	8.185037643
83	3062316	46926350	62.72	40.941	-4.499461791
83	3062316	5288382	62.72	3.487	2.351644648
83	3062316	11520894	62.72	26.868	7.295400518
83	3062316	16224745	62.72	60.243	6.054981642
83	3062316	71301229	62.72	59.674	1.931412539
83	3062316	104842	62.72	10.594	4.606307481
83	3062316	216239	62.72	45.719	2.17473119
83	3062316	60700	62.72	61.758	3.634608615
83	5743	11960529	18.361	5.13	-5.507016477
83	5743	24856436	18.361	55.435	-12.38197146
83	5743	11977753	18.361	65.46	-10.46035939
83	5743	387447	18.361	45.381	-5.016113999
83	5743	3062316	18.361	62.721	3.766736689
83	5743	46926350	18.361	40.941	-8.17488637
83	5743	176870	18.361	58.248	-12.59226624
83	5743	5288382	18.361	3.487	-10.24914814
83	5743	216453	18.361	60.373	-9.853266004
83	5743	208908	18.361	42.907	0.909087157
83	5743	24964624	18.361	65.968	0.300921215
83	5743	24958200	18.361	18.507	5.000069835
83	5743	24748204	18.361	34.989	-2.118394815
83	5743	11520894	18.361	26.868	13.54148688
83	5743	16224745	18.361	60.243	-2.609621474
83	5743	9826528	18.361	55.785	-17.17308672
83	5743	216239	18.361	45.719	-3.270422192
83	5743	5329102	18.361	62.379	-8.394790618
83	5743	5394	18.361	2.127	-6.400298238
83	5743	5311	18.361	40.398	-3.802226667
83	46926350	16224745	40.94	60.243	-3.311262254
83	31703	11960529	68.672	5.13	-27.14240494
83	31703	24856436	68.672	55.435	4.16754885
83	31703	11977753	68.672	65.46	3.473829819
83	31703	387447	68.672	45.381	-0.827606676
83	31703	3062316	68.672	62.721	7.198814279
83	31703	46926350	68.672	40.941	-0.265143893
83	31703	176870	68.672	58.248	6.343517512
83	31703	5288382	68.672	3.487	-6.111433724
83	31703	216453	68.672	60.373	-4.478336138
83	31703	208908	68.672	42.907	-0.697601376
83	31703	24964624	68.672	65.968	2.640752957
83	31703	24958200	68.672	18.507	-3.077340885
83	31703	24748204	68.672	34.989	-7.358419269
83	31703	11520894	68.672	26.868	2.860455889
83	31703	16224745	68.672	60.243	-1.364780439
83	31703	9826528	68.672	55.785	2.345008633
83	31703	216239	68.672	45.719	-9.699793746
83	31703	5329102	68.672	62.379	0.187744884
83	31703	5394	68.672	2.127	-31.12881626
83	31703	5311	68.672	40.398	3.248121701
83	176870	11960529	58.247	5.13	-18.84000516
83	176870	11977753	58.247	65.46	8.029821453
83	176870	387447	58.247	45.381	-2.260170213
83	176870	3062316	58.247	62.721	7.827394643
83	176870	46926350	58.247	40.941	0.150142599
83	176870	5288382	58.247	3.487	-3.725834435
83	176870	11520894	58.247	26.868	11.91930987
83	176870	16224745	58.247	60.243	5.127769558
83	176870	71301229	58.247	59.674	-1.003549073
83	176870	9826528	58.247	55.785	8.64303043
83	176870	104842	58.247	10.594	4.852458188
83	176870	216239	58.247	45.719	-4.089609948
83	176870	60700	58.247	61.758	7.88475751
83	36462	11960529	43.055	5.13	-28.87247005
83	36462	24856436	43.055	55.435	3.633637325
83	36462	11977753	43.055	65.46	0.0860839
83	36462	387447	43.055	45.381	-2.702564106
83	36462	3062316	43.055	62.721	10.10428767
83	36462	46926350	43.055	40.941	-0.126914224
83	36462	176870	43.055	58.248	9.064567696
83	36462	5288382	43.055	3.487	-4.34792137
83	36462	208908	43.055	42.907	12.36574226
83	36462	24964624	43.055	65.968	7.591414918
83	36462	24958200	43.055	18.507	1.042124596
83	36462	24748204	43.055	34.989	-0.178969964
83	36462	11520894	43.055	26.868	3.490533549
83	36462	16224745	43.055	60.243	5.206631861
83	36462	9826528	43.055	55.785	6.15687303
83	36462	216239	43.055	45.719	-7.089230061
83	36462	5329102	43.055	62.379	2.248788992
83	36462	5394	43.055	2.127	-45.49077233
83	36462	5311	43.055	40.398	2.575307987
83	5288382	11977753	3.416	65.46	1.287592993
83	5288382	46926350	3.416	40.941	-3.733476338
83	5288382	16224745	3.416	60.243	-2.062627053
83	5288382	71301229	3.416	59.674	-10.76508349
83	5288382	104842	3.416	10.594	-5.405047231
83	5288382	216239	3.416	45.719	-10.28829226
83	5288382	60700	3.416	61.758	-5.118795298
83	60750	11960529	81.258	5.13	-13.15345025
83	60750	24856436	68.5195	55.435	1.470295706
83	60750	11977753	81.258	65.46	1.582393043
83	60750	387447	81.258	45.381	-6.562723186
83	60750	3062316	81.258	62.721	8.370969846
83	60750	46926350	81.258	40.941	-4.170168617
83	60750	176870	81.258	58.248	4.817149969
83	60750	5288382	81.258	3.487	-7.331922793
83	60750	208908	81.258	42.907	-3.352325253
83	60750	24964624	81.258	65.968	2.957749043
83	60750	24958200	81.258	18.507	-7.388832641
83	60750	24748204	81.258	34.989	-2.429897271
83	60750	11520894	81.258	26.868	-5.708776596
83	60750	16224745	68.5195	60.243	6.048014216
83	60750	9826528	81.258	55.785	3.260063401
83	60750	216239	81.258	45.719	-5.99852835
83	60750	5329102	81.258	62.379	0.480319716
83	60750	5394	81.258	2.127	-10.9948565
83	216453	11960529	60.373	5.13	-7.644875208
83	216453	24856436	58.585	55.435	-2.02481773
83	216453	11977753	60.373	65.46	7.813892968
83	216453	387447	60.373	45.381	-2.226390859
83	216453	3062316	60.373	62.721	16.30081412
83	216453	46926350	60.373	40.941	-3.462703923
83	216453	176870	60.373	58.248	9.720823025
83	216453	36462	60.373	43.055	1.09050679
83	216453	5288382	60.373	3.487	1.827498856
83	216453	60750	60.373	81.332	1.30571453
83	216453	208908	60.373	42.907	9.859335826
83	216453	24964624	60.373	65.968	9.411485381
83	216453	24958200	60.373	18.507	2.514977522
83	216453	24748204	60.373	34.989	1.956707886
83	216453	11520894	58.585	26.868	7.770932567
83	216453	16224745	60.373	60.243	6.213650321
83	216453	71301229	60.373	59.674	-2.126149298
83	216453	9826528	60.373	55.785	6.424906019
83	216453	104842	60.373	10.594	2.088245036
83	216453	216239	60.373	45.719	-0.899564933
83	216453	5329102	60.373	62.379	5.368520979
83	216453	5394	60.373	2.127	-9.020577129
83	216453	60700	60.373	61.758	3.926480768
83	216453	5311497	60.373	56.11	0.254230755
83	216453	5311	60.373	40.398	5.833575503
83	208908	11960529	42.907	5.13	-3.691197027
83	208908	11977753	42.907	65.46	5.64596963
83	208908	387447	42.907	45.381	-2.089073311
83	208908	3062316	42.907	62.721	8.833837193
83	208908	46926350	42.907	40.941	-2.727379168
83	208908	176870	42.907	58.248	-1.203651494
83	208908	5288382	42.907	3.487	-1.85766646
83	208908	24964624	42.907	65.968	4.357164838
83	208908	24958200	42.907	18.507	11.40888687
83	208908	24748204	42.907	34.989	8.731189819
83	208908	11520894	42.907	26.868	15.07494965
83	208908	16224745	42.907	60.243	5.024428832
83	208908	71301229	42.907	59.674	-2.623889909
83	208908	9826528	42.907	55.785	13.90365091
83	208908	104842	42.907	10.594	7.326913167
83	208908	216239	42.907	45.719	-4.927828119
83	208908	60700	42.907	61.758	5.766208584
