data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
3	248862	32874	9.596	28.408	-10.94309072
3	248862	135401907	-4.506	-2.228	0.063143944
3	248862	2141	2.766	-0.854	0.949338125
3	248862	123608	-2.858	2.876	-5.078468838
3	248862	2187	25.308	0.591	-0.092110178
3	248862	5284616	-1.543	-0.168	1.305457631
3	248862	9444	-1.475	18.738	-36.62306594
3	248862	5360373	5.846	7.046	-32.74374216
3	248862	2478	0.557	6.238	-3.53584887
3	248862	2578	0.31	7.521	-2.150298034
3	248862	354624	-2.333	0.148	-0.319883856
3	248862	441203	6.568	19.273	-12.56337858
3	248862	439693	1.098	1.771	0.393915888
3	248862	2907	-0.721	-1.589	-1.723066631
3	248862	3062316	-2.076	2.318	-14.11472963
3	248862	148124	1.927	0.862	0.637055216
3	248862	24197464	3.013	30.446	-9.44170197
3	248862	54611422	1.878	4.323	-4.003726793
3	248862	176871	6.304	-0.086	-1.438911246
3	248862	104741	20.878	0.671	0.904856356
3	248862	3690	4.515	2.488	-1.736736477
3	248862	57469	-0.334	-1.623	0.680927738
3	248862	6445540	-0.263	48.309	-8.035778316
3	248862	208908	-5.559	0.441	-3.605983203
3	248862	5935	0.975	19.329	-33.63203877
3	248862	4114	-3.888	-0.468	-2.82901559
3	248862	5746	-0.308	35.121	-27.60640682
3	248862	4211	20.151	-0.447	-10.96985698
3	248862	23615975	-1.685	8.272	-4.601291551
3	248862	451668	5.683	10.695	-3.420138174
3	248862	21864423	9.415	29.802	-13.36449858
3	248862	54608520	-0.353	1.171	-4.861549841
3	248862	36314	0.389	7.056	-15.95180714
3	248862	4842	1.961	1.627	-2.877608817
3	248862	148121	19.048	70.115	-6.939249133
3	248862	9703	2.371	1.429	-0.546839393
3	248862	6239	-0.585	23.159	-40.36358468
3	248862	5352062	-3.185	13.732	-47.62227741
3	248862	104842	-3.193	19.843	-24.77854489
3	248862	216239	3.479	-5.639	-18.76036917
3	248862	5329102	-3.031	0.073	-3.737046149
3	248862	5426	0.903	1.565	-1.939992088
3	248862	60699	5.885	28.206	-10.05659518
3	248862	5799	8.495	19.504	-7.601644619
3	248862	5388983	22.807	-1.641	3.137270363
3	248862	68740	8.217	-0.896	0.694254848
3	248862	5311	-0.856	3.352	-10.3989685
3	43834572	248862	30.544	0.364	-26.18359047
3	43834572	32874	24.9515	28.408	-3.847808242
3	43834572	135401907	30.052	-1.535	-18.7290987
3	43834572	2141	15.43	-5.319	-15.65267206
3	43834572	123608	29.792	-1.316	-35.9127402
3	43834572	2187	21.96	0.591	-11.225671
3	43834572	5284616	28.389	-0.168	-8.808801552
3	43834572	9444	31.571	18.738	1.519583019
3	43834572	77082	29.83	-0.137	-43.21742081
3	43834572	5360373	26.332	7.046	-1.897030805
3	43834572	387447	20.537	39.98	-3.422332738
3	43834572	2478	27.417	1.865	-12.76718638
3	43834572	426756	21.202	-0.552	-4.196618345
3	43834572	2578	22.46	3.013	0.462320455
3	43834572	1546	18.794	29.845	-2.688759159
3	43834572	354624	30.561	0.148	-14.5560687
3	43834572	441203	32.103	19.446	-15.8899438
3	43834572	439693	20.052	-0.624	-13.32953346
3	43834572	2907	33.13	-0.128	-22.15061273
3	43834572	6252	23.9	27.741	2.765232992
3	43834572	3062316	21.716	2.318	0.117952049
3	43834572	148124	33.995	0.862	-9.758493836
3	43834572	24197464	21.764	29.38	4.902040784
3	43834572	54611422	22.134	-1.015	-12.91202345
3	43834572	176871	22.47	-1.355	-22.92996315
3	43834572	657237	23.909	0.64	-21.29385641
3	43834572	104741	19.821	0.671	-20.9919051
3	43834572	3657	29.45	1.833	-37.47854431
3	43834572	3690	27.401	-0.839	-28.18646095
3	43834572	5291	23.045	-0.296	-25.26099348
3	43834572	57469	24.603	6.364	-8.841414959
3	43834572	6445540	28.771	54.717	-4.183954138
3	43834572	208908	22.829	0.441	-28.40173371
3	43834572	5935	22.715	19.329	-0.505199281
3	43834572	667490	25.386	17.725	-1.505491536
3	43834572	4114	25.877	-2.682	-28.59201481
3	43834572	5746	32.149	31.119	1.717887735
3	43834572	4211	22.325	-0.447	-16.75877136
3	43834572	644241	31.103	-2.507	-25.04797782
3	43834572	23615975	24.091	3.467	-11.76924225
3	43834572	451668	27.164	10.321	0.109830116
3	43834572	21864423	25.569	29.802	-4.326761641
3	43834572	54608520	21.198	1.171	-8.424108976
3	43834572	36314	33.444	7.056	4.690962444
3	43834572	4842	29.37	8.757	-9.378273447
3	43834572	163659	23.712	18.621	-4.073704442
3	43834572	148121	25.648	70.115	-9.4567815
3	43834572	9703	28.572	-0.265	-26.52311391
3	43834572	6239	29.266	4.341	1.718357743
3	43834572	5352062	32.068	13.732	-1.103660696
3	43834572	104842	30.69	19.843	-2.661855205
3	43834572	216239	26.171	-5.639	-39.99648898
3	43834572	5329102	22	0.073	-19.79030116
3	43834572	2733525	21.944	1.528	-9.290753952
3	43834572	5394	22.981	-0.009	-28.49606641
3	43834572	5426	26.28	0.181	-32.46183535
3	43834572	60699	20.637	26.207	0.676166539
3	43834572	444795	21.012	-4.603	-22.29006503
3	43834572	5799	30.024	19.504	-22.33888137
3	43834572	5388983	23.533	-1.641	-9.35419652
3	43834572	5388992	21.833	6.26	-1.914704623
3	43834572	68740	27.471	-0.896	-21.60447915
3	43834572	5311	30.926	3.352	-7.898010842
3	3385	248862	30.122	0.129	-9.990138767
3	3385	43834572	32	42.808	-2.143955701
3	3385	11960529	15.257	-0.454	-10.7677663
3	3385	2019	32	-0.145	9.297859509
3	3385	32874	32	37.046	-6.799768632
3	3385	135401907	32	-2.365	-20.15569298
3	3385	2123	32	-3.807	-15.86499847
3	3385	2141	28.901	1.303	-15.01419673
3	3385	123608	32	-1.314	-17.54522591
3	3385	2187	32	-1.101	-2.507485827
3	3385	5284616	32	10.289	3.163895103
3	3385	9444	32	6.568	3.325726056
3	3385	24856436	15.257	28.182	5.069684126
3	3385	77082	32	-2.273	-12.86240531
3	3385	11977753	15.257	35.35	6.477455928
3	3385	5360373	28.627	-0.056	-3.126303891
3	3385	387447	18.6056	37.2098	-0.327079037
3	3385	2478	32	3.801	-4.982659708
3	3385	426756	32	9.246	-4.163797343
3	3385	2578	32	2.161	-5.734845272
3	3385	2662	32	0.085	-5.635570967
3	3385	1546	32	3.417	-2.513746241
3	3385	354624	32	19.521	-6.50796186
3	3385	2708	32	23.883	-5.660956552
3	3385	441203	32	-5.387	-8.760174273
3	3385	439693	32	-2.179	-6.968723766
3	3385	11626560	32	2.796	-0.210287066
3	3385	2907	32	1.817	-18.14144813
3	3385	6252	32	24.293	0.332233818
3	3385	3062316	18.697	7.5768	12.38406463
3	3385	46926350	15.257	45.156	-2.440964845
3	3385	148124	32	20.168	-6.999570998
3	3385	24197464	32	25.876	5.913353434
3	3385	54611422	32	-0.07	-21.72878457
3	3385	176870	15.257	3.43	6.243500947
3	3385	176871	32	-1.647	-6.258577982
3	3385	657237	32	0.578	-7.460127128
3	3385	104741	32	-0.222	-4.791837994
3	3385	5288382	15.257	56.564	1.196940622
3	3385	3657	32	-1.799	-10.3321574
3	3385	3690	32	-0.056	-22.55133702
3	3385	5291	32	-7.8	-2.337285384
3	3385	57469	32	-1.097	-5.537669397
3	3385	6445540	32	-0.974	0.147071601
3	3385	216453	15.257	25.076	5.811382052
3	3385	208908	18.6056	-2.1648	-4.273229675
3	3385	3902	32	-1.477	-5.556794316
3	3385	5935	32	7.644	-1.543125393
3	3385	9927978	32	10.141	0.385184653
3	3385	667490	32	9.794	-5.082806918
3	3385	126941	30.214	17.774	-10.10782094
3	3385	4114	32	0.504	-3.457571572
3	3385	5746	32	23.236	5.289228872
3	3385	4211	32	1.053	-3.139309465
3	3385	24964624	15.257	10.003	3.793246837
3	3385	24958200	15.257	36.791	0.557391624
3	3385	24748204	15.257	14.586	5.688879131
3	3385	11520894	15.257	14.206	6.54806117
3	3385	16224745	15.257	0.315	-1.109073629
3	3385	644241	32	-4.087	-0.867003094
3	3385	23615975	32	5.975	-4.136309754
3	3385	451668	32	21.489	2.164482836
3	3385	21864423	32	29.802	-6.958733743
3	3385	54608520	32	9.226	6.160422729
3	3385	36314	32	21.836	2.003043807
3	3385	9826528	15.257	66.018	0.425027451
3	3385	4842	33.231	2.79	-2.730442441
3	3385	163659	32	-1.305	3.179761955
3	3385	148121	32	3.256	0.252550718
3	3385	9703	32	-3.506	-8.166922771
3	3385	6239	32	11.633	6.424523219
3	3385	5352062	32	8.929	6.38730749
3	3385	104842	32	32.508	-2.529685468
3	3385	216239	18.6056	26.4378	-0.018431685
3	3385	5329102	18.6056	41.63	4.719273171
3	3385	2733525	32	-4.302	-7.548905427
3	3385	5394	18.6056	37.069	-6.383681202
3	3385	5426	32	0.441	-5.004015412
3	3385	2723601	31.662	13.41	-6.168095847
3	3385	5453	32	6.131	-0.037670221
3	3385	60699	32	19.162	-5.918076916
3	3385	444795	32	-5.204	-3.532022427
3	3385	42611257	32	-18.973	-7.258396495
3	3385	5388983	32	11.242	1.419639345
3	3385	5388992	28.576	16.307	-5.39466257
3	3385	68740	32	3.156	3.687936838
3	3385	5311	18.6056	16.8906	-2.947393842
3	132971	248862	-1.834	-0.747	-5.415356809
3	132971	43834572	-1.834	42.808	-3.6363123
3	132971	3385	-1.834	31.999	-5.693414753
3	132971	2019	-1.834	-0.145	28.65397531
3	132971	32874	-1.834	37.046	-17.55255661
3	132971	135401907	-1.834	-2.365	-9.083250453
3	132971	2123	-1.834	-3.807	-10.54352872
3	132971	2141	-1.834	0.276	-3.144796312
3	132971	123608	-1.834	-1.314	-5.743723844
3	132971	2187	-1.834	-1.101	-2.653981378
3	132971	5284616	-1.834	10.289	-1.916690955
3	132971	6450551	-1.834	-1.531	0.910418597
3	132971	9444	-1.834	6.568	-5.03647015
3	132971	77082	-1.834	-2.273	-6.731022931
3	132971	5360373	-1.834	2.115	-9.370490591
3	132971	387447	-1.834	5.709	-7.442054636
3	132971	2478	-1.834	3.801	-7.909766938
3	132971	9854073	-1.834	40.644	11.68185058
3	132971	426756	-1.834	9.246	0.958677459
3	132971	2578	-1.834	2.161	2.318504723
3	132971	2662	-1.834	0.085	-1.097009721
3	132971	1546	-1.834	3.417	-11.9617383
3	132971	354624	-1.834	19.521	-13.92531065
3	132971	2708	-1.834	23.883	-7.794477852
3	132971	441203	-1.834	-5.387	-7.789215922
3	132971	439693	-1.834	-2.179	1.032652572
3	132971	11626560	-1.834	2.796	5.024732782
3	132971	2907	-1.834	1.817	-8.64587716
3	132971	6252	-1.834	24.293	-24.69860398
3	132971	135398738	-1.834	-5.535	-5.692381789
3	132971	3062316	-1.834	5.508	-6.149048731
3	132971	62770	-1.834	22.426	-18.84710926
3	132971	71384	-1.834	19.884	0.636040654
3	132971	148124	-1.834	20.168	-22.17923661
3	132971	24197464	-1.834	25.876	-30.42416749
3	132971	54611422	-1.834	-0.07	-11.36315616
3	132971	176871	-1.834	-1.647	-8.13782962
3	132971	60198	-1.834	31.841	-9.283416793
3	132971	657237	-1.834	0.578	-4.720751522
3	132971	104741	-1.834	-0.222	-1.881253755
3	132971	123631	-1.834	3.533	-2.222877561
3	132971	3657	-1.834	4.026	3.499099026
3	132971	3690	-1.834	-0.056	-6.983838783
3	132971	5291	-1.834	-7.8	-4.929325896
3	132971	57469	-1.834	-1.097	-5.758321941
3	132971	6445540	-1.834	-0.974	7.79440636
3	132971	208908	-1.834	-4.976	-3.689111806
3	132971	216326	-1.834	5.079	-3.347515891
3	132971	3902	-1.834	-1.477	-3.033700928
3	132971	3950	-1.834	17.582	-3.758759991
3	132971	5935	-1.834	7.644	-1.465992308
3	132971	11683	-1.834	-2.241	-6.267926903
3	132971	9927978	-1.834	10.141	-3.673432583
3	132971	667490	-1.834	9.794	-16.02388422
3	132971	126941	-1.834	20.734	-17.08500775
3	132971	4114	-1.834	0.504	-7.284940557
3	132971	5746	-1.834	23.236	-2.744267458
3	132971	4211	-1.834	1.053	3.624551564
3	132971	4212	-1.834	36.656	-8.70911565
3	132971	60779	-1.834	23.84	-16.09086822
3	132971	644241	-1.834	-4.087	-3.959126306
3	132971	23615975	-1.834	5.975	-8.192096384
3	132971	451668	-1.834	21.489	-13.9057511
3	132971	36462	-1.834	31.244	-0.938610691
3	132971	21864423	-1.834	29.802	-23.66916889
3	132971	54608520	-1.834	9.226	-4.457569743
3	132971	36314	-1.834	21.836	-12.68036494
3	132971	11525740	-1.834	-13.028	-4.082024112
3	132971	135410875	-1.834	28.146	-0.293235876
3	132971	4842	-1.834	1.673	-3.147308222
3	132971	163659	-1.834	0.001	6.297458035
3	132971	148121	-1.834	3.256	-57.07420891
3	132971	9703	-1.834	-3.506	9.52823977
3	132971	6239	-1.834	11.633	1.020139916
3	132971	5035	-1.834	-2.525	-2.273132799
3	132971	5352062	-1.834	8.929	-30.27363845
3	132971	25126798	-1.834	-1.707	0.443990372
3	132971	104842	-1.834	32.508	-7.950326184
3	132971	216239	-1.834	1.581	1.010242317
3	132971	5329102	-1.834	-1.706	-2.439704381
3	132971	2733525	-1.834	-4.302	-3.032552471
3	132971	5394	-1.834	5.005	-2.415288314
3	132971	452548	-1.834	30.235	-11.57672387
3	132971	5426	-1.834	0.441	-1.013071927
3	132971	2723601	-1.834	13.367	-2.288047941
3	132971	5453	-1.834	6.131	-0.456739202
3	132971	60699	-1.834	19.162	-19.90653746
3	132971	444795	-1.834	-5.204	-7.356493201
3	132971	6194	-1.834	19.63	-5.106038035
3	132971	3081361	-1.834	-0.102	-1.479078686
3	132971	42611257	-1.834	-9.31	-11.16902918
3	132971	5388983	-1.834	11.242	-2.493139805
3	132971	5388992	-1.834	7.188	-14.72184462
3	132971	24776445	-1.834	-2.591	-3.708732056
3	132971	68740	-1.834	3.149	-5.829089713
3	132971	5311	-1.834	5.625	-6.072533764
3	11960529	11977753	-0.454	35.35	-49.43120415
3	11960529	46926350	-0.454	45.156	-46.14108317
3	11960529	5288382	-0.454	56.564	-38.23178806
3	11960529	11520894	-0.454	14.206	-14.2976412
3	11960529	16224745	-0.454	0.315	1.670336426
3	11960529	71301229	-0.454	41.278	-15.86743891
3	11960529	104842	-0.454	18.657	-52.30607197
3	11960529	216239	-0.454	32.652	1.821976487
3	11960529	60700	-0.454	64.401	-19.67720748
3	2019	248862	-1.454	0.364	-2.818737535
3	2019	43834572	14.747	24.358	-3.032604861
3	2019	32874	3.3025	28.408	1.46477126
3	2019	135401907	22.703	-1.535	-45.22657148
