MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
2266	54761306	23725625	0.019181457	0.037231684
2266	24856436	23725625	-0.069364677	-0.031616556
2266	24856436	54761306	-0.051900603	0.008205218
2266	16007391	23725625	0.014408048	0.024384288
2266	16007391	54761306	-0.025847193	-0.01150987
2266	16007391	24856436	-0.037269078	-0.014772368
2266	118502708	24856436	-0.022903447	0.000729894
2266	135151360	23725625	-0.022069139	-0.007301049
2266	118502708	54761306	-0.031274595	-0.019253498
2266	118502708	16007391	-0.040941683	-0.030759486
2266	135151360	24856436	-0.079016126	-0.024838163
2266	135151360	118502708	0.033793319	0.044578611
2266	135151360	54761306	-0.002136604	0.033961899
2266	135151360	16007391	-0.017236429	0.001326625
2266	46700756	23725625	-0.03116175	-0.005282437
2266	46700756	54761306	-0.02424738	0.028533564
2266	46700756	24856436	-0.029550634	0.039018361
2266	46700756	118502708	-0.03869491	-0.019571877
2266	46700756	135151360	-0.0140675	0.01062205
2266	46700756	104842	-0.029354059	0.014108033
2266	104842	23725625	0.030088541	0.045534257
2266	31703	135151360	0.034954884	0.057468332
2266	90132565	23725625	-0.021063899	-0.011436146
2266	104842	118502708	-0.064779744	-0.04774175
2266	3082962	23725625	-0.035783226	-0.028012879
2266	131634760	24856436	-0.019749091	0.003379179
2266	131634760	118502708	-0.010034732	0.001941964
2266	131634760	54761306	-0.004590477	0.021156435
2266	131634760	16007391	-0.020236603	-0.001524424
2266	131634760	135151360	-0.037777908	-0.012800486
2266	131634760	25227436	0.020292261	0.032660472
2266	131634760	52913813	-0.000624372	0.01582702
2266	131634760	10127622	0.019636767	0.03697518
2266	131634760	49846579	-0.026033838	-0.014334449
2266	86661883	54761306	-0.045352325	-0.001738881
2266	86661883	24856436	0.005961773	0.049458564
2266	86661883	118502708	-0.029390779	-0.014265905
2266	86661883	25227436	-0.012236186	0.012327568
2266	86661883	16007391	0.014612328	0.027352285
2266	86661883	135151360	-0.028842782	-0.003456182
2266	86661883	10127622	-0.000766272	0.044753234
2266	86661883	52913813	-0.031957839	0.006606714
2266	49846579	54761306	-0.039520087	-0.018506273
2266	49846579	24856436	-0.016523962	0.001314571
2266	49846579	16007391	-0.043713947	-0.030309638
2266	49846579	118502708	-0.016863488	-0.007627521
2266	49846579	135151360	-0.054266217	-0.03748261
2266	49846579	25227436	-0.013448771	0.004816895
2266	49846579	52913813	0.013497407	0.02562216
2266	11707110	51001932	0.093885713	0.164847221
2266	49846579	24771867	0.028832563	0.049064996
2266	49846579	10127622	-0.051249535	-0.036325424
2266	46700756	104842	0.066533409	0.108002207
2266	25227436	16007391	-0.0179379713608387	0.0168262151171222
2266	25227436	54761306	0.005844759217634	0.0502467077602431
2266	25227436	126689157	-0.0492814334268207	-0.0256887740995264
2266	25227436	118693659	0.0517449156847994	0.0870171616282341
2266	25227436	5330286	-0.0025775160291355	0.0361484742103566
2266	25227436	10127622	0.0582740541852796	0.110182609316376
2266	5330286	131634760	-0.0376311719802326	-0.0152550950922756
2266	5330286	49846579	-0.0323818940260438	-0.0177622862413728
2266	208908	11626560	-0.0052244055992298	0.0419544333094221
2266	3062316	11707110	0.0891031512870975	0.184140466552232
2266	5330286	10127622	0.0019861380141016	0.027165496232175
2266	208908	24964624	0.0100623479487307	0.0513405564774469
2266	118693659	24856436	-0.0444841137999473	0.0329290677858674
2266	118693659	131634760	-0.0249237076597441	0.0011729285886914
2266	118693659	54761306	0.0091171697482579	0.0522836015004058
2266	118693659	16007391	-0.000433596788794711	0.0228552640309814
2266	118693659	49846579	0.0205298519398999	0.0465455481034263
2266	118693659	10127622	0.0261306182469774	0.100319366605565
2266	68289010	131634760	-0.0234489812812222	-0.0066185384099258
2266	68289010	49846579	-0.0793889669898988	-0.0570838166285758
2266	10127622	54761306	0.0708989110687356	0.111251956797197
2266	10127622	16007391	0.0198830349011181	0.0442380623433514
2266	123631	126689157	-0.0621636077336604	-0.0341157888293508
2266	10127622	24856436	0.0099152272928509	0.0772862722694167
2266	10127622	126689157	0.0194210327281406	0.0420248496450038
2266	54761306	60749	0.104117799429409	0.145445055664022
2266	24856436	60749	-0.0067735846302563	0.0659730317777812
2266	72165232	60749	0.0947594562383513	0.142347181273847
2266	52913813	25227436	-0.0327028113344236	0.021778716699041
2266	52913813	5330286	0.0700590712109258	0.0984380595809218
2266	131634760	60749	-0.0176281472602666	0.0061890376159025
2266	86661883	36314	0.0736069828276376	0.144896682390119
2266	131634760	36314	-0.0690814749519985	-0.047547095516826
2266	23725625	86661883	-0.0646646816059231	-0.0389063923618634
2266	23725625	118693659	-0.0083875911021439	0.0163335587036702
2266	23725625	131634760	-0.0657900440624941	-0.046595718993182
2266	23725625	49846579	-0.0412935398914436	-0.0236307119422615
2266	54761306	10339178	-0.0239140433412528	0.0082099647759994
2266	131634760	208908	-0.010603714394504	0.0328597505943028
2266	135151360	36462	0.0811117096133954	0.132619454463449
2266	86661883	208908	-0.034757923080554	0.0269505279160903
2266	24856436	104842	-0.0581173553844035	0.0358091220531976
