MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
306	54761306	23725625	0.003740256	0.026332425
306	24856436	23725625	-0.034460076	-0.004145473
306	24856436	54761306	-0.01623417	0.068874938
306	16007391	23725625	-0.034511016	-0.017025853
306	16007391	54761306	-0.142168956	-0.128511222
306	16007391	24856436	-0.022321666	-0.008078447
306	118502708	24856436	-0.020325437	0.016262047
306	135151360	23725625	-0.070255024	-0.043442655
306	118502708	54761306	0.006161864	0.048934678
306	118502708	16007391	-0.000148521	0.013328812
306	54761306	23725625	-0.020441438	0.001557497
306	24856436	23725625	-0.02809268	0.012352883
306	24856436	54761306	-0.026115083	0.057742479
306	16007391	23725625	-0.055913877	-0.037294899
306	16007391	54761306	-0.066039917	-0.050380421
306	16007391	24856436	-0.123931337	-0.108109506
306	118502708	24856436	-0.086247507	-0.034434441
306	135151360	23725625	-0.006104281	0.009409297
306	118502708	54761306	-0.04431468	0.008193456
306	118502708	16007391	0.009546098	0.02388411
306	135151360	24856436	-0.065794048	0.000707523
306	135151360	118502708	-0.025193218	0.005843242
306	135151360	54761306	-0.001539438	0.038808815
306	135151360	16007391	-0.012787672	0.00720368
306	46700756	23725625	-0.1286636	-0.099393024
306	46700756	54761306	-0.022554645	0.049590802
306	46700756	24856436	0.028034881	0.10746268
306	46700756	118502708	0.011577014	0.044078637
306	46700756	135151360	-0.026963303	0.017458023
306	46700756	104842	-0.103754018	-0.032753772
306	104842	23725625	0.086710682	0.10519759
306	31703	135151360	-0.007126059	0.030991452
306	90132565	23725625	-0.045023932	-0.034473498
306	104842	118502708	0.013540808	0.040894717
306	3082962	23725625	-0.021164631	-0.011941744
306	135151360	24856436	-0.012335923	0.047110736
306	135151360	118502708	-0.053059056	-0.024102297
306	135151360	54761306	-0.005810165	0.035658571
306	135151360	16007391	-0.012574511	0.006289327
306	46700756	23725625	-0.102205249	-0.079553599
306	46700756	54761306	-0.029605483	0.042810761
306	46700756	24856436	0.026853933	0.107419806
306	46700756	118502708	0.038751309	0.063102967
306	46700756	135151360	-0.068740141	-0.012700606
306	46700756	104842	-0.108174486	-0.039612049
306	104842	23725625	0.055567928	0.069279224
306	31703	135151360	0.010526546	0.050678069
306	90132565	23725625	-0.045495133	-0.034924341
306	104842	118502708	0.051894965	0.080794158
306	3082962	23725625	-0.027230028	-0.016471108
306	135151360	24856436	-0.067554649	0.000731054
306	135151360	118502708	-0.046854521	-0.017451539
306	135151360	54761306	-0.010334313	0.033067501
306	135151360	16007391	-0.011064179	0.013196286
306	46700756	23725625	-0.142830196	-0.119893052
306	46700756	54761306	-0.064073883	0.007866322
306	46700756	24856436	-0.015819226	0.062488804
306	46700756	118502708	-0.01779826	0.012050842
306	46700756	135151360	-0.082919327	-0.03570959
306	46700756	104842	-0.11747517	-0.048916436
306	104842	23725625	0.034964227	0.048566035
306	31703	135151360	0.018698407	0.050794699
306	90132565	23725625	-0.046668307	-0.037239666
306	104842	118502708	-0.004893213	0.020410968
306	3082962	23725625	-0.046274441	-0.03424026
306	131634760	24856436	-0.063960367	-0.031188229
306	131634760	118502708	-0.000523538	0.021269037
306	131634760	54761306	-0.032991798	0.007310242
306	131634760	16007391	-0.025705409	-0.005505785
306	131634760	135151360	-0.035576954	0.00035077
306	131634760	25227436	-0.069003215	-0.0379413
306	131634760	52913813	0.000475952	0.025800357
306	131634760	10127622	0.00737117	0.034934009
306	131634760	49846579	-0.021708479	-0.008779398
306	86661883	54761306	-0.035546937	-0.017100402
306	86661883	24856436	0.009311464	0.046630976
306	86661883	118502708	-0.062235941	-0.040168415
306	86661883	25227436	-0.071031519	-0.035407218
306	86661883	16007391	-0.027831209	-0.013095428
306	86661883	135151360	0.019459587	0.03856803
306	86661883	10127622	-0.008809557	0.038333121
306	86661883	52913813	0.037638964	0.089727884
306	49846579	54761306	-0.055598899	-0.022462129
306	49846579	24856436	-0.044750203	-0.023978182
306	49846579	16007391	-0.03590445	-0.017786439
306	49846579	118502708	-0.01473215	0.005925748
306	49846579	135151360	-0.052550618	-0.020708013
306	49846579	25227436	-0.041866886	-0.012799186
306	49846579	52913813	0.026771845	0.046518452
306	11707110	51001932	0.002738535	0.085264133
306	49846579	24771867	-0.054727746	-0.03432787
306	49846579	10127622	-0.062125993	-0.041194223
306	46700756	104842	-0.041713942	0.042655029
306	86661883	10127622	0.030989776	0.071047922
306	86661883	52913813	0.035522276	0.083340362
306	49846579	54761306	-0.090142057	-0.049856793
306	49846579	24856436	-0.088910255	-0.070238819
