data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
92	3385	11960529	25.762	13.359	-3.943164979
92	3385	24856436	25.762	35.468	3.854975753
92	3385	11977753	25.762	34.777	6.318398978
92	3385	387447	25.762	48.82	-2.049227772
92	3385	3062316	25.762	43.79	10.42679324
92	3385	46926350	25.762	52.901	-2.892689375
92	3385	176870	25.762	18.15	9.479593123
92	3385	5288382	25.762	39.79	1.117218183
92	3385	216453	25.762	21.698	-1.452766968
92	3385	208908	25.762	11.177	4.025876392
92	3385	24964624	25.762	17.709	5.480581362
92	3385	24958200	25.762	11.473	-1.690058551
92	3385	24748204	25.762	39.742	2.019004097
92	3385	11520894	25.762	15.951	7.059258936
92	3385	16224745	25.762	29.495	7.328660081
92	3385	9826528	25.762	21.222	7.52229703
92	3385	216239	25.762	72.074	-0.304443559
92	3385	5329102	25.762	50.517	9.297005876
92	3385	5394	25.762	33.756	-0.141455844
92	3385	5311	25.762	57.797	-8.530696421
92	11960529	11977753	13.358	34.777	3.299143694
92	11960529	46926350	13.358	52.901	-2.608070242
92	11960529	5288382	13.358	39.79	-1.921718766
92	11960529	11520894	13.358	15.951	-0.728780192
92	11960529	16224745	13.358	29.495	-1.288208803
92	11960529	71301229	13.358	5.598	-9.786577425
92	11960529	104842	13.358	23.566	1.357330232
92	11960529	216239	13.358	72.074	-2.121964982
92	11960529	60700	13.358	70.388	-23.58212057
92	24856436	11960529	35.468	13.359	-16.03641331
92	24856436	11977753	35.468	34.777	4.160538253
92	24856436	387447	35.468	48.82	-6.697353143
92	24856436	3062316	35.468	43.79	6.871269276
92	24856436	46926350	35.468	52.901	-4.148379733
92	24856436	176870	35.468	18.15	0.733891318
92	24856436	5288382	35.468	39.79	-3.479133349
92	24856436	208908	35.468	11.177	4.268161572
92	24856436	24964624	35.468	17.709	7.503965011
92	24856436	24958200	35.468	11.473	-6.437590703
92	24856436	24748204	35.468	39.742	-2.180504262
92	24856436	11520894	35.468	15.951	10.11918301
92	24856436	16224745	35.468	29.495	12.96397855
92	24856436	71301229	35.468	5.598	-9.709834592
92	24856436	9826528	35.468	21.222	8.710905908
92	24856436	104842	35.468	23.566	1.63375444
92	24856436	216239	35.468	72.074	3.154739339
92	24856436	60700	35.468	70.388	4.591878694
92	11977753	46926350	34.777	52.901	-0.50555953
92	11977753	16224745	34.777	29.495	10.4755706
92	11977753	71301229	34.777	5.598	1.31587015
92	11977753	104842	34.777	23.566	-1.400539213
92	11977753	216239	34.777	72.074	11.11103239
92	387447	11960529	48.818	13.359	-2.617036899
92	387447	11977753	48.818	34.777	-1.067755832
92	387447	3062316	48.818	43.79	0.969583172
92	387447	46926350	48.818	52.901	-5.084578682
92	387447	5288382	48.818	39.79	-1.154248999
92	387447	11520894	48.818	15.951	-6.680323572
92	387447	16224745	48.818	29.495	-3.858671038
92	387447	71301229	48.818	5.598	-12.0410541
92	387447	104842	48.818	23.566	-0.598056781
92	387447	216239	48.818	72.074	-0.67564432
92	387447	60700	48.818	70.388	-3.517530807
92	426756	11960529	10.403	13.359	-2.429977765
92	426756	24856436	10.403	35.468	1.016528277
92	426756	11977753	10.403	34.777	3.177107142
92	426756	387447	10.403	48.82	-4.13650435
92	426756	3062316	10.403	43.79	8.114858792
92	426756	46926350	10.403	52.901	-5.656512076
92	426756	176870	10.403	18.15	1.338552364
92	426756	5288382	10.403	39.79	-4.831638161
92	426756	216453	10.403	21.698	1.225309725
92	426756	208908	10.403	11.177	0.817922949
92	426756	24964624	10.403	17.709	3.533239418
92	426756	24958200	10.403	11.473	1.263682617
92	426756	24748204	10.403	39.742	-5.118168258
92	426756	11520894	10.403	15.951	7.414697804
92	426756	16224745	10.403	29.495	0.596094919
92	426756	9826528	10.403	21.222	-4.217456249
92	426756	216239	10.403	72.074	-2.779350675
92	426756	5329102	10.403	50.517	7.318688916
92	426756	5394	10.403	33.756	-5.526536192
92	426756	5311	10.403	57.797	-10.08520466
92	2907	11960529	2.009	13.359	-7.51153889
92	2907	24856436	2.009	35.468	-32.07650113
92	2907	11977753	2.009	34.777	-22.45919701
92	2907	387447	2.009	48.82	-26.83628532
92	2907	3062316	2.009	43.79	-0.695143691
92	2907	46926350	2.009	52.901	-46.57696765
92	2907	176870	2.009	18.15	-16.30755308
92	2907	5288382	2.009	39.79	-22.24971192
92	2907	216453	2.009	21.698	-3.157856634
92	2907	208908	2.009	11.177	-21.80724997
92	2907	24964624	2.009	17.709	-16.73053926
92	2907	24958200	2.009	11.473	-5.406099982
92	2907	24748204	2.009	39.742	-12.02137101
92	2907	11520894	2.009	15.951	0.898010615
92	2907	16224745	2.009	29.495	-8.675641083
92	2907	9826528	2.009	21.222	-40.80137969
92	2907	216239	2.009	72.074	-9.066793107
92	2907	5329102	2.009	50.517	-17.75041364
92	2907	5394	2.009	33.756	-3.479959597
92	2907	5311	2.009	57.797	-32.27422169
92	3062316	11960529	43.79	13.359	3.746559645
92	3062316	11977753	43.79	34.777	17.69501035
92	3062316	46926350	43.79	52.901	-0.090235652
92	3062316	5288382	43.79	39.79	1.674011286
92	3062316	11520894	43.79	15.951	11.13699432
92	3062316	16224745	43.79	29.495	16.98850967
92	3062316	71301229	43.79	5.598	4.049481878
92	3062316	104842	43.79	23.566	1.772097619
92	3062316	216239	43.79	72.074	10.01320449
92	3062316	60700	43.79	70.388	9.435719846
92	5743	11960529	1.585	13.359	-7.057929515
92	5743	24856436	1.585	35.468	-54.94746362
92	5743	11977753	1.585	34.777	-24.68627514
92	5743	387447	1.585	48.82	-48.24976532
92	5743	3062316	1.585	43.79	-6.682534316
92	5743	46926350	1.585	52.901	-45.51941878
92	5743	176870	1.585	18.15	-28.06363619
92	5743	5288382	1.585	39.79	-18.70784402
92	5743	216453	1.585	21.698	0.009283991
92	5743	208908	1.585	11.177	-20.74092185
92	5743	24964624	1.585	17.709	-18.46575801
92	5743	24958200	1.585	11.473	-4.025162482
92	5743	24748204	1.585	39.742	-34.5331057
92	5743	11520894	1.585	15.951	-9.462483334
92	5743	16224745	1.585	29.495	-18.03887084
92	5743	9826528	1.585	21.222	-45.22358281
92	5743	216239	1.585	72.074	-8.654964982
92	5743	5329102	1.585	50.517	-19.61758551
92	5743	5394	1.585	33.756	-5.406260379
92	5743	5311	1.585	57.797	-37.17162794
92	46926350	16224745	52.9	29.495	-4.476399519
92	31703	11960529	81.431	13.359	-19.51042157
92	31703	24856436	81.431	35.468	-1.557810523
92	31703	11977753	81.431	34.777	-0.893060369
92	31703	387447	81.431	48.82	-4.064252175
92	31703	3062316	81.431	43.79	1.324003473
92	31703	46926350	81.431	52.901	-2.120827702
92	31703	176870	81.431	18.15	-0.916673253
92	31703	5288382	81.431	39.79	-1.056128627
92	31703	216453	81.431	21.698	-24.04153094
92	31703	208908	81.431	11.177	-2.255610359
92	31703	24964624	81.431	17.709	3.173435696
92	31703	24958200	81.431	11.473	-23.70744472
92	31703	24748204	81.431	39.742	-5.346311135
92	31703	11520894	81.431	15.951	0.754613522
92	31703	16224745	81.431	29.495	-12.93494857
92	31703	9826528	81.431	21.222	1.225765716
92	31703	216239	81.431	72.074	-3.499166214
92	31703	5329102	81.431	50.517	-0.028442688
92	31703	5394	81.431	33.756	-5.15479563
92	31703	5311	81.431	57.797	-7.082966146
92	176870	11960529	18.15	13.359	-1.584584726
92	176870	11977753	18.15	34.777	8.698512385
92	176870	387447	18.15	48.82	-3.623766381
92	176870	3062316	18.15	43.79	16.8991136
92	176870	46926350	18.15	52.901	-2.466659727
92	176870	5288382	18.15	39.79	0.765262405
92	176870	11520894	18.15	15.951	9.739357674
92	176870	16224745	18.15	29.495	4.766369136
92	176870	71301229	18.15	5.598	-10.62019914
92	176870	9826528	18.15	21.222	4.585018612
92	176870	104842	18.15	23.566	2.738815174
92	176870	216239	18.15	72.074	3.682989905
92	176870	60700	18.15	70.388	9.055790476
92	36462	11960529	54.91	13.359	-0.810292118
92	36462	24856436	54.91	35.468	-0.713966615
92	36462	11977753	54.91	34.777	2.724244558
92	36462	387447	54.91	48.82	-2.985858949
92	36462	3062316	54.91	43.79	5.402637487
92	36462	46926350	54.91	52.901	-1.965882172
92	36462	176870	54.91	18.15	3.267039525
92	36462	5288382	54.91	39.79	1.026297367
92	36462	208908	54.91	11.177	1.42046801
92	36462	24964624	54.91	17.709	7.22800568
92	36462	24958200	54.91	11.473	1.527675324
92	36462	24748204	54.91	39.742	-0.156396763
92	36462	11520894	54.91	15.951	4.822160161
92	36462	16224745	54.91	29.495	0.021470241
92	36462	9826528	54.91	21.222	3.854648564
92	36462	216239	54.91	72.074	0.961781979
92	36462	5329102	54.91	50.517	6.146404735
92	36462	5394	54.91	33.756	0.576369049
92	36462	5311	54.91	57.797	-4.536962551
92	5288382	11977753	39.789	34.777	1.649135421
92	5288382	46926350	39.789	52.901	-2.473975858
92	5288382	16224745	39.789	29.495	1.611900399
92	5288382	71301229	39.789	5.598	-6.343635472
92	5288382	104842	39.789	23.566	4.576713225
92	5288382	216239	39.789	72.074	1.350733135
92	5288382	60700	39.789	70.388	1.749701255
92	60750	11960529	83.471	13.359	-4.26778335
92	60750	24856436	70.9165	35.468	3.043477167
92	60750	11977753	83.471	34.777	5.696768121
92	60750	387447	83.471	48.82	-2.896655163
92	60750	3062316	83.471	43.79	6.127247903
92	60750	46926350	83.471	52.901	-2.60674695
92	60750	176870	83.471	18.15	3.934002053
92	60750	5288382	83.471	39.79	5.65399446
92	60750	208908	83.471	11.177	-0.643173104
92	60750	24964624	83.471	17.709	5.564535917
92	60750	24958200	83.471	11.473	-8.418267725
92	60750	24748204	83.471	39.742	1.124606855
92	60750	11520894	83.471	15.951	-0.466236978
92	60750	16224745	70.9165	29.495	11.45928579
92	60750	9826528	83.471	21.222	9.369082614
92	60750	216239	83.471	72.074	1.603381452
92	60750	5329102	83.471	50.517	7.121145118
92	60750	5394	83.471	33.756	3.630319969
92	216453	11960529	21.686	13.359	8.098279964
92	216453	24856436	20.9385	35.468	-48.47054324
92	216453	11977753	21.686	34.777	-3.724432044
92	216453	387447	21.686	48.82	-29.47808739
92	216453	3062316	21.686	43.79	14.28403924
92	216453	46926350	21.686	52.901	-33.75198257
92	216453	176870	21.686	18.15	-4.128277191
92	216453	36462	21.686	54.91	-25.02862376
92	216453	5288382	21.686	39.79	-17.997425
92	216453	60750	21.686	83.451	-2.479688534
92	216453	208908	21.686	11.177	3.004887678
92	216453	24964624	21.686	17.709	7.48474387
92	216453	24958200	21.686	11.473	5.638879021
92	216453	24748204	21.686	39.742	-8.960199833
92	216453	11520894	20.9385	15.951	9.640463341
92	216453	16224745	21.686	29.495	-7.235276435
92	216453	71301229	21.686	5.598	-5.419248352
92	216453	9826528	21.686	21.222	-9.859113328
92	216453	104842	21.686	23.566	-40.34268879
92	216453	216239	21.686	72.074	1.995574385
92	216453	5329102	21.686	50.517	1.68007315
92	216453	5394	21.686	33.756	11.72470973
92	216453	60700	21.686	70.388	-7.585270094
92	216453	5311497	21.686	49.171	-22.31032477
92	216453	5311	21.686	57.797	-33.27123371
92	208908	11960529	11.19	13.359	-6.589091382
92	208908	11977753	11.19	34.777	8.583027982
92	208908	387447	11.19	48.82	-2.90259006
92	208908	3062316	11.19	43.79	10.11676722
92	208908	46926350	11.19	52.901	-4.41288846
92	208908	176870	11.19	18.15	2.851308403
92	208908	5288382	11.19	39.79	0.80869429
92	208908	24964624	11.19	17.709	-0.09282682
92	208908	24958200	11.19	11.473	0.756874025
92	208908	24748204	11.19	39.742	-1.951646968
92	208908	11520894	11.19	15.951	-1.439571825
92	208908	16224745	11.19	29.495	0.724145396
92	208908	71301229	11.19	5.598	-9.470629357
92	208908	9826528	11.19	21.222	14.19592466
92	208908	104842	11.19	23.566	-0.533477913
