data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
52	248862	32874	0.753	2.873	-18.13033246
52	248862	135401907	-6.53	3.828	-6.99901019
52	248862	2141	-13.651	-2.89	1.458494113
52	248862	123608	3.262	-0.217	0.793423453
52	248862	2187	4.049	0.737	1.830175903
52	248862	5284616	-1.985	3.354	-10.69253231
52	248862	9444	-1.294	1.574	1.368317159
52	248862	5360373	-1.437	0.921	-5.309387595
52	248862	387447	-2.125	4.567	-41.6865384
52	248862	2478	-1.234	1.973	-3.016357582
52	248862	2578	-3.546	0.625	-3.090753547
52	248862	354624	-2.317	3.089	-5.443155155
52	248862	441203	6.512	9.591	-7.590995684
52	248862	439693	-5.192	-2.608	0.378722559
52	248862	2907	2.718	0.44	-0.715854471
52	248862	3062316	5.114	2.627	-5.37693604
52	248862	148124	-3.109	-2.01	0.03171963
52	248862	24197464	1.933	-0.368	-4.076697397
52	248862	54611422	-4.085	2.596	-10.42983924
52	248862	176871	-7.54	6.194	-13.45590808
52	248862	104741	5.544	-1.739	-0.741508977
52	248862	3690	4.983	-1.064	0.036424013
52	248862	57469	0.807	-0.71	-0.883022878
52	248862	6445540	-2.318	11.555	-14.77453447
52	248862	208908	-1.544	8.468	-7.800014285
52	248862	5935	-10.787	0.312	-12.25426918
52	248862	4114	0.17	1.797	1.611102161
52	248862	5746	2.606	6.8	-4.407795076
52	248862	4211	11.904	-0.519	-0.913760176
52	248862	23615975	4.579	0.08	-0.381946988
52	248862	451668	-9.086	3.279	-8.577395709
52	248862	54608520	4.132	-3.224	2.162711707
52	248862	36314	-1.068	4.164	-33.62195529
52	248862	4842	-3.72	4.669	-5.614501349
52	248862	148121	2.85	3.391	-0.062196366
52	248862	9703	-4.731	-1.357	1.153122205
52	248862	6239	-1.237	7.864	-31.57198337
52	248862	5352062	2.405	5.009	-10.50791143
52	248862	104842	-3.308	3.806	-9.992738829
52	248862	216239	1.583	1.079	-2.975339312
52	248862	5329102	1.585	3.103	-2.885462925
52	248862	5426	5.202	-1.185	-1.184183302
52	248862	60699	4.024	-1.481	-4.379061993
52	248862	5799	-2.84	4.539	-2.412716117
52	248862	5388983	7.931	-2.476	-2.991228652
52	248862	68740	1.256	3.237	2.753573353
52	248862	5311	-0.832	5.87	-4.457570769
52	43834572	248862	1.28	1.455	-6.931212235
52	43834572	32874	0.6	2.873	-3.226065249
52	43834572	135401907	-0.491	-1.082	0.649920631
52	43834572	2141	1.07	-0.251	-17.73222149
52	43834572	123608	2.956	7.222	-0.222369815
52	43834572	2187	3.93	0.737	-4.289444069
52	43834572	5284616	0.257	3.354	-1.741621849
52	43834572	9444	-4.354	1.574	-2.999524244
52	43834572	77082	6.567	-0.811	-3.220355403
52	43834572	5360373	-2.044	0.921	-4.220035311
52	43834572	387447	-2.769	12.985	0.39385349
52	43834572	2478	5.986	1.222	-2.089571097
52	43834572	426756	-0.135	0.652	0.528594316
52	43834572	2578	2.523	1.355	0.201352154
52	43834572	1546	-2.011	-5.758	1.461659683
52	43834572	354624	-0.519	3.091	0.938950683
52	43834572	441203	-8.093	4.456	-5.952635068
52	43834572	439693	6.365	-0.097	0.591087939
52	43834572	2907	5.069	1.943	-1.525886691
52	43834572	6252	1.375	1.499	-0.112501607
52	43834572	3062316	-0.114	2.627	-3.076274334
52	43834572	148124	-6.251	-2.01	-6.332863481
52	43834572	24197464	1.504	3.561	1.409170545
52	43834572	54611422	-1.356	-1.188	-0.309123952
52	43834572	176871	3.79	8.429	-1.974297508
52	43834572	657237	0.946	4.28	-1.872115231
52	43834572	104741	1.537	-1.739	2.114019804
52	43834572	3657	-0.833	-1.463	-0.107230987
52	43834572	3690	2.787	1.537	0.945521885
52	43834572	5291	-0.845	2.547	-2.391714103
52	43834572	57469	8.443	0.463	-2.761863424
52	43834572	6445540	0.093	16.464	-9.19699731
52	43834572	208908	0.237	8.468	-4.84541724
52	43834572	5935	-9.842	0.312	-6.968691427
52	43834572	667490	0.937	1.578	1.160595711
52	43834572	4114	-2.774	0.942	-4.643094252
52	43834572	5746	1.448	8.2	0.165333814
52	43834572	4211	1.419	-0.519	-4.683212608
52	43834572	644241	0.008	1.466	1.124093505
52	43834572	23615975	-1.375	1.888	-3.889959397
52	43834572	451668	-2.166	2.353	-6.394801598
52	43834572	54608520	-2.664	-3.224	4.387104574
52	43834572	36314	-2.978	4.164	-9.637039765
52	43834572	4842	2.337	6.206	-4.47961072
52	43834572	163659	3.623	16.38	0.510217279
52	43834572	148121	0.492	3.391	5.679841709
52	43834572	9703	5.948	1.245	-3.564004807
52	43834572	6239	1.925	10.078	-2.096492959
52	43834572	5352062	-4.05	5.009	-10.43063036
52	43834572	104842	-5.018	3.806	-21.37478969
52	43834572	216239	3.098	1.079	-2.391278376
52	43834572	5329102	1.531	3.103	-0.191927823
52	43834572	2733525	-1.935	-2.403	2.884174609
52	43834572	5394	0.972	-0.9	0.514903465
52	43834572	5426	-2.359	-0.272	0.023633812
52	43834572	60699	-0.908	4.869	-3.986828261
52	43834572	444795	0.374	10.397	-0.065688964
52	43834572	5799	1.637	4.539	0.283827095
52	43834572	5388983	3.693	-2.476	-2.589272825
52	43834572	5388992	-7.135	-3.479	4.149106296
52	43834572	68740	6.123	3.237	0.442543163
52	43834572	5311	0.809	5.87	-6.374049877
52	3385	248862	11.862	-8.266	-15.52391692
52	3385	43834572	13.75	2.951	1.4522424
52	3385	2019	13.75	-1.14	-3.121931178
52	3385	135401907	13.75	3.565	-7.237371672
52	3385	2123	13.75	-2.397	1.272297516
52	3385	2141	12.704	-3.497	-8.298373634
52	3385	123608	13.75	5.756	-1.004835106
52	3385	2187	13.75	0.401	-2.059714062
52	3385	5284616	13.75	22.184	-0.354324609
52	3385	9444	13.75	-1.388	-2.589544649
52	3385	77082	13.75	-0.072	-9.132159551
52	3385	5360373	10.687	-0.123	-3.051540068
52	3385	387447	13.75	1.84	-0.803320282
52	3385	2478	13.75	-3.61	-8.993501097
52	3385	426756	13.75	2.406	4.585498763
52	3385	2578	13.75	-3.373	-1.716839336
52	3385	2662	13.75	3.043	-0.486729806
52	3385	1546	13.75	-4.718	0.461673735
52	3385	354624	13.75	27.479	0.257945658
52	3385	2708	13.75	11.612	6.508410489
52	3385	441203	13.75	-0.375	-0.08682913
52	3385	439693	13.75	2.283	-3.408810999
52	3385	11626560	13.75	0.202	2.451017292
52	3385	2907	13.75	-2.72	-10.5495011
52	3385	6252	13.75	4.408	1.549959566
52	3385	3062316	14.801	4.915	-2.087612147
52	3385	148124	13.75	18.949	-1.408620655
52	3385	24197464	13.75	4.138	5.21677026
52	3385	54611422	13.75	0.372	-7.319159883
52	3385	176871	13.75	7.027	4.039378419
52	3385	657237	13.75	-2.831	-0.774477381
52	3385	104741	13.75	1.484	-0.495604916
52	3385	3657	13.75	-2.996	-12.50789341
52	3385	3690	13.75	-0.931	-7.202501097
52	3385	5291	13.75	0.955	1.538504204
52	3385	57469	13.75	-0.886	0.605629571
52	3385	6445540	13.75	-0.485	1.422855171
52	3385	208908	13.75	7.314	4.758786422
52	3385	3902	13.75	0.454	-1.476314069
52	3385	5935	13.75	0.646	-1.054171972
52	3385	9927978	13.75	-2.126	13.07026209
52	3385	667490	13.75	1.367	-2.295153309
52	3385	126941	11.709	8.147	-5.533293443
52	3385	4114	13.75	-0.215	-4.412588492
52	3385	5746	13.75	-1.296	4.87878115
52	3385	4211	13.75	0.452	-8.441312237
52	3385	644241	13.75	-2.711	3.434869357
52	3385	23615975	13.75	1.142	-7.044056652
52	3385	451668	13.75	-0.218	1.988283973
52	3385	54608520	13.75	23.943	4.597784361
52	3385	36314	13.75	8.84	-3.709416704
52	3385	4842	10.09	-0.209	-12.48832117
52	3385	163659	13.75	4.819	3.528662034
52	3385	148121	13.75	2.731	1.149018467
52	3385	9703	13.75	-1.014	-1.911423349
52	3385	6239	13.75	11.971	-2.991871549
52	3385	5352062	13.75	5.239	27.8270161
52	3385	104842	13.75	2.067	4.098708875
52	3385	216239	13.75	18.438	2.605429909
52	3385	5329102	13.75	-0.016	0.110629571
52	3385	2733525	13.75	1.105	-1.876202958
52	3385	5394	13.75	-4.561	-2.999064278
52	3385	5426	13.75	-2.542	7.357860592
52	3385	2723601	20.33	20.797	-19.09935276
52	3385	5453	13.75	1.572	-1.827412606
52	3385	60699	13.75	0.874	5.031586275
52	3385	444795	13.75	-2.558	2.284093903
52	3385	42611257	13.75	-2.529	1.424615315
52	3385	5388983	13.75	15.925	-5.896379698
52	3385	5388992	12.905	19.349	-17.04535435
52	3385	68740	13.75	0.465	0.456726426
52	3385	5311	13.75	-0.039	0.36006175
52	132971	248862	-2.25	-4.404	-10.07525444
52	132971	43834572	-2.25	2.951	-1.341264513
52	132971	3385	-2.25	13.749	1.18399233
52	132971	2019	-2.25	-1.14	15.69800445
52	132971	135401907	-2.25	3.565	-6.475739167
52	132971	2123	-2.25	-2.397	-3.261664443
52	132971	2141	-2.25	-0.062	-9.615687654
52	132971	123608	-2.25	5.756	-5.213351578
52	132971	2187	-2.25	0.426	-2.20255678
52	132971	5284616	-2.25	22.184	-24.85855335
52	132971	6450551	-2.25	2.398	-0.359962281
52	132971	9444	-2.25	-1.388	-0.284430998
52	132971	77082	-2.25	-0.072	-2.872284229
52	132971	5360373	-2.25	1.906	-1.710196461
52	132971	387447	-2.25	1.84	1.188959632
52	132971	2478	-2.25	-3.61	-8.871896024
52	132971	9854073	-2.25	30.127	-14.80240831
52	132971	426756	-2.25	2.406	0.495234144
52	132971	2578	-2.25	-3.373	-5.547856451
52	132971	2662	-2.25	3.043	-2.916416535
52	132971	1546	-2.25	-4.72	-3.49486574
52	132971	354624	-2.25	27.479	-22.57872801
52	132971	2708	-2.25	11.612	-3.554824462
52	132971	441203	-2.25	-0.375	0.08689202
52	132971	439693	-2.25	2.283	-0.931883853
52	132971	11626560	-2.25	0.202	-0.634767422
52	132971	2907	-2.25	-2.72	-3.197788378
52	132971	6252	-2.25	4.408	-8.975767848
52	132971	135398738	-2.25	-1.23	-0.076330482
52	132971	3062316	-2.25	5.49	-10.91941793
52	132971	62770	-2.25	2.293	12.84952565
52	132971	71384	-2.25	3.622	-0.424404076
52	132971	148124	-2.25	18.949	-32.88274937
52	132971	24197464	-2.25	4.138	-2.351774097
52	132971	54611422	-2.25	0.372	-4.729262137
52	132971	176871	-2.25	7.027	1.029573252
52	132971	60198	-2.25	33.054	-10.90720382
52	132971	657237	-2.25	-2.831	-4.807811254
52	132971	104741	-2.25	1.484	-0.099304013
52	132971	123631	-2.25	21.458	-0.019702553
52	132971	3657	-2.25	-0.126	-2.793646944
52	132971	3690	-2.25	-0.931	2.185347428
52	132971	5291	-2.25	0.955	-10.18225419
52	132971	57469	-2.25	-0.886	-4.781032408
52	132971	6445540	-2.25	-0.485	5.794559598
52	132971	208908	-2.25	7.314	-5.208390369
52	132971	216326	-2.25	3.974	-3.958410377
52	132971	3902	-2.25	0.454	0.596041071
52	132971	3950	-2.25	5.645	3.26988238
52	132971	5935	-2.25	0.646	-3.923030892
52	132971	11683	-2.25	5.281	1.332512396
52	132971	9927978	-2.25	-2.126	-1.491465002
52	132971	667490	-2.25	1.367	-2.063290859
52	132971	126941	-2.25	2.828	-7.29334599
52	132971	4114	-2.25	-0.215	-4.757670944
52	132971	5746	-2.25	-1.296	2.322420482
52	132971	4211	-2.25	0.452	1.491150835
52	132971	4212	-2.25	13.399	-8.613075106
52	132971	60779	-2.25	18.987	-18.55078892
52	132971	644241	-2.25	-2.711	-4.99594927
52	132971	23615975	-2.25	1.142	-3.915607243
52	132971	451668	-2.25	-0.218	-0.968570781
52	132971	36462	-2.25	11.68	8.992200791
52	132971	54608520	-2.25	23.943	-10.61460422
52	132971	36314	-2.25	8.84	-10.65028939
52	132971	11525740	-2.25	-1.222	1.457704948
52	132971	135410875	-2.25	-1.478	-4.25855971
52	132971	4842	-2.25	0.923	2.692121949
52	132971	163659	-2.25	2.052	3.919468867
52	132971	148121	-2.25	2.731	-4.472975589
52	132971	9703	-2.25	-1	-3.327207811
52	132971	6239	-2.25	11.971	0.499084223
52	132971	5035	-2.25	-0.699	1.804042242
52	132971	5352062	-2.25	5.239	-17.99648294
52	132971	25126798	-2.25	2.789	2.82010542
52	132971	104842	-2.25	2.067	-3.308538713
52	132971	216239	-2.25	18.438	-5.614453886
52	132971	5329102	-2.25	-0.016	-3.11430575
52	132971	2733525	-2.25	1.105	1.789878019
52	132971	5394	-2.25	-4.561	-9.334711052
52	132971	452548	-2.25	11.875	-5.127104072
52	132971	5426	-2.25	-2.542	0.985744812
52	132971	2723601	-2.25	21.487	-7.260454187
52	132971	5453	-2.25	1.572	-2.309717561
52	132971	60699	-2.25	0.874	-3.29600839
52	132971	444795	-2.25	-2.558	-0.485486747
52	132971	6194	-2.25	8.094	0.743800653
52	132971	3081361	-2.25	11.97	-4.592297631
52	132971	42611257	-2.25	1.79	-1.687029862
52	132971	5388983	-2.25	15.925	-15.67720125
52	132971	5388992	-2.25	10.086	-9.970470813
52	132971	24776445	-2.25	1.108	-1.669949467
52	132971	68740	-2.25	0.465	-1.617514001
52	132971	5311	-2.25	-0.039	-1.33549827
52	2019	248862	-4.832	1.455	-1.043930117
52	2019	43834572	1.108	-4.776	-1.834202721
52	2019	32874	-3.686	2.873	-3.087167229
52	2019	135401907	-3.263	-1.082	-2.559939513
52	2019	2141	3.649	-0.248	0.372133416
52	2019	123608	-1.935	7.222	-4.073921899
52	2019	2187	-0.586	0.737	-3.702269275
