data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
51	248862	32874	3.4575	25.846	-11.14711431
51	248862	135401907	9.427	7.363	-2.649009612
51	248862	2141	3.824	-1.42	2.777456983
51	248862	123608	-2.954	9.998	-10.02097374
51	248862	2187	41.69	-1.838	-3.827844224
51	248862	5284616	6.53	-2.038	-13.70423265
51	248862	5360373	15.434	48.123	-32.37166696
51	248862	387447	-2.962	20.335	-67.09326115
51	248862	2478	7.181	10.168	0.389498228
51	248862	2578	0.198	-0.117	2.363202607
51	248862	354624	11.332	22.947	-21.03727421
51	248862	441203	-9.396	23.836	-24.15230459
51	248862	439693	-2.895	-1.396	2.427956531
51	248862	2907	27.346	-5.907	-7.284545835
51	248862	24197464	5.107	15.965	-15.11399009
51	248862	54611422	6.191	-3.304	4.485830592
51	248862	176871	13.617	-2.901	1.703452389
51	248862	104741	41.333	0.818	-4.44601729
51	248862	3690	14.354	3.527	-10.37394595
51	248862	57469	2.667	-2.702	1.871527114
51	248862	6445540	0.356	38.285	-27.81233363
51	248862	208908	2.041	3.27	0.132361047
51	248862	5935	-16.19	1.021	-9.214312721
51	248862	4114	20.091	6.08	-4.642675904
51	248862	5746	15.111	40.895	0.756095222
51	248862	4211	41.976	2.323	-18.49001335
51	248862	23615975	6.142	-6.519	6.344804152
51	248862	451668	8.845	-0.817	6.639103777
51	248862	21864423	1.325	31.667	-19.93301473
51	248862	54608520	3.404	-3.888	2.92202547
51	248862	4842	2.239	16.683	-10.24271591
51	248862	9703	4.986	0.406	7.600578548
51	248862	6239	-4.451	12.611	-15.2019798
51	248862	216239	7.137	-1.471	-1.226474321
51	248862	5329102	-7.496	-4.168	-1.250598779
51	248862	5426	16.941	0.753	8.534575505
51	248862	60699	7.641	21.981	-6.207312414
51	248862	5799	3.966	30.225	-34.63223663
51	248862	5388983	40.402	-2.753	-5.307726078
51	248862	68740	9.035	-1.678	4.72331365
51	43834572	248862	17.086	0.381	-6.636837964
51	43834572	32874	25.229	25.846	-6.101971719
51	43834572	135401907	15.559	2.399	-12.58981093
51	43834572	2141	16.497	3.017	-79.65545924
51	43834572	123608	13.875	6.591	-23.88395465
51	43834572	2187	2.812	-1.838	-2.593308972
51	43834572	5284616	6.536	-2.038	-1.411344398
51	43834572	77082	22.767	-5.289	-69.93168291
51	43834572	5360373	18.103	48.123	-4.849370357
51	43834572	387447	18.203	13.788	-2.864033127
51	43834572	2478	7.049	-3.006	-23.67598001
51	43834572	426756	11.122	-2.183	-19.89385224
51	43834572	2578	10.705	1.84	-13.9647648
51	43834572	1546	23.818	15.044	-11.79964995
51	43834572	354624	11.332	22.947	-9.116932644
51	43834572	441203	20.237	30.811	-3.467449573
51	43834572	439693	21.684	1.587	-45.87575595
51	43834572	2907	11.429	-7.738	-21.62735023
51	43834572	6252	18.386	49.335	-6.844377907
51	43834572	3062316	4.128	1.525	-5.369552534
51	43834572	24197464	14.558	15.935	-26.85676701
