data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
40	248862	32874	5.0965	13.8475	-20.35492001
40	248862	135401907	-4.138	0.475	-4.114379819
40	248862	2141	-3.527	-1.066	0.64982173
40	248862	123608	-3.506	18.741	-10.6426265
40	248862	2187	-0.59	1.958	0.622366609
40	248862	5284616	-1.428	-0.543	0.04674908
40	248862	9444	-13.895	9.763	-26.70266701
40	248862	5360373	12.516	0.844	1.807524921
40	248862	387447	-4.545	5.991	-37.49927555
40	248862	2478	-4.728	-1.641	-3.808598743
40	248862	2578	-4.034	-0.933	-2.09246218
40	248862	354624	3.065	3.234	-0.161939942
40	248862	441203	-3.281	-3.75	-3.565942858
40	248862	439693	-1.691	-0.629	1.711098581
40	248862	2907	-4.01	-3.392	3.393275808
40	248862	3062316	-0.131	0.912	-0.074234391
40	248862	148124	-10.145	0.579	-7.943620042
40	248862	24197464	-1.837	0.656	-3.266215251
40	248862	54611422	5.011	3.924	-0.83128598
40	248862	176871	-1.498	17.875	-10.16557744
40	248862	104741	-4.953	-0.465	-0.282987605
40	248862	3690	-3.135	0.774	-1.371783881
40	248862	57469	-6.683	-0.54	-3.980786064
40	248862	6445540	-0.266	35.005	-30.69365262
40	248862	208908	1.963	11.115	-25.64673037
40	248862	5935	-3.087	-1.301	2.79471024
40	248862	4114	-2.245	1.2	-0.732760176
40	248862	5746	-5.158	-8.141	-84.7439681
40	248862	4211	-5.014	-0.814	-2.609005037
40	248862	23615975	0.379	-3.245	3.496523205
40	248862	451668	2.629	2.708	2.546115728
40	248862	21864423	7.918	11.993	-55.67039298
40	248862	54608520	0.141	3.107	-0.591589662
40	248862	36314	-12.011	5.128	-39.85040789
40	248862	4842	-5.891	-1.871	-4.048910868
40	248862	148121	-3.287	56.09	-32.53722134
40	248862	9703	-2.754	1.044	0.466773945
40	248862	6239	-2.357	9.591	-24.25419119
40	248862	5352062	-5.41	6.85	-25.68787324
40	248862	104842	-3.325	3.95	-2.187542986
40	248862	216239	7.117	-3.2	-3.105031098
40	248862	5329102	1.837	3.05	-5.195931712
40	248862	5426	-1.533	-1.526	1.120549774
40	248862	60699	-2.828	-1.192	-9.758492112
40	248862	5799	-1.318	-0.009	6.860744047
40	248862	5388983	0.335	0.634	2.097199203
40	248862	68740	3.933	-2.095	1.058803009
40	248862	5311	0.479	1.239	-3.597812877
40	43834572	248862	-11.515	-1.091	-8.085935369
40	43834572	32874	8.322	13.8475	-1.618394471
40	43834572	135401907	-1.197	0.042	-3.550969941
40	43834572	2141	-5.627	-0.672	-18.39211088
40	43834572	123608	-6.504	7.547	0.682537082
40	43834572	2187	-4.394	1.958	-6.181157988
40	43834572	5284616	-8.387	-0.543	-2.985607226
40	43834572	9444	-15.132	9.763	-6.480782603
40	43834572	77082	3.976	-1.538	-4.448177605
40	43834572	5360373	-1	0.844	-4.184131349
40	43834572	387447	-4.591	-0.247	-18.00532654
40	43834572	2478	-2.274	-0.983	-1.389586905
40	43834572	426756	-2.639	-2.267	-6.00995555
40	43834572	2578	-6.874	-3.428	-11.45735525
40	43834572	1546	7.444	-2.934	-8.982966639
40	43834572	354624	-9.427	3.234	-8.945399188
40	43834572	441203	-3.929	-1.315	-19.60047224
40	43834572	439693	-2.583	-0.005	-4.662778368
40	43834572	2907	1.112	-0.985	-4.421657192
40	43834572	6252	2.152	3.576	-3.553166681
40	43834572	3062316	-10.191	0.912	-4.131777934
40	43834572	148124	-17.004	0.579	-9.346892618
40	43834572	24197464	-4.529	-1.519	-15.3225597
40	43834572	54611422	-5.597	11.588	-1.63203462
40	43834572	176871	-3.29	19.357	-49.23223794
40	43834572	657237	0.361	-2.092	-11.68124112
40	43834572	104741	-4.335	-0.465	-4.706905524
40	43834572	3657	-0.351	-0.685	-14.36244758
40	43834572	3690	-7.103	-1.08	-3.636116733
40	43834572	5291	6.71	-0.546	-15.60874897
40	43834572	57469	-10.046	-1.082	-12.37945165
40	43834572	208908	-0.801	11.115	-5.325927885
40	43834572	5935	-3.363	-1.301	-11.0406194
40	43834572	667490	-5.528	19.305	-2.24316077
40	43834572	4114	-3.603	-0.965	-69.58960042
40	43834572	5746	-1.419	0.296	-0.778580353
40	43834572	4211	-6.263	-0.814	-105.278793
40	43834572	644241	-14.115	-4.343	-18.54184599
40	43834572	23615975	-3.139	-2.34	-4.45819686
40	43834572	451668	-4.836	1.711	0.655119676
40	43834572	21864423	17.646	11.993	-2.36771293
40	43834572	54608520	-6.25	3.107	-5.601918907
40	43834572	36314	-9.46	5.128	-12.61484929
40	43834572	4842	-1.474	-2.08	-0.200622976
40	43834572	163659	0.113	11.328	-6.613112775
40	43834572	148121	-3.99	56.09	-34.53779667
40	43834572	9703	-4.95	-0.82	-2.10263543
40	43834572	6239	-1.94	6.52	1.680760909
40	43834572	5352062	-2.827	6.85	-13.6834036
40	43834572	104842	-2.414	3.95	-7.548328177
40	43834572	216239	4.591	-3.2	-13.58659495
40	43834572	5329102	-4.373	3.05	-7.196221455
40	43834572	2733525	-0.831	-3.411	-9.94922781
40	43834572	5394	-5.531	-4.217	-14.76391342
40	43834572	5426	-8.165	-0.895	-3.842102056
40	43834572	60699	-2.352	-0.458	-3.387919433
40	43834572	444795	0.494	4.853	-11.05005887
40	43834572	5799	0.079	-0.009	-8.4101642
40	43834572	5388983	-5.18	0.634	-10.01378528
40	43834572	5388992	-0.718	0.144	-7.429278055
40	43834572	68740	3.681	-2.095	-9.923989019
40	43834572	5311	-0.546	1.239	-5.247705101
40	3385	248862	30.809	-1.118	-8.304405482
40	3385	43834572	23.855	7.446	3.649307081
40	3385	2019	23.855	-0.797	6.013484425
40	3385	32874	23.855	24.563	4.413566713
40	3385	135401907	23.855	-3.05	-8.815589144
40	3385	2123	23.855	-2.747	-1.545502412
40	3385	2141	29.134	-0.154	-9.553412341
40	3385	123608	23.855	8.412	2.070602257
40	3385	2187	23.855	0.697	7.318531688
40	3385	5284616	23.855	10.564	0.195436739
40	3385	9444	23.855	5.929	9.660223523
40	3385	77082	23.855	-0.544	-10.53890042
40	3385	5360373	23.994	-0.303	-1.533724784
40	3385	387447	23.855	-0.938	6.221759767
40	3385	2478	23.855	-5.282	-4.033912883
40	3385	426756	23.855	0.308	-0.654218809
40	3385	2578	23.855	-6.131	1.23031654
40	3385	2662	23.855	4.959	7.205620654
40	3385	1546	23.855	-2.412	6.685230524
