data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
9	248862	32874	1.499	43.236	-27.13211451
9	248862	135401907	-1.501	5.915	-8.769949489
9	248862	2141	5.053	-2.866	2.704371157
9	248862	123608	-2.36	8.775	-6.880975283
9	248862	2187	50.474	-0.341	-1.442658026
9	248862	5284616	-6.518	-0.856	-7.093283647
9	248862	9444	-3.277	38.735	-40.32128773
9	248862	5360373	-0.004	31.512	-29.16632896
9	248862	2478	-1.49	18.49	-4.480529699
9	248862	2578	8.29	3.512	3.929040754
9	248862	354624	-6.193	-0.407	-6.075904242
9	248862	441203	0.633	42.819	-24.29511733
9	248862	439693	3.471	-2.14	-0.668737154
9	248862	2907	-3.069	-1.897	-0.906829115
9	248862	3062316	-1.729	1.057	-5.844278168
9	248862	148124	-4.34	0.741	-6.822615041
9	248862	24197464	9.528	20.592	-33.18822334
9	248862	54611422	9.837	8.633	-4.810369963
9	248862	176871	-2.06	-1.174	0.508249817
9	248862	104741	49.312	0.604	-10.29959203
9	248862	3690	-2.109	-2.952	1.455528849
9	248862	57469	1.457	-1.896	2.456964613
9	248862	6445540	7.991	64.016	1.553839041
9	248862	208908	-0.766	-0.868	-1.222691122
9	248862	5935	-1.685	49.703	-37.57051505
9	248862	4114	-0.341	-1.855	0.896342036
9	248862	5746	-2.06	40.697	-41.89540997
9	248862	4211	49.185	-1.048	-23.71677675
9	248862	23615975	-1.821	-3.026	1.091577608
9	248862	451668	-3.758	3.133	-6.941883512
9	248862	21864423	4.304	41.239	-7.864075312
9	248862	54608520	-5.773	7.924	-19.70046243
9	248862	36314	-3.944	4.827	-17.70332365
9	248862	4842	-0.429	31.709	-3.661308335
9	248862	148121	44.622	61.863	0.619210482
9	248862	9703	1.239	-3.863	-1.740903733
9	248862	6239	-2.794	21.158	-31.26514074
9	248862	5352062	-4.834	24.651	-45.4379464
9	248862	104842	-4.636	13.639	-89.55657035
9	248862	216239	-2.886	0.805	-2.521478455
9	248862	5329102	-2.86	0.164	-2.57877618
9	248862	5426	-1.722	-3.371	1.729423039
9	248862	60699	1.334	30.092	-29.21580576
9	248862	5799	-2.9	56.378	-25.42987482
9	248862	5388983	54.361	0.044	0.71117023
9	248862	68740	-3.537	-0.456	-1.997543349
9	248862	5311	-6.941	7.381	-20.48828947
9	43834572	248862	31.081	-0.706	-46.41956345
9	43834572	32874	45.8085	43.236	-5.642450253
9	43834572	135401907	38.798	-1.24	-29.24064669
9	43834572	2141	43.278	-1.682	-32.3947789
9	43834572	123608	38.208	6.38	-35.90600757
9	43834572	2187	37.563	-0.341	-27.07615748
9	43834572	5284616	32.375	-0.856	-33.79336933
9	43834572	9444	35.671	38.735	0.646901417
9	43834572	77082	43.803	1.718	-51.94950721
9	43834572	5360373	44.711	31.512	-1.357525612
9	43834572	2478	34.969	8.598	-21.47405575
9	43834572	426756	40.539	10.282	-30.54958377
9	43834572	2578	52.274	2.358	-12.65100727
9	43834572	1546	38.953	8.72	-13.23709487
9	43834572	354624	31.162	-0.407	-27.67403255
9	43834572	441203	66.878	73.469	1.012824691
9	43834572	439693	42.514	-0.287	-36.47621348
9	43834572	2907	38.31	-1.187	-55.562506
9	43834572	6252	40.855	24.998	-11.48475586
9	43834572	3062316	37.125	1.057	-17.92508594
9	43834572	148124	40.668	0.741	-22.26403471
9	43834572	24197464	41.438	32.174	-1.378084821
9	43834572	54611422	40.225	0.943	-30.15848718
9	43834572	176871	38.86	-1.516	-29.98442888
9	43834572	657237	38.698	-0.055	-44.97645165
9	43834572	104741	33.93	0.603	-50.90450018
9	43834572	3657	43.763	-0.59	-45.95310132
9	43834572	3690	35.898	-1.065	-49.34600131
9	43834572	5291	40.018	-0.758	-51.76490162
9	43834572	57469	50.577	0.284	-17.03379042
9	43834572	6445540	37.729	74.066	-5.001576085
9	43834572	208908	38.459	-0.868	-53.4245652
9	43834572	5935	35.919	49.703	-2.719037174
9	43834572	667490	41.163	8.314	-26.75391857
9	43834572	4114	38.806	-0.464	-49.80284144
9	43834572	5746	34.27	48.041	0.908428814
9	43834572	4211	37.02	-1.049	-52.70723635
9	43834572	644241	33.528	-0.058	-51.1215307
9	43834572	23615975	36.97	-0.955	-66.24323702
9	43834572	451668	35.772	4.672	4.781881964
