data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
79	3385	11960529	62.98	7.174	-7.026201735
79	3385	24856436	62.98	9.998	3.404913576
79	3385	11977753	62.98	38.697	4.717776218
79	3385	387447	62.98	31.264	2.081842833
79	3385	3062316	62.98	-29.271	-15.45036456
79	3385	46926350	62.98	39.581	3.178645938
79	3385	176870	62.98	32.246	8.056705229
79	3385	5288382	62.98	64.698	2.49092166
79	3385	216453	62.98	48.574	4.12109095
79	3385	208908	62.98	13.983	6.267796366
79	3385	24964624	62.98	18.294	7.086273354
79	3385	24958200	62.98	7.745	0.288709882
79	3385	24748204	62.98	40.099	1.808346054
79	3385	11520894	62.98	5.091	8.661042781
79	3385	16224745	62.98	49.58	1.605253235
79	3385	9826528	62.98	21.534	3.459531215
79	3385	216239	62.98	45.763	-4.242321688
79	3385	5329102	62.98	7.595	0.560322331
79	3385	5394	62.98	6.719	-7.705360868
79	3385	5311	62.98	38.513	6.417660166
79	11960529	11977753	7.174	38.697	-1.572741563
79	11960529	46926350	7.174	39.581	-2.971979772
79	11960529	5288382	7.174	64.698	-2.616458421
79	11960529	11520894	7.174	5.091	7.314239885
79	11960529	16224745	7.174	49.58	-11.32215328
79	11960529	71301229	7.174	13.009	-2.166363623
79	11960529	104842	7.174	33.057	-8.462178995
79	11960529	216239	7.174	45.763	6.954382429
79	11960529	60700	7.174	69.052	-20.02315587
79	24856436	11960529	9.912	7.174	-4.859495454
79	24856436	11977753	9.912	38.697	-0.493807497
79	24856436	387447	9.912	31.264	-13.23760809
79	24856436	3062316	9.912	-29.271	-52.89655994
79	24856436	46926350	9.912	39.581	-2.777328474
79	24856436	176870	9.912	32.246	1.945229746
79	24856436	5288382	9.912	64.698	-4.85894729
79	24856436	208908	9.912	13.983	3.461303554
79	24856436	24964624	9.912	18.294	1.321722889
79	24856436	24958200	9.912	7.745	17.44950352
79	24856436	24748204	9.912	40.099	-5.970513719
79	24856436	11520894	9.912	5.091	8.525517182
79	24856436	16224745	9.912	49.58	4.709231893
79	24856436	71301229	9.912	13.009	-10.87112883
79	24856436	9826528	9.912	21.534	3.266480619
79	24856436	104842	9.912	33.057	-49.3247562
79	24856436	216239	9.912	45.763	-11.20957004
79	24856436	60700	9.912	69.052	-0.783989212
79	11977753	46926350	38.697	39.581	4.930060953
79	11977753	16224745	38.697	49.58	2.364621231
79	11977753	71301229	38.697	13.009	1.987193699
79	11977753	104842	38.697	33.057	8.366548238
79	11977753	216239	38.697	45.763	-3.745570826
79	387447	11960529	31.262	7.174	-6.303311331
79	387447	11977753	31.262	38.697	4.259020263
79	387447	3062316	31.262	-29.271	-78.54078976
79	387447	46926350	31.262	39.581	-1.92027855
79	387447	5288382	31.262	64.698	-1.362776944
79	387447	11520894	31.262	5.091	5.511194075
79	387447	16224745	31.262	49.58	-2.077916312
79	387447	71301229	31.262	13.009	0.161150767
79	387447	104842	31.262	33.057	8.068408406
79	387447	216239	31.262	45.763	-3.594550558
79	387447	60700	31.262	69.052	0.974455172
79	426756	11960529	4.797	7.174	5.244672184
79	426756	24856436	4.797	9.998	-12.22626998
79	426756	11977753	4.797	38.697	-5.786760211
79	426756	387447	4.797	31.264	-21.07174491
79	426756	3062316	4.797	-29.271	-27.14624631
79	426756	46926350	4.797	39.581	-12.98016483
79	426756	176870	4.797	32.246	-15.54148131
79	426756	5288382	4.797	64.698	-5.932316762
79	426756	216453	4.797	48.574	-5.864286949
79	426756	208908	4.797	13.983	-10.87650807
79	426756	24964624	4.797	18.294	-12.37082703
79	426756	24958200	4.797	7.745	6.612933914
79	426756	24748204	4.797	40.099	-15.8818959
79	426756	11520894	4.797	5.091	6.954006931
79	426756	16224745	4.797	49.58	-4.576673367
79	426756	9826528	4.797	21.534	-8.294240064
79	426756	216239	4.797	45.763	-22.8849179
79	426756	5329102	4.797	7.595	3.400023058
79	426756	5394	4.797	6.719	-6.901741733
79	426756	5311	4.797	38.513	-8.728825231
79	2907	11960529	-2.673	7.174	-0.251551731
79	2907	24856436	-2.673	9.998	-65.97392046
79	2907	11977753	-2.673	38.697	-42.32862157
79	2907	387447	-2.673	31.264	-50.14619197
79	2907	3062316	-2.673	-29.271	-24.49113505
79	2907	46926350	-2.673	39.581	-54.91757721
79	2907	176870	-2.673	32.246	-36.15030985
79	2907	5288382	-2.673	64.698	-25.35131655
79	2907	216453	-2.673	48.574	-5.811991939
79	2907	208908	-2.673	13.983	-28.06761964
79	2907	24964624	-2.673	18.294	-24.04397926
79	2907	24958200	-2.673	7.745	3.784183891
79	2907	24748204	-2.673	40.099	-40.12419034
79	2907	11520894	-2.673	5.091	-0.864596564
79	2907	16224745	-2.673	49.58	-31.75060334
79	2907	9826528	-2.673	21.534	-43.2520956
79	2907	216239	-2.673	45.763	-18.45183626
79	2907	5329102	-2.673	7.595	-3.551962974
79	2907	5394	-2.673	6.719	1.226155959
79	2907	5311	-2.673	38.513	-30.44892139
79	3062316	11960529	-29.272	7.174	-25.05965702
79	3062316	11977753	-29.272	38.697	-39.0916194
79	3062316	46926350	-29.272	39.581	-68.0051664
79	3062316	5288382	-29.272	64.698	-25.45089688
79	3062316	11520894	-29.272	5.091	-21.10529233
79	3062316	16224745	-29.272	49.58	-31.81603764
79	3062316	71301229	-29.272	13.009	-34.34246309
79	3062316	104842	-29.272	33.057	-44.59067232
79	3062316	216239	-29.272	45.763	-11.9154245
79	3062316	60700	-29.272	69.052	-24.78666495
79	5743	11960529	33.397	7.174	-5.329844941
79	5743	24856436	33.397	9.998	2.759301276
79	5743	11977753	33.397	38.697	8.157321533
79	5743	387447	33.397	31.264	-9.58338697
79	5743	3062316	33.397	-29.271	20.74284397
79	5743	46926350	33.397	39.581	-4.177445953
79	5743	176870	33.397	32.246	7.450847016
79	5743	5288382	33.397	64.698	-7.734574599
79	5743	216453	33.397	48.574	-5.681390023
79	5743	208908	33.397	13.983	8.193072287
79	5743	24964624	33.397	18.294	28.5630272
79	5743	24958200	33.397	7.745	5.47468923
79	5743	24748204	33.397	40.099	-13.5697782
79	5743	11520894	33.397	5.091	22.19255288
79	5743	16224745	33.397	49.58	2.582212824
79	5743	9826528	33.397	21.534	25.99664127
79	5743	216239	33.397	45.763	-7.813881914
79	5743	5329102	33.397	7.595	14.12354706
79	5743	5394	33.397	6.719	-2.947178015
79	5743	5311	33.397	38.513	-6.424912277
79	46926350	16224745	39.58	49.58	-1.819743666
79	31703	11960529	68.662	7.174	-26.89120359
79	31703	24856436	68.662	9.998	-1.603205679
79	31703	11977753	68.662	38.697	1.887735877
79	31703	387447	68.662	31.264	-3.773732712
79	31703	3062316	68.662	-29.271	-36.06715661
79	31703	46926350	68.662	39.581	0.581364799
79	31703	176870	68.662	32.246	4.377690259
79	31703	5288382	68.662	64.698	-0.548771403
79	31703	216453	68.662	48.574	-11.29213915
79	31703	208908	68.662	13.983	1.773992613
79	31703	24964624	68.662	18.294	3.772847596
79	31703	24958200	68.662	7.745	-11.65411668
79	31703	24748204	68.662	40.099	-6.275370948
79	31703	11520894	68.662	5.091	-3.307540264
79	31703	16224745	68.662	49.58	-1.466261607
79	31703	9826528	68.662	21.534	-1.117306664
79	31703	216239	68.662	45.763	-9.72514203
79	31703	5329102	68.662	7.595	-16.04511128
79	31703	5394	68.662	6.719	-19.52874294
79	31703	5311	68.662	38.513	2.526786564
79	176870	11960529	32.246	7.174	-11.3163726
79	176870	11977753	32.246	38.697	10.07578468
79	176870	387447	32.246	31.264	-0.604241732
79	176870	3062316	32.246	-29.271	-21.58713205
79	176870	46926350	32.246	39.581	2.876776761
79	176870	5288382	32.246	64.698	3.084436973
79	176870	11520894	32.246	5.091	10.77345478
79	176870	16224745	32.246	49.58	2.807066247
79	176870	71301229	32.246	13.009	-7.50837067
79	176870	9826528	32.246	21.534	14.36541202
79	176870	104842	32.246	33.057	13.44742771
79	176870	216239	32.246	45.763	-7.815562497
79	176870	60700	32.246	69.052	9.372652175
79	36462	11960529	49.222	7.174	-6.862623796
79	36462	24856436	49.222	9.998	2.109534759
79	36462	11977753	49.222	38.697	2.027956882
79	36462	387447	49.222	31.264	0.515323508
79	36462	3062316	49.222	-29.271	-28.78999816
79	36462	46926350	49.222	39.581	1.658968916
79	36462	176870	49.222	32.246	9.815118394
79	36462	5288382	49.222	64.698	2.721650617
79	36462	208908	49.222	13.983	8.028556503
79	36462	24964624	49.222	18.294	10.22748706
79	36462	24958200	49.222	7.745	4.910423779
79	36462	24748204	49.222	40.099	-3.643707721
79	36462	11520894	49.222	5.091	6.184405853
79	36462	16224745	49.222	49.58	4.072875334
79	36462	9826528	49.222	21.534	6.208942295
79	36462	216239	49.222	45.763	-4.488048341
79	36462	5329102	49.222	7.595	-4.776862714
79	36462	5394	49.222	6.719	-10.95296563
79	36462	5311	49.222	38.513	4.121623002
79	5288382	11977753	64.695	38.697	2.843428743
79	5288382	46926350	64.695	39.581	-1.769339107
79	5288382	16224745	64.695	49.58	1.99604499
79	5288382	71301229	64.695	13.009	0.637296182
79	5288382	104842	64.695	33.057	6.378793447
79	5288382	216239	64.695	45.763	0.688434188
79	5288382	60700	64.695	69.052	1.322762875
79	60750	11960529	72.53	7.174	-2.931807917
79	60750	24856436	61.4975	9.998	-1.715872777
79	60750	11977753	72.53	38.697	7.068725623
79	60750	387447	72.53	31.264	0.385025465
79	60750	3062316	72.53	-29.271	-4.164431418
79	60750	46926350	72.53	39.581	2.444741749
79	60750	176870	72.53	32.246	12.17751412
79	60750	5288382	72.53	64.698	2.523742624
79	60750	208908	72.53	13.983	8.275681639
79	60750	24964624	72.53	18.294	8.170092749
79	60750	24958200	72.53	7.745	4.219586241
79	60750	24748204	72.53	40.099	-0.830044266
79	60750	11520894	72.53	5.091	2.153317698
79	60750	16224745	61.4975	49.58	4.75615206
79	60750	9826528	72.53	21.534	7.74086632
79	60750	216239	72.53	45.763	-3.41318192
79	60750	5329102	72.53	7.595	-3.777089325
