data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
71	3385	11960529	31.829	1.544	-10.02411798
71	3385	24856436	31.829	37.755	8.82760815
71	3385	11977753	31.829	34.817	-7.176832001
71	3385	387447	31.829	55.357	-1.678292657
71	3385	3062316	31.829	47.138	-3.890252609
71	3385	46926350	31.829	21.128	-3.539827006
71	3385	176870	31.829	57.958	-0.181944647
71	3385	5288382	31.829	51.51	-0.911816555
71	3385	216453	31.829	28.442	2.104101622
71	3385	208908	31.829	49.766	0.689871095
71	3385	24964624	31.829	26.605	4.744785598
71	3385	24958200	31.829	8.899	-1.760577065
71	3385	24748204	31.829	31.161	-8.171337618
71	3385	11520894	31.829	7.183	3.150895916
71	3385	16224745	31.829	72.277	4.888324989
71	3385	9826528	31.829	45.219	-8.089781564
71	3385	216239	31.829	23.181	-2.759633815
71	3385	5329102	31.829	23.52	3.031086166
71	3385	5394	31.829	7.775	-7.118218519
71	3385	5311	31.829	13.669	3.899800793
71	11960529	11977753	1.544	34.817	-49.64322128
71	11960529	46926350	1.544	21.128	-41.32814854
71	11960529	5288382	1.544	51.51	-32.01905814
71	11960529	11520894	1.544	7.183	-11.12541322
71	11960529	16224745	1.544	72.277	-22.82510753
71	11960529	71301229	1.544	15.687	-14.55781122
71	11960529	104842	1.544	6.637	-79.16014032
71	11960529	216239	1.544	23.181	0.227002297
71	11960529	60700	1.544	52.07	-50.29102952
71	24856436	11960529	37.751	1.544	-41.55648526
71	24856436	11977753	37.751	34.817	8.092016609
71	24856436	387447	37.751	55.357	-3.59982176
71	24856436	3062316	37.751	47.138	1.74640248
71	24856436	46926350	37.751	21.128	-8.84055791
71	24856436	176870	37.751	57.958	3.569387237
71	24856436	5288382	37.751	51.51	0.953071412
71	24856436	208908	37.751	49.766	0.993389743
71	24856436	24964624	37.751	26.605	4.477980887
71	24856436	24958200	37.751	8.899	1.151487964
71	24856436	24748204	37.751	31.161	-4.811840835
71	24856436	11520894	37.751	7.183	7.17898413
71	24856436	16224745	37.751	72.277	6.794720549
71	24856436	71301229	37.751	15.687	-4.833485509
71	24856436	9826528	37.751	45.219	-1.625506181
71	24856436	104842	37.751	6.637	1.420606523
71	24856436	216239	37.751	23.181	-2.543882106
71	24856436	60700	37.751	52.07	-5.788546982
71	11977753	46926350	34.817	21.128	2.06100108
71	11977753	16224745	34.817	72.277	1.643031179
71	11977753	71301229	34.817	15.687	4.364781276
71	11977753	104842	34.817	6.637	7.663260846
71	11977753	216239	34.817	23.181	0.952739384
71	387447	11960529	55.359	1.544	-42.94740667
71	387447	11977753	55.359	34.817	3.833590863
71	387447	3062316	55.359	47.138	-0.08028557
71	387447	46926350	55.359	21.128	-6.479824828
71	387447	5288382	55.359	51.51	-2.027553515
71	387447	11520894	55.359	7.183	2.876249337
71	387447	16224745	55.359	72.277	-2.41460215
71	387447	71301229	55.359	15.687	-7.755813646
71	387447	104842	55.359	6.637	-1.716393028
71	387447	216239	55.359	23.181	-4.539376805
71	387447	60700	55.359	52.07	-3.997113997
71	426756	11960529	6.755	1.544	-3.412453688
71	426756	24856436	6.755	37.755	-1.532934365
71	426756	11977753	6.755	34.817	5.107799539
71	426756	387447	6.755	55.357	-4.156982646
71	426756	3062316	6.755	47.138	-0.81043768
71	426756	46926350	6.755	21.128	-6.307749804
71	426756	176870	6.755	57.958	1.374573715
71	426756	5288382	6.755	51.51	-1.96971805
71	426756	216453	6.755	28.442	1.56676546
71	426756	208908	6.755	49.766	-0.09459848
71	426756	24964624	6.755	26.605	-0.354847937
71	426756	24958200	6.755	8.899	2.996266146
71	426756	24748204	6.755	31.161	-4.364220999
71	426756	11520894	6.755	7.183	5.159889284
71	426756	16224745	6.755	72.277	-1.097578513
71	426756	9826528	6.755	45.219	-11.07302877
71	426756	216239	6.755	23.181	-9.066975071
71	426756	5329102	6.755	23.52	-2.702258406
71	426756	5394	6.755	7.775	-29.42240899
71	426756	5311	6.755	13.669	0.894650504
71	2907	11960529	-3.172	1.544	4.189706444
71	2907	24856436	-3.172	37.755	-40.86471125
71	2907	11977753	-3.172	34.817	-49.61958065
71	2907	387447	-3.172	55.357	-42.36350585
71	2907	3062316	-3.172	47.138	-24.71035329
71	2907	46926350	-3.172	21.128	-67.82584454
71	2907	176870	-3.172	57.958	-15.5929182
71	2907	5288382	-3.172	51.51	-34.43146439
71	2907	216453	-3.172	28.442	-12.5084572
71	2907	208908	-3.172	49.766	-18.11216987
71	2907	24964624	-3.172	26.605	-7.950707781
71	2907	24958200	-3.172	8.899	-6.70037239
71	2907	24748204	-3.172	31.161	-26.1278504
71	2907	11520894	-3.172	7.183	-4.627928847
71	2907	16224745	-3.172	72.277	-22.51751378
71	2907	9826528	-3.172	45.219	-38.64674756
71	2907	216239	-3.172	23.181	-2.699325828
71	2907	5329102	-3.172	23.52	-30.28860082
71	2907	5394	-3.172	7.775	7.155423957
71	2907	5311	-3.172	13.669	-19.99946557
71	3062316	11960529	47.138	1.544	-25.96979567
71	3062316	11977753	47.138	34.817	7.150169509
71	3062316	46926350	47.138	21.128	-4.143450297
71	3062316	5288382	47.138	51.51	6.861061638
71	3062316	11520894	47.138	7.183	0.025850657
71	3062316	16224745	47.138	72.277	2.857648703
71	3062316	71301229	47.138	15.687	-1.91272778
71	3062316	104842	47.138	6.637	-2.154358764
71	3062316	216239	47.138	23.181	-5.868432343
71	3062316	60700	47.138	52.07	-6.717512611
