MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
1016	54761306	23725625	-0.028321122	0.001757281
1016	24856436	23725625	-0.016599537	0.022444411
1016	24856436	54761306	0.096232106	0.131006662
1016	16007391	23725625	-0.025899468	0.017694253
1016	16007391	54761306	-0.055156347	0.004756034
1016	16007391	24856436	-0.06713653	-0.03518931
1016	118502708	24856436	-0.128750231	-0.083752502
1016	135151360	23725625	-0.015057455	0.007309884
1016	118502708	54761306	-0.023250578	0.00819136
1016	118502708	16007391	0.001231727	0.039024893
1016	135151360	24856436	-0.117596901	-0.076577704
1016	135151360	118502708	-0.043961658	-0.007187336
1016	135151360	54761306	-0.034836569	-0.001602202
1016	135151360	16007391	0.029640956	0.068633202
1016	46700756	23725625	0.03322033	0.052761433
1016	46700756	54761306	-0.035638009	0.009050222
1016	46700756	24856436	0.15153086	0.189061829
1016	46700756	118502708	-0.081043167	-0.037392337
1016	46700756	135151360	0.03366054	0.065355247
1016	46700756	104842	0.154584561	0.196753947
1016	104842	23725625	-0.003506797	0.042946761
1016	31703	135151360	0.006429365	0.045524016
1016	90132565	23725625	-0.013589952	0.001149732
1016	104842	118502708	-0.019726238	0.034006401
1016	3082962	23725625	0.006424511	0.025376152
1016	131634760	24856436	-0.116252446	-0.071913691
1016	131634760	118502708	-0.061429758	-0.025149332
1016	131634760	54761306	-0.047741082	-0.019704617
1016	131634760	16007391	0.009243738	0.04638458
1016	131634760	135151360	-0.050059824	-0.015970738
1016	131634760	25227436	-0.025975575	-0.001141702
1016	131634760	52913813	-0.060097532	-0.027466284
1016	131634760	10127622	-0.065025912	-0.041408761
1016	131634760	49846579	-0.038291141	-0.014733112
1016	86661883	54761306	-0.044640634	0.009711917
1016	86661883	24856436	-0.021281525	0.022209984
1016	86661883	118502708	-0.046531313	-0.006150998
1016	86661883	25227436	-0.015269184	0.039099823
1016	86661883	16007391	0.034985669	0.109511849
1016	86661883	135151360	-0.047408656	0.015744587
1016	86661883	10127622	-0.024516655	0.016098396
1016	86661883	52913813	-0.020815269	0.014147489
1016	49846579	54761306	-0.049440737	0.007907542
1016	49846579	24856436	-0.025121895	0.007212159
1016	49846579	16007391	0.092826352	0.170058145
1016	49846579	118502708	0.001966443	0.040275042
1016	49846579	135151360	-0.02266858	0.04217132
1016	49846579	25227436	0.018450214	0.080948421
1016	49846579	52913813	0.012836868	0.063302581
1016	11707110	51001932	-0.025702415	-0.003680098
1016	49846579	24771867	0.145630601	0.227342162
1016	49846579	10127622	-0.105262221	-0.081832054
1016	46700756	104842	0.168426171	0.225139275
1016	25227436	16007391	0.0131925256844469	0.0750967916895745
1016	25227436	54761306	-0.0396609502688686	0.0156594591234184
1016	25227436	126689157	-0.0792879491294505	-0.0395471748704753
1016	25227436	118693659	0.0190435925226413	0.066652666711942
1016	25227436	5330286	-0.0631895979639747	-0.021476873374519
1016	25227436	10127622	-0.0197578121493053	-0.0035791262959251
1016	5330286	131634760	-0.0378033248358272	-0.020856577981081
1016	5330286	49846579	-0.0623651516155752	-0.0189198552869517
1016	208908	11626560	-0.0302998279401693	0.0152655339108112
1016	3062316	11707110	-0.047976804487199	-0.0353301133237176
1016	5330286	10127622	-0.0070670241647925	0.006409328932452
1016	208908	24964624	0.038877443151134	0.0826842688370267
1016	118693659	24856436	-0.0303449439643534	0.0177382937346905
1016	118693659	131634760	-0.0506935010657661	-0.0155629257955171
1016	118693659	54761306	0.0357962687043232	0.0765896664629084
1016	118693659	16007391	0.0048108795910864	0.0652014813585164
1016	118693659	49846579	-0.0445340276231948	0.0182028187559963
1016	118693659	10127622	-0.0502683038020684	-0.0269349075208608
1016	68289010	131634760	-0.0268729833811802	-0.0162555481683682
1016	68289010	49846579	-0.0143558454037158	0.0230922737531316
1016	10127622	54761306	-0.0685726652912505	-0.0531691756817433
1016	10127622	16007391	-0.0560108399489737	-0.0393239189193503
1016	123631	126689157	-0.0121778664617621	0.000937571914369844
1016	10127622	24856436	-0.0311962336904396	-0.0179080380365314
1016	10127622	126689157	-0.0305247910520146	-0.0200768281353608
1016	54761306	60749	0.0349988035705867	0.0649402380348121
1016	24856436	60749	-0.0754036511368516	-0.0408109794594391
1016	72165232	60749	-0.0076958230696409	0.0126586007660817
1016	52913813	25227436	-0.0565760916355326	-0.0164661077831202
1016	52913813	5330286	0.0121043561241519	0.0314216265279686
1016	131634760	60749	-0.0177859707490796	0.000914429956344685
1016	86661883	36314	0.0089016779524983	0.0585312476263703
1016	131634760	36314	-0.0503997034573249	-0.0462782634889646
1016	23725625	86661883	0.0294249523644659	0.0596971642001467
1016	23725625	118693659	0.0143877975437613	0.0396710064816944
1016	23725625	131634760	0.00083468913355164	0.0083290031658272
1016	23725625	49846579	0.157968250657743	0.175629782874192
1016	54761306	10339178	-0.0320454183599221	-0.0187649011506348
1016	131634760	208908	-0.0745254168004248	-0.0565214688746141
1016	135151360	36462	0.0783223318289366	0.104099616833609
1016	86661883	208908	0.036265154727202	0.0783495682964776
1016	24856436	104842	-0.0629195816673778	-0.0118666996968745
1016	72165232	3385	-0.0460612101005178	-0.0365088917518998
1016	72165232	24856436	0.0231366738014959	0.037864290572583
1016	51001932	24866313	0.0251295235106852	0.0362334123930108
1016	208908	10127622	-0.0383687999865553	-0.0274504001276478
1016	11626560	10127622	-0.0606536664921834	-0.041941369895263
1016	86661883	60749	-0.0063587845576247	0.0206051316043287
1016	72165232	104842	0.0781041587580456	0.0957641955431164
1016	11626560	3062316	0.0403013293932532	0.0516825189973859
1016	49846579	208908	0.0390941711351263	0.0597771099830834
