MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
198	54761306	23725625	0.021746247	0.034386432
198	24856436	23725625	-0.03583744	-0.017233823
198	24856436	54761306	0.035421266	0.084742662
198	16007391	23725625	0.026519512	0.032765452
198	16007391	54761306	-0.053676391	-0.034222585
198	16007391	24856436	-0.018052992	-0.00849761
198	118502708	24856436	-0.037475604	-0.029072374
198	135151360	23725625	-0.009145419	-0.003623526
198	118502708	54761306	7.99e-05	0.006952797
198	118502708	16007391	-0.00542181	-0.001768949
198	54761306	23725625	-0.005528059	0.006483791
198	24856436	23725625	-0.039700372	-0.024619352
198	24856436	54761306	0.013072199	0.062507883
198	16007391	23725625	0.018610489	0.024453802
198	16007391	54761306	-0.039243886	-0.020598929
198	16007391	24856436	-0.001822048	0.006995415
198	118502708	24856436	-0.030012389	-0.019206235
198	135151360	23725625	-0.065593458	-0.053585289
198	118502708	54761306	0.014154134	0.021390473
198	118502708	16007391	-0.004183081	-0.000336667
198	54761306	23725625	0.016949855	0.024120071
198	24856436	23725625	-0.009524032	0.007129565
198	24856436	54761306	-0.003168661	0.046661423
198	16007391	23725625	0.03495775	0.042632956
198	16007391	54761306	-0.014618923	-0.000196999
198	16007391	24856436	-0.007691825	0.000916782
198	118502708	24856436	-0.014852199	-0.00088069
198	135151360	23725625	-0.026238933	-0.017897532
198	118502708	54761306	-0.001682235	0.005158085
198	118502708	16007391	0.006699843	0.0114295
198	135151360	24856436	-0.034384604	-0.012594251
198	135151360	118502708	0.023540431	0.030397554
198	135151360	54761306	0.002624697	0.01316371
198	135151360	16007391	0.02305434	0.029844491
198	46700756	23725625	-0.047040805	-0.032146996
198	46700756	54761306	-0.021612573	0.017344322
198	46700756	24856436	0.022573213	0.079385205
198	46700756	118502708	-0.01014558	-0.003693134
198	46700756	135151360	-0.013702119	-1.96e-06
198	46700756	104842	-0.01786564	0.017880107
198	104842	23725625	0.051496773	0.058706891
198	31703	135151360	0.080670008	0.0922277
198	90132565	23725625	-0.025823957	-0.020447946
198	104842	118502708	0.049268331	0.062523552
198	3082962	23725625	0.037806192	0.045559287
198	135151360	24856436	-0.01187764	0.00480247
198	135151360	118502708	0.029128961	0.035445538
198	135151360	54761306	-0.007646936	0.003486746
198	135151360	16007391	0.071248622	0.075395949
198	46700756	23725625	-0.056964345	-0.039155549
198	46700756	54761306	-0.021095144	0.01554146
198	46700756	24856436	0.040852565	0.094431831
198	46700756	118502708	-0.009691041	0.000265342
198	46700756	135151360	-0.005808159	0.001622
198	46700756	104842	-0.030998417	0.002534416
198	104842	23725625	0.062948314	0.069423454
198	31703	135151360	0.104093968	0.115570312
198	90132565	23725625	-0.034633071	-0.029355072
198	104842	118502708	0.068484047	0.080240155
198	3082962	23725625	0.070631902	0.080188252
198	135151360	24856436	0.017891653	0.035717086
198	135151360	118502708	0.020575651	0.025989809
198	135151360	54761306	0.00239446	0.010726487
198	135151360	16007391	0.036719604	0.043162199
198	46700756	23725625	-0.044355498	-0.033233201
198	46700756	54761306	-0.048849565	-0.012169608
198	46700756	24856436	0.034854473	0.08859181
198	46700756	118502708	-0.032264766	-0.021346904
198	46700756	135151360	-0.019229839	-0.007878982
198	46700756	104842	0.010307096	0.039869414
198	104842	23725625	0.038857754	0.045489
198	31703	135151360	0.053840572	0.065233831
198	90132565	23725625	-0.028921289	-0.023808663
198	104842	118502708	0.070271121	0.080644615
198	3082962	23725625	0.055003591	0.066508685
198	54761306	23725625	-0.006602972	0.012179624
198	24856436	23725625	-0.024796133	-0.002817078
198	24856436	54761306	0.001697826	0.052736554
198	16007391	23725625	0.038561098	0.045537284
198	16007391	54761306	-0.048306348	-0.029914554
198	16007391	24856436	0.024959489	0.045147851
198	118502708	24856436	-0.014069942	0.009935667
198	135151360	23725625	0.021908325	0.03079138
198	118502708	54761306	0.038982636	0.04947418
198	118502708	16007391	0.034613748	0.041306816
198	54761306	23725625	-0.005305977	0.009186459
198	24856436	23725625	-0.039340514	-0.013234284
198	24856436	54761306	-0.012707519	0.039257643
198	16007391	23725625	0.019230839	0.027230235
198	16007391	54761306	-0.021581718	-0.00881574
198	16007391	24856436	0.013682525	0.03779232
198	118502708	24856436	0.03818799	0.05233148
198	135151360	23725625	-0.007935774	0.003468287
198	118502708	54761306	0.011309571	0.025268716
198	118502708	16007391	0.02135013	0.028419195
198	54761306	23725625	-0.001681871	0.015335396
198	24856436	23725625	-0.025918649	-0.004082362
198	24856436	54761306	-0.004960928	0.047777466
198	16007391	23725625	0.019584003	0.02916793
198	16007391	54761306	-0.00849488	0.005378766
198	16007391	24856436	-0.002609633	0.016170826
198	118502708	24856436	-0.012022205	0.008585613
198	135151360	23725625	-0.00787329	0.002552459
198	118502708	54761306	0.004291203	0.017910389
198	118502708	16007391	0.038709993	0.045367108
198	135151360	24856436	-0.025851582	-0.010996429
198	135151360	118502708	0.01739534	0.022067436
198	135151360	54761306	-0.015962132	4.15e-05
198	135151360	16007391	0.004084133	0.011645796
198	46700756	23725625	-0.070297564	-0.054649439
198	46700756	54761306	-0.070460511	-0.025886401
198	46700756	24856436	-0.014923051	0.042807193
198	46700756	118502708	-0.028027842	-0.017916927
198	46700756	135151360	-0.009242756	0.010213238
198	46700756	104842	-0.005924206	0.036931161
198	104842	23725625	0.033919973	0.046389881
198	31703	135151360	0.086725786	0.100745266
198	90132565	23725625	0.004932391	0.012182446
198	104842	118502708	0.069962683	0.076899301
198	3082962	23725625	0.059816885	0.069748815
198	135151360	24856436	-0.049706032	-0.030794353
198	135151360	118502708	0.005646863	0.010868958
198	135151360	54761306	-0.014318695	0.002178831
198	135151360	16007391	0.013714819	0.020173038
198	46700756	23725625	-0.044691387	-0.033923635
198	46700756	54761306	-0.060622236	-0.015959502
198	46700756	24856436	-0.011646119	0.046266749
198	46700756	118502708	-0.033689803	-0.025508435
198	46700756	135151360	-0.017174599	0.003790636
198	46700756	104842	-0.01685064	0.026351993
198	104842	23725625	0.036272377	0.045231904
198	31703	135151360	0.113157622	0.129200051
198	90132565	23725625	-0.034405138	-0.025839613
198	104842	118502708	0.034727664	0.04525875
198	3082962	23725625	0.023879987	0.031015605
198	135151360	24856436	-0.034461611	-0.017243274
198	135151360	118502708	0.034246014	0.038347088
198	135151360	54761306	0.00349689	0.021277727
198	135151360	16007391	0.045040631	0.050298725
198	46700756	23725625	-0.033412203	-0.021588191
198	46700756	54761306	-0.057980586	-0.012556315
198	46700756	24856436	-0.008713276	0.049309833
198	46700756	118502708	-0.026315811	-0.011768043
198	46700756	135151360	-0.023277342	-0.004695469
198	46700756	104842	-0.030708453	0.012900971
198	104842	23725625	0.039140359	0.050220926
198	31703	135151360	0.05014571	0.066524724
198	90132565	23725625	0.023502163	0.027364404
198	104842	118502708	0.043605534	0.051228157
198	3082962	23725625	0.040538742	0.048839321
198	54761306	23725625	0.006939282	0.016341691
198	24856436	23725625	-0.042327696	-0.026812324
198	24856436	54761306	-0.023016291	0.02897735
198	16007391	23725625	0.013750442	0.018578505
198	16007391	54761306	-0.05108472	-0.03890977
198	16007391	24856436	-0.005760581	0.005036558
198	118502708	24856436	-0.04463481	-0.030666035
198	135151360	23725625	-0.029571444	-0.024692092
198	118502708	54761306	-0.025925438	-0.01731826
198	118502708	16007391	-0.017720478	-0.013318839
198	54761306	23725625	-0.008874879	0.003801423
198	24856436	23725625	-0.060466661	-0.037921538
198	24856436	54761306	-0.011961286	0.038400319
198	16007391	23725625	0.036458561	0.042242479
198	16007391	54761306	-0.042088708	-0.029988185
198	16007391	24856436	-0.040920332	-0.031070057
198	118502708	24856436	-0.044312185	-0.035236878
198	135151360	23725625	-0.024458356	-0.019232848
198	118502708	54761306	0.009619575	0.018328869
198	118502708	16007391	-0.013989001	-0.009064172
198	135151360	24856436	-0.009302406	0.01188804
198	135151360	118502708	0.000164475	0.007698985
198	135151360	54761306	-0.032010159	-0.016347252
198	135151360	16007391	0.014168516	0.018364133
198	46700756	23725625	-0.074455593	-0.053745458
198	46700756	54761306	-0.081710482	-0.042765995
198	46700756	24856436	-0.035306352	0.01748438
198	46700756	118502708	-0.047204374	-0.040402703
198	46700756	135151360	-0.071229311	-0.064221992
198	31703	135151360	0.007495683	0.012400215
198	90132565	23725625	-0.037081522	-0.031773206
198	104842	118502708	-0.026566961	-0.020033784
198	3082962	23725625	0.013561173	0.020487127
198	135151360	24856436	-0.078708708	-0.04983421
198	135151360	118502708	-0.018349047	-0.011596086
198	135151360	54761306	-0.039593265	-0.025092343
198	135151360	16007391	-0.009074611	-0.005094518
198	46700756	23725625	-0.082939914	-0.065717066
198	46700756	54761306	-0.087950571	-0.049028998
198	46700756	24856436	-0.046449779	0.006732053
198	46700756	118502708	-0.098890403	-0.092005668
198	46700756	135151360	-0.058499175	-0.05190409
198	31703	135151360	-0.016147928	-0.009211817
198	90132565	23725625	-0.032983815	-0.027615637
198	104842	118502708	-0.031879483	-0.025070131
198	3082962	23725625	-0.001540163	0.00493151
198	135151360	24856436	-0.039007543	-0.020763471
198	135151360	118502708	0.007421655	0.012103976
198	135151360	54761306	-0.030554507	-0.020178299
198	135151360	16007391	0.025055342	0.029366914
198	46700756	23725625	-0.092403292	-0.081479044
198	46700756	54761306	-0.055374457	-0.0164933
198	46700756	24856436	-0.029522502	0.022886021
198	46700756	118502708	-0.038600204	-0.0318449
198	46700756	135151360	-0.051214174	-0.043520405
198	31703	135151360	0.007727634	0.01228117
198	90132565	23725625	-0.032533576	-0.027682177
198	104842	118502708	-0.010884353	-0.003207704
198	3082962	23725625	0.006845254	0.014329593
198	54761306	23725625	-0.002536626	0.009887439
198	24856436	23725625	0.029564711	0.04246858
198	24856436	54761306	0.004243004	0.057881421
198	16007391	23725625	0.021696505	0.033453641
198	16007391	54761306	-0.051233746	-0.031228691
198	16007391	24856436	-0.015907682	-0.007461275
198	118502708	24856436	0.008918058	0.017383816
198	135151360	23725625	-0.02328685	-0.018136434
198	118502708	54761306	-0.041562704	-0.034722851
198	118502708	16007391	-0.004542272	-0.000555435
198	54761306	23725625	0.03332649	0.043664423
198	24856436	23725625	-0.012765155	0.011706458
198	24856436	54761306	0.004713426	0.056919549
198	16007391	23725625	0.032589013	0.042645848
198	16007391	54761306	-0.06495604	-0.045881766
198	16007391	24856436	-0.031981956	-0.023785661
198	118502708	24856436	-0.036815253	-0.02267052
198	135151360	23725625	0.003495125	0.007925923
198	118502708	54761306	0.009812617	0.016595372
198	118502708	16007391	-0.004915498	-0.000241275
198	54761306	23725625	0.031394672	0.04339572
198	24856436	23725625	-0.04381311	-0.026678241
198	24856436	54761306	-0.002930781	0.04699212
198	16007391	23725625	-0.009212717	0.000817201
198	16007391	54761306	-0.058553751	-0.039477105
198	16007391	24856436	-0.034059546	-0.025882203
198	118502708	24856436	-0.024310917	-0.015082194
198	135151360	23725625	-0.018722445	-0.013961946
198	118502708	54761306	0.001392607	0.008417398
198	118502708	16007391	-0.010773384	-0.006941878
198	135151360	24856436	0.000874357	0.029758241
198	135151360	118502708	0.013353128	0.020967702
198	135151360	54761306	0.060015141	0.069212707
198	135151360	16007391	0.032390978	0.040985511
198	46700756	23725625	-0.032992618	-0.021632461
198	46700756	54761306	-0.014629481	0.025892334
198	46700756	24856436	0.025935779	0.084680147
198	46700756	118502708	-0.019355252	-0.004910193
198	46700756	135151360	-0.031239526	-0.016094143
198	46700756	104842	-0.027655505	0.009115295
198	104842	23725625	0.080490956	0.092439353
198	31703	135151360	0.073520886	0.083373636
198	90132565	23725625	0.008507551	0.013110716
198	104842	118502708	0.017179129	0.029262144
198	3082962	23725625	0.023586655	0.042782283
198	135151360	24856436	0.017657505	0.048944387
198	135151360	118502708	0.028850571	0.034357237
198	135151360	54761306	0.007253756	0.018539467
198	135151360	16007391	0.045848089	0.054589812
198	46700756	23725625	-0.020879715	-0.012499728
198	46700756	54761306	-0.04511626	-0.003865062
198	46700756	24856436	0.048801395	0.106653808
198	46700756	118502708	-0.061202952	-0.040170289
198	46700756	135151360	-0.042727065	-0.030285726
198	46700756	104842	-0.050376977	-0.014517815
198	104842	23725625	0.097706439	0.104051536
198	31703	135151360	0.052009745	0.058481953
198	90132565	23725625	-0.000496901	0.004770056
198	104842	118502708	0.037871008	0.056802674
198	3082962	23725625	0.001024525	0.020685497
198	135151360	24856436	-0.01305547	0.019661785
198	135151360	118502708	0.011999093	0.017837184
198	135151360	54761306	0.052073665	0.058933765
198	135151360	16007391	0.018098872	0.025034343
198	46700756	23725625	-0.050623328	-0.044714658
198	46700756	54761306	-0.028094741	0.012832282
198	46700756	24856436	0.040785591	0.097345791
198	46700756	118502708	-0.008626515	0.001322931
198	46700756	135151360	-0.056306099	-0.036826313
198	46700756	104842	-0.049520141	-0.012464661
198	104842	23725625	0.078428156	0.086224034
198	31703	135151360	0.086112832	0.095656942
198	90132565	23725625	-0.015326928	-0.009952374
198	104842	118502708	0.057173578	0.070532426
198	3082962	23725625	0.016957804	0.035417864
198	54761306	23725625	0.013244704	0.02800487
198	24856436	23725625	0.00377843	0.021134367
198	24856436	54761306	-0.007039536	0.045664323
198	16007391	23725625	0.007270979	0.021225614
198	16007391	54761306	-0.056577321	-0.027956534
198	16007391	24856436	0.00394387	0.02029643
198	118502708	24856436	-0.020898299	-0.010615498
198	135151360	23725625	-0.035639828	-0.024410296
198	118502708	54761306	-0.013358511	0.009848793
198	118502708	16007391	-0.01447955	-0.007581335
198	54761306	23725625	0.033516121	0.045831009
198	24856436	23725625	-0.017466148	0.002890901
198	24856436	54761306	0.020361736	0.07375203
198	16007391	23725625	0.032078411	0.045764594
198	16007391	54761306	-0.02776433	-0.003927326
198	16007391	24856436	0.025436302	0.038856147
198	118502708	24856436	-0.030973202	-0.009273268
198	135151360	23725625	-0.070905194	-0.054745602
198	118502708	54761306	-0.001798994	0.007995778
198	118502708	16007391	0.013628191	0.020813465
198	54761306	23725625	0.002908651	0.018921
198	24856436	23725625	0.019932307	0.044548207
198	24856436	54761306	-0.030678	0.02393511
198	16007391	23725625	0.022773916	0.038325137
198	16007391	54761306	-0.004448806	0.025497537
198	16007391	24856436	-0.006561903	0.008549845
198	118502708	24856436	0.051364267	0.060877939
198	135151360	23725625	0.014416104	0.020644269
198	118502708	54761306	0.013678905	0.023893439
198	118502708	16007391	0.01319587	0.023154411
198	135151360	24856436	-0.024059106	0.016037276
198	135151360	118502708	0.019781029	0.033595505
198	135151360	54761306	0.021180826	0.043134763
198	135151360	16007391	0.055958231	0.071179276
198	46700756	23725625	-0.019830341	-0.008446524
198	46700756	54761306	-0.048814531	-0.004827864
198	46700756	24856436	0.021978557	0.076709516
198	46700756	118502708	-0.000962385	0.005060858
198	46700756	135151360	0.007379383	0.0185889
198	46700756	104842	0.008321367	0.051348603
198	104842	23725625	0.070731659	0.08392299
198	31703	135151360	0.08768364	0.099769743
198	90132565	23725625	-0.011295249	-0.006561854
198	104842	118502708	0.052506616	0.062633026
198	3082962	23725625	0.009185482	0.017768366
198	135151360	24856436	-0.02651064	0.014018093
198	135151360	118502708	0.005361168	0.024024297
198	135151360	54761306	0.009433622	0.029775266
198	135151360	16007391	-0.046776293	-0.024689719
198	46700756	23725625	-0.045533688	-0.028865043
198	46700756	54761306	-0.062437072	-0.019785165
198	46700756	24856436	0.014541675	0.068152815
198	46700756	118502708	-0.050380472	-0.041094734
198	46700756	135151360	-0.019595613	-0.006076881
198	46700756	104842	-0.008904431	0.032856637
198	104842	23725625	0.094395266	0.107084128
198	31703	135151360	0.033611092	0.04929368
198	90132565	23725625	-0.010235593	-0.005625782
198	104842	118502708	0.018380182	0.026169186
198	3082962	23725625	0.052511773	0.058795142
198	135151360	24856436	-0.043277221	-0.009627908
