MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
560	54761306	23725625	-0.012242303	0.013005696
560	24856436	23725625	-0.058480957	-0.03114364
560	24856436	54761306	-0.018787121	0.027029042
560	16007391	23725625	-0.020625508	-0.005950975
560	16007391	54761306	-0.036644566	-0.011743392
560	16007391	24856436	-0.000709155	0.021253145
560	118502708	24856436	-0.024150212	0.00504403
560	135151360	23725625	-0.031454806	-0.013051232
560	118502708	54761306	-0.020180467	0.004709458
560	118502708	16007391	-0.033633896	-0.021590866
560	135151360	24856436	-0.057652823	0.000188404
560	135151360	118502708	-0.041341166	-0.006353164
560	135151360	54761306	-0.093942341	-0.048912572
560	135151360	16007391	-0.021798767	0.010457174
560	46700756	23725625	-0.014550499	0.0182115
560	46700756	54761306	0.033426884	0.060276931
560	46700756	24856436	0.17809817	0.218204855
560	46700756	118502708	-0.003825308	0.020503443
560	46700756	135151360	0.010571497	0.034272867
560	46700756	104842	0.045181645	0.09437277
560	104842	23725625	0.032891114	0.050001687
560	31703	135151360	0.01732308	0.046400673
560	90132565	23725625	-0.037072808	-0.028179666
560	104842	118502708	-0.019838832	0.009123026
560	3082962	23725625	-0.028148193	-0.008776547
560	131634760	24856436	-0.0694171	-0.009762226
560	131634760	118502708	-0.021972716	0.01727501
560	131634760	54761306	-0.014264727	0.01167653
560	131634760	16007391	-0.046679017	-0.00693252
560	131634760	135151360	-0.062754955	-0.024927026
560	131634760	25227436	-0.05325651	-0.022804916
560	131634760	52913813	-0.040683155	0.000544751
560	131634760	10127622	0.001108257	0.048090639
560	131634760	49846579	-0.087265999	-0.059786579
560	86661883	54761306	-0.079817591	-0.036116118
560	86661883	24856436	-0.011230309	0.016693632
560	86661883	118502708	-0.030844804	-0.010707289
560	86661883	25227436	-0.026433554	-0.005080537
560	86661883	16007391	-0.002887785	0.014812371
560	86661883	135151360	-0.036069045	-0.015137986
560	86661883	10127622	0.004337897	0.057259053
560	86661883	52913813	-0.065135548	-0.014280426
560	49846579	54761306	-0.084794242	-0.052110686
560	49846579	24856436	-0.055271166	-0.031052704
560	49846579	16007391	-0.04784223	-0.025337962
560	49846579	118502708	-0.042069125	-0.020121099
560	49846579	135151360	-0.053361319	-0.021986121
560	49846579	25227436	-0.070674989	-0.044963056
560	49846579	52913813	-0.068276103	-0.047616294
560	11707110	51001932	0.066451962	0.143171405
560	49846579	24771867	-0.021865704	0.001257665
560	49846579	10127622	-0.026191566	-0.005647533
560	46700756	104842	0.068662919	0.111826818
560	25227436	16007391	-0.0309241715589165	-0.0066157104266563
560	25227436	54761306	-0.0083588714255094	0.0333240005406656
560	25227436	126689157	-0.0422280964311944	-0.0236193400943064
560	25227436	118693659	-0.0448214871563659	-0.0099671935439216
560	25227436	5330286	0.0407911988342277	0.07854773831043
560	25227436	10127622	-0.0254534228783049	0.0401057679334696
560	5330286	131634760	-0.011108751398871	0.0157107805121269
560	5330286	49846579	-0.0148512832015424	0.0055200148533322
560	208908	11626560	-0.0442978017407382	-0.0114457099754137
560	3062316	11707110	0.0120667387081403	0.120592092891377
560	5330286	10127622	0.0225997375487398	0.0688760013456191
560	208908	24964624	0.0205003718921151	0.0415989910324215
560	118693659	24856436	-0.0385349654763507	0.0202470516978361
560	118693659	131634760	-0.0262795194632654	-0.0060860375626295
560	118693659	54761306	0.017127186018485	0.049002765646747
560	118693659	16007391	0.0384478229147731	0.0623805080653112
560	118693659	49846579	-0.0649070111695476	-0.0427396069441176
560	118693659	10127622	0.0716942375680994	0.125721862213729
560	68289010	131634760	-0.018214425698923	0.000199109344769759
560	68289010	49846579	-0.0411486220892119	-0.0240302242339684
560	10127622	54761306	-0.0192554353909682	0.0289984726696715
560	10127622	16007391	-0.0500732718829498	-0.0019496587991031
560	123631	126689157	-0.0337880546563726	-0.0187065421526534
560	10127622	24856436	-0.0321162288526207	0.024338857914113
560	10127622	126689157	-0.0638769053079655	-0.0409097891744426
560	54761306	60749	0.0208869280518484	0.0882750247061926
560	24856436	60749	0.045062281253029	0.112618745470938
560	72165232	60749	0.0721295976460974	0.105785379575228
560	52913813	25227436	-0.0064653161940836	0.0192618898693245
560	52913813	5330286	0.0297713680077212	0.0768239058421001
560	131634760	60749	-0.0486129497235868	-0.0130365246415849
560	86661883	36314	0.0166429911612489	0.0435946190315927
560	131634760	36314	0.0098046473751503	0.0234726832351158
560	23725625	86661883	-0.0224119365744978	0.0012888669821766
560	23725625	118693659	-0.0337353688704824	0.0044947792712592
560	23725625	131634760	-0.0505600008985307	-0.031783838244126
560	23725625	49846579	-0.0230661425656427	-0.0058816684090562
560	54761306	10339178	-0.0277851574932619	-0.0109222486822601
560	131634760	208908	-0.0450117562482536	-0.0280299037616756
560	135151360	36462	0.0770788093511972	0.100343870419224
560	86661883	208908	-0.040480184713948	-0.0235128111029352
560	24856436	104842	-0.0499368412579914	0.0334173875137736
560	72165232	3385	0.0183597887568711	0.037244715777517
560	72165232	24856436	0.0374859944184759	0.0728363967622514
560	51001932	24866313	0.0796620774050541	0.162371833760444
560	208908	10127622	-0.0544313272483664	-0.0076319543044445
560	11626560	10127622	0.0373405645001305	0.110971748911962
560	86661883	60749	-0.0026886679752718	0.0197973460112603
560	72165232	104842	-0.0149150574479684	0.0222615228669388
560	11626560	3062316	-0.0468651131822391	0.0311520037384186
560	49846579	208908	-0.0211162149405908	-0.0056076734589778
