data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
93	3385	11960529	4.246	-3.729	-20.95011656
93	3385	24856436	4.246	22.135	-0.840317399
93	3385	11977753	4.246	38.393	0.373291262
93	3385	387447	4.246	36.901	-12.99342314
93	3385	3062316	4.246	15.013	-1.53364306
93	3385	46926350	4.246	31.661	-9.210846466
93	3385	176870	4.246	8.723	1.167690348
93	3385	5288382	4.246	24.423	3.981723797
93	3385	216453	4.246	27.706	7.019067995
93	3385	208908	4.246	3.612	-2.86645154
93	3385	24964624	4.246	0.494	-3.906253881
93	3385	24958200	4.246	26.764	1.355148687
93	3385	24748204	4.246	0.238	1.721361464
93	3385	11520894	4.246	3.272	1.746846352
93	3385	16224745	4.2545	15.746	10.15540035
93	3385	9826528	4.246	52.864	-3.862708097
93	3385	216239	4.246	34.547	-3.332075715
93	3385	5329102	4.246	38.25	1.410511103
93	3385	5394	4.246	7.632	-23.24441596
93	3385	5311	4.246	15.401	-3.92764001
93	11960529	11977753	-3.734	38.393	-29.69790992
93	11960529	46926350	-3.734	31.661	-57.05374378
93	11960529	5288382	-3.734	24.423	-31.85667155
93	11960529	11520894	-3.734	3.272	-6.412068318
93	11960529	16224745	-3.734	15.746	-15.43142389
93	11960529	71301229	-3.734	4.96	-9.117979255
93	11960529	104842	-3.734	6.981	-74.24068719
93	11960529	216239	-3.734	34.547	-2.366446573
93	11960529	60700	-3.734	64.9	-41.82236745
93	24856436	11960529	22.134	-3.729	-45.98486265
93	24856436	11977753	22.134	38.393	16.45265624
93	24856436	387447	22.134	36.901	-1.188661069
93	24856436	3062316	22.134	15.013	19.81502501
93	24856436	46926350	22.134	31.661	1.767549763
93	24856436	176870	22.134	8.723	3.844751166
93	24856436	5288382	22.134	24.423	7.337641546
93	24856436	208908	22.134	3.612	-18.74518478
93	24856436	24964624	22.134	0.494	-25.01762634
93	24856436	24958200	22.134	26.764	12.06227049
93	24856436	24748204	22.134	0.238	-28.27256016
93	24856436	11520894	22.134	3.272	15.63114073
93	24856436	16224745	22.134	15.746	25.11251309
93	24856436	71301229	22.134	4.96	-5.52226032
93	24856436	9826528	22.134	52.864	4.266045466
93	24856436	104842	22.134	6.981	0.020138719
93	24856436	216239	22.134	34.547	3.37990392
93	24856436	60700	22.134	64.9	2.599148261
93	11977753	46926350	38.392	31.661	4.016660504
93	11977753	16224745	38.392	15.746	5.238670177
93	11977753	71301229	38.392	4.96	1.165448883
93	11977753	104842	38.392	6.981	8.066493043
93	11977753	216239	38.392	34.547	4.791194664
93	387447	11960529	37.01	-3.729	-56.75364545
93	387447	11977753	37.01	38.393	4.735000067
93	387447	3062316	37.01	15.013	-3.03091049
93	387447	46926350	37.01	31.661	-2.622676887
93	387447	5288382	37.01	24.423	-1.451990483
93	387447	11520894	37.01	3.272	-13.84920002
93	387447	16224745	37.01	15.746	-18.70526663
93	387447	71301229	37.01	4.96	-30.24537009
93	387447	104842	37.01	6.981	-4.193228085
93	387447	216239	37.01	34.547	0.136292825
93	387447	60700	37.01	64.9	-17.93069067
93	426756	11960529	3.032	-3.729	3.507582773
93	426756	24856436	3.032	22.135	-5.419545777
93	426756	11977753	3.032	38.393	7.967554317
93	426756	387447	3.032	36.901	-15.01641915
93	426756	3062316	3.032	15.013	-4.962474706
93	426756	46926350	3.032	31.661	-9.107468671
93	426756	176870	3.032	8.723	-4.458864846
93	426756	5288382	3.032	24.423	0.047974809
93	426756	216453	3.032	27.706	-1.2983841
93	426756	208908	3.032	3.612	1.382225136
93	426756	24964624	3.032	0.494	9.580230012
93	426756	24958200	3.032	26.764	-5.160776393
93	426756	24748204	3.032	0.238	6.59280044
93	426756	11520894	3.032	3.272	7.771140461
93	426756	16224745	3.032	15.746	7.770742799
93	426756	9826528	3.032	52.864	-12.09055718
93	426756	216239	3.032	34.547	-16.98321485
93	426756	5329102	3.032	38.25	-10.68043636
93	426756	5394	3.032	7.632	-8.345654385
93	426756	5311	3.032	15.401	-0.766779438
93	2907	11960529	-4.137	-3.729	4.262240332
93	2907	24856436	-4.137	22.135	-50.95136301
93	2907	11977753	-4.137	38.393	-37.38228492
93	2907	387447	-4.137	36.901	-52.79116204
93	2907	3062316	-4.137	15.013	-38.3914721
93	2907	46926350	-4.137	31.661	-54.59557687
