data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
86	3385	11960529	14.028	0.643	-11.25784251
86	3385	24856436	14.028	11.027	2.272071668
86	3385	11977753	14.028	31.381	-6.610503877
86	3385	387447	14.028	42.759	-7.802084292
86	3385	3062316	14.028	-10.594	-9.720014142
86	3385	46926350	14.028	31.35	-16.10557303
86	3385	176870	14.028	13.015	-0.647857955
86	3385	5288382	14.028	48.072	-0.016617953
86	3385	216453	14.028	26.094	-0.590556251
86	3385	208908	14.028	9.638	2.174461979
86	3385	24964624	14.028	8.907	0.343329147
86	3385	24958200	14.028	10.184	0.168400596
86	3385	24748204	14.028	9.423	3.295351663
86	3385	11520894	14.028	10.007	0.92789083
86	3385	16224745	14.028	19.425	1.246645678
86	3385	9826528	14.028	49.574	-0.903244681
86	3385	216239	14.028	41.392	-0.247565796
86	3385	5329102	14.028	15.311	5.101395853
86	3385	5394	14.028	-0.745	-26.50285243
86	3385	5311	14.028	22.861	-3.273296229
86	11960529	11977753	0.643	31.381	-32.99835223
86	11960529	46926350	0.643	31.35	-38.83711037
86	11960529	5288382	0.643	48.072	-35.48128594
86	11960529	11520894	0.643	10.007	-8.570514583
86	11960529	16224745	0.643	19.425	-25.91424818
86	11960529	71301229	0.643	12.973	-16.83760475
86	11960529	104842	0.643	15.756	-10.62018765
86	11960529	216239	0.643	41.392	-8.018906798
86	11960529	60700	0.643	40.481	-49.88624004
86	24856436	11960529	11.027	0.643	-2.496258121
86	24856436	11977753	11.027	31.381	8.524331765
86	24856436	387447	11.027	42.759	-4.268167515
86	24856436	3062316	11.027	-10.594	-11.76211015
86	24856436	46926350	11.027	31.35	-15.01158411
86	24856436	176870	11.027	13.015	5.463919889
86	24856436	5288382	11.027	48.072	6.283484038
86	24856436	208908	11.027	9.638	8.633987368
86	24856436	24964624	11.027	8.907	4.665192509
86	24856436	24958200	11.027	10.184	3.974494781
86	24856436	24748204	11.027	9.423	3.426317254
86	24856436	11520894	11.027	10.007	8.705516472
86	24856436	16224745	11.027	19.425	20.8636865
86	24856436	71301229	11.027	12.973	0.68395423
86	24856436	9826528	11.027	49.574	-0.656079277
86	24856436	104842	11.027	15.756	4.700659561
86	24856436	216239	11.027	41.392	2.565355815
86	24856436	60700	11.027	40.481	1.402080103
86	11977753	46926350	31.381	31.35	1.599085212
86	11977753	16224745	31.381	19.425	-50.27504101
86	11977753	71301229	31.381	12.973	-0.182552799
86	11977753	104842	31.381	15.756	9.506880049
86	11977753	216239	31.381	41.392	8.567747656
86	387447	11960529	42.757	0.643	-28.44567783
86	387447	11977753	42.757	31.381	-1.2105302
86	387447	3062316	42.757	-10.594	-55.67750538
86	387447	46926350	42.757	31.35	-4.454829815
86	387447	5288382	42.757	48.072	0.027057094
86	387447	11520894	42.757	10.007	-4.140836074
86	387447	16224745	42.757	19.425	-57.5117046
86	387447	71301229	42.757	12.973	-3.668375719
86	387447	104842	42.757	15.756	-2.621239379
86	387447	216239	42.757	41.392	-1.601041563
86	387447	60700	42.757	40.481	-1.982092811
86	426756	11960529	3.972	0.643	0.072426176
86	426756	24856436	3.972	11.027	-1.31916436
86	426756	11977753	3.972	31.381	-11.25468763
86	426756	387447	3.972	42.759	-11.68924153
86	426756	3062316	3.972	-10.594	-5.409083712
86	426756	46926350	3.972	31.35	-25.68426135
