data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
57	248862	32874	0.8685	33.476	-53.96550654
57	248862	135401907	0.81	1.049	0.922025479
57	248862	123608	-2.223	0.137	-0.657263132
57	248862	2187	26.675	-1.16	7.948396113
57	248862	5284616	-2.42	0.768	-3.77041192
57	248862	9444	-1.957	21.547	-31.18336872
57	248862	5360373	-2.792	28.154	-27.92290243
57	248862	2478	8.784	4.133	-28.86870294
57	248862	354624	-7.441	-2.285	-9.933096744
57	248862	441203	10.624	37.73	-14.00833638
57	248862	2907	7.152	1.101	-8.339111487
57	248862	3062316	-12.383	-0.087	-11.85356433
57	248862	148124	-8.111	0.168	-4.957947135
57	248862	54611422	-4.1	-0.532	-3.195831964
57	248862	176871	-11.259	-3.278	-2.940900356
57	248862	104741	44.18	-1.302	-16.42301004
57	248862	3690	9.773	-0.281	-14.20682433
57	248862	208908	-15.518	2.435	-21.42870518
57	248862	5935	-2.442	14.917	-16.41250635
57	248862	4114	5.539	-1.563	-2.628560806
57	248862	5746	17.67	39.017	-2.615681469
57	248862	4211	16.314	-3.081	-2.51577473
57	248862	23615975	3.784	0.473	-14.27291304
57	248862	451668	-21.543	-1.368	-11.53345539
57	248862	21864423	1.571	32.642	-46.42944271
57	248862	54608520	-10.667	2.428	-12.29258629
57	248862	36314	-6.822	3.082	-47.84682018
57	248862	4842	7.078	20.514	-4.835072788
57	248862	148121	22.166	88.413	-11.33041823
57	248862	9703	16.405	5.934	1.985736609
57	248862	6239	13.555	15.636	-8.066937405
57	248862	104842	-5.641	27.032	-33.44513496
57	248862	216239	1.842	1.346	-8.966620691
57	248862	5329102	-10.816	1.859	-48.20750072
57	248862	5426	-1.674	0.597	-3.535997861
57	248862	5799	1.859	34.297	-17.31487907
57	248862	5388983	31.184	-3.881	-1.720440988
57	248862	68740	-2.659	-3.037	-1.920371807
57	248862	5311	-4.386	6.591	-12.68164406
57	43834572	248862	10.611	-0.604	-26.38050753
57	43834572	32874	30.788	33.476	-0.562716755
57	43834572	135401907	20.545	1.253	-52.26560627
57	43834572	2141	21.004	-3.187	-40.56895865
57	43834572	123608	21.175	4.101	-37.17957444
57	43834572	2187	19.875	-1.16	-18.718805
57	43834572	5284616	15.598	0.768	-15.46363881
57	43834572	9444	12.994	21.547	3.266565689
57	43834572	77082	17.146	0.289	-34.58300119
57	43834572	5360373	50.117	28.154	-12.64312983
57	43834572	387447	20.678	38.993	-6.175518719
57	43834572	2478	14.369	-1.332	-14.06175959
57	43834572	426756	25.252	5.554	-66.83101389
57	43834572	2578	21.441	19.044	-4.962652533
