data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
38	248862	32874	4.896	18.3685	-2.243173484
38	248862	135401907	-6.835	-0.644	-6.899034891
38	248862	2141	0.52	-0.581	2.346931241
38	248862	123608	-2.22	10.446	-10.32490361
38	248862	2187	16.547	0.07	3.161015563
38	248862	5284616	-0.898	6.422	-69.62158643
38	248862	9444	-14.726	1.917	-21.49020729
38	248862	5360373	9.961	14.611	-1.187951226
38	248862	387447	5.077	33.987	-39.60776817
38	248862	2478	-3.692	-2.854	-4.271064957
38	248862	2578	1.982	2.367	0.113844707
38	248862	354624	1.739	3.682	-6.636931533
38	248862	441203	3.508	21.904	-9.324551577
38	248862	439693	1.124	3.474	-0.023982829
38	248862	2907	-6.56	0.17	1.824807523
38	248862	3062316	4.727	2.6	1.710714971
38	248862	148124	-6.322	9.894	-27.82074507
38	248862	24197464	4.455	7.357	-7.478504474
38	248862	54611422	-0.731	0.405	-3.208348256
38	248862	176871	-4.926	-0.91	-1.825778641
38	248862	104741	20.819	-0.046	-8.125104241
38	248862	3690	-8.601	-2.135	3.857594524
38	248862	57469	1.724	-1.747	-4.429196256
38	248862	6445540	3.727	43.943	-12.51446713
38	248862	208908	-3.999	1.5	-35.56076147
38	248862	5935	0.956	3.528	-7.151167283
38	248862	4114	-6.261	-6.425	11.20322341
38	248862	5746	9.329	36.349	-38.3462057
38	248862	4211	20.093	-2.18	-10.66994039
38	248862	23615975	-14.922	-9.613	2.844492062
38	248862	451668	9.476	1.099	-0.120442962
38	248862	21864423	6.149	26.147	-9.939255542
38	248862	54608520	-4.99	-0.815	-4.316728819
38	248862	36314	-12.116	9.776	-49.36815386
38	248862	4842	2.325	7.61	-6.320758072
38	248862	9703	-10.425	2.56	-1.525620235
38	248862	6239	1.451	3.891	-6.706546459
38	248862	5352062	-11.212	1.332	-62.59376454
38	248862	104842	-4.004	16.179	-40.98380466
38	248862	216239	7.747	-0.388	-3.570376371
38	248862	5329102	0.414	1.799	0.791152045
38	248862	5426	-16.04	-5.386	6.466736323
38	248862	60699	0.671	8.522	-34.97332223
38	248862	5799	0.901	17.122	-8.487109841
38	248862	5388983	14.723	0.43	0.872439463
38	248862	68740	5.055	-1.109	2.544207828
38	43834572	248862	-5.364	-2.578	1.5447912
38	43834572	32874	14.6225	18.3685	-1.633424609
38	43834572	135401907	0.595	-3.139	-6.016319431
38	43834572	2141	10.398	-1.211	-93.95768067
38	43834572	123608	-0.434	6.758	-0.166073705
38	43834572	2187	2.533	0.07	-3.89339489
38	43834572	5284616	-0.898	6.422	-2.809448003
38	43834572	9444	-13.138	1.917	2.867572089
38	43834572	77082	10.631	0.993	-91.12545841
38	43834572	5360373	7.185	14.611	0.673602812
38	43834572	387447	13.258	44.873	-3.620705658
38	43834572	2478	-0.588	-1.482	-2.556700769
38	43834572	426756	5.846	-1.685	-2.397355733
38	43834572	2578	9.178	4.73	-57.38458727
38	43834572	1546	6.03	26.094	-4.399572274
38	43834572	354624	1.739	3.682	0.031162674
38	43834572	441203	-0.48	18.824	0.622600083
38	43834572	439693	6.224	0.258	-8.648882337
38	43834572	2907	-0.254	-1.983	-11.00150827
38	43834572	6252	3.999	31.44	3.765290235
38	43834572	3062316	6.347	2.6	-2.567278888
38	43834572	148124	-7.953	9.894	-10.92815513
38	43834572	24197464	15.911	10.186	-4.813461248
38	43834572	54611422	-1.736	5.252	-1.63817466
38	43834572	176871	-2.732	-1.945	-1.97988803
38	43834572	657237	6.34	0.867	-45.38126375
38	43834572	104741	0.23	-0.046	-9.512396613
38	43834572	3657	2.614	-1.63	-5.173079296
38	43834572	3690	3.138	0.531	-7.387529735
38	43834572	5291	1.607	-7.776	-52.41045573
38	43834572	57469	6.372	-2.989	-14.19087253
38	43834572	6445540	-1.912	50.153	-14.99471641
38	43834572	208908	5.31	1.5	-2.493683294
38	43834572	5935	-1.781	3.528	-2.75477918
38	43834572	667490	-2.349	23.906	-5.741057334
38	43834572	4114	8.912	-1.943	-50.71490545
38	43834572	5746	-0.298	27.794	-6.020199025
38	43834572	4211	-0.449	-2.18	-2.727137742
38	43834572	644241	0.354	0.156	1.341860077
38	43834572	23615975	2.158	0.769	-9.750553657
