data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
36	248862	32874	5.946	33.3805	-7.275756746
36	248862	135401907	15.153	1.365	13.7249761
36	248862	2141	-4.998	3.18	-5.198204983
36	248862	123608	1.666	3.561	-0.143986513
36	248862	2187	8.892	-0.689	1.979407234
36	248862	5284616	2.976	0.713	-2.629764831
36	248862	9444	-3.59	0.418	-9.799978658
36	248862	5360373	-0.975	5.651	-5.177137733
36	248862	2478	15.876	4.09	-2.002423227
36	248862	2578	-8.637	9.006	-14.73364687
36	248862	354624	-5.589	2.405	-5.860913143
36	248862	441203	13.344	36.288	-3.967721821
36	248862	439693	-6.77	-0.253	-5.003710862
36	248862	2907	0.064	0.253	-1.287209843
36	248862	3062316	-5.924	0.805	-4.742356635
36	248862	148124	-0.857	-1.24	-11.09497026
36	248862	24197464	-0.817	13.805	-12.53936273
36	248862	54611422	-0.197	3.367	-4.28625529
36	248862	176871	1.578	1.148	3.517284153
36	248862	104741	4.671	-2.13	0.274492534
36	248862	3690	-0.873	-6.703	-3.671404316
36	248862	57469	4.457	3.97	0.148605077
36	248862	6445540	3.107	32.429	-21.95613316
36	248862	208908	-7.806	-1.083	-17.39504508
36	248862	5935	0.838	6.592	-8.615525823
36	248862	4114	-1.877	-3.592	3.990415866
36	248862	5746	3.272	10.975	-11.75244697
36	248862	23615975	-6.615	-0.119	2.89513931
36	248862	451668	-3.522	1.094	-1.632566216
36	248862	21864423	7.511	27.897	2.891416324
36	248862	54608520	-9.038	11.399	-22.24044354
36	248862	36314	3.004	6.032	-15.94504304
36	248862	4842	9.572	-0.73	6.427244967
36	248862	148121	9.297	9.669	-0.261937157
36	248862	9703	-2.145	-1.437	1.839316158
36	248862	6239	10.519	1.876	4.748399703
36	248862	5352062	-3.989	39.63	-60.48212608
36	248862	104842	-0.514	9.993	-64.67643629
36	248862	216239	4.369	-0.707	-5.996215259
36	248862	5329102	-12.45	-1.318	-14.75052987
36	248862	5426	-3.492	-5.363	-3.206630385
36	248862	60699	-9.874	8.086	-13.45943116
36	248862	5799	-2.491	10.398	-12.8980704
36	248862	5388983	11.178	8	-2.197049298
36	248862	68740	-2.744	-2.453	-0.273254993
36	248862	5311	7.554	12.262	-18.23635084
36	43834572	248862	-2.236	1.851	-1.973853422
36	43834572	32874	11.348	33.3805	-4.917064936
36	43834572	135401907	8.065	0.133	-11.95815476
36	43834572	2141	8.995	1.439	-7.682705131
36	43834572	123608	4.215	8.712	-2.997288967
36	43834572	2187	6.468	-0.689	-3.915617211
36	43834572	5284616	0.097	0.713	4.533118591
36	43834572	9444	3.256	0.418	-4.092354091
36	43834572	77082	4.181	0.197	-40.45531483
36	43834572	5360373	1.683	5.651	-0.313911321
36	43834572	387447	9.819	13.914	-0.299425268
36	43834572	2478	5.429	2.457	0.024089259
36	43834572	426756	17.089	4.119	-0.244410741
36	43834572	2578	6.866	0.807	4.431006004
36	43834572	1546	16.855	23.206	-0.018730557
36	43834572	354624	-0.883	2.405	0.522045067
36	43834572	441203	22.015	36.564	0.885986403
36	43834572	439693	6.547	-0.084	-3.779578712
36	43834572	2907	8.392	-0.934	-47.14809421
36	43834572	6252	15.133	34.074	3.916568836
36	43834572	3062316	-0.899	0.805	-2.928542524
36	43834572	148124	-6.978	-1.24	2.365864365
36	43834572	24197464	6.785	13.06	-2.457883643
36	43834572	54611422	3.353	-1.327	-3.153361263
36	43834572	176871	5.214	1.07	-2.051606317
