data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
44	248862	32874	6.6565	17.105	-1.793276293
44	248862	135401907	-0.405	-0.728	-0.636020583
44	248862	2141	-1.453	5.177	-2.756206414
44	248862	123608	7.64	5.643	-1.950254907
44	248862	2187	2.101	-2.908	1.957494542
44	248862	5284616	2.88	8.728	-9.489977881
44	248862	9444	-3.353	9.151	-26.29963227
44	248862	5360373	5.305	2.427	3.541533626
44	248862	387447	-2.722	33.952	-45.94727035
44	248862	2478	-0.294	-4.524	-3.356404673
44	248862	2578	1.987	4.914	-1.875095697
44	248862	354624	1.158	0.567	-3.369204541
44	248862	441203	8.246	6.34	-2.586157579
44	248862	439693	-4.355	-2.875	-1.919170916
44	248862	2907	4.994	-0.327	0.587239263
44	248862	3062316	-1.181	0.51	0.073039403
44	248862	148124	-3.966	4.269	-8.191645723
44	248862	24197464	-3.309	10.808	-38.98805818
44	248862	54611422	2.955	0.604	-2.986121097
44	248862	176871	-10.297	-2.786	-1.345030084
44	248862	104741	1.506	-2.381	-1.319390579
44	248862	3690	3.074	1.159	2.899161967
44	248862	57469	-6.249	-5.492	5.46952388
44	248862	6445540	1.59	56.247	-30.76589064
44	248862	208908	0.965	-1.761	-2.164411949
44	248862	5935	-2.095	-0.469	-2.231918753
44	248862	4114	6.589	-0.954	-3.520589065
44	248862	5746	6.062	3.878	-8.671025037
44	248862	4211	7.065	0.434	-6.176257403
44	248862	23615975	1.304	-3.199	-5.689115971
44	248862	451668	4.947	-1.765	0.009117156
44	248862	21864423	4.657	21.027	-2.762802343
44	248862	54608520	-2.302	2.499	-9.645927399
44	248862	36314	-0.03	20.715	-50.61243181
44	248862	4842	4.178	1.406	-1.396436875
44	248862	9703	6.797	-1.064	1.42298396
44	248862	6239	0.899	8.192	-29.8885486
44	248862	5352062	-3.484	15.598	-65.05734245
44	248862	104842	-6.16	3.406	-21.78703607
44	248862	216239	3.105	0.875	-2.149219768
44	248862	5329102	-3.361	-0.123	0.368070023
44	248862	5426	7.774	2.759	4.08247059
