data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
73	3385	11960529	21.45	-1.339	-12.82841082
73	3385	24856436	21.45	22.143	5.307884271
73	3385	11977753	21.45	46.394	1.216787454
73	3385	387447	21.45	50.389	-4.209935757
73	3385	3062316	21.45	60.669	0.658807723
73	3385	46926350	21.45	39	-8.595347048
73	3385	176870	21.45	7.812	5.477281156
73	3385	5288382	21.45	72.899	-8.406458565
73	3385	216453	21.45	22.571	1.363351429
73	3385	208908	21.45	3.295	3.332968348
73	3385	24964624	21.45	14.956	3.014590762
73	3385	24958200	21.45	6.427	-1.717971567
73	3385	24748204	21.45	21.263	1.877250298
73	3385	11520894	21.45	37.037	7.892054477
73	3385	16224745	21.45	44.022	5.130258063
73	3385	9826528	21.45	35.514	-1.58901254
73	3385	216239	21.45	39.218	-12.56931302
73	3385	5329102	21.45	1.425	-1.815245262
73	3385	5394	21.45	13.931	-1.951038206
73	3385	5311	21.45	19.578	-1.588521091
73	11960529	11977753	-1.339	46.394	-22.80631714
73	11960529	46926350	-1.339	39	-37.30864242
73	11960529	5288382	-1.339	72.899	-27.15792239
73	11960529	11520894	-1.339	37.037	-4.216593259
73	11960529	16224745	-1.339	44.022	-14.31336126
73	11960529	71301229	-1.339	19.857	-18.47534352
73	11960529	104842	-1.339	13.754	-71.69360907
73	11960529	216239	-1.339	39.218	-19.23908612
73	11960529	60700	-1.339	70.531	-23.4312662
73	24856436	11960529	22.144	-1.339	-41.22304931
73	24856436	11977753	22.144	46.394	9.363096052
73	24856436	387447	22.144	50.389	-5.156294815
73	24856436	3062316	22.144	60.669	8.132710306
73	24856436	46926350	22.144	39	-6.499054694
73	24856436	176870	22.144	7.812	3.270692791
73	24856436	5288382	22.144	72.899	-5.820670851
73	24856436	208908	22.144	3.295	1.367122816
73	24856436	24964624	22.144	14.956	2.799624752
73	24856436	24958200	22.144	6.427	-1.470767834
73	24856436	24748204	22.144	21.263	0.82926275
73	24856436	11520894	22.144	37.037	13.2621453
73	24856436	16224745	22.144	44.022	23.33846475
73	24856436	71301229	22.144	19.857	-0.410170886
73	24856436	9826528	22.144	35.514	6.354054075
73	24856436	104842	22.144	13.754	2.80237297
73	24856436	216239	22.144	39.218	-6.048164579
73	24856436	60700	22.144	70.531	-1.979938322
73	11977753	46926350	46.394	39	6.428593168
73	11977753	16224745	46.394	44.022	7.249912056
73	11977753	71301229	46.394	19.857	5.941206578
73	11977753	104842	46.394	13.754	5.97738001
73	11977753	216239	46.394	39.218	-3.182672684
73	387447	11960529	50.389	-1.339	-35.58753458
73	387447	11977753	50.389	46.394	1.527962085
73	387447	3062316	50.389	60.669	-2.081430229
73	387447	46926350	50.389	39	-1.97961782
73	387447	5288382	50.389	72.899	-0.787961523
73	387447	11520894	50.389	37.037	2.1658548
73	387447	16224745	50.389	44.022	-2.075784574
73	387447	71301229	50.389	19.857	-4.976297019
73	387447	104842	50.389	13.754	-1.990126387
73	387447	216239	50.389	39.218	-10.85795367
73	387447	60700	50.389	70.531	0.748509734
73	426756	11960529	26.323	-1.339	-8.892239367
73	426756	24856436	26.323	22.143	5.066109698
73	426756	11977753	26.323	46.394	9.515270886
73	426756	387447	26.323	50.389	1.561538602
73	426756	3062316	26.323	60.669	2.007335186
73	426756	46926350	26.323	39	-0.831926891
73	426756	176870	26.323	7.812	0.102257475
73	426756	5288382	26.323	72.899	-0.097250611
73	426756	216453	26.323	22.571	2.617469787
73	426756	208908	26.323	3.295	3.202436413
73	426756	24964624	26.323	14.956	2.194890336
73	426756	24958200	26.323	6.427	1.666969947
73	426756	24748204	26.323	21.263	2.771625642
73	426756	11520894	26.323	37.037	8.684097834
73	426756	16224745	26.323	44.022	7.15596394
73	426756	9826528	26.323	35.514	1.132313179
73	426756	216239	26.323	39.218	-18.44227654
73	426756	5329102	26.323	1.425	-5.142865714
73	426756	5394	26.323	13.931	0.274290021
73	426756	5311	26.323	19.578	3.679162685
73	2907	11960529	-3.039	-1.339	0.262139433
73	2907	24856436	-3.039	22.143	-36.64988134
73	2907	11977753	-3.039	46.394	-25.54773902
73	2907	387447	-3.039	50.389	-51.96942157
73	2907	3062316	-3.039	60.669	-10.45823271
73	2907	46926350	-3.039	39	-51.78958618
73	2907	176870	-3.039	7.812	-31.49594006
73	2907	5288382	-3.039	72.899	-28.90346926
73	2907	216453	-3.039	22.571	-13.58345002
73	2907	208908	-3.039	3.295	-10.85732228
73	2907	24964624	-3.039	14.956	-12.39043131
73	2907	24958200	-3.039	6.427	-6.79448273
73	2907	24748204	-3.039	21.263	-21.78358072
73	2907	11520894	-3.039	37.037	-1.584265134
73	2907	16224745	-3.039	44.022	-33.54969965
73	2907	9826528	-3.039	35.514	-17.17790999
73	2907	216239	-3.039	39.218	-25.10092987
73	2907	5329102	-3.039	1.425	-12.57781518
73	2907	5394	-3.039	13.931	2.457221903
73	2907	5311	-3.039	19.578	-31.42702133
73	3062316	11960529	60.668	-1.339	-12.8049429
73	3062316	11977753	60.668	46.394	11.79449714
73	3062316	46926350	60.668	39	-2.564482394
73	3062316	5288382	60.668	72.899	-0.388771045
73	3062316	11520894	60.668	37.037	11.43439586
73	3062316	16224745	60.668	44.022	8.35138247
73	3062316	71301229	60.668	19.857	-2.819539201
73	3062316	104842	60.668	13.754	3.781988141
73	3062316	216239	60.668	39.218	-2.260381023
73	3062316	60700	60.668	70.531	4.159978449
73	5743	11960529	-9.651	-1.339	-9.815907442
73	5743	24856436	-9.651	22.143	-47.52475634
73	5743	11977753	-9.651	46.394	-27.90227027
73	5743	387447	-9.651	50.389	-53.76774969
73	5743	3062316	-9.651	60.669	-21.36290459
73	5743	46926350	-9.651	39	-57.68415213
73	5743	176870	-9.651	7.812	-38.48494006
73	5743	5288382	-9.651	72.899	-34.31431301
73	5743	216453	-9.651	22.571	-20.20812189
73	5743	208908	-9.651	3.295	-19.75203322
73	5743	24964624	-9.651	14.956	-18.47336881
73	5743	24958200	-9.651	6.427	-14.25213898
73	5743	24748204	-9.651	21.263	-33.71937759
73	5743	11520894	-9.651	37.037	-5.036327634
73	5743	16224745	-9.651	44.022	-40.86562152
73	5743	9826528	-9.651	35.514	-19.84425374
73	5743	216239	-9.651	39.218	-26.119133
73	5743	5329102	-9.651	1.425	-14.40617456
73	5743	5394	-9.651	13.931	-11.36501247
73	5743	5311	-9.651	19.578	-42.40995883
73	46926350	16224745	38.999	44.022	0.690072587
73	31703	11960529	68.457	-1.339	-19.24439011
73	31703	24856436	68.457	22.143	0.54242073
73	31703	11977753	68.457	46.394	3.987584661
73	31703	387447	68.457	50.389	-1.27256876
73	31703	3062316	68.457	60.669	6.554651144
73	31703	46926350	68.457	39	-0.488188067
73	31703	176870	68.457	7.812	0.989140207
73	31703	5288382	68.457	72.899	1.685321927
73	31703	216453	68.457	22.571	-2.706717838
73	31703	208908	68.457	3.295	1.35813915
73	31703	24964624	68.457	14.956	-1.315460944
73	31703	24958200	68.457	6.427	-7.448945938
73	31703	24748204	68.457	21.263	0.39229166
73	31703	11520894	68.457	37.037	1.994330771
73	31703	16224745	68.457	44.022	7.234037054
73	31703	9826528	68.457	35.514	-1.071859115
73	31703	216239	68.457	39.218	-8.588839786
73	31703	5329102	68.457	1.425	-12.85731229
73	31703	5394	68.457	13.931	-1.847208876
73	31703	5311	68.457	19.578	4.299267298
73	176870	11960529	7.829	-1.339	-32.26851569
73	176870	11977753	7.829	46.394	9.601349572
73	176870	387447	7.829	50.389	-2.646984586
73	176870	3062316	7.829	60.669	2.850600834
73	176870	46926350	7.829	39	1.361214161
73	176870	5288382	7.829	72.899	-2.54688333
73	176870	11520894	7.829	37.037	12.76021758
73	176870	16224745	7.829	44.022	6.633474979
73	176870	71301229	7.829	19.857	-9.81271966
73	176870	9826528	7.829	35.514	2.346717558
73	176870	104842	7.829	13.754	9.636838472
73	176870	216239	7.829	39.218	-10.6261559
73	176870	60700	7.829	70.531	10.80526671
73	36462	11960529	37.601	-1.339	-33.6300518
73	36462	24856436	37.601	22.143	6.151470684
73	36462	11977753	37.601	46.394	2.314679409
73	36462	387447	37.601	50.389	-0.7654918
73	36462	3062316	37.601	60.669	5.075209534
73	36462	46926350	37.601	39	-0.181199171
73	36462	176870	37.601	7.812	1.580068525
73	36462	5288382	37.601	72.899	2.42592965
73	36462	208908	37.601	3.295	4.726990669
73	36462	24964624	37.601	14.956	6.071963126
73	36462	24958200	37.601	6.427	-6.15102505
73	36462	24748204	37.601	21.263	8.139733385
73	36462	11520894	37.601	37.037	4.21997029
73	36462	16224745	37.601	44.022	7.082080004
73	36462	9826528	37.601	35.514	0.998463411
73	36462	216239	37.601	39.218	-4.931869166
73	36462	5329102	37.601	1.425	-10.39085199
73	36462	5394	37.601	13.931	-1.949867793
73	36462	5311	37.601	19.578	6.045139615
73	5288382	11977753	72.894	46.394	2.494818668
73	5288382	46926350	72.894	39	-2.771259036
73	5288382	16224745	72.894	44.022	1.574864489
73	5288382	71301229	72.894	19.857	-2.327563836
73	5288382	104842	72.894	13.754	-0.201481452
73	5288382	216239	72.894	39.218	-8.080450201
73	5288382	60700	72.894	70.531	1.794905088
73	60750	11960529	79.676	-1.339	-15.0919859
73	60750	24856436	79.676	22.143	3.123865787
73	60750	11977753	79.676	46.394	4.197849445
73	60750	387447	79.676	50.389	0.98108455
73	60750	3062316	79.676	60.669	6.11964345
73	60750	46926350	79.676	39	0.425160593
73	60750	176870	79.676	7.812	-1.440914913
73	60750	5288382	79.676	72.899	2.311443001
73	60750	208908	79.676	3.295	-13.58561435
73	60750	24964624	79.676	14.956	1.863304208
73	60750	24958200	79.676	6.427	-6.534374873
73	60750	24748204	79.676	21.263	-2.958189792
73	60750	11520894	79.676	37.037	2.743225306
73	60750	16224745	79.676	44.022	8.510305642
73	60750	9826528	79.676	35.514	-3.681730791
73	60750	216239	79.676	39.218	-7.251443727
73	60750	5329102	79.676	1.425	-5.064014099
73	60750	5394	79.676	13.931	-3.055778658
73	216453	11960529	22.571	-1.339	-14.98501064
73	216453	24856436	22.571	22.143	10.35234585
73	216453	11977753	22.571	46.394	6.049132562
73	216453	387447	22.571	50.389	-2.16672214
73	216453	3062316	22.571	60.669	5.111087717
73	216453	46926350	22.571	39	-3.423663661
73	216453	176870	22.571	7.812	6.937826887
73	216453	36462	22.571	37.601	2.397615527
73	216453	5288382	22.571	72.899	3.773379919
73	216453	60750	22.571	79.678	5.415829796
73	216453	208908	22.571	3.295	7.84962953
73	216453	24964624	22.571	14.956	7.73713376
73	216453	24958200	22.571	6.427	2.252124033
73	216453	24748204	22.571	21.263	5.346591836
73	216453	11520894	22.571	37.037	13.62701071
73	216453	16224745	22.571	44.022	5.176094774
73	216453	71301229	22.571	19.857	2.029477248
73	216453	9826528	22.571	35.514	7.812499701
73	216453	104842	22.571	13.754	11.43293119
73	216453	216239	22.571	39.218	-10.41196815
73	216453	5329102	22.571	1.425	3.849170824
73	216453	5394	22.571	13.931	3.894082243
73	216453	60700	22.571	70.531	4.095845054
73	216453	5311497	22.571	45.351	2.067016735
73	216453	5311	22.571	19.578	3.675001666
73	208908	11960529	3.217	-1.339	-10.81344488
73	208908	11977753	3.217	46.394	-5.634616434
73	208908	387447	3.217	50.389	-0.301484163
73	208908	3062316	3.217	60.669	-3.724573545
