data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
20	248862	32874	6.0805	22.168	-13.91991631
20	248862	135401907	-1.992	0.452	4.419281514
20	248862	2141	-5.441	-3.494	0.290659384
20	248862	123608	-0.36	9.903	-1.015251768
20	248862	2187	15.003	2.031	0.334547099
20	248862	5284616	-0.488	1.771	-4.120037874
20	248862	9444	-8.223	5.222	-23.69161591
20	248862	5360373	2.97	0.65	4.385811247
20	248862	387447	-0.15	11.256	-45.08575218
20	248862	2478	3.526	-0.036	-3.035878773
20	248862	2578	-3.779	-0.449	-1.938954151
20	248862	354624	1.403	9.19	-5.09721354
20	248862	441203	7.398	25.58	-10.28648154
20	248862	439693	-1.221	-2.142	-0.523275414
20	248862	2907	-2.975	0.182	-1.130621454
20	248862	3062316	-13.043	0.472	-12.14507882
20	248862	148124	-8.814	-0.763	-12.73872392
20	248862	24197464	0.436	4.936	-5.557727272
20	248862	54611422	-0.84	5.086	-1.506608512
20	248862	176871	2.221	2.261	-0.491826879
20	248862	104741	13.158	0.532	-1.713176876
20	248862	3690	4.534	3.558	-4.516285529
20	248862	57469	-1.813	-2.609	0.554115844
20	248862	6445540	0	24.269	-8.794333616
20	248862	5935	0.97	3.856	-1.42361372
20	248862	4114	-1.472	-1.653	-2.199324658
20	248862	5746	2.784	14.795	-29.86875195
20	248862	4211	11.824	-3.457	-11.88499837
20	248862	23615975	1.525	5.157	-1.623102224
20	248862	451668	0.016	-3.534	-3.807939534
20	248862	21864423	3.146	17.563	-39.45798212
20	248862	54608520	-14.781	7.862	-24.30577272
20	248862	36314	-10.409	4.368	-31.74383232
20	248862	4842	0.057	5.479	-4.102000898
20	248862	148121	12.045	43.398	-7.213097638
20	248862	9703	0.952	-2.033	-3.096032116
20	248862	6239	2.25	3.61	-8.43367605
20	248862	5352062	-5.713	35.157	-56.9525727
20	248862	104842	-10.485	4.773	-18.07394373
20	248862	216239	5.981	2.254	1.756683857
20	248862	5329102	-18.171	2.288	-29.61306971
20	248862	5426	-0.629	3.24	0.579286927
20	248862	60699	0.877	-0.412	-8.241613319
20	248862	5799	7.446	12.468	-4.390441435
20	248862	5388983	9.58	-2.418	0.327371646
20	248862	68740	5.277	-0.958	2.239507656
20	248862	5311	-5.863	17.725	-60.21153451
20	43834572	248862	-3.914	-0.38	-3.078904067
20	43834572	32874	15.1595	22.168	-7.942804774
20	43834572	2141	9.272	2.988	-15.37834674
20	43834572	123608	18.018	3.544	-31.03268507
20	43834572	2187	2.794	2.036	-6.033508144
20	43834572	5284616	-0.488	1.771	2.49513701
20	43834572	9444	4.349	5.222	-17.24095392
20	43834572	77082	14.036	-0.261	-20.44059588
20	43834572	5360373	13.066	0.65	-11.50357599
20	43834572	387447	16.18	35.446	-5.830898072
20	43834572	2478	10.856	0.604	-5.133982808
20	43834572	426756	7.875	5.397	-0.595440126
20	43834572	2578	12.77	3.545	-4.910727644
20	43834572	1546	8.51	8.753	-2.528173961
20	43834572	354624	1.402	9.19	0.438673872
20	43834572	441203	8.487	27.848	-7.337900966
20	43834572	439693	16.011	-0.385	-18.58573213
20	43834572	2907	11.909	2.447	-15.55531055
20	43834572	6252	7.079	11.925	3.49248966
20	43834572	3062316	2.154	0.472	-7.318488879
20	43834572	148124	3.2	-0.763	-12.33292925
20	43834572	24197464	16.856	4.128	-30.43502929
20	43834572	54611422	6.975	0.847	-13.18283496
20	43834572	176871	5.104	-1.043	-9.034032054
20	43834572	657237	2.018	2.472	-6.713190356
20	43834572	104741	9.805	0.532	-49.50403797
20	43834572	3657	6.143	-2.264	-18.26586294
20	43834572	3690	3.943	-1.393	-15.86393918
20	43834572	5291	6.235	4.367	-2.430453589
20	43834572	57469	12.616	-0.701	-5.078563949
20	43834572	6445540	16.247	33.603	-4.855537212
20	43834572	208908	-12.289	2.489	-2.17776748
20	43834572	5935	12.406	3.856	-3.04090465
20	43834572	667490	6.3	1.02	-1.936914779
20	43834572	4114	11.967	0.664	-21.12369138
20	43834572	5746	17.649	14.227	-0.973335096
20	43834572	4211	5.529	-3.457	-19.10409713
20	43834572	644241	-2.913	0.518	-3.343461036
20	43834572	23615975	13.496	0.579	-85.7410148
20	43834572	451668	8.867	-2.409	-16.00110024
20	43834572	21864423	15.866	17.563	-1.302590897
20	43834572	54608520	-1.278	7.862	-3.065785841
20	43834572	36314	-3.879	4.368	-2.887706476
20	43834572	4842	4.367	8.934	0.799228208
20	43834572	163659	8.741	12.273	-4.12996102
20	43834572	148121	15.841	43.398	-5.103585943
20	43834572	9703	18.235	1.419	-71.88933196
20	43834572	6239	7.366	2.563	-19.66570155
20	43834572	5352062	8.636	35.157	-13.4655555
20	43834572	104842	10.047	4.773	-7.867556983
20	43834572	216239	14.336	2.254	-6.551838047
20	43834572	5329102	1.918	2.288	-7.011662565
20	43834572	2733525	7.278	3.669	-1.985642291
20	43834572	5394	1.649	1.149	-3.819800904
20	43834572	5426	16.021	-0.13	-66.97065417
20	43834572	60699	20.755	14.118	-5.268800362
20	43834572	444795	10.509	0.341	-6.061333875
20	43834572	5799	12.158	12.468	-6.70508955
20	43834572	5388983	5.644	-2.418	-5.869117198
20	43834572	5388992	4.211	19.906	-7.649748867
20	43834572	68740	13.078	-0.958	-64.74620911
20	43834572	5311	6.658	17.725	-2.756711823
20	3385	248862	30.931	3.739	2.774347379
20	3385	43834572	26.515	20.668	2.890061381
20	3385	2019	26.515	-0.571	9.580040672
20	3385	32874	26.515	35.033	-6.368311975
20	3385	135401907	26.515	-4.602	-3.475057012
20	3385	2123	26.515	-5.145	-3.153405026
20	3385	2141	27.91	1.508	-6.655731363
20	3385	123608	26.515	5.024	3.966051447
20	3385	2187	26.515	-0.233	6.723297972
20	3385	5284616	26.515	18.958	7.950574012
20	3385	9444	26.515	-5.278	6.044103185
20	3385	77082	26.515	-1.039	-3.489582888
20	3385	5360373	27.899	-0.963	2.001575265
20	3385	387447	26.515	-3.856	0.166849382
20	3385	2478	26.515	-5.285	-5.143479913
20	3385	426756	26.515	9.677	4.722837423
20	3385	2578	26.515	-0.698	-3.380237673
20	3385	2662	26.515	-1.687	3.596025346
20	3385	1546	26.515	-1.344	3.658912981
20	3385	354624	26.515	20.649	-1.067467087
20	3385	2708	29.626	4.593	-2.486172611
20	3385	441203	26.515	-7.05	2.486999234
20	3385	439693	26.515	-0.179	0.006732651
20	3385	11626560	26.515	-3.536	-2.383946211
20	3385	2907	26.515	-0.408	-5.77014658
20	3385	6252	26.515	15.919	8.255811807
20	3385	3062316	24.778	0.91	3.953801649
20	3385	148124	26.515	21.903	3.148644121
20	3385	24197464	26.515	0.502	1.065053789
20	3385	54611422	26.515	2.937	2.369987655
