data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
72	3385	11960529	16.25	-1.645	-36.96201732
72	3385	24856436	16.25	14.274	3.832253001
72	3385	11977753	16.25	28.823	-37.60734193
72	3385	387447	16.25	53.4	-62.60862742
72	3385	3062316	16.25	-15.769	-7.144364381
72	3385	46926350	16.25	44.25	-55.24398419
72	3385	176870	16.25	9.359	6.167015351
72	3385	5288382	16.25	12.394	-36.33098388
72	3385	216453	16.25	30.091	-44.29720282
72	3385	208908	16.25	2.402	2.743361139
72	3385	24964624	16.25	4.853	3.186174037
72	3385	24958200	16.25	5.816	0.298244389
72	3385	24748204	16.25	6.887	8.107863703
72	3385	11520894	16.25	8.238	11.19446902
72	3385	16224745	16.25	37.209	-43.84090912
72	3385	9826528	16.25	63.054	-67.30049898
72	3385	216239	16.25	63.034	-0.805213184
72	3385	5329102	16.25	21.624	-1.741787071
72	3385	5394	16.25	9.117	-46.24464256
72	3385	5311	16.25	13.948	1.350367815
72	11960529	11977753	-1.645	28.823	-40.3723864
72	11960529	46926350	-1.645	44.25	-51.74146844
72	11960529	5288382	-1.645	12.394	5.280990487
72	11960529	11520894	-1.645	8.238	-8.428228017
72	11960529	16224745	-1.645	37.209	-9.537896071
72	11960529	71301229	-1.645	29.84	-15.54378192
72	11960529	104842	-1.645	9.289	-21.85531482
72	11960529	216239	-1.645	63.034	-5.855155296
72	11960529	60700	-1.645	41.665	-27.7912772
72	24856436	11960529	14.276	-1.645	-13.33898894
72	24856436	11977753	14.276	28.823	6.716771272
72	24856436	387447	14.276	53.4	-9.749172676
72	24856436	3062316	14.276	-15.769	-26.3321566
72	24856436	46926350	14.276	44.25	-12.80323558
72	24856436	176870	14.276	9.359	-3.932478239
72	24856436	5288382	14.276	12.394	3.067425878
72	24856436	208908	14.276	2.402	-1.310759773
72	24856436	24964624	14.276	4.853	-10.59642339
72	24856436	24958200	14.276	5.816	-10.29193087
72	24856436	24748204	14.276	6.887	-6.345014426
72	24856436	11520894	14.276	8.238	10.99105874
72	24856436	16224745	14.276	37.209	20.58690257
72	24856436	71301229	14.276	29.84	-2.276494759
72	24856436	9826528	14.276	63.054	-1.663740364
72	24856436	104842	14.276	9.289	-3.128144385
72	24856436	216239	14.276	63.034	1.88271195
72	24856436	60700	14.276	41.665	2.557698968
72	11977753	46926350	28.823	44.25	-0.760732728
72	11977753	16224745	28.823	37.209	-3.463277307
72	11977753	71301229	28.823	29.84	5.574793886
72	11977753	104842	28.823	9.289	8.473654477
72	11977753	216239	28.823	63.034	7.675502312
72	387447	11960529	53.401	-1.645	-28.95537262
72	387447	11977753	53.401	28.823	3.292567047
72	387447	3062316	53.401	-15.769	-50.83536101
72	387447	46926350	53.401	44.25	-4.031700438
72	387447	5288382	53.401	12.394	-5.315691235
72	387447	11520894	53.401	8.238	-11.10181965
72	387447	16224745	53.401	37.209	-16.45076462
72	387447	71301229	53.401	29.84	-1.073133625
72	387447	104842	53.401	9.289	-4.181149221
72	387447	216239	53.401	63.034	-1.845772065
72	387447	60700	53.401	41.665	-6.790790008
72	426756	11960529	-0.751	-1.645	8.739673675
72	426756	24856436	-0.751	14.274	-6.362386831
72	426756	11977753	-0.751	28.823	5.322703405
72	426756	387447	-0.751	53.4	-1.376761137
72	426756	3062316	-0.751	-15.769	-5.094624028
72	426756	46926350	-0.751	44.25	-10.70423506
72	426756	176870	-0.751	9.359	-6.174829733
72	426756	5288382	-0.751	12.394	7.488079901
72	426756	216453	-0.751	30.091	-9.620196404
72	426756	208908	-0.751	2.402	-6.071914774
72	426756	24964624	-0.751	4.853	9.744483625
72	426756	24958200	-0.751	5.816	3.086289351
72	426756	24748204	-0.751	6.887	5.375719082
72	426756	11520894	-0.751	8.238	13.52408382
72	426756	16224745	-0.751	37.209	6.262009548
72	426756	9826528	-0.751	63.054	-18.40435413
72	426756	216239	-0.751	63.034	-11.57668848
72	426756	5329102	-0.751	21.624	-13.26714052
72	426756	5394	-0.751	9.117	-12.90071289
72	426756	5311	-0.751	13.948	-6.05372693
72	2907	11960529	-8.765	-1.645	2.572461281
