data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
22	248862	32874	9.7085	24.313	-12.05260788
22	248862	135401907	-0.601	0.983	-2.112052229
22	248862	2141	-1.73	-2.138	0.897517031
22	248862	123608	-0.113	5.716	-3.565257007
22	248862	2187	9.445	-1.445	-0.263878372
22	248862	5284616	-6.02	-1.77	-1.041362873
22	248862	9444	-1.746	0.687	-7.120855683
22	248862	5360373	2.485	2.347	0.828774936
22	248862	2478	-1.812	0.968	-0.719967949
22	248862	2578	-0.849	1.014	-1.350333198
22	248862	354624	-3.006	0.195	-2.400991947
22	248862	441203	4.683	19.178	-1.183633178
22	248862	439693	-0.839	-2.384	0.849329328
22	248862	2907	-3.25	-1.844	-2.774392193
22	248862	3062316	-3.563	0.976	-8.986321936
22	248862	148124	-5.829	-0.257	-7.939724233
22	248862	24197464	4.161	4.1	-3.374214247
22	248862	176871	-4.703	-1.659	-4.605425042
22	248862	3690	0.384	0.678	-0.479906192
22	248862	57469	2.208	-0.249	-0.92171782
22	248862	6445540	4.38	24.401	-4.931470267
22	248862	208908	-2.497	1.894	-3.272608836
22	248862	5935	0.149	5.116	-8.58654562
22	248862	4114	-4.669	-0.444	-6.025527288
22	248862	5746	-0.707	8.74	-46.38019786
22	248862	4211	4.173	0.432	-12.84605998
22	248862	23615975	-4.646	-1.259	-2.081155416
22	248862	451668	-1.293	-3.156	-2.238921749
22	248862	21864423	11.927	24.922	-16.43097439
22	248862	54608520	-2.836	1.265	-3.84078761
22	248862	36314	-2.736	9.719	-22.6892818
22	248862	4842	1.435	7.89	-4.213815566
22	248862	148121	0.262	62.859	-9.753851284
22	248862	9703	-3.472	0.736	-4.040185815
22	248862	6239	-1.893	-0.226	-0.654197402
22	248862	5352062	-5.076	33.548	-53.4682126
22	248862	104842	-4.251	5.701	-13.43175235
22	248862	216239	5.042	-0.981	-0.952384045
22	248862	5329102	-3.828	1.717	-2.785439045
22	248862	5426	-2.254	-0.576	-1.130979714
22	248862	60699	-0.611	6.926	-12.42799903
22	248862	5799	-2.912	8.556	-13.65851519
22	248862	5388983	12.273	1.372	2.193171046
22	248862	68740	6.032	1.166	0.169533512
22	248862	5311	-3.72	15.958	-30.49743188
22	43834572	248862	-0.801	-1.301	-5.601618691
22	43834572	32874	10.997	24.313	-3.568943946
22	43834572	135401907	8.654	1.747	-25.91202514
22	43834572	2141	5.372	-0.331	-12.77993753
22	43834572	123608	4.939	4.62	-0.749004566
22	43834572	2187	4.928	-1.445	-5.354922723
22	43834572	5284616	-0.408	-1.77	-2.829306941
22	43834572	9444	5.585	0.687	-10.42613973
22	43834572	77082	4.053	-0.432	-8.262617792
22	43834572	5360373	3.479	2.347	0.67206685
22	43834572	387447	6.578	37.658	-1.884859478
22	43834572	2478	3.37	-0.479	-2.102193875
22	43834572	426756	4.603	2.26	1.29255723
22	43834572	2578	-1.847	2.96	1.355434062
22	43834572	1546	2.886	12.412	-1.264430839
22	43834572	354624	2.164	0.195	-4.043392524
22	43834572	441203	-1.119	15.915	-0.446604335
22	43834572	439693	4.883	0.645	-2.885174309
22	43834572	2907	4.881	0.171	-2.647219283
22	43834572	6252	4.822	4.146	-2.455282009
22	43834572	3062316	-0.491	0.976	-4.61948081
22	43834572	148124	-0.269	-0.257	-1.398661423
22	43834572	24197464	0.95	3.894	-1.517988508
22	43834572	54611422	3.086	3.581	-4.298424934
22	43834572	176871	1.549	0.244	-7.467408125
22	43834572	657237	4.374	0.04	-71.55804124
22	43834572	3657	3.67	-0.613	-6.908079252
22	43834572	3690	7.409	0.149	-3.623460414
22	43834572	5291	0.313	0.275	-4.329157208
22	43834572	57469	1.207	-1.097	-0.100151096
22	43834572	6445540	2.168	26.062	-9.484846524
22	43834572	208908	-0.746	1.894	-5.133553873
22	43834572	5935	3.384	5.116	1.337899963
22	43834572	667490	0.599	15.45	3.268934491
22	43834572	4114	6.719	0.609	3.673690673
22	43834572	5746	6.638	7.959	0.595595825
22	43834572	4211	0.591	0.432	-8.456096631
22	43834572	644241	-0.839	0.386	-3.328968601
22	43834572	23615975	4.466	0.609	-7.06130063
22	43834572	451668	3.567	-3.653	-1.767457983
22	43834572	21864423	16.404	24.922	0.038859316
22	43834572	54608520	2.263	1.265	-7.124083808
22	43834572	36314	-1.246	9.719	-8.065492664
22	43834572	4842	4.526	9.294	1.631932562
22	43834572	163659	2.531	22.087	-2.164437724
22	43834572	148121	0.226	62.887	-5.110878648
22	43834572	9703	1.897	-2.337	-0.923417434
22	43834572	6239	4.775	1.963	2.42099298
22	43834572	5352062	0.64	33.548	-33.32609707
22	43834572	104842	0.658	5.701	-4.633060308
22	43834572	216239	-0.021	-0.981	5.995523173
22	43834572	5329102	0.05	1.717	-5.490439464
22	43834572	2733525	1.79	1.435	-4.046170441
22	43834572	5394	4.687	0.13	-4.604456957
22	43834572	5426	2.993	-1.756	-78.81235048
22	43834572	60699	5.271	9.338	-5.297691179
22	43834572	444795	6.219	3.071	-2.964256476
22	43834572	5799	-0.247	8.556	-0.752954051
22	43834572	5388983	4.012	1.373	-2.028990832
22	43834572	5388992	-0.835	17.118	-13.58287938
22	43834572	68740	0.666	1.166	3.782641253
22	43834572	5311	2.574	15.958	-4.277682887
22	3385	248862	12.249	-3.867	-8.667957777
22	3385	43834572	9.651	12.004	-5.541791209
22	3385	2019	9.651	0.075	-0.193225982
22	3385	32874	9.651	39.417	6.107072993
22	3385	135401907	9.651	-0.824	-11.19809737
22	3385	2123	9.651	-5.061	2.091628271
22	3385	2141	18.034	2.66	-6.451082852
22	3385	123608	9.651	1.708	-6.199564073
22	3385	2187	9.651	-0.986	2.673094534
22	3385	5284616	9.651	-0.26	3.086348517
22	3385	9444	9.651	-4.707	-9.146712872
22	3385	77082	9.651	-3.759	-2.711944906
22	3385	5360373	8.092	-5.288	-2.46880073
22	3385	387447	9.651	-0.44	7.783516703
22	3385	2478	9.651	-4.861	-13.44210335
22	3385	426756	9.651	2.571	1.846524227
22	3385	2578	9.651	-2.389	10.24631853
22	3385	2662	9.651	0.11	3.714937751
22	3385	1546	9.651	-2.912	-9.408502951
22	3385	354624	1.677	18.086	-21.53309213
22	3385	2708	9.651	7.072	6.743471156
22	3385	441203	9.651	-3.37	-10.82549377
22	3385	439693	9.651	-1.975	-0.244423264
22	3385	11626560	9.651	-0.371	1.108944994
22	3385	2907	9.651	0.765	-5.060103349
22	3385	6252	9.651	-0.38	-2.835587686
22	3385	3062316	6.852	-4.641	-3.734032116
22	3385	148124	9.651	18.028	1.735064313
22	3385	24197464	9.651	-1.161	4.568389439
22	3385	54611422	9.651	4.045	-3.055726599
22	3385	176871	9.651	-0.663	2.259546299
22	3385	657237	9.651	-1.51	-8.074423467
22	3385	104741	9.651	-0.415	1.538722772
22	3385	3657	9.651	-3.869	-9.025584708
22	3385	3690	9.651	-0.726	-14.27388113
22	3385	5291	9.651	-0.867	-1.266049322
22	3385	57469	9.651	-1.42	10.52806657
22	3385	6445540	9.651	-0.736	-0.91970954
22	3385	208908	9.651	-4.448	-3.60134259
22	3385	3902	9.651	-1.252	3.775054414
22	3385	5935	9.651	-3.713	-8.408755026
22	3385	9927978	9.651	-4.336	7.896712047
22	3385	667490	9.651	9.563	-15.43384852
22	3385	126941	-1.431	3.359	-6.653101675
22	3385	4114	9.651	-1.038	-2.6427568
22	3385	5746	9.651	4.038	2.929394374
22	3385	4211	9.651	1.675	-3.53338645
22	3385	644241	9.651	-4.195	-2.698904709
22	3385	23615975	9.651	2.346	-12.00054779
22	3385	451668	9.651	-4.407	2.209056106
22	3385	21864423	9.651	24.922	5.762231297
22	3385	54608520	9.651	-5.512	-3.677706021
22	3385	36314	9.651	18.007	-2.344294409
