data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
7	248862	32874	6.5505	34.3525	-20.88785096
7	248862	135401907	3.776	0.501	1.384215558
7	248862	2141	-3.368	0.138	-0.91628869
7	248862	123608	-5.85	3.7	-6.605070726
7	248862	2187	29.986	-1.133	-0.606923079
7	248862	5284616	1.211	2.966	-12.60372465
7	248862	9444	-9.776	31.06	-36.07597883
7	248862	5360373	4.062	14.393	-2.058884805
7	248862	387447	-1.707	33.023	-67.81274727
7	248862	2478	1.672	4.319	1.097072821
7	248862	2578	-5.963	7.626	-13.46290321
7	248862	354624	2.584	-0.082	0.221768901
7	248862	441203	5.946	30.61	-5.848847793
7	248862	439693	-0.242	0.474	-1.062647052
7	248862	2907	4.771	-1.757	1.707095195
7	248862	3062316	-2.82	2.721	-13.65190795
7	248862	148124	-3.926	1.935	-4.942782725
7	248862	24197464	0.375	16.988	-12.10060766
7	248862	54611422	10.847	3.972	-3.102145247
7	248862	176871	9.575	3.028	0.354120283
7	248862	104741	28.034	-0.821	-5.191004961
7	248862	3690	1.165	1.267	0.95205706
7	248862	57469	0.47	-0.295	-2.164064113
7	248862	6445540	1.819	50.906	-30.2508927
7	248862	208908	-4.937	2.216	-5.417899355
7	248862	5935	1.98	14.108	-18.28418881
7	248862	4114	-2.528	-0.368	-0.319896282
7	248862	5746	-0.527	30.019	-32.24539928
7	248862	4211	31.589	0.542	-16.86259767
7	248862	23615975	3.204	5.173	-0.250311527
7	248862	451668	-1.029	3.599	1.452773648
7	248862	21864423	5.784	33.24	-9.462044007
7	248862	54608520	-1.871	0.206	-3.596877455
7	248862	36314	-5.026	9.213	-41.40572042
7	248862	4842	2.653	17.678	-4.423654051
7	248862	148121	28.878	63.008	-6.299110403
7	248862	9703	-1.333	-0.231	-2.373230108
7	248862	6239	0.097	-3.105	0.541756756
7	248862	5352062	0.86	45.162	-62.6410148
7	248862	104842	-11.184	23.103	-46.57910655
7	248862	216239	2.004	-0.993	-0.849633516
7	248862	5329102	-3.194	2.01	-8.112513593
7	248862	5426	2.202	-0.745	2.820170435
7	248862	60699	-4.172	33.62	-67.41914229
7	248862	5799	0.212	26.354	-23.10413584
7	248862	5388983	32.824	-0.533	-1.62518106
7	248862	68740	0.832	0.891	2.461874239
7	248862	5311	-1.538	16.319	-66.58174699
7	43834572	248862	-1.541	-0.798	0.7845657
7	43834572	32874	19.958	34.3525	-2.167909992
7	43834572	135401907	16.867	2.642	-16.63040239
7	43834572	2141	16.968	-2.318	-28.77422673
7	43834572	123608	4.212	-3.85	-24.74755814
7	43834572	2187	14.899	-1.133	-12.53052635
7	43834572	5284616	1.212	2.965	-5.109315337
7	43834572	9444	2.628	31.06	-0.846964563
7	43834572	77082	10.891	0.653	-74.37382762
7	43834572	5360373	9.508	14.393	-0.621715047
7	43834572	387447	21.313	44.97	-4.655425692
7	43834572	2478	9.669	-0.148	-0.785405567
7	43834572	426756	9.212	10.161	3.914369935
7	43834572	2578	18.781	15.455	-35.05808259
7	43834572	1546	11.075	27.792	1.802878495
7	43834572	354624	2.584	-0.082	0.81914421
7	43834572	441203	5.974	31.024	-5.459086553
7	43834572	439693	15.684	-0.534	-18.48022136
7	43834572	2907	18.21	-1.236	-86.1410148
7	43834572	6252	11.429	11.451	-1.402666053
7	43834572	3062316	3.831	2.721	-2.004818398
7	43834572	148124	1.381	1.935	2.17199601
7	43834572	24197464	22.069	20.202	-4.669998904
7	43834572	176871	6.023	1.26	-3.202166953
7	43834572	657237	8.445	-1.418	-17.90156431
7	43834572	104741	16.144	-0.821	-54.65686904
7	43834572	3657	11.895	0.571	-77.85019665
7	43834572	3690	8.084	1.2	-62.53408626
7	43834572	5291	10.692	1.418	-39.89159616
7	43834572	57469	20.386	0.917	-17.27576773
7	43834572	6445540	12.461	40.965	2.524768016
7	43834572	208908	4.292	2.216	-10.06015798
7	43834572	5935	7.631	14.108	0.29089385
7	43834572	667490	8.58	18.783	0.648402449
7	43834572	4114	10.467	2.186	-30.84921129
7	43834572	5746	17.258	26.41	-15.41746274
7	43834572	4211	19.532	0.542	-82.84575889
7	43834572	644241	-0.732	0.515	0.145139371
7	43834572	23615975	6.851	1.486	-7.837278338
7	43834572	451668	6.118	1.003	1.639322646
7	43834572	21864423	33.329	33.24	-2.534552231
7	43834572	54608520	3.173	0.206	-2.273058407
7	43834572	4842	17.588	17.426	-8.072592267
7	43834572	163659	18.144	25.762	-3.559904017
7	43834572	148121	13.054	63.008	-7.034687648
7	43834572	9703	10.748	-0.029	-71.31943945
7	43834572	6239	14.54	0.494	-6.89186111
7	43834572	5352062	13.716	45.162	-2.099021606
7	43834572	104842	-8.125	23.103	-7.121988281
7	43834572	216239	6.342	-0.993	-21.59648042
7	43834572	5329102	3.718	2.01	1.651719248
7	43834572	2733525	6.092	-1.731	-18.46297619
7	43834572	5394	7.455	-1.023	-13.68519459
7	43834572	5426	6.997	-2.144	-12.4576283
7	43834572	60699	20.923	37.313	-3.30538054
7	43834572	444795	8.506	6.56	-0.813225503
7	43834572	5799	10.43	26.354	-3.353383713
7	43834572	5388983	15.843	-0.533	-11.06582851
7	43834572	5388992	10.057	5.287	0.790304012
7	43834572	68740	6.843	0.891	-15.66681005
7	43834572	5311	10.369	16.319	2.124008874
7	3385	248862	27.598	-1.985	-13.00948489
7	3385	43834572	35.662	25.273	-10.26986889
7	3385	11960529	18.945	-4.039	-11.85807258
7	3385	2019	35.662	0.705	-8.658216043
7	3385	32874	35.662	50.063	-0.795336548
7	3385	135401907	35.662	2.245	-23.39745529
7	3385	2123	35.662	-0.872	-15.14239601
7	3385	2141	26.387	-1.303	-5.450377255
7	3385	123608	35.662	2.79	-19.23307297
7	3385	2187	35.662	0.692	-5.928068142
7	3385	5284616	35.662	14.58	-5.884474853
7	3385	9444	35.662	4.213	0.87324892
7	3385	24856436	18.945	16.446	4.872391199
7	3385	77082	35.662	0.985	-15.59277292
7	3385	11977753	18.945	36.127	-8.258043108
7	3385	5360373	23.018	1.241	1.641380612
7	3385	387447	22.2884	37.073	-7.008945234
7	3385	2478	35.662	4.706	-22.0664063
7	3385	426756	35.662	19.496	-9.606838693
7	3385	2578	35.662	0.093	-11.02543089
7	3385	2662	35.662	-1.002	-11.27044369
7	3385	1546	35.662	1.624	-10.25509863
7	3385	354624	35.662	21.689	-6.735470434
7	3385	2708	35.662	19.95	-6.864551576
7	3385	441203	35.662	1.134	-12.19118217
7	3385	439693	35.662	-0.131	-16.54915488
7	3385	11626560	35.662	0.656	-6.889257191
7	3385	2907	35.662	1.138	-22.5084063
7	3385	6252	35.662	9.429	-6.654238933
7	3385	3062316	20.7966	5.8992	3.132408478
7	3385	46926350	18.945	29.927	-15.26549522
7	3385	148124	35.662	25.453	-2.553189491
7	3385	24197464	35.662	5.037	-9.696331135
7	3385	54611422	35.662	7.321	-14.61424002
7	3385	176870	18.945	17.358	5.682796539
7	3385	176871	35.662	2.405	-5.566878082
7	3385	657237	35.662	1.417	-12.00240398
7	3385	104741	35.662	2.754	-7.834034969
7	3385	5288382	18.945	40.969	-4.434953304
7	3385	3657	35.662	1.77	-23.41086966
7	3385	3690	35.662	-0.143	-21.73262853
7	3385	5291	35.662	-0.412	-9.950848838
7	3385	57469	35.662	-2.222	-6.657663908
7	3385	6445540	35.662	1.641	-5.794513142
7	3385	216453	18.945	13.792	3.156541444
7	3385	208908	22.2884	3.1358	1.372380517
7	3385	3902	35.662	0.014	-7.030831616
7	3385	5935	35.662	-0.709	-12.34408366
7	3385	9927978	35.662	8.135	-8.392706332
7	3385	667490	35.662	21.679	-19.59586608
7	3385	126941	24.73	18.802	-3.485322772
7	3385	4114	35.662	-0.153	-12.44073731
7	3385	5746	35.662	27.095	-12.25908407
7	3385	4211	35.662	-0.169	-15.10500078
7	3385	24964624	18.945	22.824	3.246463087
7	3385	24958200	18.945	7.931	-1.003213489
7	3385	24748204	18.945	9.784	3.503582002
7	3385	11520894	18.945	17.145	3.355534586
7	3385	16224745	18.945	15.173	2.037509053
7	3385	644241	35.662	1.174	-5.894301077
7	3385	23615975	35.662	4.129	-8.398663697
7	3385	451668	35.662	1.579	-12.21189665
7	3385	21864423	35.662	33.24	-0.617124098
7	3385	54608520	35.662	11.437	-1.166181995
7	3385	36314	35.662	26.958	-11.56198222
7	3385	9826528	18.945	61.249	-7.880110278
7	3385	4842	26.264	12.821	-2.18311249
7	3385	163659	35.662	4.279	-5.191564984
7	3385	148121	35.662	0.936	-7.063638015
7	3385	9703	35.662	-1.772	-12.78366744
7	3385	6239	35.662	2.598	-7.093720504
7	3385	5352062	35.662	40.224	-1.948539158
