MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
953	54761306	23725625	0.051247237	0.062189249
953	24856436	23725625	-0.016143984	0.010222335
953	24856436	54761306	0.006072098	0.044585627
953	16007391	23725625	0.000707365	0.018411482
953	16007391	54761306	-0.078053474	-0.048414995
953	16007391	24856436	0.014343777	0.032509207
953	118502708	24856436	-0.015937372	-0.00685907
953	135151360	23725625	-0.040654977	-0.031005919
953	118502708	54761306	0.048980171	0.056163868
953	118502708	16007391	-0.013487876	-0.00692829
953	54761306	23725625	0.012316083	0.027473676
953	24856436	23725625	0.002036992	0.018023621
953	24856436	54761306	0.074664614	0.10751858
953	16007391	23725625	0.07122939	0.084150983
953	16007391	54761306	-0.063540821	-0.032865542
953	16007391	24856436	0.027512639	0.045984355
953	118502708	24856436	-0.027539	-0.01594993
953	135151360	23725625	-0.027359257	-0.018254743
953	118502708	54761306	0.03783465	0.044685915
953	118502708	16007391	-0.008115349	-0.001970363
953	54761306	23725625	0.016817138	0.032712945
953	24856436	23725625	-0.027768048	-0.004793866
953	24856436	54761306	0.012333216	0.048092992
953	16007391	23725625	0.005200736	0.024718453
953	16007391	54761306	-0.071144756	-0.042369865
953	16007391	24856436	-0.023405678	-0.001646656
953	118502708	24856436	-0.011674238	-0.003311704
953	135151360	23725625	-0.033867101	-0.024532459
953	118502708	54761306	-0.007087974	0.002044896
953	118502708	16007391	-0.008788935	-0.002358359
953	135151360	24856436	0.041071843	0.056013849
953	135151360	118502708	0.009963065	0.015563404
953	135151360	54761306	0.027927321	0.035142537
953	135151360	16007391	0.054272653	0.065456951
953	46700756	23725625	-0.06569779	-0.048936198
953	46700756	54761306	-0.007513704	0.029778064
953	46700756	24856436	0.123345977	0.161206321
953	46700756	118502708	0.022445056	0.035797437
953	46700756	135151360	-0.009973847	0.011765461
953	46700756	104842	-0.05969478	-0.015080969
953	104842	23725625	0.037752739	0.051119944
953	31703	135151360	0.089839198	0.110848284
953	90132565	23725625	-0.030379159	-0.022043705
953	104842	118502708	0.024868424	0.033097014
953	3082962	23725625	-0.057013468	-0.051061191
953	135151360	24856436	0.04538047	0.062889052
953	135151360	118502708	0.017726029	0.023247749
953	135151360	54761306	0.046027532	0.057577053
953	135151360	16007391	0.025089802	0.042724345
953	46700756	23725625	-0.054914124	-0.035910434
953	46700756	54761306	-0.024618136	0.013628608
953	46700756	24856436	0.087696457	0.131581333
953	46700756	118502708	0.04656922	0.054827472
953	46700756	135151360	0.006720742	0.02720468
953	46700756	104842	-0.054942505	-0.010346946
953	104842	23725625	0.055047197	0.069919351
953	31703	135151360	0.083333348	0.102999582
953	90132565	23725625	-0.018690679	-0.010985347
953	104842	118502708	0.033329087	0.045536103
953	3082962	23725625	0.003555087	0.008655515
953	135151360	24856436	0.033773896	0.0516487
953	135151360	118502708	0.024943904	0.029858935
953	135151360	54761306	0.049794245	0.056101576
953	135151360	16007391	0.018473014	0.032862721
953	46700756	23725625	-0.010140733	0.007928767
953	46700756	54761306	0.007834172	0.042893972
