MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
2242	54761306	23725625	0.023558095	0.038207614
2242	24856436	23725625	-0.027107599	-0.008378188
2242	24856436	54761306	0.007287249	0.073371984
2242	16007391	23725625	0.001381833	0.015357982
2242	16007391	54761306	-0.087845153	-0.048815989
2242	16007391	24856436	-0.051703414	-0.030398716
2242	118502708	24856436	-0.030171984	-0.009033897
2242	135151360	23725625	-0.039450768	-0.031671225
2242	118502708	54761306	-0.006622852	0.008484354
2242	118502708	16007391	-0.010955968	-0.00268878
2242	54761306	23725625	0.001997125	0.016274079
2242	24856436	23725625	-0.018407413	-0.000619244
2242	24856436	54761306	0.026199134	0.087782984
2242	16007391	23725625	-0.001682729	0.010792946
2242	16007391	54761306	-0.116581249	-0.073547107
2242	16007391	24856436	-0.065889148	-0.049954413
2242	118502708	24856436	-0.036966604	-0.021699443
2242	135151360	23725625	-0.040629372	-0.032485404
2242	118502708	54761306	-0.004919073	0.008588605
2242	118502708	16007391	-0.045928774	-0.035401043
2242	54761306	23725625	-0.027640676	-0.007353409
2242	24856436	23725625	-0.032277934	-0.014905086
2242	24856436	54761306	0.01277175	0.076792019
2242	16007391	23725625	-0.005641626	0.00805412
2242	16007391	54761306	-0.075100783	-0.042831034
2242	16007391	24856436	-0.034665298	-0.01909685
2242	118502708	24856436	-0.033897494	-0.01863725
2242	135151360	23725625	-0.037523555	-0.029731373
2242	118502708	54761306	-0.008227217	0.005979446
2242	118502708	16007391	-0.011308354	-0.002453276
2242	135151360	24856436	0.016982416	0.047849581
2242	135151360	118502708	0.012879091	0.022241955
2242	135151360	54761306	0.010758301	0.024806639
2242	135151360	16007391	0.022780438	0.03990971
2242	46700756	23725625	-0.040288176	-0.030582478
2242	46700756	54761306	-0.071037479	-0.001424066
2242	46700756	24856436	0.017209746	0.08512646
2242	46700756	118502708	0.008211198	0.024541708
2242	46700756	135151360	0.008596951	0.034582884
2242	46700756	104842	-0.145650346	-0.062071634
2242	104842	23725625	0.066253086	0.079004507
2242	31703	135151360	0.069288956	0.082964522
2242	90132565	23725625	-0.040073268	-0.032289451
2242	104842	118502708	0.03382995	0.046045435
2242	3082962	23725625	-0.037364981	-0.029595819
2242	135151360	24856436	0.001197623	0.029904089
2242	135151360	118502708	-0.022293681	-0.011050753
2242	135151360	54761306	-0.009123855	0.006678554
2242	135151360	16007391	0.040401807	0.054646351
2242	46700756	23725625	-0.052572423	-0.042736413
2242	46700756	54761306	-0.057783517	0.011590402
2242	46700756	24856436	-0.007241024	0.059148139
2242	46700756	118502708	0.012661593	0.029029338
2242	46700756	135151360	0.000900287	0.01668651
2242	46700756	104842	-0.19492696	-0.111001729
2242	104842	23725625	0.048563039	0.061103688
2242	31703	135151360	0.046849076	0.069537826
2242	90132565	23725625	-0.045538491	-0.036956879
2242	104842	118502708	0.009509853	0.022404075
2242	3082962	23725625	-0.038876005	-0.030885947
2242	135151360	24856436	-0.010771024	0.029667367
2242	135151360	118502708	-0.020881306	-0.009831217
2242	135151360	54761306	-0.001953446	0.018871121
2242	135151360	16007391	0.011009805	0.024246861
2242	46700756	23725625	-0.000931631	0.014410301
2242	46700756	54761306	-0.056941837	0.00898449
2242	46700756	24856436	-0.03504781	0.021078512
2242	46700756	118502708	0.018771987	0.031160693
2242	46700756	135151360	0.006705166	0.025401936
2242	46700756	104842	-0.167472804	-0.086404365
2242	104842	23725625	0.07506479	0.089910359
2242	31703	135151360	0.03832755	0.051682596
2242	90132565	23725625	-0.04111427	-0.032558617
2242	104842	118502708	0.052561828	0.068860437
2242	3082962	23725625	-0.035676124	-0.027889601
2242	54761306	23725625	-0.011160321	0.002513176
2242	24856436	23725625	-0.034459267	-0.019094034
2242	24856436	54761306	0.02314031	0.075392893
2242	16007391	23725625	0.010733349	0.02109217
2242	16007391	54761306	-0.058603112	-0.023587172
2242	16007391	24856436	-0.016958124	0.000567276
2242	118502708	24856436	-0.034773698	-0.012670706
2242	135151360	23725625	-0.036078907	-0.025530847
2242	118502708	54761306	-0.018009817	0.001572885
2242	118502708	16007391	0.013781527	0.02675043
2242	54761306	23725625	-0.018700037	-0.00449719
2242	24856436	23725625	-0.039728878	-0.024186802
2242	24856436	54761306	0.036485964	0.084866428
2242	16007391	23725625	-0.006221388	0.004976522
2242	16007391	54761306	-0.07243392	-0.038107127
2242	16007391	24856436	-0.014137751	0.007073459
2242	118502708	24856436	-0.028921796	-0.006349733
2242	135151360	23725625	-0.05507337	-0.042618451
2242	118502708	54761306	-0.019282411	-0.005813578
2242	118502708	16007391	-0.001531509	0.009516891
2242	54761306	23725625	0.001859542	0.02079104
2242	24856436	23725625	-0.023579281	-0.005724188
2242	24856436	54761306	-0.00871473	0.04968408
2242	16007391	23725625	0.006872147	0.018464346
2242	16007391	54761306	-0.080315595	-0.036895086
2242	16007391	24856436	-0.014029022	0.003936325
2242	118502708	24856436	-0.049198188	-0.027090627
2242	135151360	23725625	-0.030354565	-0.020697767
2242	118502708	54761306	-0.02668905	-0.012344767
2242	118502708	16007391	-0.005150998	0.006645562
2242	135151360	24856436	-0.074174625	-0.040678952
2242	135151360	118502708	-0.012627215	-0.002070845
