MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
325	54761306	23725625	0.001932966	0.010676647
325	24856436	23725625	-0.024314559	0.00471943
325	24856436	54761306	0.019551329	0.067994011
325	16007391	23725625	-0.004907486	0.005366404
325	16007391	54761306	-0.056017037	-0.030718399
325	16007391	24856436	-0.052180056	-0.041242302
325	118502708	24856436	-0.005798843	0.007674754
325	135151360	23725625	-0.037901071	-0.030848449
325	118502708	54761306	0.044842616	0.05366612
325	118502708	16007391	-0.002488668	0.002884622
325	135151360	24856436	-0.027544008	0.009065299
325	135151360	118502708	0.023198616	0.034713261
325	135151360	54761306	0.01040301	0.024944059
325	135151360	16007391	-0.035031503	-0.019866478
325	46700756	23725625	-0.015933322	0.000271189
325	46700756	54761306	-0.009170465	0.030691139
325	46700756	24856436	0.083203603	0.13038494
325	46700756	118502708	0.066818782	0.076112864
325	46700756	135151360	-0.002819085	0.012728863
325	46700756	104842	-0.000649509	0.039330386
325	104842	23725625	0.022660846	0.031761793
325	31703	135151360	0.071097705	0.085612515
325	90132565	23725625	-0.02376225	-0.018926616
325	104842	118502708	0.018207333	0.029242294
325	3082962	23725625	-0.020007915	-0.015186766
325	131634760	24856436	-0.007667516	0.043590206
325	131634760	118502708	0.015209941	0.028000789
325	131634760	54761306	0.003389155	0.020333875
325	131634760	16007391	0.002175485	0.020929094
325	131634760	135151360	-0.021045904	-0.003160508
325	131634760	25227436	-0.028983399	-0.015195416
325	131634760	52913813	0.025659866	0.049421525
325	131634760	10127622	-0.009327047	0.017886097
325	131634760	49846579	0.020755479	0.039974383
325	86661883	54761306	0.002851544	0.035919611
325	86661883	24856436	-0.053596763	-0.035048608
325	86661883	118502708	-0.038074223	-0.017398006
325	86661883	25227436	-0.063971417	-0.050200424
325	86661883	16007391	-0.003220369	0.01308528
325	86661883	135151360	0.006605558	0.019912927
325	86661883	10127622	0.002762119	0.02470923
325	86661883	52913813	-0.072695947	-0.04094612
325	49846579	54761306	-0.05861424	-0.035702697
325	49846579	24856436	0.007402088	0.038577709
325	49846579	16007391	-0.053713273	-0.037417904
325	49846579	118502708	-0.037795338	-0.024347484
325	49846579	135151360	-0.020923355	-0.009209414
325	49846579	25227436	-0.03049159	-0.019962338
325	49846579	52913813	-0.032540072	-0.018547174
325	11707110	51001932	0.080461803	0.141867009
325	49846579	24771867	-0.035853341	-0.022343871
325	49846579	10127622	0.023842168	0.043421671
325	46700756	104842	0.018107613	0.06810206
325	25227436	16007391	-0.0180935523469374	-0.0035254338405954
325	25227436	54761306	-0.055176160932613	-0.0131481716368837
325	25227436	126689157	-0.0397077834902649	-0.022881045686851
325	25227436	118693659	-0.0323258474213819	-0.0126543542850449
325	25227436	5330286	0.0095332604617931	0.0463593358563529
325	25227436	10127622	-0.0648617440090807	-0.0153741813321769
325	5330286	131634760	-0.0233579972322842	0.0198408875468934
325	5330286	49846579	-0.0339576680988798	-0.0165232565819507
325	208908	11626560	-0.0066181795618709	0.0266550538969831
325	3062316	11707110	-0.0623549243959295	-0.0423810600365376
325	5330286	10127622	0.0221335637852597	0.0554666408840952
325	208908	24964624	0.0346747995286547	0.0603731145233479
325	118693659	24856436	-0.157479683341693	-0.0860636112163467
325	118693659	131634760	-0.0183318798828033	0.0023563595052025
325	118693659	54761306	-0.000470358994529795	0.0384890368062883
325	118693659	16007391	-0.027297411883711	-0.0065996603381904
325	118693659	49846579	-0.0172255546522372	0.0028659447777686
325	118693659	10127622	-0.0532496036987258	0.0096013436993761
325	68289010	131634760	0.0200617670591549	0.0405954628282033
325	68289010	49846579	-0.0761813587448308	-0.0414539377462373
325	10127622	54761306	-0.00029786864264175	0.052715484013047
325	10127622	16007391	-0.0690349854279451	-0.0198502148848787
325	123631	126689157	-0.0656348009179648	-0.0291709217867899
325	10127622	24856436	-0.0080227904482558	0.0758079456025495
325	10127622	126689157	-0.0415449094327308	0.0020797803451444
325	54761306	10339178	-0.0441630515581699	-0.0208927549316063
325	131634760	208908	0.0149835477542186	0.0486218550121884
325	135151360	36462	0.0732283381373202	0.0957483968728825
325	86661883	208908	0.0058647191972209	0.0266464514313863
325	24856436	104842	-0.0432353978795016	0.049599173942129
325	72165232	3385	-0.0120195749097306	0.0149080581601288
325	72165232	24856436	0.0524707533555775	0.121719765640439
325	51001932	24866313	0.0591925020746374	0.152575742211211
325	208908	10127622	-0.0769236965036117	-0.0197780442415627
325	11626560	10127622	-0.0472822782535363	0.0271639491443904
325	86661883	60749	0.0955100425891026	0.116741794551995
325	72165232	104842	-0.0874979734869007	-0.0053509115924879
325	11626560	3062316	-0.0785591341796856	-0.0585537279610707
325	49846579	208908	0.029310969299549	0.0455962262160001
325	54761306	60749	-0.0055425317964261	0.0384820873081906
325	24856436	60749	-0.0443258325247423	0.0205399107771792
325	72165232	60749	-0.0109547004219711	0.0359125910138002
325	52913813	25227436	-0.0302873433589518	-0.0072841706204891
325	52913813	5330286	0.0192181467289006	0.0545887029353097
325	131634760	60749	0.0099590294852923	0.037560237910432
325	86661883	36314	0.0815380100343447	0.122249661916884
325	131634760	36314	0.0892715708443202	0.109719159628843
325	23725625	86661883	-0.0103817438170486	0.0038780734573045
325	23725625	118693659	-0.0641548229114343	-0.0350610638350413
325	23725625	131634760	-0.0516011626542544	-0.033739526578526
325	23725625	49846579	-0.0480070812370046	-0.0338961989862773
