MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
1535	54761306	23725625	-0.047474173	-0.040346782
1535	24856436	23725625	-0.013237919	-0.00376516
1535	24856436	54761306	0.00166466	0.051438161
1535	16007391	23725625	-0.035254962	-0.03003031
1535	16007391	54761306	-0.036596329	-0.028896267
1535	16007391	24856436	-0.022992068	-0.01419438
1535	118502708	24856436	-0.015926153	-0.007097944
1535	135151360	23725625	-0.057014792	-0.051409899
1535	118502708	54761306	-0.01529297	-0.004704874
1535	118502708	16007391	-0.019091511	-0.015265589
1535	135151360	24856436	-0.000685512	0.031495314
1535	135151360	118502708	0.028545683	0.036943561
1535	135151360	54761306	-0.022815263	0.000980758
1535	135151360	16007391	0.031503362	0.039745742
1535	46700756	23725625	-0.032702291	-0.027254594
1535	46700756	54761306	-0.062103213	-0.020387591
1535	46700756	24856436	0.03224719	0.066355262
1535	46700756	118502708	0.002551188	0.010254219
1535	46700756	135151360	-0.057962238	-0.048738104
1535	46700756	104842	-0.066350039	-0.019656522
1535	104842	23725625	0.022572624	0.029276846
1535	31703	135151360	0.063139494	0.07101689
1535	90132565	23725625	-0.023796626	-0.019858456
1535	104842	118502708	-0.03266147	-0.025814777
1535	3082962	23725625	-0.031236379	-0.026255874
1535	131634760	24856436	-0.001455632	0.019787172
1535	131634760	118502708	0.014819169	0.02232285
1535	131634760	54761306	0.124477738	0.133562353
1535	131634760	16007391	0.053265985	0.060542883
1535	131634760	135151360	0.003934559	0.012647861
1535	131634760	25227436	0.002158328	0.00851417
1535	131634760	52913813	0.037961185	0.054088542
1535	131634760	10127622	0.004418445	0.026867611
1535	131634760	49846579	-0.016709748	-0.00367744
1535	86661883	54761306	0.0150752	0.033627429
1535	86661883	24856436	0.035401279	0.045874665
1535	86661883	118502708	-0.014788174	-0.009964195
1535	86661883	25227436	-0.038920917	-0.032411797
1535	86661883	16007391	-0.020416602	-0.014699941
1535	86661883	135151360	-0.013160567	-0.007837266
1535	86661883	10127622	-0.003886296	0.023546284
1535	86661883	52913813	0.028962135	0.045872421
1535	49846579	54761306	0.045307423	0.076795373
1535	49846579	24856436	0.026674189	0.062177114
1535	49846579	16007391	-0.011036351	-0.000796195
1535	49846579	118502708	-0.003855312	0.010401161
1535	49846579	135151360	0.014934384	0.029791093
1535	49846579	25227436	-0.044814012	-0.026911781
1535	49846579	52913813	-0.033524646	-0.018497771
1535	11707110	51001932	0.06773859	0.100791416
1535	49846579	24771867	-0.014849385	-0.002881483
1535	49846579	10127622	-0.049937811	-0.018159183
1535	46700756	104842	-0.079104084	-0.026530051
1535	25227436	16007391	0.0123115415557571	0.0468961407295859
1535	25227436	54761306	0.0138308793961065	0.0555595108770112
1535	25227436	126689157	-0.0527807414904667	-0.0102500983940235
1535	25227436	118693659	0.0011228771687743	0.0257046915797789
1535	25227436	5330286	-0.0343728225333664	-0.0068226367204111
1535	25227436	10127622	-0.0257984397477424	0.0162744068790225
1535	5330286	131634760	-0.0334816601885878	0.0062985469737003
1535	5330286	49846579	-0.0527835690435993	-0.0375572177373923
1535	208908	11626560	-0.0432122913692456	-0.0045290107239212
1535	3062316	11707110	-0.12100446542134	-0.111084727156212
1535	5330286	10127622	0.0324242015159438	0.0579395726654197
1535	208908	24964624	0.0428387296055452	0.0657251448147719
1535	118693659	24856436	-0.0880883191116553	-0.0018742374322174
1535	118693659	131634760	0.0204385698124505	0.0744702003630617
1535	118693659	54761306	-0.0348554574090041	0.0359706503660629
1535	118693659	16007391	0.0221091138893507	0.0447367466879403
1535	118693659	49846579	-0.0199298990451547	0.0234639456071338
1535	118693659	10127622	0.0303788430958978	0.0988236164118262
1535	68289010	131634760	0.0386824199750118	0.0546046157548157
1535	68289010	49846579	-0.0131594870177892	0.0265794915947275
1535	10127622	54761306	-0.0323165925288026	0.0331814056214434
1535	10127622	16007391	-0.0553040190850435	-0.0429181028235733
1535	123631	126689157	-0.0538302246627425	-0.0263757224546125
1535	10127622	24856436	0.0455896971397766	0.0680163902258615
1535	10127622	126689157	-0.0533211191809877	-0.0341336662209768
1535	118693659	24856436	-0.0256600528482185	0.0482490214170834
1535	118693659	131634760	0.101101115579418	0.135894507005683
1535	118693659	54761306	0.0050288526679768	0.0674311029598512
1535	118693659	16007391	-0.0159024907959928	0.0035542788965875
1535	118693659	49846579	-0.0141764493867817	0.0140834380731313
1535	118693659	10127622	0.0944827951584649	0.171596231028279
1535	68289010	131634760	0.0521507347376556	0.0674546672069641
1535	68289010	49846579	-0.0905598000002932	-0.0436215729297187
1535	10127622	54761306	0.0078733938686223	0.0835082502187874
1535	10127622	16007391	0.000518808805695182	0.0171105866142648
1535	123631	126689157	-0.119108587901073	-0.070458285041535
1535	10127622	24856436	-0.0212843892555272	0.0664742210684092
1535	10127622	126689157	-0.0263638430924813	0.0123563322053293
1535	54761306	60749	-0.0837117516722575	0.0023497987166211
1535	24856436	60749	-0.0346134289530373	0.0512120052140445
1535	72165232	60749	-0.0899653796417246	0.0051537867932497
1535	52913813	25227436	0.0333771088595363	0.0532101438616953
1535	52913813	5330286	0.0795195404538382	0.102832427710137
1535	131634760	60749	0.0109547159370362	0.0690842343549738
1535	86661883	36314	-0.0173971835595701	0.0367977152825627
1535	131634760	36314	0.0439004081621358	0.0598804687861269
1535	23725625	86661883	0.0028291268829708	0.0176132123025726
1535	23725625	118693659	-0.0983584398513321	-0.0632492319821921
1535	23725625	131634760	-0.0418973391160523	-0.0294984915341189
1535	23725625	49846579	0.0143022271215795	0.0302446241813901
1535	54761306	10339178	-0.0539439471675975	-0.0272034131277363
1535	131634760	208908	-0.0621962112323036	-0.0285786972803419
1535	135151360	36462	0.0177707207123155	0.0486791895392019
1535	86661883	208908	-0.0519379005511517	-0.0265039797418087
1535	24856436	104842	-0.106962723642597	-0.009389523209277
1535	72165232	3385	-0.0570408350796332	-0.0376405857523626
