MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
1274	54761306	23725625	-0.041296262	-0.020286717
1274	24856436	23725625	-0.109401493	-0.060411971
1274	24856436	54761306	-0.040335599	-0.013356583
1274	16007391	23725625	-0.089358285	-0.063086595
1274	16007391	54761306	-0.087753222	-0.060063768
1274	16007391	24856436	-0.0590313	-0.037121404
1274	118502708	24856436	-0.071771534	-0.044598088
1274	135151360	23725625	-0.05822791	-0.037119019
1274	118502708	54761306	-0.069271536	-0.04433237
1274	118502708	16007391	-0.057192436	-0.038529735
1274	54761306	23725625	-0.023412972	-0.002802181
1274	24856436	23725625	-0.09997461	-0.048484071
1274	24856436	54761306	-0.058630051	-0.017128025
1274	16007391	23725625	-0.047568312	-0.019710185
1274	16007391	54761306	-0.075249274	-0.050192184
1274	16007391	24856436	-0.079808731	-0.054777595
1274	118502708	24856436	-0.043458153	-0.017067795
1274	135151360	23725625	-0.078488573	-0.056514106
1274	118502708	54761306	-0.046969699	-0.025069148
1274	118502708	16007391	-0.068053408	-0.048295899
1274	135151360	24856436	0.00729069	0.046275078
1274	135151360	118502708	-0.022705793	0.012636915
1274	135151360	54761306	0.050726867	0.081878901
1274	135151360	16007391	-0.033009866	-0.000902743
1274	46700756	23725625	-0.017788608	0.011060239
1274	46700756	54761306	0.009543716	0.039482471
1274	46700756	24856436	-0.096365533	-0.020335195
1274	46700756	118502708	-0.046326498	-0.007389429
1274	46700756	135151360	-0.054176187	-0.009320426
1274	46700756	104842	-0.102463111	-0.040662893
1274	104842	23725625	0.026812005	0.049726531
1274	31703	135151360	0.01913795	0.050062295
1274	90132565	23725625	-0.080532179	-0.057797455
1274	104842	118502708	-0.064353918	-0.032371306
1274	3082962	23725625	-0.040869811	-0.020858952
1274	135151360	24856436	0.00043337	0.032262161
1274	135151360	118502708	0.002856332	0.027778054
1274	135151360	54761306	0.025424772	0.043186165
1274	135151360	16007391	-0.005503906	0.022848954
1274	46700756	23725625	-0.080475595	-0.054358475
1274	46700756	54761306	-0.054506749	-0.031385794
1274	46700756	24856436	-0.008488881	0.024776295
1274	46700756	118502708	-0.018646044	0.009378161
1274	46700756	135151360	-0.02918114	-0.000815395
1274	46700756	104842	-0.122955495	-0.072250358
1274	104842	23725625	-0.035036876	-0.016953768
1274	31703	135151360	0.001945603	0.020399196
1274	90132565	23725625	-0.074111005	-0.052915894
1274	104842	118502708	-0.050851542	-0.031721841
1274	3082962	23725625	-0.064513382	-0.044174829
1274	131634760	24856436	-0.02590211	0.009218727
1274	131634760	118502708	0.03597521	0.055232741
1274	131634760	54761306	0.001963086	0.020593309
1274	131634760	16007391	-0.006142211	0.017294613
1274	131634760	135151360	-0.028382118	-0.001931399
1274	131634760	25227436	-0.056860044	-0.03715627
1274	131634760	52913813	-0.028744262	0.006887713
1274	131634760	10127622	-0.020869993	-0.000591346
1274	131634760	49846579	-0.031271639	-0.013103853
1274	86661883	54761306	-0.05895901	-0.035128245
1274	86661883	24856436	0.012914698	0.030428462
1274	86661883	118502708	-0.025063753	-0.011731155
1274	86661883	25227436	-0.024193995	0.003128566
1274	86661883	16007391	-0.02300956	-0.009751662
1274	86661883	135151360	-0.05680356	-0.038581986
1274	131634760	24856436	0.043426609	0.069486393
1274	131634760	118502708	-0.013433509	0.006164836
1274	131634760	54761306	0.02407387	0.040872042
1274	131634760	16007391	-0.004897011	0.013516776
1274	131634760	135151360	-0.058018583	-0.027776525
1274	131634760	25227436	-0.045683358	-0.025993154
1274	131634760	52913813	-0.011984663	0.027912956
1274	131634760	10127622	-0.017953624	0.003758302
1274	131634760	49846579	-0.016214732	0.006825501
1274	86661883	54761306	-0.043292608	-0.016450489
1274	86661883	24856436	0.04190139	0.059350342
1274	86661883	118502708	-0.025805067	-0.011805179
1274	86661883	25227436	-0.066530207	-0.037134696
1274	86661883	16007391	-0.036328101	-0.021456624
1274	86661883	135151360	-0.012290155	0.00311372
1274	86661883	10127622	0.089609652	0.13115344
1274	86661883	52913813	-0.000576759	0.054567994
1274	49846579	54761306	-0.010052698	0.008935959
1274	49846579	24856436	-0.081887485	-0.060159938
1274	49846579	16007391	-0.069107525	-0.046508423
1274	49846579	118502708	-0.069607885	-0.051192318
1274	49846579	135151360	-0.034928294	-0.016022628
1274	49846579	25227436	-0.060832792	-0.033134842
1274	49846579	52913813	-0.000949528	0.019029582
1274	11707110	51001932	0.05640712	0.12031629
1274	49846579	24771867	-0.041272963	-0.02780187
1274	49846579	10127622	-0.022588007	-0.002355428
1274	46700756	104842	-0.035615482	0.001044166
1274	86661883	10127622	0.122329556	0.155844116
1274	86661883	52913813	0.160163537	0.180713593
1274	49846579	54761306	-0.047183043	-0.027551316
1274	49846579	24856436	-0.09313086	-0.072023956
1274	49846579	16007391	-0.058149362	-0.039309221
1274	49846579	118502708	-0.062069793	-0.043148593
1274	49846579	135151360	-0.053589932	-0.027260232
1274	49846579	25227436	-0.033316195	-0.01166748
1274	49846579	52913813	-0.015761668	0.001597241
1274	11707110	51001932	0.090091673	0.139009849
1274	49846579	24771867	-0.07475409	-0.057382674
1274	49846579	10127622	-0.040769534	-0.018772265
1274	46700756	104842	-0.026335062	-0.009946452
