MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
945	54761306	23725625	-0.010546544	0.023355258
945	24856436	23725625	-0.019395875	0.023076037
945	24856436	54761306	-0.018944637	0.049170338
945	16007391	23725625	-0.033887669	-0.012870827
945	16007391	54761306	-0.09136538	-0.060188474
945	16007391	24856436	-0.037784556	-0.012614193
945	118502708	24856436	-0.025535201	-0.00522605
945	135151360	23725625	-0.053262945	-0.037267659
945	118502708	54761306	-0.015896117	0.002740335
945	118502708	16007391	-0.040102244	-0.027915237
945	135151360	24856436	-0.015009343	0.033536285
945	135151360	118502708	-0.032538823	-0.00686717
945	135151360	54761306	0.052325351	0.085134095
945	135151360	16007391	-0.012132592	0.020394154
945	46700756	23725625	-0.03812797	-0.003345795
945	46700756	54761306	-0.00614925	0.045360425
945	46700756	24856436	0.112135914	0.181821673
945	46700756	118502708	0.001678034	0.040736857
945	46700756	135151360	0.005414319	0.044611124
945	46700756	104842	-0.042041995	0.031456456
945	104842	23725625	0.000682965	0.036523314
945	31703	135151360	0.039926905	0.072835963
945	90132565	23725625	-0.05756703	-0.044932701
945	104842	118502708	0.026723373	0.050140203
945	3082962	23725625	-0.024569179	-0.012474731
945	131634760	24856436	0.04156466	0.087611108
945	131634760	118502708	-0.032817574	-0.007068456
945	131634760	54761306	0.002542571	0.023847904
945	131634760	16007391	0.025845182	0.055316765
945	131634760	135151360	-0.01335654	0.002137445
945	131634760	25227436	-0.019563063	0.001222583
945	131634760	52913813	-0.008073654	0.016126977
945	131634760	10127622	0.000649871	0.054947241
945	131634760	49846579	-0.042620786	-0.017154001
945	86661883	54761306	-0.058432204	-0.022926845
945	86661883	24856436	0.001045821	0.030308764
945	86661883	118502708	-0.083828413	-0.053440366
945	86661883	25227436	-0.042765705	-0.019581423
945	86661883	16007391	-0.064686744	-0.037450109
945	86661883	135151360	-0.042873424	-0.025301003
945	86661883	10127622	-0.01683948	0.059089685
945	86661883	52913813	-0.035382467	0.033589476
945	49846579	54761306	-0.042937557	-0.017343115
945	49846579	24856436	-0.047276336	-0.023716775
945	49846579	16007391	-0.052996801	-0.031074791
945	49846579	118502708	-0.042573686	-0.022326091
945	49846579	135151360	-0.055336614	-0.031827227
945	49846579	25227436	-0.069527537	-0.047168172
945	49846579	52913813	-0.058499242	-0.037933104
945	11707110	51001932	0.011991084	0.094775917
945	49846579	24771867	-0.013197238	0.006718993
945	49846579	10127622	-9.62e-05	0.02050987
945	46700756	104842	-0.069317405	0.012636343
945	25227436	16007391	-0.0890528448839506	-0.0303118983935698
945	25227436	54761306	-0.0269758591813408	0.0390773713265088
945	25227436	126689157	-0.0250849577738284	0.0106094180258964
945	25227436	118693659	0.0073406307314288	0.09167940516829
945	25227436	5330286	-0.0513789105505121	0.0310215294371139
945	25227436	10127622	-0.0145279221964348	0.0944955854898218
945	5330286	131634760	-0.0195713263382219	0.0185864782543357
945	5330286	49846579	-0.0585633844673688	-0.0308321410070082
945	208908	11626560	-0.11800565557719	-0.0270759580320646
945	3062316	11707110	0.141374904153714	0.206700652927678
945	5330286	10127622	-0.0309961597605318	0.0299536142724054
945	208908	24964624	-0.0572460465639508	0.0131657157955259
945	118693659	24856436	-0.042109333221117	0.0423305440989619
945	118693659	131634760	-0.0030491261547467	0.0291936829688835
945	118693659	54761306	-0.0036569844572485	0.0621776595656792
945	118693659	16007391	-0.101888840595956	-0.0361069168432785
945	118693659	49846579	-0.0684715932194087	-0.0277524298674066
945	118693659	10127622	-0.000295936561579472	0.111609738175043
945	68289010	131634760	-0.0518568904085148	-0.0204465148779732
945	68289010	49846579	-0.0804548447486248	-0.0487691271251438
945	10127622	54761306	0.0125149077287833	0.0609995467306126
945	10127622	16007391	-0.0628209708441089	-0.0221687451739825
945	123631	126689157	-0.0831351676718976	-0.0547413745201744
945	10127622	24856436	-0.0315479118079786	0.0516864032137922
945	10127622	126689157	-0.0139569179613447	0.0174285065824283
945	54761306	60749	0.0378523497823013	0.103194678241457
945	24856436	60749	0.0068609882986357	0.0908183369355297
945	72165232	60749	0.0307085015703738	0.0781956252406917
945	52913813	25227436	-0.0455283022829796	0.0118101301623237
945	52913813	5330286	0.0813701592908258	0.122412019992856
945	131634760	60749	-0.0245031601530734	0.000229637201626971
945	86661883	36314	0.0574119272363398	0.0966729766786311
945	131634760	36314	-0.0448825501475186	-0.0250018258028997
945	23725625	86661883	-0.0364585519156362	-0.0208793660191419
945	23725625	118693659	-0.0813754640540432	-0.056683699711847
945	23725625	131634760	-0.0478094393246153	-0.0337147760879105
945	23725625	49846579	-0.05339855609718	-0.0383704196458721
945	54761306	10339178	-0.0747564197497043	-0.0357447074153739
945	131634760	208908	-0.0650633309301668	-0.0239556990579942
945	135151360	36462	0.0437716735276865	0.0917803290636196
945	86661883	208908	0.0315965012368791	0.0808373679909244
945	24856436	104842	-0.10324997719828	-0.000420348070090227
945	72165232	3385	-0.0046995444360933	0.023217809697043
945	72165232	24856436	-0.0374802021779021	0.0196108057642206
945	51001932	24866313	0.0016942612679923	0.0871520991657624
945	208908	10127622	0.0128787538196634	0.0666208977583687
945	11626560	10127622	-0.0034406824342983	0.0781775905847187
945	86661883	60749	-0.0082234882335741	0.0311198043593336
945	72165232	104842	-0.0221489156744127	0.0140133754106875
945	11626560	3062316	-0.0522961586325527	0.0011605641327382
945	49846579	208908	-0.0188319000314494	0.0018613407734255
