MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
1155	54761306	23725625	0.010549388	0.035609355
1155	24856436	23725625	-0.094086516	-0.054604335
1155	24856436	54761306	0.001120613	0.060353216
1155	16007391	23725625	-0.026970491	-0.003336013
1155	16007391	54761306	-0.046806099	-0.012440595
1155	16007391	24856436	0.003502519	0.025715401
1155	118502708	24856436	0.01157769	0.027775341
1155	135151360	23725625	-0.041754882	-0.03087128
1155	118502708	54761306	0.018944388	0.044859115
1155	118502708	16007391	-0.01349137	-0.002354635
1155	135151360	24856436	-0.01107694	0.036758229
1155	135151360	118502708	0.02485395	0.043059734
1155	135151360	54761306	0.014348723	0.032554065
1155	135151360	16007391	0.002475525	0.032370384
1155	46700756	23725625	-0.134085557	-0.094548846
1155	46700756	54761306	-0.037226376	0.025016231
1155	46700756	24856436	0.041235019	0.12467848
1155	46700756	118502708	-0.003605614	0.027650255
1155	46700756	135151360	-0.038475059	-0.003044843
1155	46700756	104842	-0.093465914	-0.023577145
1155	104842	23725625	0.058628337	0.078340021
1155	31703	135151360	0.039805893	0.055915755
1155	90132565	23725625	-0.046224769	-0.034863774
1155	104842	118502708	0.001256859	0.018741444
1155	3082962	23725625	-0.025844707	-0.009162679
1155	131634760	24856436	-0.065060348	0.010058823
1155	131634760	118502708	-0.044376564	-0.022063066
1155	131634760	54761306	-0.008430461	0.048816407
1155	131634760	16007391	-0.009498087	0.039126736
1155	131634760	135151360	-0.07622074	-0.045019933
1155	131634760	25227436	-0.003971107	0.025777781
1155	131634760	52913813	0.000544397	0.035144221
1155	131634760	10127622	-0.089013222	-0.020078519
1155	131634760	49846579	-0.114467995	-0.092945519
1155	86661883	54761306	-0.096913839	-0.051801878
1155	86661883	24856436	0.008523415	0.027544251
1155	86661883	118502708	-0.028219592	-0.015692597
1155	86661883	25227436	-0.041919528	-0.028500591
1155	86661883	16007391	-0.015163737	0.001091736
1155	86661883	135151360	-0.050455702	-0.037971985
1155	86661883	10127622	0.003452991	0.047913743
1155	86661883	52913813	0.010424903	0.042697057
1155	49846579	54761306	-0.060293697	-0.015308756
1155	49846579	24856436	0.03541969	0.081427027
1155	49846579	16007391	-0.080391903	-0.040746488
