data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
112	248862	32874	2.195	29.6385	-28.05121778
112	248862	135401907	-2.167	0.913	-5.691015599
112	248862	2141	10.769	-0.367	7.118817092
112	248862	123608	-2.669	3.992	0.088938635
112	248862	2187	38.393	3.739	0.444764493
112	248862	5284616	-3.532	-0.01	-5.212072954
112	248862	9444	-3.604	7.809	-13.03429967
112	248862	5360373	1.815	27.58	-48.55986305
112	248862	387447	1.102	33.938	-34.97558039
112	248862	2478	1.045	-0.502	1.223809884
112	248862	2578	12.015	4.44	-3.300345052
112	248862	354624	-2.969	2.365	-8.924336379
112	248862	441203	-1.17	24.582	-22.99109608
112	248862	439693	-1.891	-3.872	-5.463495442
112	248862	2907	-4.753	1.403	-0.50161674
112	248862	3062316	-0.766	2.04	-2.233833816
112	248862	148124	0.773	4.213	-5.453760153
112	248862	24197464	9.78	15.618	-10.26970523
112	248862	54611422	16.48	1.793	-7.399888854
112	248862	176871	8.503	4.8	-1.073876399
112	248862	104741	31.944	-3.201	-14.0857485
112	248862	3690	-6.254	-1.684	-1.625415206
112	248862	57469	0.987	3.183	-1.050429666
112	248862	6445540	-5.962	54.385	-37.74302329
112	248862	208908	2.819	0.929	-1.196777038
112	248862	5935	-3.113	12.791	-21.25655781
112	248862	4114	-1.282	2.966	-1.522750263
112	248862	5746	3.299	46.225	-34.60992861
112	248862	4211	38.582	-6.765	-23.58394489
112	248862	23615975	-5.24	3.598	-5.968715786
112	248862	451668	-18.5	4.219	-26.97940459
112	248862	21864423	2.332	28.59	-35.46893429
112	248862	54608520	11.182	-1.086	2.806331054
112	248862	4842	0.061	19.325	-11.79782431
112	248862	148121	39.912	58.905	-5.456067699
112	248862	9703	5.655	6.704	-0.757023924
112	248862	6239	-0.347	19.932	-33.26517384
112	248862	104842	-4.823	19.195	-44.43372521
112	248862	216239	-1.065	-2.631	4.652410777
112	248862	5329102	12.609	6.18	1.30810327
112	248862	5426	5.456	1.994	-1.831563805
112	248862	60699	3.599	29.235	-47.08195924
112	248862	5799	6.081	35.373	-18.50820172
112	248862	5388983	36.849	3.992	-2.42694748
112	248862	68740	9.403	0.933	-10.65589725
112	248862	5311	-0.496	7.681	-23.96405041
112	43834572	248862	11.053	-2.068	-31.25530144
112	43834572	32874	46.2785	29.6385	-10.62618874
112	43834572	135401907	30.384	0.455	-62.90064155
112	43834572	2141	32.762	0.75	-39.99991408
112	43834572	123608	32.648	6.093	-6.080912764
112	43834572	2187	26.876	3.739	-12.34734648
112	43834572	5284616	17.981	-0.01	-15.12708163
112	43834572	9444	24.362	7.809	4.854089588
112	43834572	77082	22.92	0.245	-25.8597249
112	43834572	5360373	27.336	27.58	-0.417367738
112	43834572	2478	25.093	-0.45	-19.31445216
112	43834572	426756	19.991	-1.447	-18.67772801
112	43834572	2578	30.294	16.139	-4.523485931
112	43834572	1546	36.643	10.868	-4.233956065
112	43834572	354624	18.813	2.365	-21.77567081
112	43834572	439693	35.268	-3.333	-42.09175806
112	43834572	2907	25.993	-3.88	-31.97056856
112	43834572	6252	33.29	19.531	-2.694132034
112	43834572	3062316	24.073	2.04	-18.76876001
112	43834572	148124	21.321	4.213	-6.397322915
112	43834572	24197464	33.562	18.043	-1.845325318
112	43834572	54611422	21.479	5.112	-27.12057069
112	43834572	176871	27.356	4.276	-19.006097
112	43834572	657237	23.545	1.196	-25.22370694
112	43834572	104741	20.41	-3.201	-21.90050316
112	43834572	3657	24.523	1.475	-11.84836093
112	43834572	3690	27.395	2.335	-68.08323667
112	43834572	5291	33.863	6.454	-21.32193198
112	43834572	57469	36.86	-0.217	-21.28516522
112	43834572	6445540	19.757	57.597	-4.835354369
112	43834572	208908	12.371	0.929	-39.95935189
112	43834572	5935	12.634	12.791	-7.51112416
112	43834572	667490	27.903	24.008	-15.18368357
112	43834572	4114	23.266	-3.241	-63.54993401
112	43834572	5746	31.69	26.849	0.466127266
112	43834572	4211	24.98	-6.765	-32.09517334
112	43834572	644241	21.977	2.687	-17.16195136
112	43834572	23615975	35.187	2.714	-71.83323702
112	43834572	451668	32.446	1.718	-35.02054617
112	43834572	21864423	64.043	28.59	-16.59252722
112	43834572	54608520	9.764	-1.086	-15.04687001
112	43834572	36314	22.678	7.855	-6.011102146
112	43834572	4842	32.359	16.87	-12.28389625
112	43834572	163659	19.993	17.333	-1.950485156
112	43834572	148121	27.474	58.905	-3.368227945
112	43834572	9703	25.622	-2.787	-35.83448782
112	43834572	6239	31.623	18.016	-21.52283645
112	43834572	5352062	17.343	29.33	-15.68076731
112	43834572	104842	24.678	19.195	-3.798435365
112	43834572	216239	18.925	-2.631	-32.22673379
112	43834572	5329102	23.665	6.18	-27.42260909
112	43834572	2733525	22.281	0.802	-23.26320007
112	43834572	5394	28.742	-2.037	-23.36727884
112	43834572	5426	27.435	-0.663	-26.58780746
112	43834572	60699	40.518	36.5	-3.260288758
112	43834572	444795	19.457	9.251	5.915419919
112	43834572	5799	22.787	35.373	-3.879347309
112	43834572	5388983	24.058	3.992	-0.625993033
112	43834572	5388992	29.478	9.007	-5.933072943
112	43834572	68740	17.012	0.933	-24.35451981
112	43834572	5311	22.845	7.681	-3.868269205
112	3385	248862	29.19	0.789	-7.195994231
112	3385	43834572	44.357	52.691	-11.153028
112	3385	2019	44.357	1.489	0.391335961
112	3385	32874	44.357	38.572	5.629939676
112	3385	135401907	44.357	0.785	-25.10566289
112	3385	2123	44.357	-2.85	-26.20836082
112	3385	2141	25.842	-1.11	-12.27014777
112	3385	123608	44.357	6.566	-20.25775986
112	3385	2187	44.357	3.339	-15.64039119
112	3385	5284616	44.357	14.973	-9.883276942
112	3385	9444	44.357	-0.506	-7.322710811
112	3385	77082	44.357	0.216	-28.65175417
112	3385	5360373	26.831	6.755	2.233554141
112	3385	387447	44.357	0.212	-18.39394489
112	3385	2478	44.357	3.07	-18.98175986
112	3385	426756	44.357	18.977	-13.87457546
112	3385	2578	44.357	0.011	-22.0570753
112	3385	2662	44.357	3.001	-18.24622841
112	3385	1546	44.357	0.202	-13.00918279
112	3385	354624	44.357	14.847	-16.42695644
112	3385	2708	44.357	23.881	-13.57766671
112	3385	441203	44.357	0.823	-16.80232433
112	3385	439693	44.357	1.369	-24.58235498
112	3385	11626560	44.357	0.681	-14.8819059
112	3385	2907	44.357	-7.024	-30.54675986
112	3385	6252	44.357	17.233	-12.64314373
112	3385	3062316	29.626	3.412	-27.89283208
112	3385	148124	44.357	34.308	-12.27657491
112	3385	24197464	44.357	3.894	-16.75913232
112	3385	54611422	44.357	5.25	-31.03093905
112	3385	176871	44.357	0.518	-14.25620891
112	3385	657237	44.357	0.082	-14.63965282
112	3385	104741	44.357	0.832	-15.60668367
112	3385	3657	44.357	0.364	-34.74965591
112	3385	3690	44.357	-0.5	-27.65587097
112	3385	5291	44.357	6.984	-15.22276878
112	3385	57469	44.357	-3.394	-19.88869029
112	3385	6445540	44.357	2.992	-12.96965938
112	3385	208908	44.357	-1.379	-15.57132003
112	3385	3902	44.357	2.321	-16.7626707
