data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
56	248862	32874	3.6405	24.4525	-13.75539261
56	248862	135401907	3.528	-1.688	1.352522878
56	248862	2141	1.652	0.756	1.68858682
56	248862	123608	-4.146	2.896	-0.820646804
56	248862	2187	23.175	-0.362	-0.710970127
56	248862	5284616	-1.499	2.871	0.715175816
56	248862	9444	-2.195	1.742	-6.433429375
56	248862	5360373	2.102	11.686	-0.35113321
56	248862	387447	2.213	20.139	-53.78367265
56	248862	2478	2.55	-1.435	2.227380343
56	248862	2578	1.899	0.163	-0.768517331
56	248862	354624	-0.805	0.742	-3.47245335
56	248862	441203	5.23	17.421	-3.02442616
56	248862	439693	1.259	1.749	3.448964777
56	248862	2907	3.449	0.05	-0.986734306
56	248862	3062316	-4.002	3.24	-4.929863055
56	248862	148124	-2.521	1.141	-8.028446977
56	248862	24197464	-0.018	1.258	1.935352105
56	248862	54611422	3.209	0.682	1.594363906
56	248862	176871	0.85	-0.39	0.11715754
56	248862	104741	19.668	0.19	-4.809430692
56	248862	3690	-1.613	1.509	-3.800084494
56	248862	57469	1.96	1.127	1.815638273
56	248862	6445540	2.485	32.602	-35.33538608
56	248862	208908	3.06	2.658	-3.292028582
56	248862	5935	1.398	5.634	-4.354886198
56	248862	4114	3.493	-1.264	-3.182812063
56	248862	5746	4.283	18.371	4.735856909
56	248862	4211	23.409	1.852	-13.5321544
56	248862	23615975	-4.582	1.615	-6.109557725
56	248862	451668	6.83	-0.513	-2.603480611
56	248862	21864423	8.628	29.853	-21.91074558
56	248862	54608520	2.842	0.895	-0.093080581
56	248862	36314	-3.939	4.213	-15.03221514
56	248862	4842	6.453	8.869	2.493245115
56	248862	148121	9.561	36.546	30.28449636
56	248862	9703	0.47	-2.397	0.683108685
56	248862	6239	10.286	8.691	-0.039539739
56	248862	5352062	-3.025	2.086	-41.46871329
56	248862	104842	-4.177	8.211	-89.02478394
56	248862	216239	2.647	-0.706	-3.168742885
56	248862	5329102	-0.479	-0.08	-0.698665655
56	248862	5426	-4.114	-0.738	-0.125888269
56	248862	60699	0.05	6.506	-14.59345361
56	248862	5799	-2.061	20.086	-21.36355896
56	248862	5388983	19.793	-0.851	-1.085800422
56	248862	68740	-1.093	-0.525	1.170064465
56	248862	5311	-0.122	5.421	-9.153215972
56	43834572	248862	10.401	-0.798	-18.76074844
56	43834572	32874	19.5845	24.4525	-3.373946185
56	43834572	135401907	9.999	-2.061	-15.2256458
56	43834572	123608	13.02	1.994	-30.03930296
56	43834572	2187	18.439	-0.362	-11.35957562
56	43834572	5284616	14.164	2.871	-4.522455626
56	43834572	9444	10.828	1.742	-4.575500937
56	43834572	77082	17.026	0.964	-72.78047631
56	43834572	5360373	16.154	11.686	-2.297668172
56	43834572	2478	13.22	-0.54	-34.13230536
56	43834572	426756	16.053	5.001	0.287211521
56	43834572	1546	11.671	0.893	-2.754710151
56	43834572	354624	10.25	0.742	-8.995548388
56	43834572	441203	15.729	13.734	-17.739623
56	43834572	2907	15.744	2.907	-26.53250333
56	43834572	6252	14.063	2.35	-4.43555357
56	43834572	3062316	1.834	3.24	-3.808797395
56	43834572	148124	12.113	1.141	-4.204487312
56	43834572	54611422	-2.572	8.464	-11.72631319
56	43834572	176871	-3.935	1.294	-5.614237208
56	43834572	657237	15.446	1.395	-20.708334
56	43834572	104741	13.324	0.19	-13.98982136
56	43834572	3657	16.138	0.089	-77.94940039
56	43834572	3690	13.983	0.511	-47.26295199
56	43834572	5291	16.534	2.556	-19.38854674
56	43834572	6445540	1.435	31.903	-8.837319821
56	43834572	208908	3.525	2.658	-7.964481078
56	43834572	5935	4.74	5.634	-1.009849255
56	43834572	667490	4.557	22.291	-3.866410304
56	43834572	4114	13.725	0.957	-15.58025946
56	43834572	5746	13.233	16.545	1.023745084
56	43834572	4211	17.819	1.852	-57.83353367
56	43834572	644241	8.375	0.114	-10.19432419
56	43834572	23615975	12.93	0.543	-53.5192635
56	43834572	451668	12.591	0.014	-10.63437161
56	43834572	21864423	24.704	29.853	0.723913656
56	43834572	54608520	2.038	0.895	0.000882516
56	43834572	36314	9.625	4.213	-3.044886874
56	43834572	4842	13.339	9.332	-0.89829008
56	43834572	163659	14.128	21.539	-1.923901312
56	43834572	148121	14.407	36.548	19.96339435
56	43834572	9703	11.269	0.286	-46.82255228
56	43834572	6239	9.644	6.066	-4.054836018
56	43834572	5352062	13.094	2.086	-7.199429914
56	43834572	104842	13.24	8.211	-15.78594774
56	43834572	216239	14.778	-0.706	-45.56200252
56	43834572	5329102	1.073	-0.08	-9.592819051
56	43834572	2733525	10.732	-0.633	-10.09378897
56	43834572	5394	12.61	0.054	-14.43632435
56	43834572	5426	11.655	-0.018	-45.11653746
56	43834572	444795	18.301	0.219	-17.70865325
56	43834572	5799	10.988	20.086	-7.089967715
56	43834572	5388983	14.96	-0.851	-6.945533092
56	43834572	5388992	7.979	7.096	-1.061635465
56	43834572	68740	13.234	-0.525	-19.87885524
56	43834572	5311	13.415	5.421	-7.906304129
56	3385	248862	10.131	0.263	-5.714557084
56	3385	43834572	14.323	31.172	-1.914268292
56	3385	2019	14.323	0.685	5.970829704
56	3385	32874	14.323	41.744	6.524160494
56	3385	135401907	14.323	1.932	0.808711094
56	3385	2123	14.323	-2.104	1.105495286
56	3385	2141	11.872	-1.904	-7.084344076
56	3385	123608	14.323	4.158	-0.808344314
56	3385	2187	14.323	1.53	-2.689735362
56	3385	5284616	14.323	11.524	0.125588005
56	3385	9444	14.323	-1.985	-2.629851791
56	3385	77082	14.323	-0.101	-7.289072182
56	3385	5360373	11.553	0.151	2.143642824
56	3385	387447	14.323	0.342	2.534713907
56	3385	2478	14.323	1.473	-1.26579003
56	3385	426756	14.323	4.182	-1.574278835
56	3385	2578	14.323	-2.153	-2.28251118
56	3385	2662	14.323	0.138	-5.886430942
56	3385	1546	14.323	-0.791	-2.643449163
56	3385	354624	14.323	2.09	-0.405414758
56	3385	2708	14.323	16.351	0.713060836
56	3385	441203	14.323	-2.152	-1.508302658
56	3385	439693	14.323	1.66	-0.771398721
56	3385	11626560	14.323	-0.425	-0.335453795
56	3385	2907	14.323	1.836	-5.463968088
56	3385	6252	14.323	3.028	5.534672234
56	3385	148124	14.323	2.921	-0.874920144
56	3385	24197464	14.323	3.045	-2.289512786
56	3385	54611422	14.323	7.409	-8.160687567
56	3385	176871	14.323	4.853	-1.115425023
56	3385	657237	14.323	-1.014	-3.31085386
56	3385	104741	14.323	2.119	-2.892935649
56	3385	3657	14.323	1.372	-6.609515941
56	3385	3690	14.323	0.754	-8.86519031
56	3385	5291	14.323	0.381	-1.622858213
56	3385	57469	14.323	-0.641	-0.84368869
56	3385	6445540	14.323	-1.84	-1.347634487
56	3385	208908	14.323	6.568	1.149991617
56	3385	3902	14.323	1.859	-0.444302044
56	3385	5935	14.323	-0.008	5.870900484
56	3385	9927978	14.323	-0.042	4.61708469
56	3385	667490	14.323	20.281	-8.029744231
56	3385	126941	19.523	5.537	-11.4652672
56	3385	4114	14.323	-0.357	2.122035028
56	3385	5746	14.323	21.089	3.679724971
56	3385	4211	14.323	1.288	2.288021173
56	3385	644241	14.323	-0.498	1.622962202
56	3385	23615975	14.323	1.208	-7.972985467
56	3385	451668	14.323	-4.46	-4.184713426
56	3385	21864423	14.323	29.853	10.40118532
56	3385	54608520	14.323	10.97	3.730298477
56	3385	36314	14.323	3.374	-5.094425055
56	3385	4842	16.326	7.108	-1.165429199
56	3385	163659	14.323	0.967	5.132022509
56	3385	148121	14.323	-0.131	-1.599201401
56	3385	9703	14.323	-1.355	-3.267534383
56	3385	6239	14.323	5.093	2.922530457
56	3385	5352062	14.323	27.321	4.984270844
56	3385	104842	14.323	19.142	-3.016749359
56	3385	216239	14.323	2.089	-1.209358903
56	3385	5329102	14.323	-4.237	-3.512466468
56	3385	2733525	14.323	-1.052	-3.509778695
56	3385	5394	14.323	-2.158	-5.335711853
56	3385	5426	14.323	-0.204	3.843569058
56	3385	2723601	19.093	14.462	-11.54270057
56	3385	5453	14.323	4.963	1.37443689
56	3385	60699	14.323	2.226	1.063998922
56	3385	444795	14.323	5.122	2.145502114
56	3385	42611257	14.323	-1.837	-0.919413769
56	3385	5388983	14.323	3.163	4.683939006
56	3385	5388992	12.375	1.272	-0.330589788
56	3385	68740	14.323	5.656	-0.134322148
56	3385	5311	14.323	5.676	-1.655707253
56	132971	248862	-0.804	0.18	-2.210135985
56	132971	43834572	-0.804	31.172	-29.10000028
56	132971	3385	-0.804	14.322	-2.228096637
56	132971	2019	-0.804	0.685	10.27206752
56	132971	32874	-0.804	41.744	-22.06760249
56	132971	135401907	-0.804	1.932	-0.177421136
56	132971	2123	-0.804	-2.104	-5.976768415
56	132971	2141	-0.804	1.855	-2.898732802
56	132971	123608	-0.804	4.158	-1.630834618
56	132971	2187	-0.804	1.53	1.79365918
56	132971	5284616	-0.804	11.524	-6.189193937
56	132971	6450551	-0.804	1.724	1.386377698
56	132971	9444	-0.804	-1.985	0.158485648
56	132971	77082	-0.804	-0.101	-1.156863599
56	132971	5360373	-0.804	5.65	-8.09388616
56	132971	387447	-0.804	0.342	0.121265555
56	132971	2478	-0.804	1.473	-1.290685967
56	132971	9854073	-0.804	28.341	-19.44267405
56	132971	426756	-0.804	4.182	3.222159833
56	132971	2578	-0.804	-2.153	-1.722182712
56	132971	2662	-0.804	0.138	1.293018323
56	132971	1546	-0.804	-0.791	-3.22177747
56	132971	354624	-0.804	2.09	-0.854939767
56	132971	2708	-0.804	16.351	-2.633874517
56	132971	441203	-0.804	-2.152	-2.01473535
56	132971	439693	-0.804	1.66	1.793445656
56	132971	11626560	-0.804	-0.425	-1.854846044
56	132971	2907	-0.804	1.836	1.018946293
56	132971	6252	-0.804	3.028	-3.627087129
56	132971	135398738	-0.804	-1.77	-5.171384094
56	132971	3062316	-0.804	9.529	-30.82536577
56	132971	62770	-0.804	-0.718	-11.72485071
56	132971	71384	-0.804	1.785	-0.865060955
56	132971	148124	-0.804	2.921	-4.863864701
56	132971	24197464	-0.804	3.045	1.32326905
56	132971	54611422	-0.804	7.409	4.713304696
56	132971	176871	-0.804	4.853	1.988108452
56	132971	60198	-0.804	19.337	-9.410732863
56	132971	657237	-0.804	-1.014	-1.871956072
56	132971	104741	-0.804	2.119	3.08802203
56	132971	123631	-0.804	18.231	0.664918161
56	132971	3657	-0.804	2.711	-0.612730348
56	132971	3690	-0.804	0.754	-2.913924802
56	132971	5291	-0.804	0.381	-2.176041432
56	132971	57469	-0.804	-0.641	-2.559179245
56	132971	6445540	-0.804	-1.84	-5.29868088
56	132971	208908	-0.804	6.568	-8.804466081
56	132971	216326	-0.804	5.617	-0.539249351
56	132971	3902	-0.804	1.859	3.777898639
56	132971	3950	-0.804	6.499	-0.00068365
56	132971	5935	-0.804	-0.008	-2.346071971
56	132971	11683	-0.804	-5.315	-6.471027469
56	132971	9927978	-0.804	-0.042	-2.126260528
56	132971	667490	-0.804	20.281	-36.25219156
56	132971	126941	-0.804	12.575	-11.48659869
56	132971	4114	-0.804	-0.357	0.051999451
56	132971	5746	-0.804	21.089	-30.71070262
56	132971	4211	-0.804	1.288	2.243634085
56	132971	4212	-0.804	35.322	-28.5292841
56	132971	60779	-0.804	11.771	-16.86129404
56	132971	644241	-0.804	-0.498	-1.981118587
56	132971	23615975	-0.804	1.208	-4.732838636
56	132971	451668	-0.804	-4.46	-4.664560533
56	132971	36462	-0.804	10.423	3.919211837
56	132971	21864423	-0.804	29.853	-34.39997548
56	132971	54608520	-0.804	10.97	-9.344370127
56	132971	36314	-0.804	3.374	-3.524342509
56	132971	11525740	-0.804	1.887	4.731056713
56	132971	135410875	-0.804	24.667	-10.68940023
56	132971	4842	-0.804	8.242	0.698120039
56	132971	163659	-0.804	2.663	20.068714
56	132971	148121	-0.804	-0.131	-4.281286094
56	132971	9703	-0.804	-1.34	-3.459097818
56	132971	6239	-0.804	5.093	-6.831663317
56	132971	5035	-0.804	0.808	3.375321137
56	132971	5352062	-0.804	27.321	-57.46824583
56	132971	25126798	-0.804	-4.267	-3.333313164
56	132971	104842	-0.804	19.142	-38.06261728
56	132971	216239	-0.804	2.089	-9.285112571
56	132971	5329102	-0.804	-4.237	1.193035719
56	132971	2733525	-0.804	-1.052	2.528155846
56	132971	5394	-0.804	-2.158	-4.556249691
56	132971	452548	-0.804	8.025	-14.85477827
56	132971	5426	-0.804	-0.204	2.212601823
56	132971	2723601	-0.804	8.401	-4.231714903
56	132971	5453	-0.804	4.963	1.166174772
56	132971	60699	-0.804	2.226	-10.59260338
56	132971	444795	-0.804	5.122	0.976018958
56	132971	6194	-0.804	15.863	1.236495875
56	132971	3081361	-0.804	4.882	-3.859088637
56	132971	42611257	-0.804	-1.332	-0.946891356
56	132971	5388983	-0.804	3.163	-29.16228284
56	132971	5388992	-0.804	6.721	0.252367744
56	132971	24776445	-0.804	-2.436	-1.740786778
56	132971	68740	-0.804	5.656	-4.868792133
56	132971	5311	-0.804	5.676	-8.640147946
56	2019	248862	-4.958	-0.798	-1.10895092
56	2019	43834572	6.739	10.808	-2.389498536
56	2019	32874	1.488	24.4525	4.597538089
56	2019	135401907	-0.094	-2.061	-1.77849395
56	2019	123608	0.945	1.994	0.89436559
56	2019	2187	-0.619	-0.362	-4.505092423
56	2019	5284616	-1.198	2.871	6.236281186
56	2019	9444	0.704	1.742	-1.880320634
56	2019	77082	1.077	0.964	-8.294420063
56	2019	5360373	6.994	11.686	-2.472405145
56	2019	2478	-2.99	-0.54	-5.673995602
56	2019	426756	8.853	5.001	1.89925843
56	2019	2662	5.411	0.522	4.025925135
56	2019	1546	4.331	0.893	0.438645325
56	2019	354624	-2.958	0.742	-3.025777568
56	2019	441203	17.02	15.639	-26.59264372
56	2019	2907	4.049	2.907	-8.219823687
56	2019	6252	7.689	2.35	-4.907672071
56	2019	3062316	-2.225	3.24	-1.848062089
56	2019	148124	0.016	1.141	0.220591346
56	2019	54611422	-3.089	8.464	-4.131224258
56	2019	176871	-6.923	1.294	-3.432023039
56	2019	657237	3.386	1.395	-5.754012294
