data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
24	248862	32874	7.2505	35.6245	-37.52989528
24	248862	135401907	5.883	-0.195	1.55675648
24	248862	2141	0.12	-6.005	-0.261586802
24	248862	123608	-2.686	4.881	-6.720249281
24	248862	2187	33.877	-0.401	3.318790047
24	248862	5284616	-5.095	5.449	-14.08476781
24	248862	9444	4.817	15.231	-19.50619348
24	248862	5360373	8.603	42.023	3.778885834
24	248862	2478	3.456	4.965	1.430284832
24	248862	2578	-10.496	6.863	-12.89534131
24	248862	354624	-5.752	-2.76	-1.481008761
24	248862	441203	4.965	45.237	-19.45877224
24	248862	439693	1.007	-2.561	-0.423718433
24	248862	2907	1.383	3.344	1.623812634
24	248862	3062316	-6.331	-3.489	0.132778852
24	248862	148124	-3.05	2.89	-0.348217706
24	248862	24197464	1.518	19.498	-23.74338833
24	248862	54611422	8.63	4.774	-4.620506032
24	248862	176871	1.816	0.884	0.835494242
24	248862	104741	33.728	1.641	-9.723044732
24	248862	3690	-3.549	1.688	3.125310063
24	248862	57469	5.641	-2.217	-4.156639974
24	248862	6445540	5.875	60.198	-26.68625957
24	248862	208908	-4.392	3.978	-12.76627745
24	248862	5935	0.343	20.099	-36.97354073
24	248862	4114	1.853	-4.114	0.14285741
24	248862	5746	-3.909	35.819	-34.46988822
24	248862	4211	38.271	-1.728	-16.11572402
24	248862	23615975	2.676	4.156	-0.682792219
24	248862	451668	-5.683	4.698	-83.64391768
24	248862	21864423	8.114	32.373	-38.29614023
24	248862	54608520	-5.189	-6.824	-1.912960284
24	248862	36314	3.281	16.317	-14.3469901
24	248862	4842	-0.118	20.293	-11.06327567
24	248862	148121	34.761	61.067	-4.600404371
24	248862	9703	0.525	-1.696	-0.824216513
24	248862	6239	1.648	14.718	-10.16472253
24	248862	5352062	5.121	36.077	-29.22725349
24	248862	104842	1.856	32.551	-33.8826466
24	248862	216239	-7.754	-2.619	7.375979348
24	248862	5329102	2.205	-3.984	7.081832067
24	248862	5426	3.232	-0.406	-4.419162702
24	248862	60699	8.061	40.982	-29.66316794
24	248862	5799	-3.856	32.672	-18.68811523
24	248862	5388983	42.272	-1.66	-2.848313144
24	248862	68740	-2.47	-3.344	5.759873448
24	248862	5311	-1.413	6.458	2.26382861
24	43834572	248862	16.654	3.868	-63.63814694
24	43834572	32874	26.3195	35.6245	-8.44777409
24	43834572	135401907	15.813	-3.793	-10.34052307
24	43834572	2141	19.158	-3.162	-86.51101456
24	43834572	123608	19.529	5.21	-36.74126437
24	43834572	2187	4.173	-0.401	-4.544024151
24	43834572	5284616	4.876	5.449	0.548792729
24	43834572	9444	14.337	15.231	-7.220642186
24	43834572	77082	11.69	4.179	-12.4820398
24	43834572	5360373	18.761	42.023	0.786470767
24	43834572	2478	6.007	-14.689	-20.76989179
24	43834572	426756	12.096	13.533	-0.124428322
24	43834572	2578	3.787	20.022	-0.053591648
24	43834572	1546	15.88	14.859	1.999657647
24	43834572	354624	-3.344	-2.76	-8.592366207
24	43834572	441203	24.592	39.724	-4.740523844
24	43834572	439693	19.541	0.324	-33.96210506
24	43834572	2907	14.926	3.224	-16.76246829
24	43834572	6252	11.474	10.566	5.403978316
24	43834572	3062316	6.466	-3.489	-5.635766014
24	43834572	148124	16.071	2.89	-4.294010759
24	43834572	24197464	24.137	15.097	-28.9554934
24	43834572	54611422	14.171	2.856	-13.40418651
24	43834572	176871	14.938	2.054	-2.414135104
24	43834572	657237	14.785	-1.615	-73.93000675
24	43834572	104741	12.248	1.641	-25.13083662
24	43834572	3657	14.396	-2.33	-16.61146212
24	43834572	3690	19.587	-3.01	-83.90990291
24	43834572	5291	18.173	9.357	-10.73709028
24	43834572	57469	21.623	3.184	-11.2815367
24	43834572	6445540	19.631	60.565	-4.119424367
24	43834572	208908	8.101	3.978	-16.19213849
24	43834572	5935	18.987	20.099	-3.587233062
24	43834572	667490	14.852	25.898	-3.190957825
24	43834572	4114	15.612	-1.217	-10.30149313
24	43834572	5746	20.823	36.314	-8.736924776
24	43834572	4211	14.678	-1.728	-22.24464844
24	43834572	644241	11.213	5.914	0.50397943
24	43834572	23615975	18.044	0.955	-6.281272646
24	43834572	451668	18.637	1.751	-13.99257411
24	43834572	21864423	32.645	32.373	-2.421392636
24	43834572	54608520	11.78	-6.824	-11.79681539
24	43834572	36314	20.414	16.317	-5.229139845
24	43834572	4842	17.273	20.981	0.35866
24	43834572	163659	9.098	17.849	-6.258678759
24	43834572	148121	19.521	61.085	4.811033496
24	43834572	9703	18.644	-0.777	-73.33944323
24	43834572	6239	20.297	5.127	-17.45766934
24	43834572	5352062	10.332	36.077	-25.06364264
24	43834572	104842	21.79	32.551	-9.616656656
24	43834572	216239	14.265	-2.619	-16.07212947
24	43834572	5329102	14.955	-3.984	-25.0031722
24	43834572	2733525	4.133	-9.454	-19.61989023
24	43834572	5394	18.88	5.231	-0.728917555
24	43834572	5426	15.658	-3.576	-22.4460695
24	43834572	60699	24.823	45.762	-1.633227421
24	43834572	444795	18.386	-4.035	-46.88610768
24	43834572	5799	14.541	32.672	0.448397672
24	43834572	5388983	14.116	-1.66	-2.876392218
24	43834572	5388992	26.574	16.363	-2.988958401
24	43834572	68740	15.751	-3.344	-23.84368334
24	43834572	5311	19.832	6.458	-12.10038282
24	3385	248862	21.021	-3.638	-15.30992093
24	3385	43834572	32.903	40.835	-7.363138555
24	3385	2019	32.903	0.544	-4.123916345
24	3385	32874	32.903	39.585	-6.087925672
24	3385	135401907	32.903	1.693	-9.15827275
24	3385	2123	32.903	-2.845	-19.14735255
24	3385	2141	22.428	0.33	-15.08093598
24	3385	123608	32.903	0.947	-17.61822536
24	3385	2187	32.903	0.626	-13.30761716
24	3385	5284616	32.903	19.585	-6.225311127
24	3385	9444	32.903	0.104	-12.82201772
24	3385	77082	32.903	3.113	-15.78294718
24	3385	5360373	20.815	1.844	0.238649891
24	3385	387447	32.903	7.067	2.827429939
24	3385	2478	32.903	3.97	-10.30570359
24	3385	426756	32.903	24.008	-4.352754969
24	3385	2578	32.903	1.017	-13.48277763
24	3385	2662	32.903	2.643	-10.36950066
24	3385	1546	32.903	0.014	-16.11098611
24	3385	354624	32.903	20.128	-10.76026767
24	3385	2708	32.903	26.781	-4.145631232
24	3385	441203	32.903	0.893	-11.06513494
24	3385	439693	32.903	2.205	-9.707446555
24	3385	11626560	32.903	-0.008	-8.200851058
24	3385	2907	32.903	-1.836	-24.64763647
24	3385	6252	32.903	14.237	-8.051779778
24	3385	3062316	24.648	1.703	-3.571850465
24	3385	148124	32.903	31.189	-12.72958807
24	3385	24197464	32.903	5.087	-6.010130052
24	3385	176871	32.903	0.853	-10.46784868
24	3385	657237	32.903	-0.936	-16.09580525
24	3385	104741	32.903	0.865	-14.33779563
24	3385	3657	32.903	5.035	-5.878848437
24	3385	3690	32.903	0.95	-33.37808092
24	3385	5291	32.903	1.423	-10.40054538
24	3385	57469	32.903	-1.588	-11.15445067
24	3385	6445540	32.903	1.671	-9.249885541
24	3385	208908	32.903	0.272	-10.42573757
24	3385	3902	32.903	-0.133	-8.728972992
24	3385	5935	32.903	3.944	-4.395010521
24	3385	9927978	32.903	8.349	-2.493527877
24	3385	667490	32.903	25.094	-10.56747008
24	3385	126941	27.154	31.077	-17.07373661
24	3385	4114	32.903	-9.71	-9.390249696
24	3385	5746	32.903	28.356	-5.374646881
24	3385	4211	32.903	1.166	-10.99007212
24	3385	23615975	32.903	-0.753	-29.15208092
24	3385	451668	32.903	0.993	-7.904982756
24	3385	21864423	32.903	32.373	-8.681713704
24	3385	54608520	32.903	17.989	-6.724318039
24	3385	36314	32.903	20.657	-12.86446266
24	3385	4842	26.163	19.349	-2.15857496
24	3385	163659	32.903	1.327	-2.561775766
24	3385	148121	32.903	2.268	-10.10445543
24	3385	9703	32.903	-0.776	-22.68640545
24	3385	6239	32.903	11.595	-5.038913374
24	3385	5352062	32.903	39.812	-10.26184547
24	3385	104842	32.903	44.941	-6.348195094
24	3385	216239	32.903	15.117	-7.811482015
24	3385	5329102	32.903	1.762	-7.644578639
24	3385	2733525	32.903	-0.588	-12.8640841
24	3385	5394	32.903	2.794	-13.56106387
24	3385	5426	32.903	-5.893	-12.39172285
24	3385	2723601	29.629	25.25	-1.432309786
24	3385	5453	32.903	15.527	-3.083516316
24	3385	60699	32.903	21.891	-9.125339419
24	3385	444795	32.903	-6.836	-15.26218201
24	3385	42611257	32.903	1.395	-9.235793519
24	3385	5388983	32.903	9.511	-6.208120821
24	3385	5388992	16.459	7.485	-10.43606708
24	3385	68740	32.903	0.748	-5.511038285
24	132971	248862	2.366	-2.481	-6.417132169
24	132971	43834572	2.366	40.835	-19.01877857
24	132971	3385	2.366	32.903	-8.188039818
24	132971	2019	2.366	0.544	17.99013515
24	132971	32874	2.366	39.585	-6.916334019
24	132971	135401907	2.366	1.693	-2.83123423
24	132971	2123	2.366	-2.845	-8.172472407
24	132971	2141	2.366	-1.854	-8.178440592
24	132971	123608	2.366	0.947	-1.828111518
24	132971	2187	2.366	0.604	-0.668039264
24	132971	5284616	2.366	19.585	-8.263887084
24	132971	6450551	2.366	10.504	2.910588911
24	132971	9444	2.366	0.104	-2.106285979
24	132971	77082	2.366	3.113	-1.445634284
