MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
1174	135151360	24856436	-0.005002588	0.048438419
1174	135151360	118502708	-0.0579823	-0.03644842
1174	135151360	54761306	0.006448784	0.040537693
1174	135151360	16007391	0.01916344	0.062758331
1174	46700756	23725625	0.012159466	0.037614649
1174	46700756	54761306	0.041382861	0.094655704
1174	46700756	24856436	0.060573676	0.147911853
1174	46700756	118502708	-0.026149014	0.003345215
1174	46700756	135151360	-0.021397648	0.016799225
1174	46700756	104842	-0.010064632	0.072081927
1174	104842	23725625	0.108789407	0.132318156
1174	31703	135151360	0.047941584	0.085062327
1174	90132565	23725625	-0.04936905	-0.039495739
1174	104842	118502708	0.052709276	0.072575861
1174	3082962	23725625	-0.055574157	-0.044489362
1174	54761306	23725625	-0.046084177	-0.02484135
1174	24856436	23725625	0.014707486	0.038822181
1174	24856436	54761306	-0.021751807	0.025642762
1174	16007391	23725625	-0.004089751	0.013962856
1174	16007391	54761306	-0.039873813	-0.01377425
1174	16007391	24856436	0.022357185	0.047345445
1174	118502708	24856436	-0.042877601	-0.028361716
1174	135151360	23725625	-0.060846745	-0.048448788
1174	118502708	54761306	-0.048489605	-0.035952676
1174	118502708	16007391	-0.024421323	-0.013433118
1174	131634760	24856436	-0.052761407	0.011171882
1174	131634760	118502708	0.033889853	0.049976085
1174	131634760	54761306	0.011607055	0.03235893
1174	131634760	16007391	0.010521121	0.061906787
1174	131634760	135151360	-0.032105743	-0.009439824
1174	131634760	25227436	-0.023899256	-0.003723656
1174	131634760	52913813	-0.04582457	-0.012378116
1174	131634760	10127622	0.036832339	0.056406529
1174	131634760	49846579	-0.004731687	0.01890085
1174	86661883	54761306	-0.075633076	-0.035330198
1174	86661883	24856436	0.004079701	0.026482896
1174	86661883	118502708	-0.02370536	-0.009117081
1174	86661883	25227436	-0.066074306	-0.046214159
1174	86661883	16007391	0.119287035	0.139556668
1174	86661883	135151360	-0.063339071	-0.042980347
1174	86661883	10127622	0.003919991	0.026353392
1174	86661883	52913813	0.033702618	0.079289326
1174	49846579	54761306	-0.072690856	-0.026131056
1174	49846579	24856436	0.01121924	0.042176854
1174	49846579	16007391	-0.036800857	0.003073526
1174	49846579	118502708	-0.022478852	0.006793405
1174	49846579	135151360	-0.02401348	-0.00110916
1174	49846579	25227436	-0.018548087	0.00636513
1174	49846579	52913813	-0.045343972	-0.025640121
1174	11707110	51001932	0.041484093	0.077298007
1174	49846579	24771867	-0.002362293	0.017544697
1174	49846579	10127622	-0.057624102	-0.041503418
1174	46700756	104842	0.068497718	0.161533392
1174	25227436	16007391	-0.0737226442201669	0.0015561081023123
1174	25227436	54761306	-0.0558229075705221	0.0045697856168211
1174	25227436	126689157	-0.0454808006542479	-0.0252467473343854
1174	25227436	118693659	0.0389558210703246	0.0918353178607032
1174	25227436	5330286	0.0236536436041294	0.0678329550023298
1174	25227436	10127622	0.0407718775029469	0.0744539842464257
1174	5330286	131634760	-0.0141873656588319	0.0012465509071111
1174	5330286	49846579	-0.0097025325093481	0.0014978386437588
1174	208908	11626560	-0.0277477141365554	0.0117455542419734
1174	3062316	11707110	-0.0180085290709129	0.0150706351429412
1174	5330286	10127622	-0.0071552794911894	0.0095573193796526
1174	208908	24964624	0.0160154619072757	0.0486835596356967
1174	118693659	24856436	-0.0515720036660715	0.0236913448718296
1174	118693659	131634760	-0.004259048554181	0.0162280933712672
1174	118693659	54761306	0.0399799078780158	0.0895856761759011
1174	118693659	16007391	0.000406049935300821	0.064920952581125
1174	118693659	49846579	-0.0099707089143547	0.0076282669722714
1174	118693659	10127622	-0.0192132986598916	0.0185661720012188
1174	68289010	131634760	-0.0209089857876538	-0.0058731246548165
1174	68289010	49846579	-0.0256659796616492	-0.0103818892561779
1174	10127622	54761306	-0.0398154881315608	-0.0213609773561646
1174	10127622	16007391	-0.0213045164773849	0.0082837369050346
1174	123631	126689157	-0.0443457364411497	-0.0295212785007761
1174	10127622	24856436	0.0063295951512113	0.0299636355634384
1174	10127622	126689157	-0.0241989436020544	-0.0125769306937139
1174	54761306	60749	0.0615028721288448	0.127159829005892
1174	24856436	60749	0.0684457651913822	0.146989515168124
1174	72165232	60749	0.18203877516023	0.224700269706206
1174	52913813	25227436	-0.084884274242495	-0.0157111443816518
1174	52913813	5330286	-0.0098349842654796	0.0317513430886126
1174	131634760	60749	-0.0026239254644231	0.0222448478898318
1174	86661883	36314	0.0950024068706405	0.113354667625701
1174	131634760	36314	0.0389947991256854	0.0458493092692931
1174	23725625	86661883	-0.0339613420113626	-0.0188553788529976
1174	23725625	118693659	-0.0019895237716641	0.0136052359319965
1174	23725625	131634760	-0.048825944489359	-0.0379422658214175
1174	23725625	49846579	-0.0302953373267643	-0.0204712727619442
1174	54761306	10339178	-0.0162286461148108	0.0010878318770148
1174	131634760	208908	0.0087536813294794	0.0258775519376999
1174	135151360	36462	0.146873070565295	0.183133030415551
1174	86661883	208908	0.10013491067185	0.127113935122325
1174	24856436	104842	0.0010389714380943	0.0839469436025307
1174	72165232	3385	-0.0225776289299324	-0.0029124632939047
1174	72165232	24856436	0.0903820401097349	0.130218247800553
1174	51001932	24866313	0.0241155549949498	0.0648339978525822
1174	208908	10127622	-0.0599877934219423	-0.0320517846158601
1174	11626560	10127622	-0.030773186797875	-0.0140388469633337
1174	86661883	60749	0.102934153497847	0.131060870152946
1174	72165232	104842	0.0754106831537393	0.109895692571814
1174	11626560	3062316	0.0164136975997961	0.0727302928224303
1174	49846579	208908	-0.0230697114552307	-0.0092099442627884
