MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
1504	54761306	23725625	-0.063759213	-0.037558039
1504	24856436	23725625	-0.105542538	-0.0714883
1504	24856436	54761306	0.010626918	0.059667171
1504	16007391	23725625	-0.021772643	-0.009717589
1504	16007391	54761306	-0.06023532	-0.039779906
1504	16007391	24856436	-0.037093132	-0.020961745
1504	118502708	24856436	-0.094578321	-0.075553705
1504	135151360	23725625	-0.096896697	-0.080692777
1504	118502708	54761306	-0.051382195	-0.036325188
1504	118502708	16007391	-0.030570687	-0.019503118
1504	135151360	24856436	0.001067335	0.032102086
1504	135151360	118502708	-0.0082401	0.003240856
1504	135151360	54761306	-0.001971206	0.013123386
1504	135151360	16007391	0.019725536	0.03158223
1504	46700756	23725625	-0.174300126	-0.145767392
1504	46700756	54761306	-0.048950918	0.029285521
1504	46700756	24856436	0.005466964	0.063160017
1504	46700756	118502708	-0.0333435	-0.017030321
1504	46700756	135151360	-0.049763765	-0.034960498
1504	31703	135151360	-0.041787875	-0.02398729
1504	90132565	23725625	-0.031677673	-0.021804835
1504	104842	118502708	-0.030547532	-0.011963102
1504	3082962	23725625	-0.037987843	-0.028164387
1504	54761306	23725625	-0.078783385	-0.062479696
1504	24856436	23725625	-0.06471294	-0.046263696
1504	24856436	54761306	-0.024443634	0.015659135
1504	16007391	23725625	-0.022887695	-0.010996981
1504	16007391	54761306	-0.052271714	-0.037187807
1504	16007391	24856436	-0.035558335	-0.022529072
1504	118502708	24856436	-0.071545043	-0.05481804
1504	135151360	23725625	-0.06628184	-0.052968892
1504	118502708	54761306	-0.030933505	-0.016085078
1504	118502708	16007391	-0.035651232	-0.026513833
1504	135151360	24856436	-0.0144679	0.018501645
1504	135151360	118502708	-0.02393178	-0.011226932
1504	135151360	54761306	-0.015037672	0.000556835
1504	135151360	16007391	0.009837845	0.024961083
1504	46700756	23725625	-0.188486915	-0.176652944
1504	46700756	54761306	-0.066459046	0.006584756
1504	46700756	24856436	-0.040786617	0.0284218
1504	46700756	118502708	-0.036752479	-0.019533575
1504	46700756	135151360	-0.069412388	-0.055810048
1504	31703	135151360	0.009952886	0.020552248
1504	90132565	23725625	-0.059222087	-0.047539224
1504	104842	118502708	-0.030511727	-0.01745316
1504	3082962	23725625	-0.03978845	-0.030334351
1504	86661883	10127622	0.058467506	0.084182925
1504	86661883	52913813	0.016586334	0.034666353
1504	49846579	54761306	-0.060050398	-0.0341417
1504	49846579	24856436	-0.008301344	0.00830608
1504	49846579	16007391	-0.014043009	0.003481095
1504	49846579	118502708	-0.007046545	0.006116875
1504	49846579	135151360	-0.017404036	-0.007693466
1504	49846579	25227436	-0.039401899	-0.030276576
1504	49846579	52913813	-0.026683724	-0.018096922
1504	11707110	51001932	0.190142195	0.227888816
1504	49846579	24771867	-0.040972915	-0.029432521
1504	49846579	10127622	-0.037248507	-0.022893662
1504	46700756	104842	-0.02197332	0.024195853
1504	131634760	24856436	0.075384398	0.104598445
1504	131634760	118502708	0.002367768	0.016604677
1504	131634760	54761306	0.034397339	0.072752285
1504	131634760	16007391	0.00432955	0.020542242
1504	131634760	135151360	-0.052500437	-0.038724921
1504	131634760	25227436	0.017825873	0.03186609
1504	131634760	52913813	-0.006277331	0.018307655
1504	131634760	10127622	0.048484465	0.073944997
1504	131634760	49846579	-0.027116828	-0.010478499
1504	86661883	54761306	0.035764596	0.05678352
1504	86661883	24856436	0.043819429	0.057361579
1504	86661883	118502708	-0.021811158	-0.012193651
1504	86661883	25227436	-0.044334045	-0.035519304
1504	86661883	16007391	-0.007397261	0.002432075
1504	86661883	135151360	-0.039252536	-0.030690875
1504	118693659	24856436	-0.038984710071541	0.0109320662515409
1504	118693659	131634760	0.0175192202087844	0.0473557567874699
1504	118693659	54761306	0.0223699342284422	0.0922787958463732
1504	118693659	16007391	0.0111677133730221	0.0515596826718844
1504	118693659	49846579	-0.0496088512413649	-0.0209208445726571
1504	118693659	86661883	0.0357049730548104	0.0736094509254494
1504	118693659	10127622	-0.0425582991155253	0.0507291370674552
1504	68289010	131634760	-0.0372327273032866	-0.0014509897648067
1504	68289010	86661883	-0.0832755146042285	-0.0421305127739533
1504	68289010	49846579	-0.0678539103885512	-0.0450824408887517
1504	10127622	54761306	0.0078229910795719	0.0539731856470957
1504	10127622	16007391	-0.0303029402730183	0.0083316578660487
1504	123631	126689157	-0.0770014921312574	-0.0528393796732957
1504	10127622	24856436	-0.0115473375782569	0.0508175389313965
1504	10127622	126689157	-0.0562507180452679	-0.0255731428031091
1504	25227436	16007391	-0.0412688169713527	-0.014053514367657
1504	25227436	54761306	-0.0405270073327293	0.0300667654907382
1504	25227436	126689157	-0.0755388769224021	-0.0503481991981577
1504	25227436	118693659	-0.0312876451717056	0.000237632282526662
1504	25227436	5330286	-0.0386634226773518	0.0152819322279723
1504	25227436	10127622	0.0436790776216386	0.089585814129534
1504	5330286	131634760	-0.0569790429348674	-0.0205950610472034
1504	5330286	86661883	-0.0589657518359151	-0.0354045442272612
1504	5330286	49846579	-0.0651597837229413	-0.0423878536545089
1504	208908	11626560	-0.0396072774860498	0.0068956838871905
1504	3062316	11707110	-0.002481090408116	0.0441937058637608
1504	5330286	10127622	0.0010441413277021	0.0311038651992335
1504	208908	24964624	-0.0958550260342041	-0.0581907363477472
