MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
1793	54761306	23725625	-0.01968311	0.00353664
1793	24856436	23725625	-0.039480444	-0.017422066
1793	24856436	54761306	0.00764561	0.070798964
1793	16007391	23725625	-0.000501089	0.011123173
1793	16007391	54761306	-0.031545244	-0.010955181
1793	16007391	24856436	-0.05010877	-0.039578029
1793	118502708	24856436	-0.056148287	-0.045594619
1793	135151360	23725625	-0.034129569	-0.027550829
1793	118502708	54761306	-0.001636507	0.007264126
1793	118502708	16007391	-0.016196582	-0.011290086
1793	135151360	24856436	-0.004926501	0.032931484
1793	135151360	118502708	0.011291762	0.020181377
1793	135151360	54761306	-0.016453616	0.008220365
1793	135151360	16007391	0.006257764	0.021991673
1793	46700756	23725625	-0.027441678	-0.017170211
1793	46700756	54761306	-0.042169876	0.005974054
1793	46700756	24856436	0.132801404	0.195022735
1793	46700756	118502708	-0.032113881	-0.024506723
1793	46700756	135151360	-0.064023036	-0.043993437
1793	46700756	104842	0.028386793	0.066357841
1793	104842	23725625	-0.011386369	0.001071474
1793	31703	135151360	0.015980967	0.02936722
1793	90132565	23725625	-0.044394456	-0.038149036
1793	104842	118502708	0.009165044	0.017778484
1793	3082962	23725625	-0.033183221	-0.028008693
1793	131634760	24856436	-0.029160934	0.008739657
1793	131634760	118502708	-0.013501293	0.000569608
1793	131634760	54761306	-0.002782179	0.008311601
1793	131634760	16007391	0.037994842	0.051863138
1793	131634760	135151360	-0.014428805	0.003419154
1793	131634760	25227436	0.049458977	0.056510217
1793	131634760	52913813	0.005508808	0.015362968
1793	131634760	10127622	0.004596151	0.014687547
1793	131634760	49846579	0.036399581	0.044452642
1793	86661883	54761306	-0.002869209	0.015187649
1793	86661883	24856436	-0.020139775	-0.008112135
1793	86661883	118502708	-0.025930004	-0.020100549
1793	86661883	25227436	-0.017554349	-0.010041681
1793	86661883	16007391	-0.02236289	-0.016018019
1793	86661883	135151360	-0.03577577	-0.028607076
1793	86661883	10127622	-0.065612573	-0.038284297
1793	86661883	52913813	-0.01970786	-0.003028923
1793	49846579	54761306	0.010504782	0.045571651
1793	49846579	24856436	0.050948848	0.087484322
1793	49846579	16007391	0.021821409	0.034089184
1793	49846579	118502708	-0.04690652	-0.029533552
1793	49846579	135151360	-0.035285914	-0.01852663
1793	49846579	25227436	-0.029706049	-0.009299207
1793	49846579	52913813	-0.053885588	-0.045135469
1793	11707110	51001932	0.082895613	0.096154344
1793	49846579	24771867	0.022967836	0.048784371
1793	49846579	10127622	-0.032114755	-0.023817871
1793	46700756	104842	0.024893148	0.071770961
1793	25227436	16007391	-0.0550791444412208	-0.0119390358816695
1793	25227436	54761306	-0.0269806702837129	0.0500313911230617
1793	25227436	126689157	-0.0188854673737227	0.0038158849849799
1793	25227436	118693659	0.0304524398181909	0.0768334931013326
1793	25227436	5330286	0.0103473039653697	0.063675674813539
1793	25227436	10127622	-0.0291767376838099	0.0159942670610429
1793	5330286	131634760	0.0063651842287679	0.0320313690664953
1793	5330286	49846579	-0.0032386131377604	0.0145475260193943
1793	208908	11626560	-0.0664645820558159	-0.0173821895133704
1793	3062316	11707110	-0.0794239691926701	-0.0443303417961709
1793	5330286	10127622	-0.0458819229965191	-0.0035511399676951
1793	208908	24964624	-0.033387673634485	8.52870203934524e-06
1793	118693659	24856436	-0.0356321871356958	0.0348414201585059
1793	118693659	131634760	0.0111872794901974	0.0319758301032874
1793	118693659	54761306	0.0648222222448196	0.117439920952971
1793	118693659	16007391	-0.0414831588721241	-0.008547049929069
1793	118693659	49846579	-0.0570558419007318	-0.0326835263782882
1793	118693659	10127622	-0.142613766730657	-0.0814367158167937
1793	68289010	131634760	-0.0246646603717328	-0.001894981508109
1793	68289010	49846579	-0.0907422981946239	-0.0644395322874041
1793	10127622	54761306	-0.0660529036397158	-0.042507798714033
1793	10127622	16007391	-0.0094215234277221	0.0118566700886452
1793	123631	126689157	-0.0393143145038882	-0.0257017426560824
1793	10127622	24856436	-0.0443013302749115	-0.00075085006788906
1793	10127622	126689157	-0.0323645133691456	-0.0136814127383083
1793	54761306	60749	0.185868645655464	0.255230447812835
1793	24856436	60749	0.0746319745786901	0.156899563987
1793	72165232	60749	0.0301096923882686	0.114150100985075
1793	52913813	25227436	-0.0614632991907426	-0.0178199047202417
1793	52913813	5330286	0.110546661327353	0.134990956055977
1793	131634760	60749	0.0624890656468543	0.0999955667129738
1793	86661883	36314	0.001626930791479	0.0256642777761094
1793	131634760	36314	-0.0447375071874563	-0.0315073442552917
1793	23725625	86661883	-0.0332242741974631	-0.0206598439729631
1793	23725625	118693659	-0.0516457181400913	-0.0350100243158879
1793	23725625	131634760	-0.0467927775973953	-0.0335503764753642
1793	23725625	49846579	-0.0739076313138899	-0.054831465386167
1793	54761306	10339178	-0.0459076862507926	-0.023670327008253
1793	131634760	208908	0.035525536515032	0.055819472795468
1793	135151360	36462	0.10206057509193	0.124256143836715
1793	86661883	208908	0.0676975598904181	0.0819165656503098
1793	24856436	104842	-0.0413675171235382	0.0372677130400671
1793	72165232	3385	-0.032501244378238	0.0053855573374908
1793	72165232	24856436	-0.0108185239542491	0.0713155663048168
1793	51001932	24866313	-0.0617406289498539	-0.0163786145055381
1793	208908	10127622	-0.0267739501876804	-0.0021487362062213
1793	11626560	10127622	-0.0285338609534307	-0.004206197346456
1793	86661883	60749	-0.0125461565491483	0.011783966200657
1793	72165232	104842	-0.0020037671836016	0.0655214249723146
1793	11626560	3062316	0.0428886638561129	0.0615803954774319
1793	49846579	208908	-0.0177754461177104	-0.003907466927165
