MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
1383	54761306	23725625	0.000499503	0.021420616
1383	24856436	23725625	-0.05423417	-0.033926337
1383	24856436	54761306	0.019498457	0.069158237
1383	16007391	23725625	-0.040965913	-0.016167983
1383	16007391	54761306	-0.011564162	0.022521748
1383	16007391	24856436	-0.017764571	0.014808197
1383	118502708	24856436	-0.019331891	0.001157182
1383	135151360	23725625	-0.026925894	-0.015829857
1383	118502708	54761306	-0.059267098	-0.043319328
1383	118502708	16007391	-0.022771939	-0.008129002
1383	135151360	24856436	-0.030931976	0.014228085
1383	135151360	118502708	-0.060898521	-0.042713203
1383	135151360	54761306	-0.062025422	-0.01813166
1383	135151360	16007391	0.024645387	0.053584467
1383	46700756	23725625	-0.052970213	-0.028296067
1383	46700756	54761306	-0.025350082	0.029511444
1383	46700756	24856436	0.074791213	0.133838383
1383	46700756	118502708	-0.018400051	0.003243421
1383	46700756	135151360	-0.003676359	0.041120533
1383	46700756	104842	0.063470841	0.129604173
1383	104842	23725625	0.098978133	0.113730404
1383	31703	135151360	0.021288053	0.056133606
1383	90132565	23725625	-0.038656085	-0.029790494
1383	104842	118502708	0.014298939	0.039025277
1383	3082962	23725625	-0.034033883	-0.024760186
1383	131634760	24856436	-0.028711881	0.016400082
1383	131634760	118502708	-0.006685333	0.01147228
1383	131634760	54761306	-0.025224368	-0.002271321
1383	131634760	16007391	0.001259969	0.033782505
1383	131634760	135151360	-0.039365759	-0.008228329
1383	131634760	25227436	-0.017822465	0.003168739
1383	131634760	52913813	-0.031573812	-0.00789171
1383	131634760	10127622	-0.024116188	-0.00325097
1383	131634760	49846579	-0.019896876	0.004568043
1383	86661883	54761306	-0.031098721	0.027839441
1383	86661883	24856436	0.00689128	0.057564673
1383	86661883	118502708	-0.015463794	0.006247354
1383	86661883	25227436	-0.052466283	-0.010163815
1383	86661883	16007391	0.06832015	0.105733693
1383	86661883	135151360	-0.038674914	-0.006426244
1383	86661883	10127622	-0.136221247	-0.096948264
1383	86661883	52913813	-0.018017163	0.054592281
1383	49846579	54761306	-0.044956369	-0.004113573
1383	49846579	24856436	0.030270378	0.059338132
1383	49846579	16007391	-0.006064548	0.028947185
1383	49846579	118502708	-0.019816209	0.004738617
1383	49846579	135151360	-0.052753515	-0.028266593
1383	49846579	25227436	-0.056841521	-0.021417916
1383	49846579	52913813	0.038414042	0.059857792
1383	11707110	51001932	0.018247319	0.052555695
1383	49846579	24771867	0.055163715	0.097305936
1383	49846579	10127622	-0.069687923	-0.051690915
1383	46700756	104842	0.018802916	0.101719011
1383	25227436	16007391	-0.0372947648747948	0.0398908989406028
1383	25227436	54761306	-0.0929353961072544	-0.0046384281235377
1383	25227436	126689157	-0.0301775037903408	-0.00535520840988
1383	25227436	118693659	0.0150870151058981	0.0975297882516768
1383	25227436	5330286	-0.0389089235456935	-0.0143243543962617
1383	25227436	10127622	-0.0355171790408377	-0.0118068300188375
1383	5330286	131634760	-0.0594530548334284	-0.0370074668431387
1383	5330286	49846579	-0.0493261869022599	-0.0312921846682582
1383	208908	11626560	-0.101615966166473	-0.0370258266859108
1383	3062316	11707110	-0.0782178169333668	-0.0152252381037777
1383	5330286	10127622	-0.0511014458356261	-0.0301404321128814
1383	208908	24964624	-0.0680606484121984	-0.0147536727009128
1383	118693659	24856436	-0.0645955489383854	0.0053904236831047
1383	118693659	131634760	0.0247920651758576	0.0549128784694127
1383	118693659	54761306	-0.0378463473445485	0.0429878284057635
1383	118693659	16007391	-0.0519845406985391	0.0121756493308844
1383	118693659	49846579	-0.0471259921651864	-0.0209331867077236
1383	118693659	10127622	-0.0198241523678412	0.0112867610255125
1383	68289010	131634760	-0.068250845665048	-0.0419216153075424
1383	68289010	49846579	-0.044832953262774	-0.0236529666253776
1383	10127622	54761306	-0.0703815144905894	-0.0341675019626687
1383	10127622	16007391	-0.0745390406204948	-0.0460486558634928
1383	123631	126689157	-0.0270604628930156	-0.0095160474053369
1383	10127622	24856436	-0.0922794250323971	-0.0555113036812096
1383	10127622	126689157	-0.0475719544737102	-0.0287533669279583
1383	54761306	60749	0.0311311245269206	0.0996478787815305
1383	24856436	60749	0.0454841224190926	0.127270167961388
1383	72165232	60749	0.0991230172284775	0.155779427574666
1383	52913813	25227436	-0.0579797406122188	0.0159109780520599
1383	52913813	5330286	0.0076512073351029	0.0377610526110831
1383	131634760	60749	-0.0058905713409507	0.038364559157367
1383	86661883	36314	0.0505740957815328	0.0929508104226174
1383	131634760	36314	0.034098579120674	0.0482367091010496
1383	23725625	86661883	-0.0282251291186848	0.0036979147489113
