MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
650	54761306	23725625	0.007126451	0.042420157
650	24856436	23725625	-0.035158838	0.024669193
650	24856436	54761306	-0.0027533	0.05993592
650	16007391	23725625	-0.024970893	0.01546045
650	16007391	54761306	-0.116851703	-0.06337916
650	16007391	24856436	-0.084737792	-0.055713928
650	118502708	24856436	-0.046714703	-0.018553484
650	135151360	23725625	-0.05382019	-0.030754586
650	118502708	54761306	-0.060273053	-0.034552576
650	118502708	16007391	-0.085483871	-0.061125036
650	135151360	24856436	0.010556564	0.056060338
650	135151360	118502708	-0.053238425	-0.025151869
650	135151360	54761306	0.007667189	0.034048759
650	135151360	16007391	-0.050891135	-0.018985696
650	46700756	23725625	-0.055984419	-0.013438554
650	46700756	54761306	0.044830232	0.077529602
650	46700756	24856436	-0.028507542	0.042127414
650	46700756	118502708	-0.013441312	0.031708056
650	46700756	135151360	-0.037365592	0.008448946
650	46700756	104842	-0.056297302	-0.000662519
650	104842	23725625	-0.007109467	0.017416842
650	31703	135151360	-0.013537552	0.022972824
650	90132565	23725625	-0.060183962	-0.036658626
650	104842	118502708	0.013184381	0.036544255
650	3082962	23725625	-0.044695592	-0.022108967
650	135151360	24856436	-0.017554606	0.028687134
650	135151360	118502708	-0.024062765	0.000282918
650	135151360	54761306	-0.012948594	0.015890838
650	135151360	16007391	-0.040682517	0.001535767
650	46700756	23725625	-0.031885299	0.001887053
650	46700756	54761306	-0.019787946	0.025103729
650	46700756	24856436	-0.027735815	0.0422342
650	46700756	118502708	-0.010238554	0.026299645
650	46700756	135151360	-0.053041086	-0.012103956
650	46700756	104842	-0.105013426	-0.044347645
650	104842	23725625	-0.024509315	0.004901213
650	31703	135151360	-0.044485751	-0.002461019
650	90132565	23725625	-0.071336803	-0.047826826
650	104842	118502708	-0.005304564	0.017723723
650	3082962	23725625	-0.067681467	-0.043711525
650	135151360	24856436	0.021973982	0.066063244
650	135151360	118502708	-0.042472475	-0.013540417
650	135151360	54761306	0.000410856	0.027177351
650	135151360	16007391	-0.009101153	0.02297446
650	46700756	23725625	-0.029746233	0.020847191
650	46700756	54761306	-0.035338678	0.002728103
650	46700756	24856436	-0.051365142	0.020460481
650	46700756	118502708	-0.012701016	0.024519203
650	46700756	135151360	-0.035919898	0.01598434
650	46700756	104842	-0.117873308	-0.046615561
650	104842	23725625	-0.027950817	-0.002845953
650	31703	135151360	0.008438317	0.036640223
650	90132565	23725625	-0.062539526	-0.039058319
650	104842	118502708	-0.020246034	0.002674282
650	3082962	23725625	-0.067329329	-0.043207172
650	135151360	24856436	-0.010888723	0.036293161
650	135151360	118502708	-0.058919855	-0.024466433
650	135151360	54761306	0.002058742	0.02931431
650	135151360	16007391	-0.05895033	-0.019985855
650	46700756	23725625	-0.049707718	0.008031364
650	46700756	54761306	0.015549839	0.048106997
650	46700756	24856436	-0.00210974	0.051733524
650	46700756	118502708	-0.026609046	0.010858038
650	46700756	135151360	-0.034828245	0.013710695
650	46700756	104842	-0.110926876	-0.042797828
650	104842	23725625	-0.002124401	0.018957734
650	31703	135151360	-0.002851715	0.024633263
650	90132565	23725625	-0.049669249	-0.026642555
650	104842	118502708	-0.024351846	-0.003825899
650	3082962	23725625	-0.086293753	-0.061110769
650	135151360	24856436	0.034328835	0.078685445
650	135151360	118502708	-0.049660634	-0.007560259
650	135151360	54761306	-0.029151377	0.008572199
650	135151360	16007391	-0.022581111	0.024729904
650	46700756	23725625	-0.032450508	0.023758252
650	46700756	54761306	0.017538238	0.051639961
650	46700756	24856436	-0.045484445	0.032872196
650	46700756	118502708	-0.075629922	-0.019109644
650	46700756	135151360	-0.088503189	-0.025543429
650	46700756	104842	-0.104210057	-0.029110383
650	104842	23725625	0.004336904	0.028730954
650	31703	135151360	-0.001314305	0.027693595
650	90132565	23725625	-0.069658456	-0.042430778
650	104842	118502708	-0.041263282	-0.012298435
650	3082962	23725625	-0.074890902	-0.048748477
650	131634760	24856436	-0.001216531	0.038407616
650	131634760	118502708	-0.038726452	-0.019292056
650	131634760	54761306	0.018760213	0.035947147
650	131634760	16007391	0.015201213	0.041443884
650	131634760	135151360	-0.060570667	-0.041792945
650	131634760	25227436	-0.017204523	-0.004654278
650	131634760	52913813	-0.059025272	-0.028627603
650	131634760	10127622	-0.02430465	-0.000213218
650	131634760	49846579	-0.029995037	-0.012197895
650	86661883	54761306	-0.072389559	-0.016236407
650	86661883	24856436	0.042249396	0.078291692
650	86661883	118502708	-0.036203731	-0.016599779
650	86661883	25227436	-0.083843637	-0.06480371
650	86661883	16007391	0.004690663	0.024482773
650	86661883	135151360	-0.045213154	-0.021614385
650	86661883	10127622	-0.062408491	-0.024334568
650	86661883	52913813	0.025357724	0.056458564
650	49846579	54761306	-0.003154095	0.023085184
650	49846579	24856436	0.006372394	0.026776942
650	49846579	16007391	-0.0253328	-0.001221961
650	49846579	118502708	-0.037341258	-0.01365662
650	49846579	135151360	-0.050786548	-0.030302603
650	49846579	25227436	-0.068302405	-0.04834686
650	49846579	52913813	-0.025577186	-0.013573661
650	11707110	51001932	0.047825856	0.092994812
650	49846579	24771867	-0.012513473	0.003747003
650	49846579	10127622	-0.05308495	-0.036557095
650	46700756	104842	-0.096468323	-0.037577614
