MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
1781	54761306	23725625	-0.004678762	0.021707092
1781	24856436	23725625	0.025777111	0.061038934
1781	24856436	54761306	0.002745821	0.052074069
1781	16007391	23725625	0.043350269	0.0628183
1781	16007391	54761306	-0.02618316	0.006189295
1781	16007391	24856436	0.097184548	0.115983827
1781	118502708	24856436	-0.002253184	0.016429175
1781	135151360	23725625	-0.023586569	-0.012846911
1781	118502708	54761306	0.027443487	0.042098177
1781	118502708	16007391	-0.019583575	-0.012497555
1781	135151360	24856436	0.004899905	0.034554772
1781	135151360	118502708	0.040731316	0.046306216
1781	135151360	54761306	-0.01655375	-0.002145423
1781	135151360	16007391	0.011766068	0.033513987
1781	46700756	23725625	0.000735133	0.027827754
1781	46700756	54761306	-0.004562343	0.031673401
1781	46700756	24856436	0.018670393	0.069732789
1781	46700756	118502708	-0.033865287	-0.025545819
1781	46700756	135151360	0.014014577	0.028519769
1781	46700756	104842	-0.008828862	0.031299782
1781	104842	23725625	0.054888883	0.082820938
1781	31703	135151360	0.040250946	0.060891126
1781	90132565	23725625	-0.004897134	4.84e-05
1781	104842	118502708	0.02162694	0.029837973
1781	3082962	23725625	0.011266222	0.020109043
1781	131634760	24856436	-0.023900635	0.017676701
1781	131634760	118502708	-0.018395561	-0.001436697
1781	131634760	54761306	-0.02305424	-0.003123324
1781	131634760	16007391	0.01841544	0.045902421
1781	131634760	135151360	0.00570161	0.015479541
1781	131634760	25227436	-0.004307519	0.027566994
1781	131634760	52913813	-0.005229023	0.019014157
1781	131634760	10127622	-0.034446568	-0.01303672
1781	131634760	49846579	0.018727861	0.02712346
1781	86661883	54761306	-0.070581472	-0.036579522
1781	86661883	24856436	-0.051848484	-0.040670331
1781	86661883	118502708	-0.016254072	-0.008390017
1781	86661883	25227436	-0.035231361	-0.025711453
1781	86661883	16007391	0.086186489	0.095455921
1781	86661883	135151360	0.009451003	0.015076662
1781	86661883	10127622	0.017550305	0.030640051
1781	86661883	52913813	0.042501073	0.05772271
1781	49846579	54761306	-0.033889164	-0.021419906
1781	49846579	24856436	-0.023438255	-0.013740371
1781	49846579	16007391	0.046820391	0.05844812
1781	49846579	118502708	0.012641993	0.022535326
1781	49846579	135151360	0.006920103	0.020318426
1781	49846579	25227436	-0.018874122	-0.00137124
1781	49846579	52913813	-0.006225322	0.001145223
1781	11707110	51001932	0.177392629	0.207548382
1781	49846579	24771867	0.039619337	0.050007867
1781	49846579	10127622	0.0002931	0.007509566
1781	46700756	104842	-0.009290065	0.044634869
1781	25227436	16007391	-0.0572608613358057	0.0075982513717438
1781	25227436	54761306	-0.0125443761234816	0.0698879155217163
1781	25227436	126689157	-0.0528274636587597	-0.0219910170034385
1781	25227436	118693659	0.0157026630771988	0.0879467932150533
1781	25227436	5330286	-0.0486284941809622	-0.0168690322806778
1781	25227436	10127622	-0.0224848534780131	0.0454324247447925
1781	5330286	131634760	-0.0636979285672792	-0.0387229578451981
1781	5330286	49846579	-0.0163888614591354	-0.0043356849495791
1781	208908	11626560	-0.0620555896464741	-0.003008903047234
1781	3062316	11707110	-0.0176663136669409	0.0457703139181935
1781	5330286	10127622	-0.0344529861182646	-0.0128167731896402
1781	208908	24964624	-0.0077029468747047	0.0379869316249048
1781	118693659	24856436	-0.0302981028820802	0.0649066968312598
1781	118693659	131634760	-0.0273138924871827	0.0039525990005447
1781	118693659	54761306	0.0418256094951045	0.112339131348531
1781	118693659	16007391	-0.0183613266083637	0.0368678834496207
1781	118693659	49846579	-0.0797106144265114	-0.0629719259385949
1781	118693659	10127622	-0.0254762568450843	0.0354999064149155
1781	68289010	131634760	-0.0336887305382552	-0.0112434202507627
1781	68289010	49846579	-0.0697052756811628	-0.051731592503283
1781	10127622	54761306	0.0586138849550853	0.0997429324104754
1781	10127622	16007391	-0.0193193527135321	0.0287484183850665
1781	123631	126689157	-0.034730608729279	-0.0218734313904342
1781	10127622	24856436	-0.0250149766206259	0.0415349697572897
1781	10127622	126689157	-0.0232426745052732	0.0014451651317109
1781	54761306	60749	0.0251480080803309	0.0800155389823953
1781	24856436	60749	0.0281608960649756	0.0990506304068207
1781	72165232	60749	0.0221816921373131	0.0762683051851399
1781	52913813	25227436	0.0225028237530741	0.0545824081617342
1781	52913813	5330286	0.0583324261420568	0.0735508007529483
1781	131634760	60749	0.0132969878542408	0.0323151884409396
1781	86661883	36314	0.0404074950277612	0.0470466229357264
1781	131634760	36314	0.0053069028292645	0.0092852651205067
1781	23725625	86661883	-0.0170339834537473	-0.0032986580859625
1781	23725625	118693659	-0.0257897688180198	0.009455352208502
1781	23725625	131634760	-0.00032759970938932	0.0211593108792327
1781	23725625	49846579	-0.0105001797512804	0.000153938345168905
1781	54761306	10339178	-0.0835480257000526	-0.0743099059109744
1781	131634760	208908	0.0226060529077926	0.0330098391619878
1781	135151360	36462	0.13579505829054	0.159284546278437
1781	86661883	208908	-0.0025732334216882	0.0088443791546623
1781	24856436	104842	-0.0037411356759375	0.0680962364595341
1781	72165232	3385	0.0471450788630654	0.0904231774915012
1781	72165232	24856436	0.0293059786441381	0.0977779527073428
1781	51001932	24866313	0.0464956477538415	0.0890408313910179
1781	208908	10127622	0.0066472274247141	0.0284840131992907
1781	11626560	10127622	-0.0212169414894381	0.0100521135228628
1781	86661883	60749	-0.0355609948331558	-0.0253223473776144
1781	72165232	104842	-0.0173701479323703	0.0383910458468185
1781	11626560	3062316	0.066108088232759	0.101380224820079
1781	49846579	208908	-0.0165563298947426	-0.0076227848573353
