MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
1453	54761306	23725625	0.04097314	0.054901396
1453	24856436	23725625	-0.004526746	0.022541056
1453	24856436	54761306	-0.007028267	0.022136316
1453	16007391	23725625	-0.039572098	-0.021487768
1453	16007391	54761306	-0.03481801	-0.019221773
1453	16007391	24856436	-0.074533144	-0.058233964
1453	118502708	24856436	-0.052843152	-0.034812559
1453	135151360	23725625	-0.04961245	-0.036446112
1453	118502708	54761306	-0.037331567	-0.023982036
1453	118502708	16007391	-0.046734598	-0.036767891
1453	54761306	23725625	0.034135064	0.048496707
1453	24856436	23725625	-0.001069449	0.024542512
1453	24856436	54761306	-0.079312829	-0.026059776
1453	16007391	23725625	-0.045051555	-0.022369409
1453	16007391	54761306	-0.06530715	-0.042078167
1453	16007391	24856436	-0.071402872	-0.055055578
1453	118502708	24856436	-0.071883351	-0.053210659
1453	135151360	23725625	-0.034428988	-0.02385195
1453	118502708	54761306	-0.049614546	-0.035619164
1453	118502708	16007391	-0.043648288	-0.033650444
1453	135151360	24856436	0.028663575	0.063809388
1453	135151360	118502708	-0.001531351	0.012909657
1453	135151360	54761306	0.090241565	0.107929431
1453	135151360	16007391	-0.008521663	0.010905413
1453	46700756	23725625	-0.0325917	-0.007568622
1453	46700756	54761306	-0.003678803	0.039641025
1453	46700756	24856436	0.012423716	0.065157108
1453	46700756	118502708	-0.03575037	-0.010986193
1453	46700756	135151360	-0.043260492	-0.01626954
1453	46700756	104842	-0.102384385	-0.037583562
1453	104842	23725625	0.049921803	0.06636831
1453	31703	135151360	0.011300152	0.02980212
1453	90132565	23725625	-0.040017756	-0.030566655
1453	104842	118502708	-0.013447692	0.007204259
1453	3082962	23725625	-0.032331311	-0.023480192
1453	135151360	24856436	-0.013074399	0.02523294
1453	135151360	118502708	-0.014035149	-2.58e-05
1453	135151360	54761306	0.092431162	0.105876644
1453	135151360	16007391	0.021085808	0.040843975
1453	46700756	23725625	-0.036121204	-0.016725621
1453	46700756	54761306	0.055811724	0.086685901
1453	46700756	24856436	-0.02294609	0.039184277
1453	46700756	118502708	0.01359238	0.042683003
1453	46700756	135151360	-0.012863418	0.019483172
1453	46700756	104842	-0.133657417	-0.062905096
1453	104842	23725625	0.072090312	0.087725876
1453	31703	135151360	0.041017358	0.060809752
1453	90132565	23725625	-0.049227724	-0.03815642
1453	104842	118502708	-0.064606582	-0.030951692
1453	3082962	23725625	-0.052573913	-0.041203832
1453	131634760	24856436	-0.026333543	0.008675276
1453	131634760	118502708	-0.008225488	0.007303435
1453	131634760	54761306	0.034366685	0.054119439
1453	131634760	16007391	-0.005057587	0.012662532
1453	131634760	135151360	-0.038058574	-0.017192893
1453	131634760	25227436	0.001821131	0.021412556
1453	131634760	52913813	-0.005996694	0.029857886
1453	131634760	10127622	-0.089867324	-0.059769972
1453	131634760	49846579	-0.002351115	0.016824915
1453	86661883	54761306	-0.070785616	-0.021883486
1453	86661883	24856436	0.04518385	0.076029709
1453	86661883	118502708	-0.027538158	-0.003089608
1453	86661883	25227436	-0.099468325	-0.053936159
1453	86661883	16007391	-0.104848471	-0.073362175
1453	86661883	135151360	-0.038497321	-0.018015919
1453	131634760	24856436	-0.014086015	0.025116806
1453	131634760	118502708	-0.006656606	0.009909532
1453	131634760	54761306	0.020085164	0.038328419
1453	131634760	16007391	-0.022006779	0.00383847
1453	131634760	135151360	-0.043638071	-0.01836867
1453	131634760	25227436	-0.030793673	-0.008256051
1453	131634760	52913813	0.013428406	0.048429898
1453	131634760	10127622	-0.066616335	-0.041841573
1453	131634760	49846579	-0.030509786	-0.006396497
1453	86661883	54761306	-0.141479031	-0.079709577
1453	86661883	24856436	0.041322506	0.073060668
1453	86661883	118502708	-0.032109558	0.000972488
1453	86661883	25227436	-0.137756454	-0.090686696
1453	86661883	16007391	-0.035295504	-0.011097945
1453	86661883	135151360	-0.049440561	-0.025269403
1453	86661883	10127622	-0.037506966	-0.017154697
1453	86661883	52913813	-0.045631708	0.021249329
1453	49846579	54761306	-0.050999701	-0.017002816
1453	49846579	24856436	-0.002257468	0.018949268
1453	49846579	16007391	-0.014168815	0.004984952
1453	49846579	118502708	-0.069903508	-0.041959713
1453	49846579	135151360	-0.04064017	-0.019126214
1453	49846579	25227436	-0.044858823	-0.01858472
1453	49846579	52913813	-0.036868935	-0.017888288
1453	11707110	51001932	-0.026804116	-0.003202554
1453	49846579	24771867	-0.039912021	-0.020144702
1453	49846579	10127622	-0.0664153	-0.050727173
1453	46700756	104842	-0.022816174	0.039812499
1453	86661883	10127622	-0.046217113	-0.023289597
1453	86661883	52913813	-0.024022666	0.040515703
1453	49846579	54761306	-0.06007703	-0.015994736
1453	49846579	24856436	0.000826541	0.022209457
1453	49846579	16007391	-0.024316378	0.003392278
1453	49846579	118502708	-0.036413886	-0.012500845
1453	49846579	135151360	-0.038336905	-0.012756272
1453	49846579	25227436	-0.053855309	-0.022843806
1453	49846579	52913813	-0.014753428	0.004148167
1453	11707110	51001932	-0.027238841	-0.004274695
1453	49846579	24771867	0.004267859	0.024157189
1453	49846579	10127622	-0.052679571	-0.037700951
1453	46700756	104842	-0.045333419	0.029291148
1453	25227436	16007391	-0.0236431395985633	0.0179885987024532
1453	25227436	54761306	-0.0511378374368933	0.0261137201442451
1453	25227436	126689157	-0.0625073867558219	-0.0405640998914087
1453	25227436	118693659	0.0323874291967091	0.0747290733044334
1453	25227436	5330286	-0.0262568175311807	0.0015317648039875
1453	25227436	10127622	-0.0097293947756955	0.0243090238395458
1453	5330286	131634760	-0.0248320283004599	-0.0069167192821604
1453	5330286	49846579	-0.048369959837434	-0.0341743815403966
1453	208908	11626560	-0.0305752317624581	-0.0111875471439347
1453	3062316	11707110	-0.0712253652994366	-0.0427097829119504
1453	5330286	10127622	-0.0446567044723663	-0.0303100864661907
1453	208908	24964624	-0.0201299845892024	0.0017681861383525
1453	118693659	24856436	-0.0531469134890903	-0.0110192457339432
1453	118693659	131634760	-0.0024028981565868	0.0193218952056331
1453	118693659	54761306	0.0234719915619974	0.0565952175766953
1453	118693659	16007391	-0.0379867117698731	-0.0052436306177009
1453	118693659	49846579	-0.0347224910487907	-0.0075656278841453
1453	118693659	10127622	-0.0213518558314419	0.000542176077881463
1453	68289010	131634760	-0.0132607863691668	0.0060622007835551
1453	68289010	49846579	-0.0442402973927706	-0.0245905694882854
1453	10127622	54761306	-0.10321997622967	-0.0820466552017499
1453	10127622	16007391	-0.0558549751995724	-0.038693537106213
1453	123631	126689157	-0.0570606346072792	-0.0410679324364872
1453	10127622	24856436	-0.0939106154501685	-0.0682283948390085
1453	10127622	126689157	-0.0480333410187322	-0.0338557103351478
1453	54761306	60749	-0.0108802098238265	0.0535732488147505
1453	24856436	60749	0.0120725940809251	0.0653930379210514
1453	72165232	60749	0.0091452199261632	0.0661116950103226
1453	52913813	25227436	-0.012542301543244	0.0367656283331762
1453	52913813	5330286	0.0593887744702264	0.0742358187775087
1453	131634760	60749	-0.0199073055290457	0.0106953978000761
1453	86661883	36314	0.0754433870551051	0.117891661639542
1453	131634760	36314	-0.0242111606929785	-0.0109264106008182
1453	23725625	86661883	-0.0391408800148321	-0.0241897841964976
1453	23725625	118693659	-0.0177320105955685	-0.004331058494998
1453	23725625	131634760	-0.0388184913468723	-0.0300140352747226
1453	23725625	49846579	-0.0349302932871421	-0.0261311610869573
1453	54761306	10339178	-0.0595899666858128	-0.0446249354383789
1453	131634760	208908	-0.022485465788384	-0.0093409858448399
1453	135151360	36462	0.0609497370158006	0.0794803416203504
1453	86661883	208908	0.104033254474453	0.129815455452228
1453	24856436	104842	-0.0621215079027068	-0.0128262058674008
1453	72165232	3385	-0.0029850264176547	0.0093446897654205
1453	72165232	24856436	-0.0086806582477725	0.0165328850694328
1453	51001932	24866313	-0.0166462741535168	-0.000991028385882175
1453	208908	10127622	-0.0156924119607168	-0.0011675863857897
1453	11626560	10127622	-0.0485657193248026	-0.0339688926956068
1453	86661883	60749	0.0688336785718313	0.12889037251356
1453	72165232	104842	-0.0658493898042163	-0.0258675017511872
1453	11626560	3062316	0.129298577920242	0.154804364034226
1453	49846579	208908	-0.009573131539016	0.0012423314183017
1453	54761306	10339178	-0.0078985555418771	0.0072209436180523
1453	131634760	208908	0.0013034251179984	0.0126681440548383
1453	135151360	36462	0.0618944133868145	0.0844446822015001
1453	86661883	208908	0.048961385473572	0.0731753277184684
1453	24856436	104842	-0.101282902414566	-0.0329799012144765
1453	72165232	3385	0.0315054557549024	0.0422546441408454
1453	72165232	24856436	0.0392394651434494	0.0741602615790847
1453	51001932	24866313	0.002427864194614	0.0285267421172245
1453	208908	10127622	-0.0347302555671768	-0.0199974159430714
1453	11626560	10127622	-0.0485618026727906	-0.0371309237934983
1453	86661883	60749	0.04031573765895	0.107436922043094
1453	72165232	104842	-0.010240802254897	0.0288864996980843
1453	11626560	3062316	0.0773751057595723	0.0990024311060492
1453	49846579	208908	-0.0368748963785226	-0.0231401641876892
