data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
85	3385	11960529	22.529	5.58	-1.775754291
85	3385	24856436	22.529	15.884	-1.750178906
85	3385	11977753	22.529	51.049	3.287390453
85	3385	387447	22.529	23.52	-2.79530239
85	3385	3062316	22.529	7.929	0.337384882
85	3385	46926350	22.529	39.938	-2.629668889
85	3385	176870	22.529	6.673	0.132107599
85	3385	5288382	22.529	40.519	-0.67610869
85	3385	216453	22.529	49.542	1.605809735
85	3385	208908	22.529	8.287	-3.018683841
85	3385	24964624	22.529	41.827	6.236161642
85	3385	24958200	22.529	20.889	-2.37707174
85	3385	24748204	22.529	23.163	0.606447464
85	3385	11520894	22.529	14.248	2.529914943
85	3385	16224745	22.529	25.926	-0.369910968
85	3385	9826528	22.529	1.929	-2.689119209
85	3385	216239	22.529	60.353	-4.629894405
85	3385	5329102	22.529	43.742	3.979357613
85	3385	5394	22.529	-8.007	-47.23977843
85	3385	5311	22.529	24.286	-2.451221266
85	11960529	11977753	5.58	51.049	-3.508270329
85	11960529	46926350	5.58	39.938	5.432759383
85	11960529	5288382	5.58	40.519	-1.791287605
85	11960529	11520894	5.58	14.248	2.15108531
85	11960529	16224745	5.58	25.926	-2.618305608
85	11960529	71301229	5.58	6.958	2.819394896
85	11960529	104842	5.58	12.628	0.406862758
85	11960529	216239	5.58	60.353	0.495519337
85	11960529	60700	5.58	26.44	-0.280175646
85	24856436	11960529	15.884	5.58	-4.655531856
85	24856436	11977753	15.884	51.049	5.660783202
85	24856436	387447	15.884	23.52	-3.285960777
85	24856436	3062316	15.884	7.929	11.831617
85	24856436	46926350	15.884	39.938	-2.581544455
85	24856436	176870	15.884	6.673	5.34077424
85	24856436	5288382	15.884	40.519	1.150579595
85	24856436	208908	15.884	8.287	6.05239208
85	24856436	24964624	15.884	41.827	10.53785847
85	24856436	24958200	15.884	20.889	0.851593203
85	24856436	24748204	15.884	23.163	3.053306575
85	24856436	11520894	15.884	14.248	11.86012933
85	24856436	16224745	15.884	25.926	9.169958746
85	24856436	71301229	15.884	6.958	-3.952360234
85	24856436	9826528	15.884	1.929	1.404566538
85	24856436	104842	15.884	12.628	3.168753605
85	24856436	216239	15.884	60.353	2.736070028
85	24856436	60700	15.884	26.44	4.048549217
85	11977753	46926350	51.049	39.938	1.435175589
85	11977753	16224745	51.049	25.926	-8.503033038
85	11977753	71301229	51.049	6.958	3.313282766
85	11977753	104842	51.049	12.628	7.098105631
85	11977753	216239	51.049	60.353	2.68678628
85	387447	11960529	23.512	5.58	0.349487037
85	387447	11977753	23.512	51.049	2.135422686
85	387447	3062316	23.512	7.929	0.017317087
85	387447	46926350	23.512	39.938	-1.099205951
85	387447	5288382	23.512	40.519	-5.771085026
85	387447	11520894	23.512	14.248	6.134522769
85	387447	16224745	23.512	25.926	-3.404231115
85	387447	71301229	23.512	6.958	-3.224377706
85	387447	104842	23.512	12.628	-1.80881089
85	387447	216239	23.512	60.353	-0.49764521
85	387447	60700	23.512	26.44	-3.023262625
85	426756	11960529	-2.42	5.58	5.238424074
85	426756	24856436	-2.42	15.884	-4.286464359
85	426756	11977753	-2.42	51.049	-21.27760502
85	426756	387447	-2.42	23.52	-14.97036642
85	426756	3062316	-2.42	7.929	0.32468778
85	426756	46926350	-2.42	39.938	-24.58219936
85	426756	176870	-2.42	6.673	-10.99669267
85	426756	5288382	-2.42	40.519	-7.551289876
85	426756	216453	-2.42	49.542	-10.1180825
85	426756	208908	-2.42	8.287	-12.07117596
85	426756	24964624	-2.42	41.827	-6.114938334
85	426756	24958200	-2.42	20.889	0.578365326
85	426756	24748204	-2.42	23.163	-2.21369403
85	426756	11520894	-2.42	14.248	1.017314825
85	426756	16224745	-2.42	25.926	2.357490871
85	426756	9826528	-2.42	1.929	5.011504461
85	426756	216239	-2.42	60.353	-21.68815786
85	426756	5329102	-2.42	43.742	-21.55518915
85	426756	5394	-2.42	-8.007	-2.598441415
85	426756	5311	-2.42	24.286	-7.325572602
85	2907	11960529	-11.21	5.58	-9.868445249
85	2907	24856436	-11.21	15.884	-26.92549236
85	2907	11977753	-11.21	51.049	-24.86115214
85	2907	387447	-11.21	23.52	-41.19381279
85	2907	3062316	-11.21	7.929	-14.0833804
85	2907	46926350	-11.21	39.938	-42.62407857
85	2907	176870	-11.21	6.673	-23.05654723
85	2907	5288382	-11.21	40.519	-16.74652947
85	2907	216453	-11.21	49.542	-11.88039956
85	2907	208908	-11.21	8.287	-32.95931982
85	2907	24964624	-11.21	41.827	-2.911444794
85	2907	24958200	-11.21	20.889	-7.270364385
85	2907	24748204	-11.21	23.163	-7.52690407
85	2907	11520894	-11.21	14.248	-24.97420117
85	2907	16224745	-11.21	25.926	-17.37073501
85	2907	9826528	-11.21	1.929	6.029870481
85	2907	216239	-11.21	60.353	-12.88656195
85	2907	5329102	-11.21	43.742	-11.25640839
85	2907	5394	-11.21	-8.007	-5.69632563
85	2907	5311	-11.21	24.286	-18.45874741
85	3062316	11960529	7.929	5.58	2.825908804
85	3062316	11977753	7.929	51.049	-1.754792636
85	3062316	46926350	7.929	39.938	3.755482788
85	3062316	5288382	7.929	40.519	-2.102622891
85	3062316	11520894	7.929	14.248	7.224163763
85	3062316	16224745	7.929	25.926	10.21575582
85	3062316	71301229	7.929	6.958	0.294789443
85	3062316	104842	7.929	12.628	6.966850427
85	3062316	216239	7.929	60.353	-0.145269378
85	3062316	60700	7.929	26.44	4.462748786
85	5743	11960529	19.408	5.58	5.225261798
85	5743	24856436	19.408	15.884	6.085672854
85	5743	11977753	19.408	51.049	-0.493543431
85	5743	387447	19.408	23.52	-3.194221307
85	5743	3062316	19.408	7.929	15.90105076
85	5743	46926350	19.408	39.938	-1.43513428
85	5743	176870	19.408	6.673	-0.392343562
85	5743	5288382	19.408	40.519	-2.673460678
85	5743	216453	19.408	49.542	4.624241067
85	5743	208908	19.408	8.287	-5.036348862
85	5743	24964624	19.408	41.827	13.49605754
85	5743	24958200	19.408	20.889	6.579657447
85	5743	24748204	19.408	23.163	13.12553757
85	5743	11520894	19.408	14.248	9.253307062
85	5743	16224745	19.408	25.926	11.48629181
85	5743	9826528	19.408	1.929	-1.104547227
85	5743	216239	19.408	60.353	0.696217778
85	5743	5329102	19.408	43.742	-2.007205269
85	5743	5394	19.408	-8.007	-3.703664402
85	5743	5311	19.408	24.286	-3.296945331
85	46926350	16224745	39.986	25.926	-2.617827771
85	31703	11960529	43.376	5.58	-36.61756044
85	31703	24856436	43.376	15.884	-10.52335375
85	31703	11977753	43.376	51.049	0.566813919
85	31703	387447	43.376	23.52	-3.741676148
85	31703	3062316	43.376	7.929	-15.32022628
85	31703	46926350	43.376	39.938	-3.807490652
85	31703	176870	43.376	6.673	-2.160331829
85	31703	5288382	43.376	40.519	-11.10723493
85	31703	216453	43.376	49.542	-8.485356773
85	31703	208908	43.376	8.287	-3.021610237
85	31703	24964624	43.376	41.827	-3.265252655
85	31703	24958200	43.376	20.889	-18.03150428
85	31703	24748204	43.376	23.163	-19.39824874
85	31703	11520894	43.376	14.248	6.396440004
85	31703	16224745	43.376	25.926	-18.47210983
85	31703	9826528	43.376	1.929	-12.53209117
85	31703	216239	43.376	60.353	-7.254628471
85	31703	5329102	43.376	43.742	-0.581950606
85	31703	5394	43.376	-8.007	-65.04207782
85	31703	5311	43.376	24.286	-7.245919305
85	176870	11960529	6.679	5.58	-4.479626492
85	176870	11977753	6.679	51.049	5.670541086
85	176870	387447	6.679	23.52	-0.151934436
85	176870	3062316	6.679	7.929	-1.619413918
85	176870	46926350	6.679	39.938	-0.147711625
85	176870	5288382	6.679	40.519	1.504619828
85	176870	11520894	6.679	14.248	9.085269444
85	176870	16224745	6.679	25.926	1.092761095
85	176870	71301229	6.679	6.958	0.524786819
85	176870	9826528	6.679	1.929	-1.328567821
85	176870	104842	6.679	12.628	6.87749637
85	176870	216239	6.679	60.353	1.419431693
85	176870	60700	6.679	26.44	9.10795627
85	36462	11960529	12.407	5.58	-0.861544189
85	36462	24856436	12.407	15.884	7.4427061
85	36462	11977753	12.407	51.049	-5.518213019
85	36462	387447	12.407	23.52	-3.7763932
85	36462	3062316	12.407	7.929	5.327318018
85	36462	46926350	12.407	39.938	-0.245375403
85	36462	176870	12.407	6.673	5.269041537
85	36462	5288382	12.407	40.519	-3.10023443
85	36462	208908	12.407	8.287	-1.185402058
85	36462	24964624	12.407	41.827	11.39559185
85	36462	24958200	12.407	20.889	3.325981006
85	36462	24748204	12.407	23.163	-0.127968752
85	36462	11520894	12.407	14.248	8.413355926
85	36462	16224745	12.407	25.926	6.791547008
85	36462	9826528	12.407	1.929	0.164278644
85	36462	216239	12.407	60.353	1.026377945
85	36462	5329102	12.407	43.742	3.982474851
85	36462	5394	12.407	-8.007	-19.08581617
85	36462	5311	12.407	24.286	1.021923436
85	5288382	11977753	40.518	51.049	-0.69547904
85	5288382	46926350	40.518	39.938	-0.648079489
85	5288382	16224745	40.518	25.926	-1.997856446
85	5288382	71301229	40.518	6.958	-0.395343143
85	5288382	104842	40.518	12.628	0.02964036
85	5288382	216239	40.518	60.353	-1.776005013
85	5288382	60700	40.518	26.44	1.663399122
85	60750	11960529	36.851	5.58	1.933144755
85	60750	24856436	36.851	15.884	3.042639111
85	60750	11977753	36.851	51.049	7.599146263
85	60750	387447	36.851	23.52	-7.513615491
85	60750	3062316	36.851	7.929	3.182542628
85	60750	46926350	36.851	39.938	-7.954255485
85	60750	176870	36.851	6.673	5.488740993
85	60750	5288382	36.851	40.519	-1.827042824
85	60750	208908	36.851	8.287	2.497928751
85	60750	24964624	36.851	41.827	15.84535386
85	60750	24958200	36.851	20.889	1.89576655
85	60750	24748204	36.851	23.163	2.259657797
85	60750	11520894	36.851	14.248	10.54850143
85	60750	16224745	36.851	25.926	4.005077908
85	60750	9826528	36.851	1.929	1.582450754
85	60750	216239	36.851	60.353	2.526531061
85	60750	5329102	36.851	43.742	7.88917855
85	60750	5394	36.851	-8.007	-9.958449005
85	216453	11960529	49.542	5.58	-4.942361176
85	216453	24856436	49.542	15.884	2.432584702
85	216453	11977753	49.542	51.049	6.952183206
85	216453	387447	49.542	23.52	1.362934539
85	216453	3062316	49.542	7.929	-1.361842104
85	216453	46926350	49.542	39.938	-0.980932245
85	216453	176870	49.542	6.673	0.14340968
85	216453	36462	49.542	12.408	-5.663148043
85	216453	5288382	49.542	40.519	1.361922937
85	216453	60750	49.542	36.864	0.624919467
85	216453	208908	49.542	8.287	1.818349695
85	216453	24964624	49.542	41.827	19.23912084
85	216453	24958200	49.542	20.889	-6.405620901
85	216453	24748204	49.542	23.163	-3.024539175
85	216453	11520894	49.542	14.248	14.41943795
85	216453	16224745	49.542	25.926	-4.828242114
85	216453	71301229	49.542	6.958	-5.681039948
85	216453	9826528	49.542	1.929	-3.694045974
85	216453	104842	49.542	12.628	-2.086143216
85	216453	216239	49.542	60.353	4.196125895
85	216453	5329102	49.542	43.742	8.753943538
85	216453	5394	49.542	-8.007	-19.88627147
85	216453	60700	49.542	26.44	0.943205499
85	216453	5311497	49.542	34.272	3.334576231
85	216453	5311	49.542	24.286	4.275786481
85	208908	11960529	8.296	5.58	-3.330030517
85	208908	11977753	8.296	51.049	4.512310472
85	208908	387447	8.296	23.52	1.635544608
85	208908	3062316	8.296	7.929	2.385855582
85	208908	46926350	8.296	39.938	-0.245542873
85	208908	176870	8.296	6.673	-6.78019353
85	208908	5288382	8.296	40.519	5.12412235
85	208908	24964624	8.296	41.827	8.936676925
85	208908	24958200	8.296	20.889	-0.368319041
85	208908	24748204	8.296	23.163	-1.212618767
85	208908	11520894	8.296	14.248	7.679049871
85	208908	16224745	8.296	25.926	-2.660469681
85	208908	71301229	8.296	6.958	-8.415384529
85	208908	9826528	8.296	1.929	7.082515201
85	208908	104842	8.296	12.628	5.127868706
85	208908	216239	8.296	60.353	1.206941739
85	208908	60700	8.296	26.44	5.472693465
85	4091	11960529	-1.165	5.58	-14.76130687
85	4091	24856436	-1.165	15.884	-19.1906972
85	4091	11977753	-1.165	51.049	-26.66633899
85	4091	387447	-1.165	23.52	-33.24902831
85	4091	3062316	-1.165	7.929	-9.236095064
85	4091	46926350	-1.165	39.938	-21.84785996
85	4091	176870	-1.165	6.673	-77.21701998
85	4091	5288382	-1.165	40.519	-22.093565
85	4091	216453	-1.165	49.542	-14.94039357
85	4091	208908	-1.165	8.287	-82.36040594
85	4091	24964624	-1.165	41.827	-9.476760665
85	4091	24958200	-1.165	20.889	-16.2949205
85	4091	24748204	-1.165	23.163	-16.36822947
85	4091	11520894	-1.165	14.248	-21.1820297
85	4091	16224745	-1.165	25.926	-16.14059458
85	4091	9826528	-1.165	1.929	-7.60876407
85	4091	216239	-1.165	60.353	-26.57665766
85	4091	5329102	-1.165	43.742	-32.17980584
85	4091	5394	-1.165	-8.007	-7.258669912
85	4091	5311	-1.165	24.286	-38.70791437
