data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
18	248862	32874	1.375	21.3895	-37.79655066
18	248862	135401907	0.748	-0.912	-0.551554089
18	248862	2141	-11.763	-1.137	-11.17001575
18	248862	123608	2.03	2.318	-0.927061922
18	248862	2187	14.952	1.236	-1.327815851
18	248862	5284616	-5.488	-2.958	-3.949723754
18	248862	9444	-1.939	-0.624	-6.260235699
18	248862	5360373	-2.558	12.993	-19.34414472
18	248862	387447	-9.324	23.995	-74.14846129
18	248862	2478	1.829	-0.885	-0.355524411
18	248862	2578	-12.66	7.463	-11.360274
18	248862	354624	-7.061	14.123	-91.12101422
18	248862	441203	2.604	12.789	-6.299082563
18	248862	439693	-8.456	0.903	-9.203383424
18	248862	2907	-4.495	1.103	-6.102937626
18	248862	3062316	-4.083	7.333	-13.42597606
18	248862	148124	1.591	0.347	-3.129541203
18	248862	24197464	-13.474	10.166	-20.75907184
18	248862	54611422	-1.547	0.037	-1.986390947
18	248862	176871	-0.729	1.853	-2.488311796
18	248862	104741	16.508	-0.02	-7.195908491
18	248862	3690	-2.035	3.815	-4.613599139
18	248862	57469	-7.492	0.447	-7.729032103
18	248862	6445540	-4.116	33.376	-28.09737012
18	248862	208908	-4.995	3.059	-7.981534697
18	248862	5935	-7.195	9.484	-12.89577384
18	248862	4114	-4.822	-1.382	-2.907934757
18	248862	5746	-3.043	7.13	-10.62496929
18	248862	4211	18.082	1.466	-7.813831819
18	248862	23615975	-1.729	2.625	-2.734473005
18	248862	451668	-4.019	3.515	-7.164861894
18	248862	21864423	6.657	14.252	-7.493001806
18	248862	54608520	-8.088	4.202	-9.761428207
18	248862	36314	-0.254	9.882	-63.44646844
18	248862	4842	-1.392	4.287	0.008848583
18	248862	148121	16.251	1.886	-0.817837641
18	248862	9703	-4.38	2.281	-4.272244868
18	248862	6239	3.081	15.579	-13.29330212
18	248862	5352062	-0.13	31.097	-64.67638089
18	248862	104842	-1.936	14.685	-20.45326986
18	248862	216239	-5.322	-3.442	0.408267821
18	248862	5329102	-3.181	3.987	-11.29703714
18	248862	5426	-8.779	-0.808	-5.949455695
18	248862	60699	-7.899	13.449	-19.03212214
18	248862	5799	-4.363	13.938	-11.70153363
18	248862	5388983	10.522	4.385	8.361724822
18	248862	68740	-2.924	-0.179	-3.899299422
18	248862	5311	-7.904	11.981	-24.27037544
18	43834572	248862	4.287	-1.704	-13.15138263
18	43834572	32874	14.331	21.3895	-7.954684695
18	43834572	135401907	2.278	-0.26	-3.058451865
18	43834572	2141	2.943	0.872	-4.247414576
18	43834572	123608	2.541	3.284	3.501164398
18	43834572	2187	3.364	1.236	1.668865545
18	43834572	5284616	1.674	-2.958	2.015932507
18	43834572	9444	9.489	-0.624	-30.2210708
18	43834572	77082	1.996	-3.067	-8.113583206
18	43834572	5360373	6.498	12.993	0.207449598
18	43834572	387447	1.312	41.501	-6.26890686
18	43834572	2478	2.36	1.2	0.595034882
18	43834572	426756	12.487	5.179	-0.963773426
18	43834572	2578	5.672	10.012	-0.606886899
18	43834572	1546	7.503	31.14	-3.519942616
18	43834572	354624	6.939	14.123	-6.634247782
18	43834572	441203	27.563	36.908	-3.932994756
18	43834572	439693	6.781	2.725	-1.82474881
18	43834572	2907	9.181	-0.534	-29.1805216
18	43834572	6252	15.392	19.564	1.62360881
18	43834572	3062316	7.939	7.333	0.056677259
18	43834572	148124	11.033	0.347	-6.356541474
18	43834572	24197464	5.949	12.587	1.744503197
18	43834572	54611422	-0.677	5.292	-9.09604344
18	43834572	176871	2.67	2.356	-4.17124806
18	43834572	657237	10.314	4.72	-4.147085858
18	43834572	104741	6.814	-0.02	-16.72588124
18	43834572	3657	4.203	2.802	-2.116234746
18	43834572	3690	1.35	1.348	-17.74288418
18	43834572	5291	12.981	4.818	-5.89755905
18	43834572	57469	1.599	-0.068	-1.064901703
18	43834572	6445540	2.844	35.24	-7.627973359
18	43834572	208908	7.1	3.059	-42.59600686
18	43834572	5935	4.809	9.484	0.699219754
18	43834572	667490	-0.698	30.571	-2.531100223
18	43834572	4114	1.422	-2.429	-6.468320205
18	43834572	5746	5.435	8.776	-1.801113504
18	43834572	4211	10.612	1.466	-18.7293907
18	43834572	644241	9.454	5.162	-2.008917759
18	43834572	23615975	3.088	2.421	-2.370794878
18	43834572	451668	2.827	8.971	1.018798623
18	43834572	21864423	21.371	14.252	-18.44629975
18	43834572	54608520	7.565	4.202	2.469208787
18	43834572	36314	18.559	9.882	2.42247
18	43834572	4842	9.278	8.232	1.112892801
18	43834572	163659	6.37	22.03	-3.646465775
18	43834572	148121	9.414	1.886	-4.465315257
18	43834572	9703	3.28	0.461	-8.49214955
18	43834572	6239	4.19	6.174	-1.362076825
18	43834572	5352062	14.941	31.089	-10.7386036
18	43834572	104842	17.668	14.685	1.300863751
18	43834572	216239	1.334	-3.442	-10.98471143
18	43834572	5329102	5.22	3.987	-2.753149749
18	43834572	2733525	8.451	-4.292	-13.21159752
18	43834572	5394	1.467	-4.071	-3.085465241
18	43834572	5426	2.721	-2.001	-6.886211318
18	43834572	60699	0.596	13.759	-7.914665018
18	43834572	444795	9.846	3.607	-14.80017982
18	43834572	5799	1.542	13.938	0.923560739
18	43834572	5388983	10.067	4.385	-1.322810349
18	43834572	5388992	9.077	4.747	3.945116777
18	43834572	68740	4.027	-0.179	-51.9974526
18	43834572	5311	10.675	11.981	-3.830233948
18	3385	248862	18.21	-12.363	-15.89163641
18	3385	43834572	19.856	26.616	-8.966224774
18	3385	2019	19.856	0.526	6.016369079
18	3385	32874	19.856	28.481	-8.686901944
18	3385	135401907	19.856	-4.204	-13.17440822
18	3385	2123	19.856	-4.145	-7.550338355
18	3385	2141	12.395	-7.158	-13.58608137
18	3385	123608	19.856	6.843	-2.347687922
18	3385	2187	19.856	1.187	-1.223328101
18	3385	5284616	19.856	18.273	4.306620125
18	3385	9444	19.856	-1.297	-6.921502076
18	3385	77082	19.856	4.975	-7.528321912
18	3385	5360373	16.763	9.297	-6.115679958
18	3385	387447	19.856	2.581	-6.610707258
18	3385	2478	19.856	1.036	-2.233496914
18	3385	426756	19.856	9.239	1.610127075
18	3385	2578	19.856	1.966	-10.91679977
18	3385	2662	19.856	-0.309	-6.842144018
18	3385	1546	19.856	9.016	1.286435386
18	3385	354624	19.856	27.737	-8.255321392
18	3385	2708	19.856	17.085	5.305220556
18	3385	441203	19.856	-0.22	-3.168801872
18	3385	439693	19.856	1.875	0.271291017
18	3385	11626560	19.856	3.057	-3.869672054
18	3385	2907	19.856	-0.234	-18.18014878
18	3385	6252	19.856	16.532	0.909733507
18	3385	3062316	17.879	18.375	-3.270143293
18	3385	148124	19.856	18.769	-24.55338745
18	3385	24197464	19.856	3.282	-3.38103952
18	3385	54611422	19.856	0.858	-9.173518332
18	3385	176871	19.856	1.576	-0.106960412
18	3385	657237	19.856	6.161	-2.928823432
18	3385	104741	19.856	2.663	-1.036920001
18	3385	3657	19.856	3.664	-4.129871158
18	3385	3690	19.856	1.223	-3.722102217
18	3385	5291	19.856	1.111	-5.154986158
18	3385	57469	19.856	0.781	-9.397302342
18	3385	6445540	19.856	1.155	1.586272357
18	3385	208908	19.856	-3.206	-4.947404455
18	3385	3902	19.856	-0.416	-1.721032059
18	3385	5935	19.856	0.179	-2.277964207
18	3385	9927978	19.856	7.212	4.509722498
18	3385	667490	19.856	31.101	-29.21929264
18	3385	126941	17.804	-7.265	0.1047204
18	3385	4114	19.856	0.865	-6.332350626
18	3385	5746	19.856	4.604	-1.448664255
18	3385	4211	19.856	1.17	-6.65636235
18	3385	644241	19.856	2.209	-4.105270095
18	3385	23615975	19.856	5.689	-2.519328521
18	3385	451668	19.856	8.889	-1.850358293
18	3385	21864423	19.856	14.252	-8.272567555
18	3385	54608520	19.856	11.649	2.463778096
18	3385	36314	19.856	28.655	-7.331188343
18	3385	4842	17.585	6.988	-5.148963293
18	3385	163659	19.856	-1.461	4.303008184
18	3385	148121	19.856	-0.71	-1.56555763
18	3385	9703	19.856	-2.434	-3.420077306
