data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
77	3385	11960529	19.291	2.832	-5.879737245
77	3385	24856436	19.291	22.021	6.702957589
77	3385	11977753	19.291	56.636	1.170481581
77	3385	387447	19.291	54.324	-4.769711146
77	3385	3062316	19.291	9.373	0.796073095
77	3385	46926350	19.291	34.523	-7.409131366
77	3385	176870	19.291	12.964	4.883189403
77	3385	5288382	19.291	7.489	2.197240752
77	3385	216453	19.291	30.95	5.80790244
77	3385	208908	19.291	57.481	-5.567518987
77	3385	24964624	19.291	60.605	-11.53504963
77	3385	24958200	19.291	16.807	3.685131565
77	3385	24748204	19.291	37.547	0.152492582
77	3385	11520894	19.291	32.723	4.767070198
77	3385	16224745	19.291	24.204	18.29684231
77	3385	9826528	19.291	3.865	2.921643797
77	3385	216239	19.291	58.553	-3.557434702
77	3385	5329102	19.291	30.334	4.693725463
77	3385	5394	19.291	-8.41	-23.99034592
77	3385	5311	19.291	39.478	-4.425409387
77	11960529	11977753	2.832	56.636	-33.49312813
77	11960529	46926350	2.832	34.523	-31.32035336
77	11960529	5288382	2.832	7.489	1.420774448
77	11960529	11520894	2.832	32.723	-22.97415219
77	11960529	16224745	2.832	24.204	-6.860594081
77	11960529	71301229	2.832	17.706	1.111405798
77	11960529	104842	2.832	29.942	-32.50216016
77	11960529	216239	2.832	58.553	-0.029694661
77	11960529	60700	2.832	73.576	-9.346892468
77	24856436	11960529	22.028	2.832	-64.15122806
77	24856436	11977753	22.028	56.636	8.406127601
77	24856436	387447	22.028	54.324	-7.022887451
77	24856436	3062316	22.028	9.373	4.270501477
77	24856436	46926350	22.028	34.523	-1.362672377
77	24856436	176870	22.028	12.964	2.968855554
77	24856436	5288382	22.028	7.489	-9.267517248
77	24856436	208908	22.028	57.481	9.669458404
77	24856436	24964624	22.028	60.605	1.099814395
77	24856436	24958200	22.028	16.807	29.04405599
77	24856436	24748204	22.028	37.547	1.944595083
77	24856436	11520894	22.028	32.723	16.43519382
77	24856436	16224745	22.028	24.204	23.40507604
77	24856436	71301229	22.028	17.706	6.765726661
77	24856436	9826528	22.028	3.865	-0.544899901
77	24856436	104842	22.028	29.942	4.641132259
77	24856436	216239	22.028	58.553	2.401864222
77	24856436	60700	22.028	73.576	14.29128641
77	11977753	46926350	56.635	34.523	-0.594641025
77	11977753	16224745	56.635	24.204	-10.9646486
77	11977753	71301229	56.635	17.706	1.391014542
77	11977753	104842	56.635	29.942	3.231004949
77	11977753	216239	56.635	58.553	2.578499836
77	387447	11960529	54.325	2.832	-23.28281269
77	387447	11977753	54.325	56.636	2.052288477
77	387447	3062316	54.325	9.373	-0.750529905
77	387447	46926350	54.325	34.523	-5.489982386
77	387447	5288382	54.325	7.489	-8.740181763
77	387447	11520894	54.325	32.723	2.086278845
77	387447	16224745	54.325	24.204	-1.170213167
77	387447	71301229	54.325	17.706	-4.486567197
77	387447	104842	54.325	29.942	3.388029418
77	387447	216239	54.325	58.553	-0.861509656
77	387447	60700	54.325	73.576	-1.4138096
77	426756	11960529	4.341	2.832	10.06529353
77	426756	24856436	4.341	22.021	-1.742412072
77	426756	11977753	4.341	56.636	-3.348621758
77	426756	387447	4.341	54.324	-5.348279094
77	426756	3062316	4.341	9.373	6.460808449
77	426756	46926350	4.341	34.523	-9.672711381
77	426756	176870	4.341	12.964	0.080331401
77	426756	5288382	4.341	7.489	3.905493985
77	426756	216453	4.341	30.95	1.382241868
77	426756	208908	4.341	57.481	-5.343632692
77	426756	24964624	4.341	60.605	-14.90490217
77	426756	24958200	4.341	16.807	2.243484791
77	426756	24748204	4.341	37.547	0.322139318
77	426756	11520894	4.341	32.723	9.915716091
77	426756	16224745	4.341	24.204	13.24762587
77	426756	9826528	4.341	3.865	5.774523693
77	426756	216239	4.341	58.553	-11.64395069
77	426756	5329102	4.341	30.334	2.279569891
77	426756	5394	4.341	-8.41	-23.43987748
77	426756	5311	4.341	39.478	-8.016370648
77	2907	11960529	-6.155	2.832	3.183006244
77	2907	24856436	-6.155	22.021	-66.05440669
77	2907	11977753	-6.155	56.636	-34.2598625
77	2907	387447	-6.155	54.324	-47.58747965
77	2907	3062316	-6.155	9.373	-20.90841613
77	2907	46926350	-6.155	34.523	-56.5800328
77	2907	176870	-6.155	12.964	-30.52753884
