MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
927	54761306	23725625	-0.017638854	0.012713875
927	24856436	23725625	-0.007711468	0.022314244
927	24856436	54761306	0.014342584	0.051466167
927	16007391	23725625	-0.053251366	-0.036134668
927	16007391	54761306	-0.046882799	-0.020692827
927	16007391	24856436	-0.015788676	0.003023678
927	118502708	24856436	-0.0622646	-0.039057969
927	135151360	23725625	-0.052213362	-0.028888536
927	118502708	54761306	-0.03957261	-0.019910546
927	118502708	16007391	-0.053882835	-0.039769228
927	135151360	24856436	-0.018894575	0.023867763
927	135151360	118502708	-0.014663799	0.007216128
927	135151360	54761306	0.031617	0.054667187
927	135151360	16007391	-0.045174347	-0.014466385
927	46700756	23725625	0.003515842	0.033968012
927	46700756	54761306	0.005100018	0.041447272
927	46700756	24856436	0.164549105	0.197212806
927	46700756	118502708	-0.042832245	-0.014589343
927	46700756	135151360	-0.05518549	-0.023274511
927	46700756	104842	-0.009941484	0.063006608
927	104842	23725625	0.062695574	0.086679268
927	31703	135151360	0.012211255	0.033007203
927	90132565	23725625	-0.041197077	-0.027648968
927	104842	118502708	0.003327977	0.036271288
927	3082962	23725625	-0.069688261	-0.052492555
927	131634760	24856436	0.008724655	0.034523565
927	131634760	118502708	-0.036922877	-0.018607625
927	131634760	54761306	-0.003117303	0.022843045
927	131634760	16007391	-0.040629436	-0.017724392
927	131634760	135151360	-0.042010581	-0.017333778
927	131634760	25227436	-0.020393755	-0.002373106
927	131634760	52913813	-0.013916684	0.007178372
927	131634760	10127622	-0.012681684	0.000740021
927	131634760	49846579	-0.051303116	-0.037654422
927	86661883	54761306	-0.012095181	0.006608558
927	86661883	24856436	-0.040395931	-0.019210941
927	86661883	118502708	-0.049605054	-0.036864233
927	86661883	25227436	-0.03292313	-0.019319315
927	86661883	16007391	-0.061909648	-0.047470596
927	86661883	135151360	-0.04880183	-0.034523053
927	86661883	10127622	-0.038846212	-0.006414227
927	86661883	52913813	0.042897668	0.078206403
927	49846579	54761306	-0.016680494	0.00631887
927	49846579	24856436	-0.020224229	-0.001896376
927	49846579	16007391	-0.023035612	-0.00965466
927	49846579	118502708	-0.031938257	-0.016056757
927	49846579	135151360	-0.039954012	-0.01993643
927	49846579	25227436	-0.051333518	-0.030645242
927	49846579	52913813	-0.009166589	0.007908662
927	11707110	51001932	0.056703227	0.078465224
927	49846579	24771867	-0.029880994	-0.01404619
927	49846579	10127622	-0.03028274	-0.018572716
927	46700756	104842	0.004032937	0.063920621
927	25227436	16007391	-0.0423875415819959	-0.0034837540907633
927	25227436	54761306	-0.0472769125635341	-0.0087659232391451
927	25227436	126689157	-0.0624818632030969	-0.0172789102377562
927	25227436	118693659	-0.0554531453865638	-0.0380604089008504
927	25227436	5330286	-0.0266765538192608	-0.0063904793649937
927	25227436	10127622	0.0258118615136529	0.0699088341487252
927	5330286	131634760	-0.0243080843467873	0.008146372029123
927	5330286	49846579	-0.0344831970895536	-0.0172048894307638
927	208908	11626560	-0.0237157096928574	0.000216052955698077
927	3062316	11707110	-0.0440117245545741	0.0022127377531623
927	5330286	10127622	0.0156853402801476	0.0387942041276795
927	208908	24964624	0.0323002924474896	0.067075551841705
927	118693659	24856436	-0.0783174132976841	-0.0517533125631407
927	118693659	131634760	-0.0167038426554996	0.0207678487878521
927	118693659	54761306	-0.0104242528810382	0.0069007542894496
927	118693659	16007391	-0.021432966866473	0.0105541084221661
927	118693659	49846579	-0.0572448209180334	-0.017801690318982
927	118693659	10127622	-0.0275364216915864	-0.0055435531052754
927	68289010	131634760	-0.0243039396177048	-0.0012953084177182
927	68289010	49846579	-0.0227620026866023	0.010954875436853
927	10127622	54761306	-0.0064444779499739	0.018573451014663
927	10127622	16007391	-0.0059907887587286	0.0177289765483162
927	123631	126689157	-0.0402384526520471	-0.0147378254570945
927	10127622	24856436	-0.000184980552863258	0.0298596318702325
927	10127622	126689157	-0.0393859938032307	-0.0154149715830022
927	54761306	60749	0.0544052103091895	0.121013582789862
927	24856436	60749	0.0535854860660792	0.131385830828688
927	72165232	60749	-0.006706201570172	0.0322193619638405
927	52913813	25227436	-0.0162052546787678	0.0229238924534795
927	52913813	5330286	-0.0039136036782072	0.0504155607203423
927	131634760	60749	-0.0600237655338683	-0.0207042462646166
927	86661883	36314	0.0892004705697555	0.1460142103636
927	131634760	36314	0.0272649643781039	0.0559193101739902
927	23725625	86661883	-0.0287903361625717	1.15338802107544e-05
927	23725625	118693659	-0.0246862818541415	0.0079001774320089
927	23725625	131634760	-0.0211093246954828	0.0035105802255646
927	23725625	49846579	-0.0517575143856165	-0.0209857109800504
927	54761306	10339178	-0.0038071213724129	0.024496681609474
927	131634760	208908	-0.0434255130037349	0.0018987830383921
927	135151360	36462	0.0189363882922863	0.0480898036941335
927	86661883	208908	-0.0333335346823227	0.0014634253158842
927	24856436	104842	-0.0544844825302345	0.036446799718104
927	72165232	3385	0.0202012504399304	0.0452462496041789
927	72165232	24856436	-0.0132330737300085	0.0158809828817037
927	51001932	24866313	-0.0027984713295329	0.070278233672978
927	208908	10127622	-0.058670633221937	0.0043789358306371
927	11626560	10127622	-0.0049996221250843	0.0192603931752173
927	86661883	60749	0.002413250786512	0.0487461113267379
927	72165232	104842	-0.0310325074162059	0.022346491883478
927	11626560	3062316	-0.041837208781485	-0.0163385032798738
927	49846579	208908	-0.0222331470486417	0.0055200678980296
