MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
429	135151360	24856436	-0.067847195	-0.042491992
429	135151360	118502708	-0.032126249	-0.014299194
429	135151360	54761306	-0.022406428	0.000649986
429	135151360	16007391	-0.044927174	-0.027914851
429	46700756	23725625	-0.108037318	-0.067945556
429	46700756	54761306	-0.010165072	0.005267704
429	46700756	24856436	-0.035315352	-0.016799599
429	46700756	118502708	-0.051218886	-0.035696319
429	46700756	135151360	-0.04629205	-0.026260182
429	46700756	104842	-0.039045118	-0.018387399
429	104842	23725625	-0.016895109	-0.000349305
429	31703	135151360	0.003035339	0.022189007
429	90132565	23725625	-0.001037014	0.019762268
429	104842	118502708	-0.193813218	-0.172342083
429	3082962	23725625	-0.090673896	-0.068212989
429	54761306	23725625	-0.048746391	-0.023681089
429	24856436	23725625	-0.037954399	-0.008634428
429	24856436	54761306	0.02606409	0.052390839
429	16007391	23725625	-0.016537466	0.000369963
429	16007391	54761306	-0.050160653	-0.030565026
429	16007391	24856436	-0.033632158	-0.015574291
429	118502708	24856436	-0.029880444	-0.011018205
429	135151360	23725625	-0.034980055	-0.02070454
429	118502708	54761306	-0.015657064	-0.000657782
429	118502708	16007391	-0.041146922	-0.026461191
429	54761306	23725625	-0.03284881	-0.013799735
429	24856436	23725625	-0.054309924	-0.020469418
429	24856436	54761306	0.011113904	0.035377082
429	16007391	23725625	-0.028524757	-0.007317912
429	16007391	54761306	-0.056345403	-0.03587481
429	16007391	24856436	-0.050720877	-0.030574018
429	118502708	24856436	-0.049661544	-0.029787518
429	135151360	23725625	-0.058913688	-0.040859417
429	118502708	54761306	-0.045343756	-0.028258168
429	118502708	16007391	-0.041889486	-0.026633021
429	131634760	24856436	0.037588392	0.061239335
429	131634760	118502708	-0.012788531	0.005220125
429	131634760	54761306	0.02851264	0.049221755
429	131634760	16007391	0.082532411	0.102486334
429	131634760	135151360	-0.013428132	0.003973262
429	131634760	25227436	-0.011871875	0.014367475
429	131634760	52913813	0.017907783	0.049269947
429	131634760	10127622	-0.060949438	-0.029557727
429	131634760	49846579	0.052701173	0.081857359
429	86661883	54761306	-0.060109248	-0.030966597
429	86661883	24856436	-0.008314201	0.007465552
429	86661883	118502708	-0.038019204	-0.023677232
429	86661883	25227436	-0.091355533	-0.067775705
429	86661883	16007391	-0.002408337	0.011362784
429	86661883	135151360	-0.035921475	-0.021644479
429	86661883	10127622	-0.060033956	-0.035265897
429	86661883	52913813	-0.025107826	0.000345823
429	49846579	54761306	-0.035945938	-0.014353093
429	49846579	24856436	-0.028644241	-0.011928147
429	49846579	16007391	-0.057522683	-0.041753398
429	49846579	118502708	-0.042177954	-0.028953875
429	49846579	135151360	-0.038061485	-0.025818875
429	49846579	25227436	-0.032420372	-0.011327515
429	49846579	52913813	-0.020098748	-0.00708193
429	11707110	51001932	0.015545171	0.034527371
429	49846579	24771867	-0.060316676	-0.043535181
429	49846579	10127622	-0.033968098	-0.021601723
429	46700756	104842	-0.042565377	-0.029493601
429	25227436	16007391	-0.0114533583081119	0.024504427465112
429	25227436	54761306	-0.0569662294210765	-0.0082783989231309
429	25227436	126689157	-0.0471343191606785	-0.0196086527502598
429	25227436	118693659	-0.0339998329874769	0.0047206362522916
429	25227436	5330286	-0.0172559019389579	0.0062954414094502
429	25227436	10127622	-0.0071471720310261	0.0168642283816761
429	5330286	131634760	-0.037150438769333	-0.0126025645075344
429	5330286	49846579	-0.0433951614647125	-0.0300957340865001
429	208908	11626560	-0.0031415177172607	0.0397735376221499
429	3062316	11707110	-0.0511217940033198	-0.0373359799640685
429	5330286	10127622	-0.0509214077006247	-0.0377884548739345
429	208908	24964624	-0.0603955231376861	0.0095231999293374
429	118693659	24856436	-0.0419897440750222	0.0087369178260514
429	118693659	131634760	0.0033504959888601	0.0292260227096346
429	118693659	54761306	0.0189714469329572	0.044463007179745
429	118693659	16007391	-0.000791229313771157	0.0352473104270132
429	118693659	49846579	-0.0851533293581201	-0.0525526680042917
429	118693659	10127622	-0.013335889595397	0.0047154188113809
429	68289010	131634760	-0.0387865632261248	-0.0128782538100811
429	68289010	49846579	-0.0361352774356092	-0.021882168710891
429	10127622	54761306	-0.0495337906089021	-0.0339241225738078
429	10127622	16007391	-0.0543930103472583	-0.0358938293189633
429	123631	126689157	-0.058736114918922	-0.0344791561536581
429	10127622	24856436	-0.0587390997600901	-0.0393164662475911
429	10127622	126689157	-0.0439757245133999	-0.0308625720066506
429	54761306	60749	0.0117426359467502	0.0393264570372389
429	24856436	60749	-0.0561434730923164	-0.0187233804930828
429	72165232	60749	-0.0407772623556956	-0.0046707551256858
429	52913813	25227436	-0.0103798823525659	0.0257681887224727
429	52913813	5330286	-0.0464652243710678	-0.0295577266993643
429	131634760	60749	0.0282869770573934	0.0421423330953732
429	86661883	36314	0.0900547517587883	0.103015105064415
429	131634760	36314	0.0617008687911497	0.0737617047432448
429	23725625	86661883	-0.0326501304844243	-0.018258453673312
429	23725625	118693659	-0.0501736318791382	-0.0301121067953138
429	23725625	131634760	-0.0227228815866549	-0.0102183971667358
429	23725625	49846579	-0.0246566481318712	-0.0125649424485266
429	54761306	10339178	-0.0119335065892112	0.0101875152228784
429	131634760	208908	0.063036438424279	0.1120132184431
429	135151360	36462	-0.0043583416124259	0.0198247379349367
429	86661883	208908	0.0458248966937026	0.0939111444538599
429	24856436	104842	-0.0938305836384816	-0.0561851607420106
429	72165232	3385	-0.0283474664410883	-0.0156915417680037
429	72165232	24856436	-0.009295250354691	0.0083595752382569
429	51001932	24866313	0.0556294163423851	0.0732164355331519
429	208908	10127622	-0.0329244322665695	-0.018414198014084
429	11626560	10127622	-0.0415851652952917	-0.0305074308818389
429	86661883	60749	-0.0052133478476767	0.0077887492535682
429	72165232	104842	-0.0375042172629091	-0.0260637322892856
429	11626560	3062316	-0.0431143623578472	-0.0315774402295638
429	49846579	208908	0.0215103471831777	0.0378929541218293
