MASTER_CELL_ID	Drug1_pub	Drug2_pub	Bliss_matrix	HSA_matrix
1533	54761306	23725625	-0.00418998	0.016304186
1533	24856436	23725625	-0.002261955	0.021612341
1533	24856436	54761306	-0.005712765	0.049273655
1533	16007391	23725625	0.004455916	0.015908533
1533	16007391	54761306	-0.044097908	-0.029293836
1533	16007391	24856436	-0.113777705	-0.096780455
1533	118502708	24856436	-0.101525864	-0.079905477
1533	135151360	23725625	0.00450121	0.015687263
1533	118502708	54761306	-0.036160376	-0.020988032
1533	118502708	16007391	-0.037584183	-0.025266697
1533	135151360	24856436	-0.069971049	-0.009167614
1533	135151360	118502708	0.006873116	0.022333527
1533	135151360	54761306	-0.016452279	0.018493364
1533	135151360	16007391	-0.002847258	0.011918804
1533	46700756	23725625	-0.039054609	-0.012089992
1533	46700756	54761306	0.005514157	0.052883321
1533	46700756	24856436	-0.125782385	-0.035738034
1533	46700756	118502708	-0.041587828	-0.006956955
1533	46700756	135151360	-0.064446863	-0.02835425
1533	46700756	104842	-0.032775099	0.01487175
1533	104842	23725625	0.046537153	0.058100537
1533	31703	135151360	-0.002911175	0.023828716
1533	90132565	23725625	-0.034170421	-0.023644993
1533	104842	118502708	-0.04763817	-0.030726562
1533	3082962	23725625	-0.026649184	-0.01722404
1533	135151360	24856436	-0.040691729	-0.006129004
1533	135151360	118502708	-0.030178263	-0.016591205
1533	135151360	54761306	-0.028769404	-0.001553924
1533	135151360	16007391	-0.02333856	-0.010259694
1533	46700756	23725625	-0.048933573	-0.023182545
1533	46700756	54761306	0.007578992	0.039309235
1533	46700756	24856436	0.007944495	0.059304219
1533	46700756	118502708	0.004964258	0.020356165
1533	46700756	135151360	0.023158084	0.039166487
1533	31703	135151360	0.007317376	0.027314679
1533	90132565	23725625	-0.021734322	-0.007364624
1533	104842	118502708	-0.05968343	-0.040426145
1533	3082962	23725625	0.004546498	0.017453963
1533	86661883	10127622	0.007867077	0.035658854
1533	86661883	52913813	0.059771304	0.079725802
1533	49846579	54761306	-0.003313688	0.019432103
1533	49846579	24856436	-0.000958845	0.02116797
1533	49846579	16007391	-0.020357359	-0.00209767
1533	49846579	118502708	-0.026597977	-0.006997202
1533	49846579	135151360	-0.02080288	-0.001254397
1533	49846579	25227436	-0.0443826	-0.015962503
1533	49846579	52913813	-0.07850303	-0.060661668
1533	11707110	51001932	0.104730415	0.13723369
1533	49846579	24771867	-0.035808332	-0.019650847
1533	49846579	10127622	-0.007179341	0.010306712
1533	46700756	104842	-0.042514656	-0.004177762
1533	131634760	24856436	-0.086558696	-0.034867821
1533	131634760	118502708	-0.035687718	-0.016107159
1533	131634760	54761306	-0.104184003	-0.061225186
1533	131634760	16007391	-0.038089805	-0.012936175
1533	131634760	135151360	-0.05898446	-0.037076519
1533	131634760	25227436	-0.000243119	0.02530771
1533	131634760	52913813	-0.00554141	0.014493603
1533	131634760	10127622	-0.037479518	-0.01003501
1533	131634760	49846579	-0.025702661	-0.012558182
1533	86661883	54761306	-0.067153089	-0.033721507
1533	86661883	24856436	0.062602325	0.088584382
1533	86661883	118502708	-0.05061469	-0.032228239
1533	86661883	25227436	0.031062638	0.048177314
1533	86661883	16007391	-0.016038439	-0.002568216
1533	86661883	135151360	-0.049699546	-0.031959705
1533	118693659	24856436	-0.0045060462681322	0.0666557017189717
1533	118693659	131634760	0.0697852916737476	0.0915047248592226
1533	118693659	54761306	-0.0082429331194122	0.0580777374797958
1533	118693659	16007391	-0.0034248366198506	0.0270523267375824
1533	118693659	49846579	-0.0708438954800904	-0.0484182394856303
1533	118693659	86661883	0.0730349364035052	0.11520857032018
1533	118693659	10127622	0.108137079246266	0.154911678858532
1533	68289010	131634760	-0.0356385963996224	-0.0117742321899057
1533	68289010	86661883	-0.0353579879611989	-0.0067281309176803
1533	68289010	49846579	-0.0534325450057125	-0.0301509190247133
1533	10127622	54761306	0.0196430237958804	0.0412527854350401
1533	10127622	16007391	-0.0073034136141108	0.0154924763934216
1533	123631	126689157	-0.0548883156500598	-0.0380124668328029
1533	10127622	24856436	0.003193256717695	0.0353668453747256
1533	10127622	126689157	-0.0564531454497283	-0.0320610914335147
1533	25227436	16007391	0.0134379747818477	0.0379236028868455
1533	25227436	54761306	-0.0241749067510498	0.0280823182984246
1533	25227436	126689157	-0.0625656099243018	-0.0331028783757376
1533	25227436	118693659	0.0413213148033181	0.0956065456212124
1533	25227436	5330286	0.0558441548011363	0.105012246448818
1533	25227436	10127622	0.0628287253500653	0.115525657127677
1533	5330286	131634760	-0.0445567612331325	-0.019693463560099
1533	5330286	86661883	-0.0138166363803808	0.0084614871665816
1533	5330286	49846579	-0.033993767238559	-0.0182405517635488
1533	208908	11626560	-0.049554890600335	-0.0145740172045155
1533	3062316	11707110	-0.0457416273744525	0.0086713929501767
1533	5330286	10127622	-0.0184932281816937	0.0058949211509264
1533	25227436	16007391	0.0185091266945134	0.0419115363843694
1533	25227436	54761306	-0.0740891644052346	-0.0098728368040762
1533	25227436	126689157	-0.0151251245585371	0.0099293165422676
1533	25227436	118693659	0.0097758348959992	0.0880463150730506
1533	25227436	5330286	-0.0510756415096473	-0.0029681610507571
1533	25227436	10127622	0.0664443467770281	0.111764481927911
1533	5330286	131634760	-0.0132515436097918	0.0090540964740813
1533	5330286	86661883	-0.023028166890563	0.0019484535502701
1533	5330286	49846579	-0.0499989841332546	-0.0287839436143396
1533	208908	11626560	-0.011789558531368	0.0181036337464425
1533	3062316	11707110	-0.0589894740435586	0.000284918658732311
1533	5330286	10127622	-0.0328561281279641	-0.0052491867040646
