data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
8	248862	32874	3.659	21.977	-6.122688335
8	248862	135401907	5.362	0.011	0.832778256
8	248862	2141	7.152	-3.279	0.314501302
8	248862	123608	-2.527	1.274	-5.006140174
8	248862	2187	19.761	-3.297	4.008685621
8	248862	5284616	-2.178	3.3	-14.05126946
8	248862	9444	-6.205	26.362	-38.81078558
8	248862	5360373	1.53	43.576	-20.62799893
8	248862	2478	5.531	2.718	5.630807926
8	248862	2578	5.887	8.37	-0.948819389
8	248862	354624	-0.603	11.232	-77.47212412
8	248862	441203	15.719	36.555	-5.427239531
8	248862	439693	-2.806	-2.054	1.313687354
8	248862	2907	-1.408	-0.502	-7.051622391
8	248862	3062316	-6.777	1.432	-13.21269099
8	248862	148124	-15.48	-1.915	-4.126022709
8	248862	24197464	6.794	8.012	-2.780946511
8	248862	54611422	-12.092	19.803	-24.35177277
8	248862	104741	31.146	7.149	-2.417848484
8	248862	3690	-3.242	-2.559	3.747737113
8	248862	57469	3.238	3.431	-2.556281687
8	248862	6445540	13.546	64.64	-27.8708192
8	248862	208908	-11.31	-0.285	-7.586640244
8	248862	5935	-1.494	28.189	-30.49392822
8	248862	4114	-5.892	-0.722	1.295116598
8	248862	5746	-7.947	26.095	-29.3997964
8	248862	4211	34.927	-0.721	-21.68529221
8	248862	23615975	4.917	-1.998	-4.662760592
8	248862	451668	6.734	18.095	-18.13593919
8	248862	21864423	2.692	28.516	-21.47709172
8	248862	54608520	-12.342	4.863	-3.673029025
8	248862	36314	-17.279	17.786	-86.66243217
8	248862	4842	8.633	19.997	4.944347741
8	248862	148121	35.627	81.822	41.42289095
8	248862	9703	-10.653	-5.597	-0.507906093
8	248862	6239	12.168	30.318	1.393339829
8	248862	5352062	-5.238	12.324	-55.50064199
8	248862	104842	-7.91	33.021	-72.14768111
8	248862	216239	-11.717	-1.824	-2.095377172
8	248862	5329102	-10.628	1.314	-10.14669375
8	248862	5426	0.199	-2.95	-4.857067002
8	248862	60699	0.942	38.589	-38.13898593
8	248862	5799	0.302	37.247	-28.10337047
8	248862	5388983	33.144	0.299	0.77064688
8	248862	68740	-0.302	5.093	-0.619784249
8	248862	5311	-14.918	19.571	-45.56758046
8	43834572	248862	19.395	2.414	-58.66649798
8	43834572	32874	17.3635	21.977	-4.536294798
8	43834572	135401907	17.511	2.615	-27.86455816
8	43834572	2141	22.234	-2.002	-21.87886235
8	43834572	123608	12.633	-4.674	-20.12284645
8	43834572	2187	8.247	-3.297	-11.32453875
8	43834572	5284616	8.599	3.3	-7.642265566
8	43834572	9444	15.243	26.362	-0.121124485
8	43834572	77082	10.568	1.568	-20.92143737
8	43834572	5360373	15.657	43.576	-2.353756427
8	43834572	2478	5.075	13.847	-17.80481885
8	43834572	426756	8.927	8.658	-11.58709994
8	43834572	2578	30.619	7.051	-36.55930927
8	43834572	1546	22.306	34.822	-5.958571058
8	43834572	354624	9.402	11.232	-5.593757528
8	43834572	441203	41.729	27.82	-15.56020525
8	43834572	439693	16.927	2.748	-13.75758361
8	43834572	2907	17.549	0.576	-31.90602264
8	43834572	6252	12.06	51.398	2.48532472
8	43834572	3062316	12.637	1.432	-12.20103392
8	43834572	148124	16.821	-1.915	-15.15973883
8	43834572	24197464	15.648	37.17	-4.48180544
8	43834572	54611422	1.524	18.791	-16.77828065
8	43834572	176871	10.723	1.706	-9.802457681
8	43834572	657237	14.897	15.074	-10.91587881
8	43834572	104741	-1.206	7.149	-3.745244971
8	43834572	3657	26.9	-3.658	-85.16411892
8	43834572	3690	23.613	2.708	-57.02525393
8	43834572	5291	8.857	0.01	-23.5212792
8	43834572	57469	26.779	-0.271	-8.068531279
8	43834572	6445540	23.912	72.667	-2.893696789
8	43834572	208908	-10.471	-0.285	-25.25404981
8	43834572	5935	3.195	28.189	-6.401504669
8	43834572	667490	15.054	30.781	4.468168221
8	43834572	4114	22.387	1.36	-14.32587308
8	43834572	5746	24.197	35.629	-3.033580482
8	43834572	4211	6.725	-0.721	-14.66993774
8	43834572	644241	6.155	-1.323	-20.50226862
8	43834572	23615975	21.634	0.851	-16.06869647
8	43834572	451668	14.079	12.291	-3.914439997
8	43834572	21864423	28.291	28.516	-7.6704048
8	43834572	54608520	14.883	4.863	-21.41236937
8	43834572	36314	2.504	17.786	-5.651561762
8	43834572	4842	17.24	17.999	-27.42209343
8	43834572	163659	19.319	12.368	-10.603458
8	43834572	148121	15.967	81.822	41.89078885
8	43834572	9703	7.321	-2.543	-31.85165042
8	43834572	6239	24.896	7.094	-10.45913173
8	43834572	5352062	9.945	12.324	-19.77184761
8	43834572	104842	8.894	33.021	-17.7020977
8	43834572	216239	10.507	-1.824	-29.06046982
8	43834572	5329102	10.314	1.314	-23.14739721
8	43834572	2733525	18.003	7.046	-58.22165413
8	43834572	5394	7.029	-14.199	-37.21058012
8	43834572	5426	16.275	-4.52	-25.88968709
8	43834572	60699	29.867	39.551	3.393948997
8	43834572	444795	23.623	-0.855	-38.90392638
8	43834572	5799	21.776	37.247	-7.12853333
8	43834572	5388983	6.612	0.299	-7.027829642
8	43834572	5388992	14.394	31.694	-20.17212299
8	43834572	68740	16.604	5.093	-17.94477473
8	43834572	5311	7.76	19.571	0.126135411
8	3385	248862	56.328	-2.1	-19.27075217
8	3385	43834572	59.005	39.957	-1.702957508
8	3385	11960529	24.392	1.479	-17.00511563
8	3385	2019	59.005	0.133	3.496960076
8	3385	32874	59.005	35.945	-18.34809535
8	3385	135401907	59.005	1.59	-26.68362428
8	3385	2123	59.005	-0.239	-20.64703496
8	3385	2141	57.184	6.909	-2.277835562
8	3385	123608	59.005	1.965	-6.080068663
8	3385	2187	59.005	0.369	-4.064620692
8	3385	5284616	59.005	17.836	-7.737823767
8	3385	9444	59.005	15.905	-4.242453662
8	3385	24856436	24.392	8.363	2.51561551
8	3385	77082	59.005	-3.084	-26.99341067
8	3385	11977753	24.392	15.305	-3.946020832
8	3385	5360373	49.01	23.299	-7.196198773
8	3385	387447	31.3146	37.559	-2.245087015
8	3385	2478	59.005	5.584	-13.15505206
8	3385	426756	59.005	20.493	-10.09775374
8	3385	2578	59.005	0.758	-10.57294106
8	3385	2662	59.005	4.832	-11.93935585
8	3385	1546	59.005	0.841	-2.069876063
8	3385	354624	59.005	42.868	-5.601018786
8	3385	2708	59.005	21.075	-3.453376631
8	3385	441203	59.005	-2.866	-12.51455345
8	3385	439693	59.005	1.798	-18.09594014
8	3385	11626560	59.005	4.543	-0.18864641
8	3385	2907	59.005	1.973	-27.23335226
8	3385	6252	59.005	37.071	1.196996989
8	3385	3062316	31.0616	-3.0848	-8.534163911
8	3385	46926350	24.392	41.397	0.117159733
8	3385	148124	59.005	33.812	-7.009484852
8	3385	24197464	59.005	15.221	-4.260520925
