data_cell_id	data_cell_id.1	data_cell_id.2	ri_row	ri_col	synergy_loewe
6	248862	32874	0.4755	23.169	-24.87786919
6	248862	135401907	-2.36	-1.317	2.019264973
6	248862	2141	1.217	-3.139	0.341431835
6	248862	123608	-2.197	3.029	-8.649841484
6	248862	2187	17.034	2.554	3.776006211
6	248862	5284616	2.941	12.731	-88.83879258
6	248862	9444	-15.652	12.843	-24.46717148
6	248862	5360373	2.967	2.381	-0.878594058
6	248862	387447	-1.946	34.269	-65.20312742
6	248862	2478	1.584	2.11	-1.136214769
6	248862	2578	-7.399	-2.756	0.062149981
6	248862	354624	-6.953	-4.961	2.819041363
6	248862	441203	-2.486	17.588	-10.09986464
6	248862	439693	-5.111	-0.727	-1.184727157
6	248862	2907	4	-3.616	1.945678758
6	248862	3062316	-2.542	4.477	-30.41377084
6	248862	148124	-9.193	0.9	-14.62155753
6	248862	24197464	6.092	34.789	-36.14138472
6	248862	54611422	-0.298	0.077	-2.525946184
6	248862	176871	-2.007	0.145	3.041792403
6	248862	104741	23.643	5.361	-6.127753088
6	248862	3690	1.147	2.235	-3.59871133
6	248862	57469	-8.008	0.286	-3.421522884
6	248862	6445540	1.511	77.504	-26.43893764
6	248862	208908	0.51	4.041	-11.36171741
6	248862	5935	-2.883	16.725	-30.04547939
6	248862	4114	-3.532	0.335	-2.609614232
6	248862	5746	-0.53	25.404	-28.88178731
6	248862	4211	23.859	-1.755	-14.49966442
6	248862	23615975	6.713	0.238	-2.428394841
6	248862	451668	4.76	5.399	0.015794204
6	248862	21864423	-2.012	23.461	-35.70666691
6	248862	54608520	-10.064	2.623	-14.20359561
6	248862	36314	-2.344	14.601	-56.06529864
6	248862	4842	-0.932	4.901	-5.61463061
6	248862	148121	17.993	78.522	-4.451518321
6	248862	9703	-5.078	-0.612	-4.478569199
6	248862	6239	-5.638	28.059	-36.58736208
6	248862	5352062	-7.393	18.556	-71.54154067
6	248862	104842	-10.42	10.915	-41.63040049
6	248862	216239	2.782	1.38	-5.283255342
6	248862	5329102	-6.96	-2.658	-6.26768757
6	248862	5426	-2.986	1.922	-0.709712248
6	248862	60699	-5.253	19.886	-43.3241723
6	248862	5799	-5.244	15.47	-19.58735882
6	248862	5388983	28.096	2.395	-1.261363431
6	248862	68740	-0.189	-0.506	2.658830441
6	248862	5311	-17.694	2.701	-14.40163761
6	43834572	248862	1.401	-0.589	-0.386430291
6	43834572	32874	22.2425	23.169	-2.271506022
6	43834572	135401907	25.028	-1.052	-17.14653236
6	43834572	2141	20.01	-2.581	-14.68892591
6	43834572	123608	25.738	-0.384	-72.32657035
6	43834572	2187	22.329	2.554	-10.38577889
6	43834572	5284616	2.941	12.731	-12.02246804
6	43834572	9444	18.972	12.843	-6.834679183
6	43834572	77082	17.695	-2.229	-8.043523931
6	43834572	5360373	21.063	2.381	-25.40613295
6	43834572	387447	29.041	40.503	-2.263210885
6	43834572	2478	24.747	-0.715	-14.85814016
6	43834572	426756	29.603	4.1	-22.71914357
6	43834572	2578	22.22	-0.17	-12.44198792
6	43834572	1546	27.659	-4.746	-10.93530958
6	43834572	354624	-6.951	-4.961	2.773594549
6	43834572	441203	7.767	17.291	-7.720548257
6	43834572	439693	27.154	1.435	-21.9030852
6	43834572	2907	27.432	-0.92	-30.58048883
6	43834572	6252	25.423	15.053	1.50002798
6	43834572	3062316	20.769	4.477	0.827792395
6	43834572	148124	23.402	0.9	-2.67030443
6	43834572	24197464	28.058	23.108	-0.106985202
6	43834572	54611422	27.014	19.968	-7.990405672
6	43834572	176871	21.436	-1.67	-34.63144456
6	43834572	657237	28.274	-1.903	-31.10123908
6	43834572	104741	19.194	5.361	-2.342171457
6	43834572	3657	21.403	-0.61	-29.27501472
6	43834572	3690	16.443	-5.124	-40.3146981
6	43834572	5291	26.674	0.942	-21.70541623
6	43834572	57469	23.685	1.012	-4.253300093
6	43834572	6445540	25.222	66.783	-6.315427505
6	43834572	208908	21.855	4.041	-28.19412551
6	43834572	5935	17.961	16.725	-1.17562331
6	43834572	667490	23.64	14.956	-6.646048591
6	43834572	4114	22.909	3.185	-24.45125975
6	43834572	5746	26.513	19.889	-1.382988109
6	43834572	4211	20.93	-1.755	-11.64727271
6	43834572	644241	-4.599	-1.69	4.052149452
6	43834572	23615975	20.179	-0.832	-20.38212081
6	43834572	451668	14.798	3.34	-8.40779641
6	43834572	21864423	26.563	23.461	-2.436729825
6	43834572	54608520	21.082	2.623	-9.51301893
6	43834572	36314	16.438	14.601	2.127139624
6	43834572	4842	26.376	7.192	-14.96532315
6	43834572	163659	16.992	22.376	-11.73919503
6	43834572	148121	24.482	78.49	-1.539014329
6	43834572	9703	22.14	0.467	-42.45470248
6	43834572	6239	24.582	19.195	-3.077362368
6	43834572	5352062	23.1	18.556	0.726870112
6	43834572	104842	19.982	10.915	-4.040158436
6	43834572	216239	18.382	1.38	-73.51934859
6	43834572	5329102	22.114	-2.658	-24.87938884
6	43834572	2733525	29.299	1.029	-58.83409467
6	43834572	5394	27.61	-2.377	-30.29955583
6	43834572	5426	16.202	0.91	-16.85185777
6	43834572	60699	24.374	19.152	-4.059970258
6	43834572	444795	33.635	7.797	-5.193719314
6	43834572	5799	15.482	15.47	-7.724304051
6	43834572	5388983	20.148	2.395	-13.78822807
6	43834572	5388992	20.39	26.076	-9.378625676
6	43834572	68740	15.462	-0.506	-13.23915241
6	43834572	5311	18.555	2.701	-13.3880688
6	3385	248862	45.848	-1.723	-10.3652953
6	3385	43834572	52.846	43.38	3.354539753
6	3385	11960529	24.19	-4.166	-6.38271278
6	3385	2019	52.846	0.234	-4.592167406
6	3385	32874	52.846	31.309	-11.78948618
6	3385	135401907	52.846	-4.433	-27.55263521
6	3385	2123	52.846	-6.514	-46.30917907
6	3385	2141	49.853	1.177	-15.75858986
6	3385	123608	52.846	1.405	-22.25671023
6	3385	2187	52.846	-1.356	-7.761284488
6	3385	5284616	52.846	21.383	-1.365377245
6	3385	9444	52.846	3.058	-0.755562832
6	3385	24856436	24.19	24.091	3.236334142
6	3385	77082	52.846	-1.106	-12.99500629
6	3385	11977753	24.19	35.101	8.11961037
6	3385	5360373	52.654	-1.133	2.936149047
6	3385	387447	29.9212	41.3924	-1.019541873
6	3385	2478	52.846	-3.28	-19.00526578
6	3385	426756	52.846	3.108	-4.18551903
6	3385	2578	52.846	-2.504	-12.18893512
6	3385	2662	52.846	-1.542	-7.02153236
6	3385	1546	52.846	7.007	-0.398196792
6	3385	354624	52.846	9.347	-2.167760114
6	3385	2708	52.846	16.142	-66.18904361
6	3385	441203	52.846	-1.569	-5.457887152
6	3385	439693	52.846	-3.119	-10.22827292
6	3385	11626560	52.846	-0.277	-2.07704872
6	3385	2907	52.846	0.234	-20.92537689
6	3385	6252	52.846	28.377	-0.235128205
6	3385	3062316	29.5146	38.0676	7.148837822
6	3385	46926350	24.19	38.464	3.919177082
6	3385	148124	52.846	30.493	-5.424150228
6	3385	24197464	52.846	16.913	0.490119859
6	3385	54611422	52.846	0.75	-18.61027198
6	3385	176870	24.19	9.298	9.43242095
6	3385	176871	52.846	-3.133	-6.993303262
6	3385	657237	52.846	-1.924	-6.975770443
6	3385	104741	52.846	4.124	-3.089699301
6	3385	5288382	24.19	79.99	-2.328357594
6	3385	3657	52.846	6.922	-21.6667465
6	3385	3690	52.846	-1.231	-16.25482134
6	3385	5291	52.846	-1.473	-6.15566493
6	3385	57469	52.846	-2.328	-3.931439044
6	3385	6445540	52.846	2.215	-3.218217727
6	3385	216453	24.19	35.577	14.55349601
6	3385	208908	29.9212	7.3154	5.918456119
6	3385	3902	52.846	-2.943	-9.4814754
6	3385	5935	52.846	2.903	-3.514650986
6	3385	9927978	52.846	-1.088	-5.858407103
6	3385	667490	52.846	17.466	-3.373989018
6	3385	126941	47.34	43.78	0.477380309
6	3385	4114	52.846	1.384	-7.133325999
6	3385	5746	52.846	25.014	0.489176328
6	3385	4211	52.846	-0.423	-9.229940229
6	3385	24964624	24.19	21.792	10.10669048
6	3385	24958200	24.19	4.264	7.044705873
6	3385	24748204	24.19	5.129	8.975591029
6	3385	11520894	24.19	16.396	9.346122925
6	3385	16224745	24.19	24.417	2.593518875
6	3385	644241	52.846	-5.329	-4.667602177
6	3385	23615975	52.846	2.299	-19.31915467
6	3385	451668	52.846	12.892	-2.482345774
6	3385	21864423	52.846	23.461	-13.16855054
6	3385	54608520	52.846	12.011	-0.238718279
6	3385	36314	52.846	42.116	-4.676260675
6	3385	9826528	24.19	57.817	-4.593954029
6	3385	4842	49.957	14.011	-0.224113444
6	3385	163659	52.846	-2.437	-51.92557035
6	3385	148121	52.846	7.951	-3.590794005
6	3385	9703	52.846	-4.045	-12.09671801
6	3385	6239	52.846	12.532	2.34825435
6	3385	5352062	52.846	14.231	-4.274187183
6	3385	104842	52.846	16.049	-1.772548717
6	3385	216239	29.9212	50.4548	-2.771180667
6	3385	5329102	29.9212	25.7592	7.768078011
6	3385	2733525	52.846	-2.044	-3.751697623
6	3385	5394	29.9212	-4.0868	-32.60901538
6	3385	5426	52.846	0.501	-9.282321006
6	3385	2723601	32.057	45.766	-14.26377275
6	3385	5453	52.846	0.615	-9.334876562
6	3385	60699	52.846	14.691	-2.703430931
6	3385	444795	52.846	10.785	0.123363405
6	3385	42611257	52.846	33.591	-1.827749924
6	3385	5388983	52.846	11.904	0.397322631
6	3385	5388992	49.089	5.884	4.075539848
6	3385	68740	52.846	-2.442	-9.638998263
6	3385	5311	29.9212	29.3332	0.734886323
6	132971	248862	1.334	-0.583	-2.777797961
6	132971	43834572	1.334	43.38	-22.56379295
6	132971	3385	1.334	52.846	-4.735261471
6	132971	2019	1.334	0.234	16.36636627
6	132971	32874	1.334	31.309	-4.999499849
6	132971	135401907	1.334	-4.433	-6.52415259
6	132971	2123	1.334	-6.514	-3.514081384
6	132971	2141	1.334	-0.05	-3.167541424
6	132971	123608	1.334	1.405	-6.5486415
6	132971	2187	1.334	-1.356	3.171843411
6	132971	5284616	1.334	21.383	-3.297542376
6	132971	6450551	1.334	-2.006	1.863183068
6	132971	9444	1.334	3.058	3.993548159
6	132971	77082	1.334	-1.106	-0.302541234
6	132971	5360373	1.334	0.894	0.43373637
6	132971	387447	1.334	-2.49	-1.625087347
6	132971	2478	1.334	-3.28	-6.439871461
6	132971	9854073	1.334	55.653	4.091085913
6	132971	426756	1.334	3.108	0.893908432
6	132971	2578	1.334	-2.504	-5.80281988
6	132971	2662	1.334	-1.542	1.605049673
6	132971	1546	1.334	7.007	-7.960428205
6	132971	354624	1.334	9.347	-8.080333005
6	132971	2708	1.334	16.142	-2.332989648
6	132971	441203	1.334	-1.569	2.501943722
6	132971	439693	1.334	-3.119	-5.794541403
6	132971	11626560	1.334	-0.277	4.207980065
6	132971	2907	1.334	0.234	-12.13728801
6	132971	6252	1.334	28.377	-17.17091448
6	132971	135398738	1.334	1.882	-2.169719622
6	132971	3062316	1.334	9.309	0.733476343
6	132971	62770	1.334	17.064	-12.01112318
6	132971	71384	1.334	21.296	9.470293809
6	132971	148124	1.334	30.493	-10.37327976
6	132971	24197464	1.334	16.913	-2.323416615
6	132971	54611422	1.334	0.75	-9.055683482
6	132971	176871	1.334	-3.133	1.774054869
6	132971	60198	1.334	34.944	-6.304175719
6	132971	657237	1.334	-1.924	-4.88464154
6	132971	104741	1.334	4.124	0.961300664
6	132971	123631	1.334	10.571	16.54902201
6	132971	3657	1.334	3.075	-3.247580398
6	132971	3690	1.334	-1.231	-6.511359909
6	132971	5291	1.334	-1.473	1.717136824
6	132971	57469	1.334	-2.328	-4.965153696
6	132971	6445540	1.334	2.215	8.679220582
